日付,ランキング,機種名,機種別差枚,平均差枚,平均G数,勝率,日付末尾,曜日,出現回数
2023/10/7,1,マイジャグラーV,11459,1146,7065,80.0%(8/10),7,Sat,42
2023/9/23,1,マイジャグラーV,5868,587,6819,70.0%(7/10),3,Sat,42
2023/9/16,5,マイジャグラーV,2575,258,7092,50.0%(5/10),6,Sat,42
2023/9/9,2,マイジャグラーV,3888,389,7717,50.0%(5/10),9,Sat,42
2023/9/2,1,マイジャグラーV,10268,1027,7208,60.0%(6/10),2,Sat,42
2023/8/26,3,マイジャグラーV,1882,188,6801,50.0%(5/10),6,Sat,42
2023/8/19,4,マイジャグラーV,2959,296,6812,40.0%(4/10),9,Sat,42
2023/8/12,2,マイジャグラーV,7019,702,7396,60.0%(6/10),2,Sat,42
2023/8/5,3,マイジャグラーV,4079,408,7530,70.0%(7/10),5,Sat,42
2023/7/29,1,マイジャグラーV,17961,1796,7517,80.0%(8/10),9,Sat,42
2023/6/10,6,マイジャグラーV,2891,289,7235,50.0%(5/10),0,Sat,42
2023/6/3,1,マイジャグラーV,17669,1767,7332,100.0%(10/10),3,Sat,42
2023/5/27,5,マイジャグラーV,109,11,5543,30.0%(3/10),7,Sat,42
2023/5/20,1,マイジャグラーV,7502,750,7064,60.0%(6/10),0,Sat,42
2023/5/13,8,マイジャグラーV,19,2,6382,40.0%(4/10),3,Sat,42
2023/5/6,3,マイジャグラーV,6092,609,6804,60.0%(6/10),6,Sat,42
2023/4/29,1,マイジャグラーV,13430,1343,7748,80.0%(8/10),9,Sat,42
2023/4/22,2,マイジャグラーV,6367,637,7029,70.0%(7/10),2,Sat,42
2023/4/15,3,マイジャグラーV,1765,176,6557,50.0%(5/10),5,Sat,42
2023/4/1,1,マイジャグラーV,7305,730,7005,70.0%(7/10),1,Sat,42
2023/3/25,1,マイジャグラーV,8898,890,6706,70.0%(7/10),5,Sat,42
2023/3/11,8,マイジャグラーV,143,14,6206,50.0%(5/10),1,Sat,42
2023/3/4,2,マイジャグラーV,7225,722,7326,60.0%(6/10),4,Sat,42
2023/2/25,1,マイジャグラーV,16158,1616,7971,90.0%(9/10),5,Sat,42
2023/2/18,3,マイジャグラーV,6129,613,6898,60.0%(6/10),8,Sat,42
