日付,ランキング,機種名,機種別差枚,平均差枚,平均G数,勝率,日付末尾,曜日,出現回数
2023/9/16,8,バイオハザード RE:2,2706,902,4346,100.0%(3/3),6,Sat,19
2023/8/26,3,バイオハザード RE:2,9924,3308,5091,100.0%(3/3),6,Sat,19
2023/8/6,9,バイオハザード RE:2,2582,861,3694,33.3%(1/3),6,Sun,19
2023/7/26,8,バイオハザード RE:2,3104,1035,2561,100.0%(3/3),6,Wed,19
2023/7/16,8,バイオハザード RE:2,1397,466,3659,33.3%(1/3),6,Sun,19
2023/6/26,4,バイオハザード RE:2,3438,1146,4344,66.7%(2/3),6,Mon,19
2023/6/16,5,バイオハザード RE:2,1887,629,2731,66.7%(2/3),6,Fri,19
2023/6/6,1,バイオハザード RE:2,12257,3064,4459,100.0%(4/4),6,Tue,19
2023/5/26,3,バイオハザード RE:2,5284,1321,2124,75.0%(3/4),6,Fri,19
2023/4/16,2,バイオハザード RE:2,8841,2210,4444,75.0%(3/4),6,Sun,19
2023/3/16,10,バイオハザード RE:2,1202,300,3945,50.0%(2/4),6,Thu,19
2023/3/6,3,バイオハザード RE:2,5369,1342,4469,50.0%(2/4),6,Mon,19
2023/2/16,3,バイオハザード RE:2,3491,873,3933,50.0%(2/4),6,Thu,19
2023/1/26,8,バイオハザード RE:2,3873,968,3248,50.0%(2/4),6,Thu,19
2023/1/16,2,バイオハザード RE:2,6837,1709,5280,75.0%(3/4),6,Mon,19
2023/1/6,1,バイオハザード RE:2,8659,2165,3468,75.0%(3/4),6,Fri,19
2022/12/16,4,バイオハザード RE:2,6805,1701,4576,50.0%(2/4),6,Fri,19
2022/12/6,4,バイオハザード RE:2,3979,995,3761,50.0%(2/4),6,Tue,19
2022/11/26,6,バイオハザード RE:2,2998,750,4542,50.0%(2/4),6,Sat,19
2023/9/26,2,アイムジャグラーEX-TP,7081,506,5997,64.3%(9/14),6,Tue,19
2023/7/16,7,アイムジャグラーEX-TP,1439,111,6960,61.5%(8/13),6,Sun,19
2023/7/6,2,アイムジャグラーEX-TP,6202,477,5545,69.2%(9/13),6,Thu,19
2023/6/6,4,アイムジャグラーEX-TP,5362,412,7006,46.2%(6/13),6,Tue,19
2023/5/26,1,アイムジャグラーEX-TP,9805,754,5951,69.2%(9/13),6,Fri,19
2023/5/16,3,アイムジャグラーEX-TP,7255,558,4837,46.2%(6/13),6,Tue,19
2023/5/6,9,アイムジャグラーEX-TP,3633,242,6676,53.3%(8/15),6,Sat,19
2023/4/26,8,アイムジャグラーEX-TP,2049,137,5464,60.0%(9/15),6,Wed,19
2023/4/16,1,アイムジャグラーEX-TP,12139,809,6841,66.7%(10/15),6,Sun,19
2023/4/6,5,アイムジャグラーEX-TP,2238,149,4388,46.7%(7/15),6,Thu,19
2023/3/26,10,アイムジャグラーEX-TP,321,21,6200,53.3%(8/15),6,Sun,19
2023/2/26,6,アイムジャグラーEX-TP,4243,283,6996,46.7%(7/15),6,Sun,19
2023/2/6,5,アイムジャグラーEX-TP,2630,175,5964,46.7%(7/15),6,Mon,19
2023/1/26,4,アイムジャグラーEX-TP,4866,324,6883,66.7%(10/15),6,Thu,19
2023/1/16,1,アイムジャグラーEX-TP,7579,505,5531,53.3%(8/15),6,Mon,19
2022/12/26,3,アイムジャグラーEX-TP,4942,329,4816,53.3%(8/15),6,Mon,19
