日付,ランキング,機種名,機種別差枚,平均差枚,平均G数,勝率,日付末尾,出現回数
2023/10/9,10,アイムジャグラーEX-TP,1102,65,5215,41.2%(7/17),9,28
2023/9/9,7,アイムジャグラーEX-TP,4940,412,7103,58.3%(7/12),9,28
2023/8/29,6,アイムジャグラーEX-TP,2605,217,5600,50.0%(6/12),9,28
2023/8/9,2,アイムジャグラーEX-TP,9441,787,6085,75.0%(9/12),9,28
2023/7/29,4,アイムジャグラーEX-TP,7967,664,6726,50.0%(6/12),9,28
2023/7/19,1,アイムジャグラーEX-TP,20427,1702,7751,75.0%(9/12),9,28
2023/7/9,4,アイムジャグラーEX-TP,8036,670,6699,50.0%(6/12),9,28
2023/6/29,1,アイムジャグラーEX-TP,10614,884,7124,50.0%(6/12),9,28
2023/6/9,2,アイムジャグラーEX-TP,7711,643,8064,83.3%(10/12),9,28
2023/5/29,1,アイムジャグラーEX-TP,7400,617,7192,66.7%(8/12),9,28
2023/5/19,2,アイムジャグラーEX-TP,8013,668,6443,66.7%(8/12),9,28
2023/5/9,3,アイムジャグラーEX-TP,11812,984,7558,58.3%(7/12),9,28
2023/4/29,2,アイムジャグラーEX-TP,10223,852,7195,75.0%(9/12),9,28
2023/4/19,4,アイムジャグラーEX-TP,7200,600,6792,58.3%(7/12),9,28
2023/3/29,1,アイムジャグラーEX-TP,8205,684,7750,66.7%(8/12),9,28
2023/3/19,2,アイムジャグラーEX-TP,14170,1181,7078,83.3%(10/12),9,28
2023/3/9,1,アイムジャグラーEX-TP,18842,1570,7759,83.3%(10/12),9,28
2023/2/19,1,アイムジャグラーEX-TP,8475,706,7533,75.0%(9/12),9,28
2023/2/9,1,アイムジャグラーEX-TP,9750,812,6061,66.7%(8/12),9,28
2023/1/29,5,アイムジャグラーEX-TP,4401,367,4166,33.3%(4/12),9,28
2023/1/19,1,アイムジャグラーEX-TP,18536,1545,6786,66.7%(8/12),9,28
2022/12/9,1,アイムジャグラーEX-TP,13094,1091,7374,66.7%(8/12),9,28
2022/11/29,3,アイムジャグラーEX-TP,3078,256,4389,50.0%(6/12),9,28
2022/11/19,1,アイムジャグラーEX-TP,9436,786,7363,50.0%(6/12),9,28
2022/11/9,1,アイムジャグラーEX-TP,7680,640,5682,58.3%(7/12),9,28
2022/10/19,10,アイムジャグラーEX-TP,330,28,4670,41.7%(5/12),9,28
2022/9/29,6,アイムジャグラーEX-TP,2150,179,5069,41.7%(5/12),9,28
2022/9/19,4,アイムジャグラーEX-TP,5640,470,7505,58.3%(7/12),9,28
2023/10/9,3,ファンキージャグラー2,4486,561,5885,62.5%(5/8),9,19
2023/9/9,1,ファンキージャグラー2,9698,1212,7354,75.0%(6/8),9,19
2023/8/19,3,ファンキージャグラー2,9363,1170,6441,75.0%(6/8),9,19
2023/8/9,4,ファンキージャグラー2,5281,660,5857,50.0%(4/8),9,19
2023/7/19,6,ファンキージャグラー2,2763,345,5113,37.5%(3/8),9,19
2023/6/9,3,ファンキージャグラー2,4720,590,5034,37.5%(3/8),9,19
2023/5/29,8,ファンキージャグラー2,1627,203,3378,25.0%(2/8),9,19
2023/4/19,6,ファンキージャグラー2,3356,420,6201,50.0%(4/8),9,19
2023/3/19,3,ファンキージャグラー2,9737,1217,7438,75.0%(6/8),9,19
2023/3/9,4,ファンキージャグラー2,3154,394,6171,62.5%(5/8),9,19
2023/2/19,5,ファンキージャグラー2,3787,473,5877,50.0%(4/8),9,19
2023/1/29,4,ファンキージャグラー2,5059,632,4821,87.5%(7/8),9,19
2023/1/19,2,ファンキージャグラー2,6578,822,5779,75.0%(6/8),9,19
2022/12/9,5,ファンキージャグラー2,2906,363,6232,62.5%(5/8),9,19
2022/11/29,2,ファンキージャグラー2,3268,408,4801,50.0%(4/8),9,19
2022/11/9,8,ファンキージャグラー2,720,90,6505,37.5%(3/8),9,19
2022/10/19,3,ファンキージャグラー2,1390,174,5440,62.5%(5/8),9,19
2022/10/9,3,ファンキージャグラー2,2300,288,5585,62.5%(5/8),9,19
2022/9/19,3,ファンキージャグラー2,5710,714,7554,62.5%(5/8),9,19
2023/7/19,9,ディスクアップ2,1436,479,2384,33.3%(1/3),9,16
2023/5/9,9,ディスクアップ2,920,307,5526,33.3%(1/3),9,16
2023/4/29,10,ディスクアップ2,456,152,3856,33.3%(1/3),9,16
2023/4/9,5,ディスクアップ2,2166,722,3047,66.7%(2/3),9,16
2023/3/19,9,ディスクアップ2,3908,1303,3823,66.7%(2/3),9,16
2023/3/9,6,ディスクアップ2,507,169,3409,66.7%(2/3),9,16
2023/2/9,6,ディスクアップ2,2241,747,3333,66.7%(2/3),9,16
2022/12/29,6,ディスクアップ2,1761,587,3361,66.7%(2/3),9,16
2022/12/9,3,ディスクアップ2,5589,1863,4907,100.0%(3/3),9,16
2022/11/29,4,ディスクアップ2,2854,951,2839,66.7%(2/3),9,16
2022/11/19,3,ディスクアップ2,2264,755,6067,66.7%(2/3),9,16
2022/11/9,4,ディスクアップ2,2210,737,2237,66.7%(2/3),9,16
2022/10/29,3,ディスクアップ2,680,227,4923,66.7%(2/3),9,16
2022/10/19,2,ディスクアップ2,1430,477,2863,66.7%(2/3),9,16
2022/9/29,9,ディスクアップ2,980,327,3227,66.7%(2/3),9,16
2022/9/19,10,ディスクアップ2,1110,370,5090,33.3%(1/3),9,16
2023/9/29,2,マイジャグラーV,7250,362,5773,40.0%(8/20),9,13
2023/9/9,6,マイジャグラーV,5013,251,7194,50.0%(10/20),9,13
2023/8/29,2,マイジャグラーV,7931,397,4265,40.0%(8/20),9,13
2023/8/19,9,マイジャグラーV,3967,198,6129,55.0%(11/20),9,13
2023/8/9,7,マイジャグラーV,2567,128,5358,50.0%(10/20),9,13
2023/7/29,3,マイジャグラーV,8016,401,5887,60.0%(12/20),9,13
2023/5/29,2,マイジャグラーV,7338,367,4701,45.0%(9/20),9,13
2023/5/19,4,マイジャグラーV,5759,288,6278,50.0%(10/20),9,13
2023/3/19,1,マイジャグラーV,24471,1224,7466,65.0%(13/20),9,13
2022/12/9,4,マイジャグラーV,4579,229,6007,60.0%(12/20),9,13
2022/11/29,1,マイジャグラーV,14999,750,5136,60.0%(12/20),9,13
2022/11/19,2,マイジャグラーV,4526,226,6830,40.0%(8/20),9,13
2022/9/19,1,マイジャグラーV,34860,1743,7658,80.0%(16/20),9,13
2023/9/29,10,新ハナビ,1244,311,2310,25.0%(1/4),9,12
2023/7/29,6,新ハナビ,3069,767,3593,75.0%(3/4),9,12
2023/7/19,10,新ハナビ,1231,308,2557,75.0%(3/4),9,12
2023/5/19,7,新ハナビ,3752,938,2733,75.0%(3/4),9,12
2023/3/29,9,新ハナビ,560,140,3328,25.0%(1/4),9,12
2023/2/19,10,新ハナビ,1250,312,4601,50.0%(2/4),9,12
2023/1/19,10,新ハナビ,1520,380,2792,50.0%(2/4),9,12
2022/12/9,9,新ハナビ,907,227,2455,50.0%(2/4),9,12
2022/11/29,7,新ハナビ,639,160,936,50.0%(2/4),9,12
2022/11/19,4,新ハナビ,2213,553,5054,25.0%(1/4),9,12
2022/10/19,1,新ハナビ,2960,740,3448,75.0%(3/4),9,12
2022/9/19,6,新ハナビ,1540,385,5455,50.0%(2/4),9,12
2023/10/9,7,ハッピージャグラーVIII,1549,387,6504,75.0%(3/4),9,11
2023/9/29,1,ハッピージャグラーVIII,9338,2334,7482,75.0%(3/4),9,11
2023/9/29,8,甲鉄城のカバネリ,2076,208,2184,50.0%(5/10),9,11
2023/9/9,10,沖ドキ!DUO,3702,1851,3908,50.0%(1/2),9,11
2023/8/19,2,甲鉄城のカバネリ,9397,940,4134,70.0%(7/10),9,11
2023/8/9,6,ハッピージャグラーVIII,3581,895,4524,75.0%(3/4),9,11
2023/8/9,8,甲鉄城のカバネリ,2049,205,2417,50.0%(5/10),9,11
2023/7/29,1,甲鉄城のカバネリ,17904,1790,4717,70.0%(7/10),9,11
2023/7/19,2,甲鉄城のカバネリ,7853,785,4563,50.0%(5/10),9,11
