日付,ランキング,機種名,機種別差枚,平均差枚,平均G数,勝率,日付末尾,曜日,出現回数
2023/10/7,1,甲鉄城のカバネリ,28600,773,5242,54.1%(20/37),7,Sat,21
2023/9/27,4,甲鉄城のカバネリ,8400,420,4962,55.0%(11/20),7,Wed,21
2023/9/17,9,甲鉄城のカバネリ,3600,180,4959,55.0%(11/20),7,Sun,21
2023/9/7,6,甲鉄城のカバネリ,7200,360,5142,60.0%(12/20),7,Thu,21
2023/8/17,1,甲鉄城のカバネリ,17400,870,5316,70.0%(14/20),7,Thu,21
2023/8/7,2,甲鉄城のカバネリ,29200,1460,5170,65.0%(13/20),7,Mon,21
2023/7/17,5,甲鉄城のカバネリ,10900,545,5252,50.0%(10/20),7,Mon,21
2023/7/7,3,甲鉄城のカバネリ,11000,550,5079,65.0%(13/20),7,Fri,21
2023/6/7,6,甲鉄城のカバネリ,7200,360,5222,55.0%(11/20),7,Wed,21
2023/5/27,1,甲鉄城のカバネリ,17400,870,4857,65.0%(13/20),7,Sat,21
2023/5/17,5,甲鉄城のカバネリ,16100,805,5003,55.0%(11/20),7,Wed,21
2023/5/7,5,甲鉄城のカバネリ,5000,250,5069,45.0%(9/20),7,Sun,21
2023/4/7,8,甲鉄城のカバネリ,4800,240,5226,45.0%(9/20),7,Fri,21
2023/3/7,5,甲鉄城のカバネリ,7300,365,5187,55.0%(11/20),7,Tue,21
2023/2/17,2,甲鉄城のカバネリ,15600,780,7347,80.0%(16/20),7,Fri,21
2023/2/7,1,甲鉄城のカバネリ,29400,1470,7373,80.0%(16/20),7,Tue,21
2023/1/27,6,甲鉄城のカバネリ,3700,462,7676,75.0%(6/8),7,Fri,21
2023/1/7,7,甲鉄城のカバネリ,2900,362,7802,37.5%(3/8),7,Sat,21
2022/12/17,5,甲鉄城のカバネリ,7200,900,7129,62.5%(5/8),7,Sat,21
2022/12/7,2,甲鉄城のカバネリ,24400,3050,7484,75.0%(6/8),7,Wed,21
2022/11/17,5,甲鉄城のカバネリ,11000,1375,5030,75.0%(6/8),7,Thu,21
2023/9/17,6,アイムジャグラーEX-TP,5100,170,6565,30.0%(9/30),7,Sun,17
2023/8/17,5,アイムジャグラーEX-TP,9100,294,6576,54.8%(17/31),7,Thu,17
2023/7/27,6,アイムジャグラーEX-TP,14400,465,6865,51.6%(16/31),7,Thu,17
2023/7/7,10,アイムジャグラーEX-TP,4500,122,7746,54.1%(20/37),7,Fri,17
2023/6/17,1,アイムジャグラーEX-TP,15300,373,7087,48.8%(20/41),7,Sat,17
2023/5/17,3,アイムジャグラーEX-TP,22600,551,6220,65.9%(27/41),7,Wed,17
2023/4/17,3,アイムジャグラーEX-TP,3200,78,6414,36.6%(15/41),7,Mon,17
2023/4/7,2,アイムジャグラーEX-TP,18400,449,5629,43.9%(18/41),7,Fri,17
2023/3/27,4,アイムジャグラーEX-TP,8900,217,6436,58.5%(24/41),7,Mon,17
2023/3/7,9,アイムジャグラーEX-TP,4800,117,6117,46.3%(19/41),7,Tue,17
2023/2/7,2,アイムジャグラーEX-TP,16700,407,7133,56.1%(23/41),7,Tue,17
2023/1/17,1,アイムジャグラーEX-TP,11600,283,6790,58.5%(24/41),7,Tue,17
2022/12/27,1,アイムジャグラーEX-TP,17200,420,7216,61.0%(25/41),7,Tue,17
2022/12/17,2,アイムジャグラーEX-TP,10100,246,6405,53.7%(22/41),7,Sat,17
2022/12/7,8,アイムジャグラーEX-TP,7600,185,6362,56.1%(23/41),7,Wed,17
2022/11/27,6,アイムジャグラーEX-TP,5400,132,5679,48.8%(20/41),7,Sun,17
2022/10/27,1,アイムジャグラーEX-TP,28100,685,7619,68.3%(28/41),7,Thu,17
2023/10/7,4,新鬼武者2,8700,1450,4652,83.3%(5/6),7,Sat,13
2023/9/17,3,新鬼武者2,9300,1550,3404,66.7%(4/6),7,Sun,13
2023/8/27,7,新鬼武者2,7600,1267,4293,50.0%(3/6),7,Sun,13
2023/8/7,5,新鬼武者2,10700,1783,3924,50.0%(3/6),7,Mon,13
2023/6/27,9,新鬼武者2,6000,1000,4327,66.7%(4/6),7,Tue,13
2023/6/17,3,新鬼武者2,14700,2450,4114,66.7%(4/6),7,Sat,13
2023/5/17,4,新鬼武者2,17500,2917,4580,83.3%(5/6),7,Wed,13
2023/4/7,4,新鬼武者2,16500,2750,4462,66.7%(4/6),7,Fri,13
2023/3/27,2,新鬼武者2,9200,1533,4924,83.3%(5/6),7,Mon,13
2023/3/7,4,新鬼武者2,7900,1317,4247,66.7%(4/6),7,Tue,13
2023/2/27,9,新鬼武者2,2500,417,4246,66.7%(4/6),7,Mon,13
2023/2/7,7,新鬼武者2,6600,1100,6057,83.3%(5/6),7,Tue,13
2022/12/7,3,新鬼武者2,18900,3150,5650,100.0%(6/6),7,Wed,13
2023/10/7,7,新ハナビ,5300,1060,6552,100.0%(5/5),7,Sat,13
2023/9/27,5,新ハナビ,7500,1250,6754,83.3%(5/6),7,Wed,13
2023/8/17,10,新ハナビ,5800,967,6736,83.3%(5/6),7,Thu,13
2023/6/27,10,新ハナビ,5300,883,6730,66.7%(4/6),7,Tue,13
2023/4/27,10,新ハナビ,2600,433,4344,66.7%(4/6),7,Thu,13
2023/4/7,9,新ハナビ,3500,583,4350,66.7%(4/6),7,Fri,13
2023/3/27,9,新ハナビ,3800,633,6287,66.7%(4/6),7,Mon,13
2023/3/17,5,新ハナビ,5800,967,5865,83.3%(5/6),7,Fri,13
2023/2/27,8,新ハナビ,2600,433,5778,50.0%(3/6),7,Mon,13
2023/2/17,8,新ハナビ,3700,617,6968,66.7%(4/6),7,Fri,13
2023/1/17,9,新ハナビ,2600,433,6532,66.7%(4/6),7,Tue,13
2022/12/27,3,新ハナビ,6900,1150,6613,33.3%(2/6),7,Tue,13
2022/12/17,6,新ハナビ,6700,1117,5169,83.3%(5/6),7,Sat,13
2023/7/27,9,押忍!番長ZERO,8700,2175,5511,75.0%(3/4),7,Thu,13
2023/5/27,4,押忍!番長ZERO,6200,1550,5176,75.0%(3/4),7,Sat,13
2023/4/27,4,押忍!番長ZERO,4400,550,2367,37.5%(3/8),7,Thu,13
2023/4/7,10,押忍!番長ZERO,3400,378,4287,44.4%(4/9),7,Fri,13
2023/2/17,6,押忍!番長ZERO,5700,380,3743,40.0%(6/15),7,Fri,13
