日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-07,アイムジャグラーEX-TP,631,2870,-1060,7,8,1/191.3,1/410.0,1/358.8,6.2467208796427744
2022-09-07,アイムジャグラーEX-TP,632,2890,-1070,9,3,1/240.8,1/321.1,1/963.3,6.265846194940232
2022-09-07,アイムジャグラーEX-TP,633,4950,-610,16,12,1/176.8,1/309.4,1/412.5,5.873467707199922
2022-09-07,アイムジャグラーEX-TP,634,4270,510,17,13,1/142.3,1/251.2,1/328.5,5.893286249610622
2022-09-07,アイムジャグラーEX-TP,635,2490,-1000,8,3,1/226.4,1/311.2,1/830.0,6.6405161894584595
2022-09-07,アイムジャグラーEX-TP,636,2200,-470,8,3,1/200.0,1/275.0,1/733.3,6.293459736518587
2022-09-07,アイムジャグラーEX-TP,637,2380,-1610,2,5,1/340.0,1/1190.0,1/476.0,5.553203480925271
2022-09-07,アイムジャグラーEX-TP,638,1260,-670,3,1,1/315.0,1/420.0,1/1260.0,6.047940004435156
2022-09-07,アイムジャグラーEX-TP,639,5520,-340,21,13,1/162.4,1/262.9,1/424.6,6.218118764491343
2022-09-07,アイムジャグラーEX-TP,640,1070,-360,3,3,1/178.3,1/356.7,1/356.7,6.555356308121351
2022-09-07,アイムジャグラーEX-TP,641,2100,-410,7,5,1/175.0,1/300.0,1/420.0,6.305189170687475
2022-09-07,アイムジャグラーEX-TP,642,2230,-840,5,6,1/202.7,1/446.0,1/371.7,6.005917849008801
2022-09-07,アイムジャグラーEX-TP,643,4510,50,18,11,1/155.5,1/250.6,1/410.0,6.133474607245129
2022-09-07,アイムジャグラーEX-TP,644,5270,970,25,14,1/135.1,1/210.8,1/376.4,6.311853091200109
2022-09-07,アイムジャグラーEX-TP,645,4180,800,23,4,1/154.8,1/181.7,1/1045.0,6.420117268510422
2022-09-07,アイムジャグラーEX-TP,646,1410,-410,5,0,1/282.0,1/282.0,1/0.0,5.940965760866016
2022-09-07,アイムジャグラーEX-TP,647,5130,-330,17,14,1/165.5,1/301.8,1/366.4,5.833247909795474
2022-09-07,アイムジャグラーEX-TP,648,4010,170,17,8,1/160.4,1/235.9,1/501.2,6.081155522671146
2022-09-07,アイムジャグラーEX-TP,649,4500,-1660,12,12,1/187.5,1/375.0,1/375.0,6.475472349733067
2022-09-07,アイムジャグラーEX-TP,650,2180,-1770,2,4,1/363.3,1/1090.0,1/545.0,6.101662087154685
2022-09-07,アイムジャグラーEX-TP,651,3870,-1320,10,9,1/203.7,1/387.0,1/430.0,6.07672644391146
2022-09-07,アイムジャグラーEX-TP,652,2280,-870,6,5,1/207.3,1/380.0,1/456.0,6.2662763436112625
2022-09-07,アイムジャグラーEX-TP,653,2750,-780,8,5,1/211.5,1/343.8,1/550.0,5.967509622609266
2022-09-07,アイムジャグラーEX-TP,654,1950,-370,7,3,1/195.0,1/278.6,1/650.0,6.200998201710521
2022-09-07,アイムジャグラーEX-TP,655,4060,950,21,7,1/145.0,1/193.3,1/580.0,6.160874079321102
2022-09-07,アイムジャグラーEX-TP,661,3190,-1030,10,7,1/187.6,1/319.0,1/455.7,6.618101420225893
2022-09-07,アイムジャグラーEX-TP,662,3950,-610,14,11,1/158.0,1/282.1,1/359.1,6.567442858051373
2022-09-07,アイムジャグラーEX-TP,663,2680,-950,6,9,1/178.7,1/446.7,1/297.8,6.194477230615648
2022-09-07,アイムジャグラーEX-TP,664,4430,1180,23,11,1/130.3,1/192.6,1/402.7,6.381035389971289
2022-09-07,アイムジャグラーEX-TP,665,4520,-1070,14,12,1/173.8,1/322.9,1/376.7,6.34663613541531
2022-09-07,マイジャグラーV,600,3690,-1780,8,6,1/263.6,1/461.2,1/615.0,5.820010612055935
2022-09-07,マイジャグラーV,601,4320,10,20,7,1/160.0,1/216.0,1/617.1,6.294921899617999
2022-09-07,マイジャグラーV,602,6380,-1500,20,11,1/205.8,1/319.0,1/580.0,5.792081040473823
2022-09-07,マイジャグラーV,603,4620,-840,17,8,1/184.8,1/271.8,1/577.5,6.137701118067947
2022-09-07,マイジャグラーV,604,5340,-240,20,13,1/161.8,1/267.0,1/410.8,5.892592440250809
2022-09-07,マイジャグラーV,605,2210,10,10,3,1/170.0,1/221.0,1/736.7,6.046054038386219
2022-09-07,マイジャグラーV,606,6050,-730,20,18,1/159.2,1/302.5,1/336.1,5.989945925268122
2022-09-07,マイジャグラーV,607,5190,590,23,10,1/157.3,1/225.7,1/519.0,5.712555515975227
2022-09-07,マイジャグラーV,608,6100,-1280,22,8,1/203.3,1/277.3,1/762.5,6.001918892183522
2022-09-07,マイジャグラーV,609,3580,-900,11,9,1/179.0,1/325.5,1/397.8,6.1323717842893695
2022-09-07,マイジャグラーV,610,5470,-570,18,14,1/170.9,1/303.9,1/390.7,5.733753296695227
2022-09-07,マイジャグラーV,615,3720,80,16,9,1/148.8,1/232.5,1/413.3,6.189269869136873
2022-09-07,マイジャグラーV,616,6390,590,26,16,1/152.1,1/245.8,1/399.4,5.6701800671497065
2022-09-07,マイジャグラーV,617,4030,-390,17,5,1/183.2,1/237.1,1/806.0,6.123996609083814
2022-09-07,マイジャグラーV,618,5150,-450,18,14,1/160.9,1/286.1,1/367.9,5.934692882164152
2022-09-07,マイジャグラーV,619,4990,900,25,10,1/142.6,1/199.6,1/499.0,6.054360605452438
2022-09-07,マイジャグラーV,620,5200,-1320,14,13,1/192.6,1/371.4,1/400.0,5.737134957549338
2022-09-07,マイジャグラーV,621,3960,-1540,12,5,1/232.9,1/330.0,1/792.0,6.17104933239687
2022-09-07,ファンキージャグラー2,476,5000,-420,19,7,1/192.3,1/263.2,1/714.3,5.705320211096848
2022-09-07,ファンキージャグラー2,477,3380,-410,12,7,1/177.9,1/281.7,1/482.9,5.879211768164243
2022-09-07,ファンキージャグラー2,478,5360,-710,21,11,1/167.5,1/255.2,1/487.3,6.332112196522299
2022-09-07,ファンキージャグラー2,479,3250,-270,10,10,1/162.5,1/325.0,1/325.0,5.648152673911509
2022-09-07,ファンキージャグラー2,480,4090,530,20,7,1/151.5,1/204.5,1/584.3,6.0361954037471275
2022-09-07,ファンキージャグラー2,481,5280,-450,19,16,1/150.9,1/277.9,1/330.0,6.182863456203107
2022-09-07,ファンキージャグラー2,482,3010,90,13,5,1/167.2,1/231.5,1/602.0,5.851922543681028
2022-09-07,ファンキージャグラー2,483,6290,1050,28,21,1/128.4,1/224.6,1/299.5,6.09475970574132
2022-09-07,ファンキージャグラー2,611,5960,500,22,21,1/138.6,1/270.9,1/283.8,5.739528910830496
2022-09-07,ファンキージャグラー2,612,2100,-820,5,6,1/190.9,1/420.0,1/350.0,6.170753566548639
2022-09-07,ファンキージャグラー2,613,2660,650,13,7,1/133.0,1/204.6,1/380.0,5.912191728377021
2022-09-07,ファンキージャグラー2,614,2950,220,13,7,1/147.5,1/226.9,1/421.4,6.047149832230027
2022-09-07,ファンキージャグラー2,622,4850,-1290,15,8,1/210.9,1/323.3,1/606.2,5.857978740670452
2022-09-07,ファンキージャグラー2,623,1870,-650,5,4,1/207.8,1/374.0,1/467.5,5.9806054083702085
2022-09-07,ファンキージャグラー2,624,2720,230,13,5,1/151.1,1/209.2,1/544.0,6.179072707467477
