日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-04,アイムジャグラーEX-TP,505,3880,-1070,13,7,1/194.0,1/298.5,1/554.3,6.4574088947811825
2022-09-04,アイムジャグラーEX-TP,506,5640,700,25,11,1/156.7,1/225.6,1/512.7,5.912937654362794
2022-09-04,アイムジャグラーEX-TP,507,3900,-1150,11,11,1/177.3,1/354.5,1/354.5,6.368714262735591
2022-09-04,アイムジャグラーEX-TP,508,4080,-50,14,13,1/151.1,1/291.4,1/313.8,5.923994712253936
2022-09-04,アイムジャグラーEX-TP,509,5060,-80,17,16,1/153.3,1/297.6,1/316.2,5.851360525160763
2022-09-04,アイムジャグラーEX-TP,510,2440,-2000,2,3,1/488.0,1/1220.0,1/813.3,5.773694597821353
2022-09-04,アイムジャグラーEX-TP,511,3530,-730,9,11,1/176.5,1/392.2,1/320.9,5.77981492148457
2022-09-04,アイムジャグラーEX-TP,512,7590,90,26,32,1/130.9,1/291.9,1/237.2,6.26014954581749
2022-09-04,アイムジャグラーEX-TP,513,3430,-740,11,6,1/201.8,1/311.8,1/571.7,5.96925624198425
2022-09-04,アイムジャグラーEX-TP,514,3040,-790,10,6,1/190.0,1/304.0,1/506.7,6.3796977870003575
2022-09-04,アイムジャグラーEX-TP,515,5810,1350,27,19,1/126.3,1/215.2,1/305.8,6.242244870266061
2022-09-04,アイムジャグラーEX-TP,516,1540,-740,3,3,1/256.7,1/513.3,1/513.3,5.827503622323275
2022-09-04,アイムジャグラーEX-TP,565,4530,1280,21,13,1/133.2,1/215.7,1/348.5,5.827500579855604
2022-09-04,アイムジャグラーEX-TP,566,5210,-1830,11,15,1/200.4,1/473.6,1/347.3,5.829332147625542
2022-09-04,アイムジャグラーEX-TP,567,5800,1290,25,18,1/134.9,1/232.0,1/322.2,5.830239997306026
2022-09-04,アイムジャグラーEX-TP,568,8100,-750,26,25,1/158.8,1/311.5,1/324.0,5.991322567814282
2022-09-04,アイムジャグラーEX-TP,569,2780,-1400,5,5,1/278.0,1/556.0,1/556.0,5.708082501092851
2022-09-04,アイムジャグラーEX-TP,570,3530,-530,11,11,1/160.5,1/320.9,1/320.9,6.1612713652557005
2022-09-04,アイムジャグラーEX-TP,571,4740,180,19,13,1/148.1,1/249.5,1/364.6,6.163611907786124
2022-09-04,アイムジャグラーEX-TP,572,4120,220,16,11,1/152.6,1/257.5,1/374.5,5.918553379138435
2022-09-04,アイムジャグラーEX-TP,573,7370,-290,29,16,1/163.8,1/254.1,1/460.6,6.184527763263998
2022-09-04,アイムジャグラーEX-TP,574,3360,-290,12,7,1/176.8,1/280.0,1/480.0,5.942425852099211
2022-09-04,アイムジャグラーEX-TP,575,6890,1300,31,19,1/137.8,1/222.3,1/362.6,6.0427830796109925
2022-09-04,アイムジャグラーEX-TP,576,5740,600,25,14,1/147.2,1/229.6,1/410.0,6.124457621394032
2022-09-04,アイムジャグラーEX-TP,589,4810,-170,18,13,1/155.2,1/267.2,1/370.0,6.176099867406454
2022-09-04,アイムジャグラーEX-TP,590,1130,-1110,1,1,1/565.0,1/1130.0,1/1130.0,6.454830183699897
2022-09-04,アイムジャグラーEX-TP,591,4160,-1190,12,10,1/189.1,1/346.7,1/416.0,6.20859475472245
2022-09-04,アイムジャグラーEX-TP,592,1610,-1130,2,5,1/230.0,1/805.0,1/322.0,6.5652478595151145
2022-09-04,アイムジャグラーEX-TP,593,2070,-750,5,6,1/188.2,1/414.0,1/345.0,6.235239313454969
2022-09-04,アイムジャグラーEX-TP,594,3600,240,17,6,1/156.5,1/211.8,1/600.0,6.401135134630542
2022-09-04,マイジャグラーV,527,8210,1990,39,27,1/124.4,1/210.5,1/304.1,6.046127701452524
2022-09-04,マイジャグラーV,528,4640,-650,15,12,1/171.9,1/309.3,1/386.7,5.836561314428828
2022-09-04,マイジャグラーV,529,6760,2140,34,16,1/135.2,1/198.8,1/422.5,5.64045275981054
2022-09-04,マイジャグラーV,530,3840,-1310,10,11,1/182.9,1/384.0,1/349.1,6.184838239501901
2022-09-04,マイジャグラーV,531,5990,-960,18,17,1/171.1,1/332.8,1/352.4,5.792949422051144
2022-09-04,マイジャグラーV,532,6200,-2560,12,17,1/213.8,1/516.7,1/364.7,5.741381330046547
2022-09-04,マイジャグラーV,533,5070,-1020,16,11,1/187.8,1/316.9,1/460.9,5.849406257142755
2022-09-04,マイジャグラーV,534,3350,-1210,10,5,1/223.3,1/335.0,1/670.0,6.092950921848697
2022-09-04,マイジャグラーV,535,6640,410,27,20,1/141.3,1/245.9,1/332.0,6.003637535266285
2022-09-04,マイジャグラーV,536,5500,-1240,20,7,1/203.7,1/275.0,1/785.7,6.088983575658734
2022-09-04,マイジャグラーV,537,4530,-930,13,13,1/174.2,1/348.5,1/348.5,5.8595257286293565
2022-09-04,マイジャグラーV,538,5230,-2180,12,14,1/201.2,1/435.8,1/373.6,6.107875920602809
2022-09-04,マイジャグラーV,539,5060,-30,20,12,1/158.1,1/253.0,1/421.7,5.912525758850334
2022-09-04,マイジャグラーV,540,7910,60,29,24,1/149.2,1/272.8,1/329.6,5.831052998143988
