日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-04,アイムジャグラーEX-TP,495,7490,710,26,30,1/133.8,1/288.1,1/249.7,5.841797570248981
2022-09-04,アイムジャグラーEX-TP,496,3310,680,16,7,1/143.9,1/206.9,1/472.9,6.070624842445736
2022-09-04,アイムジャグラーEX-TP,497,3300,-1770,5,8,1/253.8,1/660.0,1/412.5,5.795566654943816
2022-09-04,アイムジャグラーEX-TP,498,4310,260,19,9,1/153.9,1/226.8,1/478.9,6.239527799485029
2022-09-04,アイムジャグラーEX-TP,499,4810,-1680,12,10,1/218.6,1/400.8,1/481.0,5.907531291800236
2022-09-04,アイムジャグラーEX-TP,541,5290,690,24,8,1/165.3,1/220.4,1/661.2,5.818931569364745
2022-09-04,アイムジャグラーEX-TP,542,5290,1050,22,21,1/123.0,1/240.5,1/251.9,6.135945289638366
2022-09-04,アイムジャグラーEX-TP,543,5580,390,21,19,1/139.5,1/265.7,1/293.7,6.022645145748012
2022-09-04,アイムジャグラーEX-TP,544,1410,-230,5,3,1/176.2,1/282.0,1/470.0,6.2913735897953025
2022-09-04,アイムジャグラーEX-TP,545,5360,750,25,11,1/148.9,1/214.4,1/487.3,6.149614146131812
2022-09-04,アイムジャグラーEX-TP,561,6200,0,24,16,1/155.0,1/258.3,1/387.5,6.107183032275478
2022-09-04,アイムジャグラーEX-TP,562,3910,-530,13,9,1/177.7,1/300.8,1/434.4,5.978329092185375
2022-09-04,アイムジャグラーEX-TP,563,4480,350,20,10,1/149.3,1/224.0,1/448.0,6.288410361447441
2022-09-04,アイムジャグラーEX-TP,564,4090,-1280,11,12,1/177.8,1/371.8,1/340.8,6.348370149094344
2022-09-04,アイムジャグラーEX-TP,565,2750,-240,10,8,1/152.8,1/275.0,1/343.8,6.398362019323053
2022-09-04,アイムジャグラーEX-TP,566,6140,610,26,17,1/142.8,1/236.2,1/361.2,6.153742229459718
2022-09-04,アイムジャグラーEX-TP,567,2030,-800,4,6,1/203.0,1/507.5,1/338.3,5.892620204372324
2022-09-04,アイムジャグラーEX-TP,568,6690,2790,37,16,1/126.2,1/180.8,1/418.1,6.024170430535033
2022-09-04,アイムジャグラーEX-TP,569,390,-460,0,0,1/0.0,1/0.0,1/0.0,5.931053780970746
2022-09-04,アイムジャグラーEX-TP,570,7620,2880,37,30,1/113.7,1/205.9,1/254.0,6.1008511528026625
2022-09-04,アイムジャグラーEX-TP,571,1350,-860,2,3,1/270.0,1/675.0,1/450.0,6.119042573805285
2022-09-04,アイムジャグラーEX-TP,572,4510,-450,18,8,1/173.5,1/250.6,1/563.8,6.365310385095633
2022-09-04,アイムジャグラーEX-TP,573,4290,-1220,10,18,1/153.2,1/429.0,1/238.3,6.356152563070369
2022-09-04,アイムジャグラーEX-TP,574,5310,160,22,15,1/143.5,1/241.4,1/354.0,6.408081471696162
2022-09-04,アイムジャグラーEX-TP,575,2880,-230,10,8,1/160.0,1/288.0,1/360.0,6.099979942079843
2022-09-04,アイムジャグラーEX-TP,626,1420,-1420,1,2,1/473.3,1/1420.0,1/710.0,6.572307766361865
2022-09-04,アイムジャグラーEX-TP,627,5150,1060,26,10,1/143.1,1/198.1,1/515.0,6.246353766793899
2022-09-04,アイムジャグラーEX-TP,628,4790,-800,13,16,1/165.2,1/368.5,1/299.4,5.876937541343304
2022-09-04,アイムジャグラーEX-TP,629,1660,-930,4,1,1/332.0,1/415.0,1/1660.0,6.12896335784488
2022-09-04,アイムジャグラーEX-TP,630,4050,220,18,6,1/168.8,1/225.0,1/675.0,6.038359236155012
2022-09-04,アイムジャグラーEX-TP,631,3730,60,14,10,1/155.4,1/266.4,1/373.0,5.943472951302401
2022-09-04,アイムジャグラーEX-TP,632,4660,620,19,16,1/133.1,1/245.3,1/291.2,6.107249193394237
2022-09-04,アイムジャグラーEX-TP,633,3860,-2140,6,10,1/241.2,1/643.3,1/386.0,5.985290450949769
2022-09-04,アイムジャグラーEX-TP,634,3180,-1430,9,3,1/265.0,1/353.3,1/1060.0,6.261294449775952
2022-09-04,アイムジャグラーEX-TP,635,3090,-650,11,6,1/181.8,1/280.9,1/515.0,6.458930867178356
2022-09-04,アイムジャグラーEX-TP,636,5590,280,22,15,1/151.1,1/254.1,1/372.7,5.997002464295976
2022-09-04,アイムジャグラーEX-TP,637,7570,2410,36,23,1/128.3,1/210.3,1/329.1,5.871840070623421
2022-09-04,アイムジャグラーEX-TP,638,4200,870,20,9,1/144.8,1/210.0,1/466.7,5.992836420179164
2022-09-04,アイムジャグラーEX-TP,639,4940,-1140,17,5,1/224.5,1/290.6,1/988.0,5.985701443632444
2022-09-04,マイジャグラーV,584,5530,-1000,19,10,1/190.7,1/291.1,1/553.0,5.902144288776871
2022-09-04,マイジャグラーV,585,4240,-1630,12,8,1/212.0,1/353.3,1/530.0,6.205127161934354
2022-09-04,マイジャグラーV,586,8390,600,35,31,1/127.1,1/239.7,1/270.6,6.38955330120717
2022-09-04,マイジャグラーV,587,5460,-1570,17,11,1/195.0,1/321.2,1/496.4,6.124772210495071
2022-09-04,マイジャグラーV,588,5990,-720,21,18,1/153.6,1/285.2,1/332.8,6.224084148162972
2022-09-04,マイジャグラーV,589,3870,-1440,12,4,1/241.9,1/322.5,1/967.5,6.069218377005143
2022-09-04,マイジャグラーV,590,6310,-1430,21,10,1/203.5,1/300.5,1/631.0,5.896580220596813
2022-09-04,マイジャグラーV,591,6370,-1140,22,13,1/182.0,1/289.5,1/490.0,6.011045815693432
2022-09-04,マイジャグラーV,592,5900,-1450,14,15,1/203.4,1/421.4,1/393.3,5.424117118640035
2022-09-04,マイジャグラーV,593,5780,0,21,18,1/148.2,1/275.2,1/321.1,5.862281963743763
2022-09-04,マイジャグラーV,594,7450,-1220,21,26,1/158.5,1/354.8,1/286.5,5.882527988767136
2022-09-04,マイジャグラーV,595,8170,2020,39,24,1/129.7,1/209.5,1/340.4,5.9001523252147345
2022-09-04,マイジャグラーV,596,5270,-620,19,9,1/188.2,1/277.4,1/585.6,5.765160166227508
2022-09-04,マイジャグラーV,597,6640,920,28,19,1/141.3,1/237.1,1/349.5,5.765159275765758
2022-09-04,マイジャグラーV,598,3700,-560,13,7,1/185.0,1/284.6,1/528.6,5.889420948550933
2022-09-04,マイジャグラーV,599,7750,1780,39,14,1/146.2,1/198.7,1/553.6,5.779615343294003
2022-09-04,マイジャグラーV,601,6340,50,24,17,1/154.6,1/264.2,1/372.9,5.808314047295297
2022-09-04,マイジャグラーV,602,7710,270,30,24,1/142.8,1/257.0,1/321.2,5.978548004352825
2022-09-04,マイジャグラーV,603,7170,2040,35,22,1/125.8,1/204.9,1/325.9,5.9044844034063555
2022-09-04,マイジャグラーV,604,7150,-420,27,16,1/166.3,1/264.8,1/446.9,5.903273318613335
2022-09-04,マイジャグラーV,605,8300,-480,27,31,1/143.1,1/307.4,1/267.7,5.976114084017863
2022-09-04,マイジャグラーV,606,5920,-1150,20,15,1/169.1,1/296.0,1/394.7,6.217681121077314
2022-09-04,マイジャグラーV,607,4490,-1360,13,5,1/249.4,1/345.4,1/898.0,5.598870512044297
2022-09-04,マイジャグラーV,608,6630,-1570,21,16,1/179.2,1/315.7,1/414.4,6.125302698104606
2022-09-04,マイジャグラーV,609,4500,-920,16,7,1/195.7,1/281.2,1/642.9,6.027490379037058
2022-09-04,マイジャグラーV,610,5350,-510,20,12,1/167.2,1/267.5,1/445.8,6.027884175332279
2022-09-04,マイジャグラーV,611,5050,-890,18,8,1/194.2,1/280.6,1/631.2,5.9231661258234425
2022-09-04,マイジャグラーV,612,5850,-1100,19,13,1/182.8,1/307.9,1/450.0,5.9093889900128165
2022-09-04,マイジャグラーV,613,6770,-140,27,17,1/153.9,1/250.7,1/398.2,6.07673009448182
2022-09-04,マイジャグラーV,614,7620,870,37,10,1/162.1,1/205.9,1/762.0,5.891056848060773
2022-09-04,マイジャグラーV,615,3980,-1090,13,8,1/189.5,1/306.2,1/497.5,6.2318229526572875
2022-09-04,マイジャグラーV,616,7070,-1210,22,17,1/181.3,1/321.4,1/415.9,5.772549447381983
2022-09-04,ファンキージャグラー2,576,3340,-1490,9,1,1/334.0,1/371.1,1/3340.0,5.676220079288637
2022-09-04,ファンキージャグラー2,577,4650,-1260,14,13,1/172.2,1/332.1,1/357.7,6.293665476453317
2022-09-04,ファンキージャグラー2,578,4770,1110,23,16,1/122.3,1/207.4,1/298.1,6.209776199079956
