日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-07,アイムジャグラーEX-TP,16,2540,-370,9,5,1/181.4,1/282.2,1/508.0,6.130762403751254
2022-09-07,アイムジャグラーEX-TP,17,2610,270,12,5,1/153.5,1/217.5,1/522.0,6.181784979754654
2022-09-07,アイムジャグラーEX-TP,18,1240,-810,2,2,1/310.0,1/620.0,1/620.0,6.0779963786905435
2022-09-07,アイムジャグラーEX-TP,19,4100,230,18,10,1/146.4,1/227.8,1/410.0,6.404858944697948
2022-09-07,アイムジャグラーEX-TP,20,3060,-1140,9,2,1/278.2,1/340.0,1/1530.0,5.906040113013814
2022-09-07,アイムジャグラーEX-TP,30,2320,430,11,5,1/145.0,1/210.9,1/464.0,6.0738899180757935
2022-09-07,アイムジャグラーEX-TP,31,4330,-320,14,12,1/166.5,1/309.3,1/360.8,5.805140082856643
2022-09-07,アイムジャグラーEX-TP,32,4790,-920,13,17,1/159.7,1/368.5,1/281.8,6.077568810069122
2022-09-07,アイムジャグラーEX-TP,33,880,-540,2,0,1/440.0,1/440.0,1/0.0,5.95388311580235
2022-09-07,アイムジャグラーEX-TP,34,5630,-170,22,17,1/144.4,1/255.9,1/331.2,6.510842431888695
2022-09-07,アイムジャグラーEX-TP,35,1000,-400,3,0,1/333.3,1/333.3,1/0.0,5.820001891500615
2022-09-07,アイムジャグラーEX-TP,36,3940,-1720,9,10,1/207.4,1/437.8,1/394.0,6.269105157635774
2022-09-07,アイムジャグラーEX-TP,37,1570,-850,3,3,1/261.7,1/523.3,1/523.3,6.038570697239526
2022-09-07,アイムジャグラーEX-TP,38,3620,400,13,14,1/134.1,1/278.5,1/258.6,5.847234851522636
2022-09-07,アイムジャグラーEX-TP,39,4370,-610,19,4,1/190.0,1/230.0,1/1092.5,6.616189330811812
2022-09-07,アイムジャグラーEX-TP,40,7550,760,31,25,1/134.8,1/243.5,1/302.0,6.2404327140840365
2022-09-07,アイムジャグラーEX-TP,41,5670,220,20,19,1/145.4,1/283.5,1/298.4,5.875020289284133
2022-09-07,アイムジャグラーEX-TP,42,3870,-70,14,12,1/148.8,1/276.4,1/322.5,6.125721651956756
2022-09-07,アイムジャグラーEX-TP,43,4900,-940,14,12,1/188.5,1/350.0,1/408.3,5.77466888461092
2022-09-07,アイムジャグラーEX-TP,44,5190,720,22,15,1/140.3,1/235.9,1/346.0,6.029861057013731
2022-09-07,アイムジャグラーEX-TP,45,3410,-1020,10,5,1/227.3,1/341.0,1/682.0,5.9139513146531675
2022-09-07,アイムジャグラーEX-TP,46,680,-430,2,0,1/340.0,1/340.0,1/0.0,6.914454973170899
2022-09-07,アイムジャグラーEX-TP,47,6080,1260,28,14,1/144.8,1/217.1,1/434.3,5.885993532958223
2022-09-07,アイムジャグラーEX-TP,48,930,-940,0,1,1/930.0,1/0.0,1/930.0,5.65311913887799
2022-09-07,アイムジャグラーEX-TP,49,2630,-870,6,6,1/219.2,1/438.3,1/438.3,5.685746417439287
2022-09-07,アイムジャグラーEX-TP,50,2820,-900,9,4,1/216.9,1/313.3,1/705.0,6.288304723219264
2022-09-07,アイムジャグラーEX-TP,51,2060,-1160,4,2,1/343.3,1/515.0,1/1030.0,5.776701329678868
2022-09-07,アイムジャグラーEX-TP,61,2930,-530,10,5,1/195.3,1/293.0,1/586.0,6.026903645340787
2022-09-07,アイムジャグラーEX-TP,62,1960,-660,5,6,1/178.2,1/392.0,1/326.7,6.353947624993253
2022-09-07,アイムジャグラーEX-TP,63,6590,-240,23,19,1/156.9,1/286.5,1/346.8,5.968440084333424
2022-09-07,アイムジャグラーEX-TP,64,1330,40,5,3,1/166.2,1/266.0,1/443.3,5.718383786963117
2022-09-07,アイムジャグラーEX-TP,65,5050,660,24,9,1/153.0,1/210.4,1/561.1,6.176646588488258
2022-09-07,マイジャグラーV,1,4970,-170,18,15,1/150.6,1/276.1,1/331.3,5.959693436127653
2022-09-07,マイジャグラーV,2,7950,1470,33,30,1/126.2,1/240.9,1/265.0,5.869885948392904
2022-09-07,マイジャグラーV,3,2630,-340,9,6,1/175.3,1/292.2,1/438.3,5.859836444277982
2022-09-07,マイジャグラーV,4,6300,-30,27,12,1/161.5,1/233.3,1/525.0,6.065281929106241
2022-09-07,マイジャグラーV,5,5010,-1060,13,16,1/172.8,1/385.4,1/313.1,5.739073783654645
2022-09-07,マイジャグラーV,6,2470,-1100,5,7,1/205.8,1/494.0,1/352.9,6.010812587943496
2022-09-07,マイジャグラーV,7,4640,1710,23,15,1/122.1,1/201.7,1/309.3,5.6931125240009495
2022-09-07,マイジャグラーV,8,3470,200,13,12,1/138.8,1/266.9,1/289.2,5.871790511774559
2022-09-07,マイジャグラーV,9,2390,-1480,4,2,1/398.3,1/597.5,1/1195.0,5.589880468650667
