日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023/9/16,アイムジャグラーEX-TP,25,5450,-1551,17,10,201.9,320.6,545,6.224486387,1,6,-389,5798,252.1,527.1
2023/9/16,アイムジャグラーEX-TP,26,6111,1521,32,11,142.1,191,555.5,6.201059915,1,6,-763,7169,311.7,298.7
2023/9/16,アイムジャグラーEX-TP,27,7963,768,29,35,124.4,274.6,227.5,6.196277079,5,6,1568,8343,260.7,287.7
2023/9/16,アイムジャグラーEX-TP,28,7955,-1377,17,36,150.1,467.9,221,5.766824766,6,6,-1223,4595,328.2,459.5
2023/9/16,アイムジャグラーEX-TP,30,5274,-131,22,14,146.5,239.7,376.7,6.652413633,2,6,1978,6959,198.8,463.9
2023/9/16,アイムジャグラーEX-TP,31,6328,159,23,20,147.2,275.1,316.4,5.973714692,3,6,-475,5288,330.5,293.8
2023/9/16,アイムジャグラーEX-TP,32,8539,1869,35,36,120.3,244,237.2,6.079973936,5,6,3105,6620,183.9,315.2
2023/9/16,マイジャグラーV,56,7789,333,30,24,144.2,259.6,324.5,5.88971538,3,6,503,7594,271.2,292.1
2023/9/16,マイジャグラーV,57,5830,-1522,13,19,182.2,448.5,306.8,5.61184655,3,6,-216,7946,283.8,378.4
2023/9/16,マイジャグラーV,58,6113,-914,22,13,174.7,277.9,470.2,6.072481451,1,6,1626,8826,294.2,196.1
2023/9/16,マイジャグラーV,60,7435,-29,27,25,143,275.4,297.4,5.98120132,3,6,1827,8314,218.8,377.9
2023/9/16,マイジャグラーV,61,6614,72,26,19,147,254.4,348.1,6.027332994,2,6,-964,8115,324.6,300.6
2023/9/16,マイジャグラーV,62,7679,913,35,23,132.4,219.4,333.9,6.281108091,3,6,273,7206,232.5,379.3
2023/9/16,マイジャグラーV,63,5744,-1464,14,17,185.3,410.3,337.9,5.67125599,2,6,-245,7392,295.7,264
2023/9/16,マイジャグラーV,65,8318,884,32,28,138.6,259.9,297.1,5.731636085,3,6,2580,8911,234.5,247.5
2023/9/16,マイジャグラーV,66,8451,4375,44,36,105.6,192.1,234.8,5.727303002,5,6,-1194,6382,319.1,455.9
2023/9/16,マイジャグラーV,67,6952,-73,27,23,139,257.5,302.3,6.271011599,3,6,-302,6487,294.9,282
2023/9/16,ハッピージャグラーVIII,50,8391,2934,36,37,114.9,233.1,226.8,5.798845523,6,6,-642,4146,296.1,460.7
2023/9/16,ハッピージャグラーVIII,51,6593,-711,24,17,160.8,274.7,387.8,6.383989848,1,6,-1310,5342,314.2,445.2
2023/9/16,ハッピージャグラーVIII,52,8459,1986,35,37,117.5,241.7,228.6,6.131677558,1,6,-676,6773,376.3,211.7
2023/9/16,ハッピージャグラーVIII,53,7792,1144,34,20,144.3,229.2,389.6,5.989988601,1,6,676,6452,239,403.2
2023/9/16,ハッピージャグラーVIII,55,8211,3381,38,41,103.9,216.1,200.3,6.130789828,1,6,475,6650,246.3,369.4
2023/9/9,アイムジャグラーEX-TP,25,5798,-389,23,11,170.5,252.1,527.1,6.231310234,1,9,-1174,2927,325.2,731.8
2023/9/9,アイムジャグラーEX-TP,26,7169,-763,23,24,152.5,311.7,298.7,6.168356767,4,9,2565,8286,251.1,212.5
2023/9/9,アイムジャグラーEX-TP,27,8343,1568,32,29,136.8,260.7,287.7,5.627881975,4,9,1318,8482,265.1,235.6
2023/9/9,アイムジャグラーEX-TP,28,4595,-1223,14,10,191.5,328.2,459.5,6.204606451,1,9,-1696,5945,396.3,330.3
2023/9/9,アイムジャグラーEX-TP,30,6959,1978,35,15,139.2,198.8,463.9,5.954174367,1,9,652,7871,281.1,281.1
2023/9/9,アイムジャグラーEX-TP,31,5288,-475,16,18,155.5,330.5,293.8,5.908168514,4,9,-856,6128,306.4,408.5
2023/9/9,アイムジャグラーEX-TP,32,6620,3105,36,21,116.1,183.9,315.2,6.020077869,3,9,-1377,5521,324.8,368.1
2023/9/9,マイジャグラーV,56,7594,503,28,26,140.6,271.2,292.1,5.761571822,3,9,0,6800,283.3,283.3
2023/9/9,マイジャグラーV,57,7946,-216,28,21,162.2,283.8,378.4,5.679598025,2,9,-1319,6822,310.1,426.4
2023/9/9,マイジャグラーV,58,8826,1626,30,45,117.7,294.2,196.1,5.650128117,6,9,-1725,5757,411.2,383.8
2023/9/9,マイジャグラーV,60,8314,1827,38,22,138.6,218.8,377.9,5.695092778,2,9,1376,7013,226.2,318.8
2023/9/9,マイジャグラーV,61,8115,-964,25,27,156.1,324.6,300.6,5.892042239,3,9,1565,8659,240.5,309.2
