日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-16,アイムジャグラーEX-TP,25,5450,-1551,17,10,1/201.9,1/320.6,1/545.0,6.224486387076824
2023-09-16,アイムジャグラーEX-TP,26,6111,1521,32,11,1/142.1,1/191.0,1/555.5,6.201059915481105
2023-09-16,アイムジャグラーEX-TP,27,7963,768,29,35,1/124.4,1/274.6,1/227.5,6.196277079396043
2023-09-16,アイムジャグラーEX-TP,28,7955,-1377,17,36,1/150.1,1/467.9,1/221.0,5.766824765623518
2023-09-16,アイムジャグラーEX-TP,30,5274,-131,22,14,1/146.5,1/239.7,1/376.7,6.652413632902006
2023-09-16,アイムジャグラーEX-TP,31,6328,159,23,20,1/147.2,1/275.1,1/316.4,5.973714692459848
2023-09-16,アイムジャグラーEX-TP,32,8539,1869,35,36,1/120.3,1/244.0,1/237.2,6.079973936499596
2023-09-16,マイジャグラーV,56,7789,333,30,24,1/144.2,1/259.6,1/324.5,5.889715380080828
2023-09-16,マイジャグラーV,57,5830,-1522,13,19,1/182.2,1/448.5,1/306.8,5.611846550312857
2023-09-16,マイジャグラーV,58,6113,-914,22,13,1/174.7,1/277.9,1/470.2,6.072481451014724
2023-09-16,マイジャグラーV,60,7435,-29,27,25,1/143.0,1/275.4,1/297.4,5.981201319558798
2023-09-16,マイジャグラーV,61,6614,72,26,19,1/147.0,1/254.4,1/348.1,6.027332993705786
2023-09-16,マイジャグラーV,62,7679,913,35,23,1/132.4,1/219.4,1/333.9,6.281108090898165
2023-09-16,マイジャグラーV,63,5744,-1464,14,17,1/185.3,1/410.3,1/337.9,5.671255990375215
2023-09-16,マイジャグラーV,65,8318,884,32,28,1/138.6,1/259.9,1/297.1,5.7316360852707104
2023-09-16,マイジャグラーV,66,8451,4375,44,36,1/105.6,1/192.1,1/234.8,5.727303001605652
2023-09-16,マイジャグラーV,67,6952,-73,27,23,1/139.0,1/257.5,1/302.3,6.271011598511977
2023-09-16,ハッピージャグラーVIII,50,8391,2934,36,37,1/114.9,1/233.1,1/226.8,5.798845522834366
2023-09-16,ハッピージャグラーVIII,51,6593,-711,24,17,1/160.8,1/274.7,1/387.8,6.383989848168304
2023-09-16,ハッピージャグラーVIII,52,8459,1986,35,37,1/117.5,1/241.7,1/228.6,6.131677558099098
2023-09-16,ハッピージャグラーVIII,53,7792,1144,34,20,1/144.3,1/229.2,1/389.6,5.9899886011869885
2023-09-16,ハッピージャグラーVIII,55,8211,3381,38,41,1/103.9,1/216.1,1/200.3,6.130789828343206
2023-09-09,アイムジャグラーEX-TP,25,5798,-389,23,11,1/170.5,1/252.1,1/527.1,6.231310233894239
2023-09-09,アイムジャグラーEX-TP,26,7169,-763,23,24,1/152.5,1/311.7,1/298.7,6.168356766879676
2023-09-09,アイムジャグラーEX-TP,27,8343,1568,32,29,1/136.8,1/260.7,1/287.7,5.627881974916672
2023-09-09,アイムジャグラーEX-TP,28,4595,-1223,14,10,1/191.5,1/328.2,1/459.5,6.2046064510623316
2023-09-09,アイムジャグラーEX-TP,30,6959,1978,35,15,1/139.2,1/198.8,1/463.9,5.9541743673503635
2023-09-09,アイムジャグラーEX-TP,31,5288,-475,16,18,1/155.5,1/330.5,1/293.8,5.908168514462757
2023-09-09,アイムジャグラーEX-TP,32,6620,3105,36,21,1/116.1,1/183.9,1/315.2,6.020077869070672
2023-09-09,マイジャグラーV,56,7594,503,28,26,1/140.6,1/271.2,1/292.1,5.7615718223448615
2023-09-09,マイジャグラーV,57,7946,-216,28,21,1/162.2,1/283.8,1/378.4,5.6795980252703835
2023-09-09,マイジャグラーV,58,8826,1626,30,45,1/117.7,1/294.2,1/196.1,5.650128117183197
2023-09-09,マイジャグラーV,60,8314,1827,38,22,1/138.6,1/218.8,1/377.9,5.695092777995069
2023-09-09,マイジャグラーV,61,8115,-964,25,27,1/156.1,1/324.6,1/300.6,5.892042239244877
2023-09-09,マイジャグラーV,62,7206,273,31,19,1/144.1,1/232.5,1/379.3,6.211065570551502
2023-09-09,マイジャグラーV,63,7392,-245,25,28,1/139.5,1/295.7,1/264.0,6.026643094491429
2023-09-09,マイジャグラーV,65,8911,2580,38,36,1/120.4,1/234.5,1/247.5,5.653715704195364
2023-09-09,マイジャグラーV,66,6382,-1194,20,14,1/187.7,1/319.1,1/455.9,5.777302422203518
2023-09-09,マイジャグラーV,67,6487,-302,22,23,1/144.2,1/294.9,1/282.0,5.9930954380781785
2023-09-09,ハッピージャグラーVIII,50,4146,-642,14,9,1/180.3,1/296.1,1/460.7,6.114791944978377
2023-09-09,ハッピージャグラーVIII,51,5342,-1310,17,12,1/184.2,1/314.2,1/445.2,6.362873218411131
2023-09-09,ハッピージャグラーVIII,52,6773,-676,18,32,1/135.5,1/376.3,1/211.7,6.195238344656187
2023-09-09,ハッピージャグラーVIII,53,6452,676,27,16,1/150.0,1/239.0,1/403.2,5.949425548937551
2023-09-09,ハッピージャグラーVIII,55,6650,475,27,18,1/147.8,1/246.3,1/369.4,6.063026989017601
2023-09-02,アイムジャグラーEX-TP,25,2927,-1174,9,4,1/225.2,1/325.2,1/731.8,6.533222126449744
2023-09-02,アイムジャグラーEX-TP,26,8286,2565,33,39,1/115.1,1/251.1,1/212.5,5.759836745956666
2023-09-02,アイムジャグラーEX-TP,27,8482,1318,32,36,1/124.7,1/265.1,1/235.6,6.008034077467288
2023-09-02,アイムジャグラーEX-TP,28,5945,-1696,15,18,1/180.2,1/396.3,1/330.3,6.057354537776216
2023-09-02,アイムジャグラーEX-TP,30,7871,652,28,28,1/140.6,1/281.1,1/281.1,5.803284763872888
2023-09-02,アイムジャグラーEX-TP,31,6128,-856,20,15,1/175.1,1/306.4,1/408.5,5.990374910370433
2023-09-02,アイムジャグラーEX-TP,32,5521,-1377,17,15,1/172.5,1/324.8,1/368.1,6.418037258420938
2023-09-02,マイジャグラーV,56,6800,0,24,24,1/141.7,1/283.3,1/283.3,5.926181565130696
2023-09-02,マイジャグラーV,57,6822,-1319,22,16,1/179.5,1/310.1,1/426.4,5.960176597795998
2023-09-02,マイジャグラーV,58,5757,-1725,14,15,1/198.5,1/411.2,1/383.8,5.710593426441126
2023-09-02,マイジャグラーV,60,7013,1376,31,22,1/132.3,1/226.2,1/318.8,5.837868524776503
2023-09-02,マイジャグラーV,61,8659,1565,36,28,1/135.3,1/240.5,1/309.2,5.679494898361651
2023-09-02,マイジャグラーV,62,8525,5539,44,45,1/95.8,1/193.8,1/189.4,5.545383485526805
2023-09-02,マイジャグラーV,63,8241,2671,41,23,1/128.8,1/201.0,1/358.3,5.720385331604471
2023-09-02,マイジャグラーV,65,6166,-827,21,16,1/166.6,1/293.6,1/385.4,5.995140023114103
2023-09-02,マイジャグラーV,66,6959,2539,37,20,1/122.1,1/188.1,1/347.9,5.927782081757528
2023-09-02,マイジャグラーV,67,7133,449,28,21,1/145.6,1/254.8,1/339.7,5.822844968357817
2023-09-02,ファンキージャグラー2,36,7096,1115,33,16,1/144.8,1/215.0,1/443.5,5.889160049003854
2023-09-02,ファンキージャグラー2,37,7034,942,30,19,1/143.6,1/234.5,1/370.2,5.776448526692536
2023-09-02,ファンキージャグラー2,38,7220,2302,36,23,1/122.4,1/200.6,1/313.9,5.920784495745154
2023-09-02,ハッピージャグラーVIII,50,7325,2592,33,25,1/126.3,1/222.0,1/293.0,5.603581510954117
2023-09-02,ハッピージャグラーVIII,51,6285,-653,21,13,1/184.9,1/299.3,1/483.5,5.807422609134759
2023-09-02,ハッピージャグラーVIII,52,4550,-1522,11,13,1/189.6,1/413.6,1/350.0,6.18777693064165
2023-09-02,ハッピージャグラーVIII,53,7479,942,29,30,1/126.8,1/257.9,1/249.3,6.187470874072401
2023-09-02,ハッピージャグラーVIII,55,5756,-624,18,19,1/155.6,1/319.8,1/302.9,6.123643012251488
2023-08-26,アイムジャグラーEX-TP,25,6400,-595,24,14,1/168.4,1/266.7,1/457.1,6.226628859354562
2023-08-26,アイムジャグラーEX-TP,26,4274,-1203,13,11,1/178.1,1/328.8,1/388.5,6.464689635302565
2023-08-26,アイムジャグラーEX-TP,27,7676,-450,25,26,1/150.5,1/307.0,1/295.2,6.020608001562158
2023-08-26,アイムジャグラーEX-TP,28,7410,362,26,26,1/142.5,1/285.0,1/285.0,5.876375337495066
2023-08-26,アイムジャグラーEX-TP,30,5433,-334,19,16,1/155.2,1/285.9,1/339.6,6.11771572804809
