日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-06-29,アイムジャグラーEX-TP,306,4318,-1125,12,8,1/215.9,1/359.8,1/539.8,5.7427030698538255
2023-06-29,アイムジャグラーEX-TP,307,3304,-75,11,11,1/150.2,1/300.4,1/300.4,5.917078590730967
2023-06-29,アイムジャグラーEX-TP,308,2458,-375,8,8,1/153.6,1/307.2,1/307.2,6.410200908944582
2023-06-29,アイムジャグラーEX-TP,309,2240,-875,6,4,1/224.0,1/373.3,1/560.0,6.179445014112032
2023-06-29,アイムジャグラーEX-TP,310,2162,-175,7,6,1/166.3,1/308.9,1/360.3,5.841313557415884
2023-06-29,アイムジャグラーEX-TP,311,2492,225,11,6,1/146.6,1/226.5,1/415.3,6.248896193421692
2023-06-29,マイジャグラーV,335,1226,-675,2,2,1/306.5,1/613.0,1/613.0,5.577703535025436
2023-06-29,マイジャグラーV,336,4054,925,19,10,1/139.8,1/213.4,1/405.4,5.704316908911996
2023-06-29,マイジャグラーV,337,2153,225,10,3,1/165.6,1/215.3,1/717.7,5.750954507696073
2023-06-29,マイジャグラーV,338,4592,325,18,14,1/143.5,1/255.1,1/328.0,5.82630786591402
2023-06-29,ファンキージャグラー2,331,3138,2580,23,7,1/104.6,1/136.4,1/448.3,5.776930138771969
2023-06-29,ファンキージャグラー2,332,3457,-1575,7,7,1/246.9,1/493.9,1/493.9,5.731557006599436
2023-06-29,ファンキージャグラー2,333,2702,1075,14,10,1/112.6,1/193.0,1/270.2,5.995206164811479
2023-06-29,ファンキージャグラー2,334,2769,125,13,4,1/162.9,1/213.0,1/692.2,6.092877936732372
