日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-18,アイムジャグラーEX-TP,15,1927,-456,5,6,1/175.2,1/385.4,1/321.2,5.955980820072724
2023-09-18,アイムジャグラーEX-TP,16,751,-42,3,1,1/187.8,1/250.3,1/751.0,5.961687702189329
2023-09-18,アイムジャグラーEX-TP,17,3929,-808,10,15,1/157.2,1/392.9,1/261.9,6.062664309351358
2023-09-18,アイムジャグラーEX-TP,18,514,-668,0,0,1/0.0,1/0.0,1/0.0,6.510898281021517
2023-09-18,マイジャグラーV,1,1504,-1161,2,2,1/376.0,1/752.0,1/752.0,6.089324232384808
2023-09-18,マイジャグラーV,2,5365,-1699,11,17,1/191.6,1/487.7,1/315.6,5.627897783031152
2023-09-18,マイジャグラーV,3,2682,-595,8,5,1/206.3,1/335.2,1/536.4,5.6438926881144855
2023-09-18,マイジャグラーV,5,5520,-590,19,12,1/178.1,1/290.5,1/460.0,5.7426903328622485
2023-09-18,マイジャグラーV,6,4437,1138,23,9,1/138.7,1/192.9,1/493.0,5.910127687279706
2023-09-18,マイジャグラーV,7,1561,-455,5,3,1/195.1,1/312.2,1/520.3,6.203191282620718
2023-09-18,マイジャグラーV,8,7423,2235,34,26,1/123.7,1/218.3,1/285.5,5.705542988913932
2023-09-18,マイジャグラーV,37,2793,-641,8,5,1/214.8,1/349.1,1/558.6,5.535460841198942
2023-09-18,マイジャグラーV,38,4407,-841,14,12,1/169.5,1/314.8,1/367.2,6.059246031084286
2023-09-18,マイジャグラーV,50,2981,-275,11,8,1/156.9,1/271.0,1/372.6,6.154703886390195
2023-09-18,マイジャグラーV,51,3529,-737,9,10,1/185.7,1/392.1,1/352.9,5.549297973413166
2023-09-18,マイジャグラーV,52,6470,173,27,16,1/150.5,1/239.6,1/404.4,6.045472488305614
2023-09-18,マイジャグラーV,53,986,-521,2,1,1/328.7,1/493.0,1/986.0,5.632867116937079
2023-09-18,マイジャグラーV,55,7585,2577,34,35,1/109.9,1/223.1,1/216.7,5.889649601324445
2023-09-18,ファンキージャグラー2,23,1451,-1457,0,2,1/725.5,1/0.0,1/725.5,5.741862426104065
2023-09-18,ファンキージャグラー2,25,669,-62,3,0,1/223.0,1/223.0,1/0.0,5.868740873269081
2023-09-18,ファンキージャグラー2,26,518,-475,0,1,1/518.0,1/0.0,1/518.0,5.602902909426318
2023-09-18,ファンキージャグラー2,27,246,-288,0,0,1/0.0,1/0.0,1/0.0,5.891153750132461
2023-09-18,ファンキージャグラー2,28,4137,1054,21,10,1/133.5,1/197.0,1/413.7,5.9756446978728945
2023-09-18,ファンキージャグラー2,30,172,-95,0,1,1/172.0,1/0.0,1/172.0,5.6235246421542024
2023-09-18,ファンキージャグラー2,31,2964,-540,12,2,1/211.7,1/247.0,1/1482.0,6.090045764721436
2023-09-18,ハッピージャグラーVIII,20,1166,-184,3,6,1/129.6,1/388.7,1/194.3,6.593485201202378
2023-09-18,ハッピージャグラーVIII,21,220,-287,0,0,1/0.0,1/0.0,1/0.0,6.804141247786722
2023-09-18,ハッピージャグラーVIII,22,5873,1492,23,28,1/115.2,1/255.3,1/209.8,5.972971186655997
2023-09-17,アイムジャグラーEX-TP,15,992,-150,4,2,1/165.3,1/248.0,1/496.0,6.826117993578219
2023-09-17,アイムジャグラーEX-TP,16,2461,-327,6,10,1/153.8,1/410.2,1/246.1,5.731260385435062
2023-09-17,アイムジャグラーEX-TP,17,1356,-233,5,2,1/193.7,1/271.2,1/678.0,6.20363599863831
2023-09-17,アイムジャグラーEX-TP,18,1408,-750,3,4,1/201.1,1/469.3,1/352.0,6.72427607413266
2023-09-17,マイジャグラーV,1,7285,543,29,22,1/142.8,1/251.2,1/331.1,5.860725676803072
2023-09-17,マイジャグラーV,2,3762,-1620,9,10,1/198.0,1/418.0,1/376.2,6.277711305153076
2023-09-17,マイジャグラーV,3,705,-347,2,0,1/352.5,1/352.5,1/0.0,5.884048870364335
2023-09-17,マイジャグラーV,5,6875,1046,30,19,1/140.3,1/229.2,1/361.8,5.8163244398648235
2023-09-17,マイジャグラーV,6,6851,462,30,15,1/152.2,1/228.4,1/456.7,5.962309542200704
2023-09-17,マイジャグラーV,7,4286,-135,16,11,1/158.7,1/267.9,1/389.6,5.876161628020879
2023-09-17,マイジャグラーV,8,3849,377,17,9,1/148.0,1/226.4,1/427.7,5.930080091882808
2023-09-17,マイジャグラーV,37,3128,-742,9,8,1/184.0,1/347.6,1/391.0,5.876595477824513
2023-09-17,マイジャグラーV,38,4371,-183,17,9,1/168.1,1/257.1,1/485.7,5.873572431773021
2023-09-17,マイジャグラーV,50,7559,1568,30,32,1/121.9,1/252.0,1/236.2,5.775312015142503
2023-09-17,マイジャグラーV,51,1820,-367,6,5,1/165.5,1/303.3,1/364.0,6.257481795068674
2023-09-17,マイジャグラーV,52,5916,1477,26,22,1/123.2,1/227.5,1/268.9,5.820245696123349
2023-09-17,マイジャグラーV,53,2173,-750,6,7,1/167.2,1/362.2,1/310.4,6.568448040430446
2023-09-17,マイジャグラーV,55,3669,-502,12,8,1/183.4,1/305.8,1/458.6,5.699954743501191
2023-09-17,ファンキージャグラー2,23,938,-1051,0,2,1/469.0,1/0.0,1/469.0,6.638237130498153
2023-09-17,ファンキージャグラー2,25,5259,313,23,11,1/154.7,1/228.7,1/478.1,5.958419122865813
2023-09-17,ファンキージャグラー2,26,1628,-852,3,3,1/271.3,1/542.7,1/542.7,5.7597134577933815
2023-09-17,ファンキージャグラー2,27,4069,79,16,10,1/156.5,1/254.3,1/406.9,5.825569054674538
2023-09-17,ファンキージャグラー2,28,693,-457,1,1,1/346.5,1/693.0,1/693.0,5.769656456712851
2023-09-17,ファンキージャグラー2,30,4202,-1156,12,9,1/200.1,1/350.2,1/466.9,5.855071581280729
2023-09-17,ファンキージャグラー2,31,367,-212,1,0,1/367.0,1/367.0,1/0.0,6.1579389697071765
2023-09-17,ハッピージャグラーVIII,20,5623,-69,21,16,1/152.0,1/267.8,1/351.4,6.151383126544401
2023-09-17,ハッピージャグラーVIII,21,1571,-820,2,5,1/224.4,1/785.5,1/314.2,5.932075750266219
2023-09-17,ハッピージャグラーVIII,22,2199,-407,6,8,1/157.1,1/366.5,1/274.9,6.187003445231039
2023-09-16,アイムジャグラーEX-TP,15,948,131,5,1,1/158.0,1/189.6,1/948.0,6.447075292454433
2023-09-16,アイムジャグラーEX-TP,16,1205,-539,3,2,1/241.0,1/401.7,1/602.5,6.166144591229389
