日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-10-02,アイムジャグラーEX-TP,121,4659,-990,14,9,1/202.6,1/332.8,1/517.7,5.810410677058011
2023-10-02,アイムジャグラーEX-TP,122,5731,2121,29,20,1/117.0,1/197.6,1/286.6,6.17934890062741
2023-10-02,アイムジャグラーEX-TP,123,5299,484,20,20,1/132.5,1/264.9,1/264.9,6.098192803612322
2023-10-02,アイムジャグラーEX-TP,124,2024,-831,4,6,1/202.4,1/506.0,1/337.3,5.975305338398015
2023-10-02,アイムジャグラーEX-TP,125,4748,901,19,17,1/131.9,1/249.9,1/279.3,5.832508821976697
2023-10-02,アイムジャグラーEX-TP,126,4955,-760,14,19,1/150.2,1/353.9,1/260.8,6.154729400272857
2023-10-02,アイムジャグラーEX-TP,127,2361,-631,7,5,1/196.8,1/337.3,1/472.2,6.086299551526597
2023-10-02,アイムジャグラーEX-TP,128,6415,374,24,21,1/142.6,1/267.3,1/305.5,5.993280705508638
2023-10-02,アイムジャグラーEX-TP,129,4480,-1138,11,15,1/172.3,1/407.3,1/298.7,5.976945799374476
2023-10-02,アイムジャグラーEX-TP,130,4445,-667,14,14,1/158.8,1/317.5,1/317.5,6.216367633044952
2023-10-02,アイムジャグラーEX-TP,131,3082,-1083,9,5,1/220.1,1/342.4,1/616.4,6.207792499721737
2023-10-02,アイムジャグラーEX-TP,132,7266,-636,27,13,1/181.7,1/269.1,1/558.9,5.984696572424416
2023-10-02,アイムジャグラーEX-TP,145,2458,-25,9,6,1/163.9,1/273.1,1/409.7,5.857854280369632
2023-10-02,アイムジャグラーEX-TP,146,7598,2695,36,26,1/122.5,1/211.1,1/292.2,5.853803965612423
2023-10-02,アイムジャグラーEX-TP,147,2474,-25,9,9,1/137.4,1/274.9,1/274.9,6.360788990826633
2023-10-02,アイムジャグラーEX-TP,148,2991,1050,15,10,1/119.6,1/199.4,1/299.1,6.149646876420409
2023-10-02,アイムジャグラーEX-TP,149,6304,787,18,38,1/112.6,1/350.2,1/165.9,5.875438686684365
2023-10-02,アイムジャグラーEX-TP,150,6413,651,24,23,1/136.4,1/267.2,1/278.8,5.9349637729829805
2023-10-02,アイムジャグラーEX-TP,151,2220,-381,6,7,1/170.8,1/370.0,1/317.1,5.808438483730682
2023-10-02,アイムジャグラーEX-TP,152,5170,684,20,18,1/136.1,1/258.5,1/287.2,5.895168846415799
2023-10-02,アイムジャグラーEX-TP,153,757,-213,3,0,1/252.3,1/252.3,1/0.0,6.393660461831748
2023-10-02,アイムジャグラーEX-TP,154,6515,600,28,14,1/155.1,1/232.7,1/465.4,5.98839217047367
2023-10-02,アイムジャグラーEX-TP,155,3351,-1440,5,14,1/176.4,1/670.2,1/239.4,6.034235888274908
2023-10-02,アイムジャグラーEX-TP,156,5107,-1551,15,8,1/222.0,1/340.5,1/638.4,5.981511799407524
2023-10-02,アイムジャグラーEX-TP,157,7431,1337,29,32,1/121.8,1/256.2,1/232.2,6.07188707378423
2023-10-02,アイムジャグラーEX-TP,158,1345,-1012,2,1,1/448.3,1/672.5,1/1345.0,6.008352279745308
2023-10-02,アイムジャグラーEX-TP,159,5914,471,23,19,1/140.8,1/257.1,1/311.3,6.038556951934129
2023-10-02,アイムジャグラーEX-TP,160,4070,-1197,8,14,1/185.0,1/508.8,1/290.7,5.6628426941607195
2023-10-02,アイムジャグラーEX-TP,161,3324,1161,19,8,1/123.1,1/174.9,1/415.5,6.599517175034979
