日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-07-02,アイムジャグラーEX-TP,1201,5828,246,24,14,1/153.4,1/242.8,1/416.3,6.120603916669807
2023-07-02,アイムジャグラーEX-TP,1202,5725,-1116,16,16,1/178.9,1/357.8,1/357.8,5.860800610956472
2023-07-02,アイムジャグラーEX-TP,1203,6433,1173,23,27,1/128.7,1/279.7,1/238.3,5.663361516091297
2023-07-02,アイムジャグラーEX-TP,1204,5579,-2382,14,10,1/232.5,1/398.5,1/557.9,6.153169743795644
2023-07-02,アイムジャグラーEX-TP,1205,5107,-682,18,13,1/164.7,1/283.7,1/392.8,6.315288093191443
2023-07-02,アイムジャグラーEX-TP,1206,6169,1118,29,13,1/146.9,1/212.7,1/474.5,6.025365764315155
2023-07-02,アイムジャグラーEX-TP,1207,5410,-1000,17,13,1/180.3,1/318.2,1/416.2,6.037347410508042
2023-07-02,アイムジャグラーEX-TP,1208,6993,246,20,35,1/127.1,1/349.6,1/199.8,5.847117224466014
2023-07-02,アイムジャグラーEX-TP,1209,4521,-1667,11,9,1/226.1,1/411.0,1/502.3,5.888123006002316
2023-07-02,アイムジャグラーEX-TP,1210,5033,-1377,17,5,1/228.8,1/296.1,1/1006.6,6.100111988505367
2023-07-02,アイムジャグラーEX-TP,1211,5257,-1725,14,11,1/210.3,1/375.5,1/477.9,6.007031803776815
2023-07-02,アイムジャグラーEX-TP,1212,6372,1460,27,21,1/132.8,1/236.0,1/303.4,5.8016571834640605
2023-07-02,アイムジャグラーEX-TP,1213,4604,1057,21,13,1/135.4,1/219.2,1/354.2,5.957089341305069
2023-07-02,アイムジャグラーEX-TP,1214,4341,-827,14,8,1/197.3,1/310.1,1/542.6,5.917255422903559
2023-07-02,アイムジャグラーEX-TP,1215,5273,-798,18,13,1/170.1,1/292.9,1/405.6,6.228184449271107
2023-07-02,アイムジャグラーEX-TP,1216,5044,-711,13,19,1/157.6,1/388.0,1/265.5,5.79283543399799
