,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
39,2023-09-08,マイジャグラーV,131,5111,188,23,6,176.2,222.2,851.8,5.801947527103129,1,8,1262.0,8007.0,222.4,364.0
40,2023-09-08,マイジャグラーV,132,5982,-112,23,15,157.4,260.1,398.8,5.912432501118841,1,8,-362.0,8506.0,274.4,315.0
41,2023-09-08,マイジャグラーV,133,1591,-362,5,2,227.3,318.2,795.5,5.589017769778777,0,8,162.0,6262.0,240.8,481.7
42,2023-09-08,マイジャグラーV,134,2159,-1238,4,4,269.9,539.8,539.8,5.981822622217631,0,8,3540.0,9141.0,234.4,212.6
43,2023-09-08,マイジャグラーV,135,1704,-338,5,1,284.0,340.8,1704.0,5.08178285523966,0,8,-462.0,4962.0,248.1,496.2
44,2023-09-08,マイジャグラーV,136,5238,1538,23,21,119.0,227.7,249.4,5.748214272324948,5,8,-462.0,5947.0,330.4,313.0
45,2023-09-08,マイジャグラーV,137,5378,-75,20,18,141.5,268.9,298.8,6.115976385678407,1,8,-75.0,5850.0,243.8,417.9
46,2023-09-08,マイジャグラーV,138,2753,-612,10,5,183.5,275.3,550.6,6.318206939459612,0,8,-1738.0,4647.0,422.5,516.3
47,2023-09-08,マイジャグラーV,139,3829,-1362,7,13,191.4,547.0,294.5,5.657506568452486,0,8,-1138.0,3812.0,381.2,381.2
48,2023-09-08,マイジャグラーV,140,3273,-2028,4,10,233.8,818.2,327.3,6.02634150604806,0,8,-1888.0,5539.0,553.9,291.5
49,2023-09-08,マイジャグラーV,141,4068,-1788,9,5,290.6,452.0,813.6,5.537805559193087,1,8,-938.0,4970.0,310.6,497.0
50,2023-09-08,マイジャグラーV,142,8805,-412,27,29,157.2,326.1,303.6,5.569560875982337,3,8,2004.0,9007.0,264.9,230.9
51,2023-09-08,マイジャグラーV,143,7500,1162,32,22,138.9,234.4,340.9,5.775075256449435,2,8,4398.0,8895.0,211.8,206.9
52,2023-09-08,マイジャグラーV,144,1793,-1412,1,5,298.8,1793.0,358.6,5.952508683000026,0,8,2292.0,8922.0,278.8,207.5
53,2023-09-08,マイジャグラーV,145,5783,-1338,15,15,192.8,385.5,385.5,5.588414893164827,2,8,88.0,4046.0,269.7,311.2
54,2023-09-08,マイジャグラーV,146,4768,-262,18,13,153.8,264.9,366.8,6.094442409200062,1,8,-1212.0,2921.0,417.3,365.1
55,2023-09-08,マイジャグラーV,147,4353,-688,14,12,167.4,310.9,362.8,5.968228653026681,1,8,912.0,3156.0,197.2,526.0
56,2023-09-08,マイジャグラーV,148,4727,312,22,8,157.6,214.9,590.9,6.052191370604823,1,8,-862.0,4593.0,328.1,328.1
57,2023-09-08,マイジャグラーV,149,3363,388,13,9,152.9,258.7,373.7,5.456456619296907,0,8,362.0,8017.0,258.6,348.6
58,2023-09-08,マイジャグラーV,150,4979,-25,20,12,155.6,248.9,414.9,5.992920611268214,1,8,-612.0,3260.0,296.4,652.0
59,2023-09-08,マイジャグラーV,1097,6837,338,29,17,148.6,235.8,402.2,6.022638666671924,1,8,-912.0,5966.0,331.4,350.9
60,2023-09-08,マイジャグラーV,1098,2865,-712,9,5,204.6,318.3,573.0,5.864189590682253,0,8,388.0,6157.0,236.8,615.7
61,2023-09-08,マイジャグラーV,1099,6015,212,25,14,154.2,240.6,429.6,5.92728510836933,1,8,-188.0,1884.0,235.5,942.0
62,2023-09-08,マイジャグラーV,1100,2746,-288,9,5,196.1,305.1,549.2,5.449310942717943,0,8,362.0,7367.0,272.9,307.0
63,2023-09-08,マイジャグラーV,1101,6706,-462,22,22,152.4,304.8,304.8,5.863980627754996,3,8,-188.0,4503.0,300.2,300.2
64,2023-09-08,マイジャグラーV,1102,6176,-662,21,16,166.9,294.1,386.0,5.86911618133102,1,8,-1788.0,4951.0,380.8,380.8
65,2023-09-08,マイジャグラーV,1103,9160,4193,50,27,119.0,183.2,339.3,5.707874236836651,2,8,0.0,3707.0,247.1,529.6
66,2023-09-08,マイジャグラーV,1118,6483,488,26,21,137.9,249.3,308.7,5.9801611474707,1,8,-962.0,3184.0,353.8,636.8
67,2023-09-08,マイジャグラーV,1119,1815,-488,4,4,226.9,453.8,453.8,5.247727525265125,0,8,-938.0,6830.0,325.2,262.7
68,2023-09-08,マイジャグラーV,1120,8589,5511,49,35,102.2,175.3,245.4,5.637342376145078,5,8,-1462.0,2298.0,766.0,459.6
69,2023-09-08,マイジャグラーV,1121,3491,-562,13,9,158.7,268.5,387.9,6.48797292831501,0,8,212.0,7242.0,233.6,482.8
70,2023-09-08,マイジャグラーV,1122,8261,-88,26,31,144.9,317.7,266.5,5.675976855580846,5,8,-75.0,3449.0,229.9,689.8
71,2023-09-08,マイジャグラーV,1123,2992,-588,9,6,199.5,332.4,498.7,5.6206320930540725,0,8,1188.0,6634.0,245.7,255.2
72,2023-09-08,マイジャグラーV,1124,7063,4034,43,21,110.4,164.3,336.3,5.874125839521184,2,8,3780.0,8856.0,216.0,246.0
132,2023-08-28,マイジャグラーV,131,8007,1262,36,22,138.1,222.4,364.0,5.922636416147169,1,8,-112.0,7367.0,272.9,350.8
133,2023-08-28,マイジャグラーV,132,8506,-362,31,27,146.7,274.4,315.0,6.0897488841108816,1,8,338.0,4156.0,197.9,1039.0
134,2023-08-28,マイジャグラーV,133,6262,162,26,13,160.6,240.8,481.7,5.859572706006468,1,8,488.0,6937.0,231.2,462.5
135,2023-08-28,マイジャグラーV,134,9141,3540,39,43,111.5,234.4,212.6,5.521146651922288,6,8,-1362.0,2623.0,524.6,655.8
136,2023-08-28,マイジャグラーV,135,4962,-462,20,10,165.4,248.1,496.2,6.244464892067643,1,8,-588.0,5976.0,284.6,426.9
137,2023-08-28,マイジャグラーV,136,5947,-462,18,19,160.7,330.4,313.0,5.616462802560327,3,8,238.0,5092.0,254.6,363.7
138,2023-08-28,マイジャグラーV,137,5850,-75,24,14,153.9,243.8,417.9,6.115168616954658,1,8,-1562.0,3692.0,410.2,615.3
139,2023-08-28,マイジャグラーV,138,4647,-1738,11,9,232.3,422.5,516.3,5.691040684938483,1,8,1262.0,8557.0,244.5,295.1
140,2023-08-28,マイジャグラーV,139,3812,-1138,10,10,190.6,381.2,381.2,5.906208311951668,0,8,-738.0,7077.0,283.1,416.3
141,2023-08-28,マイジャグラーV,140,5539,-1888,10,19,191.0,553.9,291.5,5.590463239962079,3,8,312.0,5456.0,227.3,496.0
142,2023-08-28,マイジャグラーV,141,4970,-938,16,10,191.2,310.6,497.0,5.797410735804426,1,8,-588.0,7017.0,280.7,412.8
143,2023-08-28,マイジャグラーV,142,9007,2004,34,39,123.4,264.9,230.9,5.56535871785078,5,8,-75.0,4180.0,298.6,348.3
144,2023-08-28,マイジャグラーV,143,8895,4398,42,43,104.6,211.8,206.9,5.575572757586966,6,8,838.0,4997.0,208.2,454.3
145,2023-08-28,マイジャグラーV,144,8922,2292,32,43,119.0,278.8,207.5,5.441223214788567,6,8,-1112.0,5595.0,329.1,399.6
146,2023-08-28,マイジャグラーV,145,4046,88,15,13,144.5,269.7,311.2,5.885599874365863,3,8,-75.0,4214.0,280.9,383.1
147,2023-08-28,マイジャグラーV,146,2921,-1212,7,8,194.7,417.3,365.1,6.243240369138479,0,8,-238.0,3239.0,269.9,404.9
148,2023-08-28,マイジャグラーV,147,3156,912,16,6,143.5,197.2,526.0,5.612097527052164,0,8,112.0,6119.0,255.0,339.9
149,2023-08-28,マイジャグラーV,148,4593,-862,14,14,164.0,328.1,328.1,6.045683918314103,1,8,238.0,5466.0,237.7,455.5
150,2023-08-28,マイジャグラーV,149,8017,362,31,23,148.5,258.6,348.6,5.808494818797897,2,8,1062.0,5386.0,215.4,489.6
151,2023-08-28,マイジャグラーV,150,3260,-612,11,5,203.8,296.4,652.0,5.757774574206167,0,8,-1312.0,5643.0,352.7,376.2
152,2023-08-28,マイジャグラーV,1097,5966,-912,18,17,170.5,331.4,350.9,5.778633598644146,2,8,-1012.0,3266.0,326.6,544.3
153,2023-08-28,マイジャグラーV,1098,6157,388,26,10,171.0,236.8,615.7,5.600153490775058,1,8,-362.0,6013.0,286.3,334.1
154,2023-08-28,マイジャグラーV,1099,1884,-188,8,2,188.4,235.5,942.0,6.089651401881227,0,8,-712.0,1644.0,548.0,411.0
