日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-08,アイムジャグラーEX-TP,106,5295,1188,2,23,211.8,2647.5,230.2,3.564995061017465,6,8,688.0,3383.0,225.5,281.9
2023-09-08,アイムジャグラーEX-TP,107,1343,-112,5,2,191.9,268.6,671.5,5.849354852745431,0,8,-1012.0,3031.0,433.0,433.0
2023-09-08,アイムジャグラーEX-TP,108,3987,-938,10,14,166.1,398.7,284.8,6.022190298555031,0,8,-1412.0,4229.0,469.9,325.3
2023-09-08,アイムジャグラーEX-TP,109,5390,-188,15,22,145.7,359.3,245.0,5.692112574779601,6,8,-100.0,3588.0,276.0,326.2
2023-09-08,アイムジャグラーEX-TP,110,4170,1288,15,23,109.7,278.0,181.3,5.681591357877172,6,8,588.0,5678.0,246.9,354.9
2023-09-08,アイムジャグラーEX-TP,111,1709,-1038,3,3,284.8,569.7,569.7,6.094324162272916,0,8,1012.0,5756.0,230.2,442.8
2023-09-08,アイムジャグラーEX-TP,112,5471,-562,17,17,160.9,321.8,321.8,5.930672551709209,3,8,-338.0,2026.0,253.2,1013.0
2023-09-08,アイムジャグラーEX-TP,113,1700,-538,4,6,170.0,425.0,283.3,6.228121433713554,0,8,3276.0,5635.0,170.8,433.5
2023-09-08,アイムジャグラーEX-TP,114,2788,-25,10,9,146.7,278.8,309.8,6.103651251028486,0,8,1452.0,9053.0,266.3,244.7
2023-09-08,アイムジャグラーEX-TP,115,2532,-762,7,6,194.8,361.7,422.0,6.120642948885162,0,8,-1212.0,3053.0,508.8,277.5
2023-09-08,アイムジャグラーEX-TP,116,4459,262,16,13,153.8,278.7,343.0,5.682490782901822,2,8,112.0,9220.0,329.3,224.9
2023-09-08,アイムジャグラーEX-TP,117,3604,-388,13,10,156.7,277.2,360.4,6.399552130788946,0,8,3660.0,7957.0,189.5,331.5
2023-09-08,アイムジャグラーEX-TP,118,2253,-912,5,4,250.3,450.6,563.2,5.727259367596173,0,8,1388.0,9035.0,282.3,258.1
2023-09-08,アイムジャグラーEX-TP,119,5695,1112,23,22,126.6,247.6,258.9,5.966058626294835,4,8,1138.0,5716.0,211.7,439.7
2023-09-08,アイムジャグラーEX-TP,120,2605,-888,7,5,217.1,372.1,521.0,6.017428135045408,0,8,462.0,3077.0,236.7,384.6
2023-09-08,アイムジャグラーEX-TP,121,4392,-962,14,10,183.0,313.7,439.2,6.19422377913993,1,8,-2436.0,3109.0,777.2,621.8
2023-09-08,アイムジャグラーEX-TP,122,5386,-788,17,15,168.3,316.8,359.1,6.043594853200116,2,8,1438.0,6802.0,219.4,323.9
2023-09-08,アイムジャグラーEX-TP,123,3834,-138,14,8,174.3,273.9,479.2,5.8134081573852425,0,8,162.0,4403.0,244.6,629.0
2023-09-08,アイムジャグラーEX-TP,124,1361,-538,4,2,226.8,340.2,680.5,6.376411419370441,0,8,-612.0,9272.0,309.1,370.9
2023-09-08,アイムジャグラーEX-TP,125,3067,-1762,6,6,255.6,511.2,511.2,6.269808055151742,0,8,-562.0,1249.0,416.3,1249.0
2023-09-08,アイムジャグラーEX-TP,126,4873,862,20,16,135.4,243.7,304.6,5.87683428866161,4,8,-100.0,4130.0,275.3,458.9
2023-09-08,アイムジャグラーEX-TP,127,550,-362,1,1,275.0,550.0,550.0,6.450894035268797,0,8,-362.0,3084.0,257.0,1028.0
2023-09-08,アイムジャグラーEX-TP,128,4544,-188,15,15,151.5,302.9,302.9,5.956233272835096,4,8,-162.0,4623.0,256.8,420.3
2023-09-08,アイムジャグラーEX-TP,129,4916,-2724,9,8,289.2,546.2,614.5,5.885688413451269,1,8,-638.0,2452.0,350.3,613.0
2023-09-08,アイムジャグラーEX-TP,130,4012,-1162,11,12,174.4,364.7,334.3,6.324497181586828,2,8,-962.0,3944.0,262.9,788.8
2023-09-08,アイムジャグラーEX-TP,1083,2600,-512,9,3,216.7,288.9,866.7,5.918116036045879,0,8,-412.0,3587.0,358.7,275.9
2023-09-08,アイムジャグラーEX-TP,1084,8337,3060,39,35,112.7,213.8,238.2,6.0599101162033,5,8,638.0,8935.0,297.8,262.8
2023-09-08,アイムジャグラーEX-TP,1085,2978,312,10,13,129.5,297.8,229.1,5.8241030524382245,0,8,612.0,5614.0,255.2,330.2
2023-09-08,アイムジャグラーEX-TP,1086,6367,-1162,18,20,167.6,353.7,318.4,5.986615368509508,3,8,-2076.0,2867.0,955.7,409.6
2023-09-08,アイムジャグラーEX-TP,1087,6036,-188,21,19,150.9,287.4,317.7,6.045870245928693,3,8,-1062.0,2101.0,525.2,525.2
2023-09-08,アイムジャグラーEX-TP,1088,7320,912,30,22,140.8,244.0,332.7,5.98387395018572,2,8,-938.0,2622.0,374.6,655.5
2023-09-08,アイムジャグラーEX-TP,1089,2348,-1338,4,6,234.8,587.0,391.3,6.21576070189598,0,8,-1138.0,2847.0,355.9,949.0
2023-09-08,アイムジャグラーEX-TP,1090,2957,-988,9,2,268.8,328.6,1478.5,5.860533996715922,0,8,-312.0,2263.0,282.9,452.6
2023-09-08,アイムジャグラーEX-TP,1091,4187,-862,13,12,167.5,322.1,348.9,6.302370201466469,2,8,-712.0,4917.0,273.2,327.8
2023-09-08,アイムジャグラーEX-TP,1092,4952,662,21,17,130.3,235.8,291.3,6.301516520013461,4,8,-612.0,3092.0,309.2,343.6
2023-09-08,アイムジャグラーEX-TP,1093,5713,-1688,16,13,197.0,357.1,439.5,6.095457857494895,1,8,288.0,2797.0,199.8,559.4
2023-09-08,アイムジャグラーEX-TP,1094,4837,-3228,7,8,322.5,691.0,604.6,5.970928749019571,1,8,1162.0,8335.0,268.9,297.7
2023-09-08,アイムジャグラーEX-TP,1095,4407,-462,16,11,163.2,275.4,400.6,6.28162970532657,1,8,-288.0,5377.0,298.7,316.3
2023-09-08,アイムジャグラーEX-TP,1096,5753,612,26,11,155.5,221.3,523.0,6.074031580762126,1,8,-588.0,3931.0,302.4,491.4
2023-09-08,マイジャグラーV,131,5111,188,23,6,176.2,222.2,851.8,5.801947527103129,1,8,1262.0,8007.0,222.4,364.0
2023-09-08,マイジャグラーV,132,5982,-112,23,15,157.4,260.1,398.8,5.912432501118841,1,8,-362.0,8506.0,274.4,315.0
2023-09-08,マイジャグラーV,133,1591,-362,5,2,227.3,318.2,795.5,5.589017769778777,0,8,162.0,6262.0,240.8,481.7
2023-09-08,マイジャグラーV,134,2159,-1238,4,4,269.9,539.8,539.8,5.981822622217631,0,8,3540.0,9141.0,234.4,212.6
2023-09-08,マイジャグラーV,135,1704,-338,5,1,284.0,340.8,1704.0,5.08178285523966,0,8,-462.0,4962.0,248.1,496.2
2023-09-08,マイジャグラーV,136,5238,1538,23,21,119.0,227.7,249.4,5.748214272324948,5,8,-462.0,5947.0,330.4,313.0
2023-09-08,マイジャグラーV,137,5378,-75,20,18,141.5,268.9,298.8,6.115976385678407,1,8,-75.0,5850.0,243.8,417.9
2023-09-08,マイジャグラーV,138,2753,-612,10,5,183.5,275.3,550.6,6.318206939459612,0,8,-1738.0,4647.0,422.5,516.3
2023-09-08,マイジャグラーV,139,3829,-1362,7,13,191.4,547.0,294.5,5.657506568452486,0,8,-1138.0,3812.0,381.2,381.2
2023-09-08,マイジャグラーV,140,3273,-2028,4,10,233.8,818.2,327.3,6.02634150604806,0,8,-1888.0,5539.0,553.9,291.5
2023-09-08,マイジャグラーV,141,4068,-1788,9,5,290.6,452.0,813.6,5.537805559193087,1,8,-938.0,4970.0,310.6,497.0
2023-09-08,マイジャグラーV,142,8805,-412,27,29,157.2,326.1,303.6,5.569560875982337,3,8,2004.0,9007.0,264.9,230.9
2023-09-08,マイジャグラーV,143,7500,1162,32,22,138.9,234.4,340.9,5.775075256449435,2,8,4398.0,8895.0,211.8,206.9
2023-09-08,マイジャグラーV,144,1793,-1412,1,5,298.8,1793.0,358.6,5.952508683000026,0,8,2292.0,8922.0,278.8,207.5
