日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-16,アイムジャグラーEX-TP,111,7435,992,30,24,1/137.7,1/247.8,1/309.8,5.967957326737196
2023-09-16,アイムジャグラーEX-TP,112,4432,-350,16,9,1/177.3,1/277.0,1/492.4,5.9308184744941945
2023-09-16,アイムジャグラーEX-TP,113,3711,-517,10,11,1/176.7,1/371.1,1/337.4,5.59586550736096
2023-09-16,アイムジャグラーEX-TP,115,4719,-629,16,14,1/157.3,1/294.9,1/337.1,6.346322318992169
2023-09-16,アイムジャグラーEX-TP,116,5653,1329,32,7,1/144.9,1/176.7,1/807.6,6.540134065459673
2023-09-16,アイムジャグラーEX-TP,117,2011,-1524,4,2,1/335.2,1/502.8,1/1005.5,6.802676445561979
2023-09-16,アイムジャグラーEX-TP,118,4568,-825,12,14,1/175.7,1/380.7,1/326.3,5.731613772244791
2023-09-16,アイムジャグラーEX-TP,120,4185,-769,16,2,1/232.5,1/261.6,1/2092.5,5.976949967430264
2023-09-16,アイムジャグラーEX-TP,121,4716,-1245,12,14,1/181.4,1/393.0,1/336.9,5.960135791002151
2023-09-16,アイムジャグラーEX-TP,122,7363,-322,25,24,1/150.3,1/294.5,1/306.8,6.055864282908068
2023-09-16,アイムジャグラーEX-TP,123,3491,-1301,9,8,1/205.4,1/387.9,1/436.4,6.203306502744425
2023-09-16,アイムジャグラーEX-TP,125,2081,-1329,5,1,1/346.8,1/416.2,1/2081.0,6.450378241377059
2023-09-16,アイムジャグラーEX-TP,126,5817,1469,25,25,1/116.3,1/232.7,1/232.7,6.193455703184647
2023-09-16,アイムジャグラーEX-TP,211,3394,-1133,8,10,1/188.6,1/424.2,1/339.4,6.053123452721592
2023-09-16,アイムジャグラーEX-TP,212,5445,1860,28,18,1/118.4,1/194.5,1/302.5,6.333970918174518
2023-09-16,アイムジャグラーEX-TP,213,4396,-322,15,14,1/151.6,1/293.1,1/314.0,6.180402026716347
2023-09-16,アイムジャグラーEX-TP,215,4268,-741,15,8,1/185.6,1/284.5,1/533.5,6.186493767984481
2023-09-16,アイムジャグラーEX-TP,216,4383,-601,13,14,1/162.3,1/337.2,1/313.1,5.962376465864809
2023-09-16,アイムジャグラーEX-TP,217,4413,-489,15,13,1/157.6,1/294.2,1/339.5,6.235829490801919
2023-09-16,アイムジャグラーEX-TP,218,5925,-1161,17,17,1/174.3,1/348.5,1/348.5,5.978209049646377
2023-09-16,アイムジャグラーEX-TP,220,5452,-461,19,16,1/155.8,1/286.9,1/340.8,6.208108292728886
2023-09-16,ファンキージャグラー2,205,7129,434,30,19,1/145.5,1/237.6,1/375.2,6.019937634028768
2023-09-16,ファンキージャグラー2,206,4009,-1161,14,3,1/235.8,1/286.4,1/1336.3,6.004521401619899
2023-09-16,ファンキージャグラー2,207,5931,-70,22,17,1/152.1,1/269.6,1/348.9,5.897846949007154
2023-09-16,ファンキージャグラー2,208,5341,518,25,13,1/140.6,1/213.6,1/410.8,6.279570788808766
2023-09-16,ファンキージャグラー2,210,4005,1133,19,10,1/138.1,1/210.8,1/400.5,5.560382517525661
2023-09-16,ハッピージャグラーVIII,127,3178,-1273,8,5,1/244.5,1/397.2,1/635.6,6.034234406746988
2023-09-16,ハッピージャグラーVIII,128,2366,-1580,4,4,1/295.8,1/591.5,1/591.5,6.423261000835552
2023-09-16,ハッピージャグラーVIII,130,3388,-1077,10,5,1/225.9,1/338.8,1/677.6,6.0897513959649645
2023-09-16,ハッピージャグラーVIII,131,5480,-1748,13,19,1/171.2,1/421.5,1/288.4,6.344755243540767
2023-09-16,ハッピージャグラーVIII,132,5428,657,22,16,1/142.8,1/246.7,1/339.2,5.935915190338325
