,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
48,2023-09-17,マイジャグラーV,952,6994,2092,28,31,118.5,249.8,225.6,5.518614423943893,6,7,534.0,6361.0,244.7,318.1
49,2023-09-17,マイジャグラーV,953,7720,981,34,25,130.8,227.1,308.8,6.1754185225919125,1,7,1403.0,5910.0,211.1,394.0
50,2023-09-17,マイジャグラーV,954,7539,1528,35,19,139.6,215.4,396.8,5.786897072036276,1,7,1614.0,6123.0,197.5,556.6
51,2023-09-17,マイジャグラーV,955,8015,-1106,27,21,167.0,296.9,381.7,5.983465432345807,1,7,733.0,5549.0,222.0,396.4
52,2023-09-17,マイジャグラーV,956,6670,-857,22,11,202.1,303.2,606.4,5.495147664123022,1,7,-187.0,4277.0,251.6,475.2
53,2023-09-17,マイジャグラーV,957,6724,-1528,19,13,210.1,353.9,517.2,5.543690316828126,1,7,-286.0,4640.0,290.0,356.9
54,2023-09-17,マイジャグラーV,958,6642,-857,23,13,184.5,288.8,510.9,5.769518761569236,1,7,-758.0,3690.0,283.8,615.0
55,2023-09-17,マイジャグラーV,959,7859,1354,36,19,142.9,218.3,413.6,5.811427029339951,1,7,-907.0,3877.0,352.5,352.5
56,2023-09-17,マイジャグラーV,960,8330,5932,50,34,99.2,166.6,245.0,5.64252524714646,5,7,-162.0,6613.0,275.5,389.0
57,2023-09-17,マイジャグラーV,961,6202,-1081,20,16,172.3,310.1,387.6,5.974702121854719,1,7,-87.0,2953.0,246.1,738.2
58,2023-09-17,マイジャグラーV,962,6863,-534,22,20,163.4,312.0,343.1,5.680981364573483,2,7,-187.0,5722.0,260.1,440.2
59,2023-09-17,マイジャグラーV,963,6819,1056,29,17,148.2,235.1,401.1,5.592676907521184,1,7,-410.0,2746.0,249.6,915.3
60,2023-09-17,マイジャグラーV,964,6176,534,26,17,143.6,237.5,363.3,5.936461350555915,1,7,-286.0,7465.0,324.6,276.5
61,2023-09-17,マイジャグラーV,965,8440,4004,36,51,97.0,234.4,165.5,5.678280724241831,6,7,-1454.0,3105.0,443.6,776.2
62,2023-09-17,マイジャグラーV,966,8283,1155,32,32,129.4,258.8,258.8,5.806834936534263,5,7,-50.0,5600.0,254.5,560.0
63,2023-09-17,マイジャグラーV,967,6965,1279,32,18,139.3,217.7,386.9,5.844566348779563,1,7,-187.0,6566.0,262.6,410.4
64,2023-09-17,マイジャグラーV,968,8758,2737,36,34,125.1,243.3,257.6,5.369760501829932,5,7,-957.0,4518.0,322.7,564.8
65,2023-09-17,マイジャグラーV,969,6030,873,29,12,147.1,207.9,502.5,5.991916948751932,1,7,2833.0,7871.0,218.6,253.9
66,2023-09-17,マイジャグラーV,970,6928,-808,22,21,161.1,314.9,329.9,5.858921285485555,3,7,1205.0,7717.0,257.2,275.6
67,2023-09-17,マイジャグラーV,971,7042,-87,30,11,171.8,234.7,640.2,5.925276312654272,1,7,186.0,7134.0,246.0,396.3
68,2023-09-17,マイジャグラーV,972,7224,-882,19,27,157.0,380.2,267.6,5.6212164317027,5,7,-733.0,4361.0,311.5,363.4
69,2023-09-17,マイジャグラーV,973,7530,3024,38,28,114.1,198.2,268.9,5.83698820942916,4,7,-2044.0,3465.0,577.5,1155.0
70,2023-09-17,マイジャグラーV,974,7889,-485,26,26,151.7,303.4,303.4,5.853811735176047,3,7,112.0,4355.0,241.9,544.4
71,2023-09-17,マイジャグラーV,975,6566,-75,28,14,156.3,234.5,469.0,6.173982966948559,1,7,-435.0,7307.0,270.6,304.5
72,2023-09-17,マイジャグラーV,976,8158,1877,36,26,131.6,226.6,313.8,5.709105200685344,3,7,1627.0,6803.0,206.2,358.1
