日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-07-15,アイムジャグラーEX-TP,872,5379,-188,17,23,1/134.5,1/316.4,1/233.9,6.191803208263437
2023-07-15,アイムジャグラーEX-TP,873,5923,862,25,20,1/131.6,1/236.9,1/296.1,6.193185975101133
2023-07-15,アイムジャグラーEX-TP,874,7790,-938,26,24,1/155.8,1/299.6,1/324.6,6.270177354260432
2023-07-15,アイムジャグラーEX-TP,875,1357,-438,4,2,1/226.2,1/339.2,1/678.5,6.039733703378663
2023-07-15,アイムジャグラーEX-TP,876,6503,1428,28,21,1/132.7,1/232.2,1/309.7,5.888788361827188
2023-07-15,アイムジャグラーEX-TP,877,1579,-588,4,3,1/225.6,1/394.8,1/526.3,5.976908239620346
2023-07-15,アイムジャグラーEX-TP,878,5696,-662,15,24,1/146.1,1/379.7,1/237.3,5.9298119515672205
2023-07-15,アイムジャグラーEX-TP,879,6143,912,22,27,1/125.4,1/279.2,1/227.5,5.889586014450798
2023-07-15,アイムジャグラーEX-TP,880,3139,-1188,6,9,1/209.3,1/523.2,1/348.8,5.72856413366618
2023-07-15,アイムジャグラーEX-TP,881,3280,-362,10,10,1/164.0,1/328.0,1/328.0,5.875649053214391
2023-07-15,アイムジャグラーEX-TP,882,5611,-1012,16,17,1/170.0,1/350.7,1/330.1,5.957144719196113
2023-07-15,アイムジャグラーEX-TP,883,3708,-312,13,9,1/168.5,1/285.2,1/412.0,6.005453301429929
2023-07-15,アイムジャグラーEX-TP,884,5885,988,28,9,1/159.1,1/210.2,1/653.9,5.903512529766469
2023-07-15,アイムジャグラーEX-TP,885,3603,562,17,8,1/144.1,1/211.9,1/450.4,6.214363244140461
2023-07-15,アイムジャグラーEX-TP,886,3234,-1462,9,2,1/294.0,1/359.3,1/1617.0,6.069197749832736
2023-07-15,アイムジャグラーEX-TP,1138,2131,-738,6,2,1/266.4,1/355.2,1/1065.5,5.775361370675647
2023-07-15,アイムジャグラーEX-TP,1139,3334,-100,12,10,1/151.5,1/277.8,1/333.4,6.114740033863261
2023-07-15,アイムジャグラーEX-TP,1140,6952,1860,31,25,1/124.1,1/224.3,1/278.1,6.001588038151315
2023-07-15,アイムジャグラーEX-TP,1141,2232,-512,6,5,1/202.9,1/372.0,1/446.4,5.673145532729588
2023-07-15,アイムジャグラーEX-TP,1142,7691,1038,31,26,1/134.9,1/248.1,1/295.8,6.0214957926373796
2023-07-15,アイムジャグラーEX-TP,1143,1853,262,8,4,1/154.4,1/231.6,1/463.2,5.799739290294698
2023-07-15,アイムジャグラーEX-TP,1144,5528,1012,22,20,1/131.6,1/251.3,1/276.4,5.852791164131808
2023-07-15,アイムジャグラーEX-TP,1145,3248,-312,12,7,1/170.9,1/270.7,1/464.0,6.15992473209211
2023-07-15,アイムジャグラーEX-TP,1146,6001,-612,16,25,1/146.4,1/375.1,1/240.0,5.883911398785561
2023-07-15,アイムジャグラーEX-TP,1147,6791,1012,27,19,1/147.6,1/251.5,1/357.4,5.666059711608824
2023-07-15,アイムジャグラーEX-TP,1148,4020,212,16,15,1/129.7,1/251.2,1/268.0,6.5271708505642385
2023-07-15,アイムジャグラーEX-TP,1149,6016,-938,18,22,1/150.4,1/334.2,1/273.5,6.287647498427671
2023-07-15,アイムジャグラーEX-TP,1150,2007,-888,4,4,1/250.9,1/501.8,1/501.8,5.733593096239688
2023-07-15,アイムジャグラーEX-TP,1151,7878,1712,34,26,1/131.3,1/231.7,1/303.0,5.939437997982068
2023-07-15,アイムジャグラーEX-TP,1152,3237,-838,8,10,1/179.8,1/404.6,1/323.7,5.907376497415919
2023-07-15,アイムジャグラーEX-TP,1153,2526,-762,6,5,1/229.6,1/421.0,1/505.2,5.550449332604612
2023-07-15,アイムジャグラーEX-TP,1154,5905,888,27,16,1/137.3,1/218.7,1/369.1,6.29029671398841
2023-07-15,アイムジャグラーEX-TP,1155,2436,-138,8,6,1/174.0,1/304.5,1/406.0,5.665960375399181
2023-07-15,アイムジャグラーEX-TP,1192,5109,-1138,17,8,1/204.4,1/300.5,1/638.6,6.058758142427209
2023-07-15,アイムジャグラーEX-TP,1193,6316,-962,20,14,1/185.8,1/315.8,1/451.1,5.8424888321603
2023-07-15,アイムジャグラーEX-TP,1194,4784,362,19,14,1/145.0,1/251.8,1/341.7,6.02686558480986
2023-07-15,アイムジャグラーEX-TP,1195,6752,638,25,26,1/132.4,1/270.1,1/259.7,6.034318416451139
2023-07-15,アイムジャグラーEX-TP,1196,4566,-1338,13,12,1/182.6,1/351.2,1/380.5,6.301126009561897
2023-07-15,アイムジャグラーEX-TP,1197,2882,-1162,7,5,1/240.2,1/411.7,1/576.4,5.927574013021905
2023-07-15,アイムジャグラーEX-TP,1198,4498,-1338,11,14,1/179.9,1/408.9,1/321.3,6.060837413967066
2023-07-15,アイムジャグラーEX-TP,1199,6569,-512,19,26,1/146.0,1/345.7,1/252.7,5.940573411926875
2023-07-15,アイムジャグラーEX-TP,1200,4645,-1312,11,18,1/160.2,1/422.3,1/258.1,6.241395826031269
2023-07-15,アイムジャグラーEX-TP,1201,1989,-412,7,5,1/165.8,1/284.1,1/397.8,6.680581802431046
2023-07-15,アイムジャグラーEX-TP,1202,6403,-1062,18,24,1/152.5,1/355.7,1/266.8,6.157964612178737
2023-07-15,アイムジャグラーEX-TP,1203,2879,112,10,9,1/151.5,1/287.9,1/319.9,5.727524871115273
2023-07-15,アイムジャグラーEX-TP,1204,6589,-75,22,23,1/146.4,1/299.5,1/286.5,5.945509696888098
2023-07-15,アイムジャグラーEX-TP,1205,2564,-1762,3,7,1/256.4,1/854.7,1/366.3,6.215545719823465
2023-07-15,アイムジャグラーEX-TP,1206,6571,412,25,20,1/146.0,1/262.8,1/328.6,5.9470498609765094
2023-07-15,マイジャグラーV,952,6497,462,28,12,1/162.4,1/232.0,1/541.4,5.736325006939937
