日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-29,アイムジャグラーEX-TP,330,3605,-792,9,11,1/180.2,1/400.6,1/327.7,5.752360941261773
2023-09-29,アイムジャグラーEX-TP,331,8228,3916,46,30,1/108.3,1/178.9,1/274.3,6.388188243044196
2023-09-29,マイジャグラーV,323,3966,-302,12,10,1/180.3,1/330.5,1/396.6,5.367999311634622
2023-09-29,マイジャグラーV,325,7660,1453,33,25,1/132.1,1/232.1,1/306.4,5.80283258909417
2023-09-29,マイジャグラーV,326,1458,388,7,1,1/182.2,1/208.3,1/1458.0,5.054793326948219
2023-09-29,マイジャグラーV,327,8554,2004,38,27,1/131.6,1/225.1,1/316.8,5.708897157212648
2023-09-29,マイジャグラーV,328,1422,-849,3,1,1/355.5,1/474.0,1/1422.0,5.874777809613262
2023-09-29,ファンキージャグラー2,332,5781,-58,23,10,1/175.2,1/251.3,1/578.1,5.705991390896721
2023-09-29,ファンキージャグラー2,333,7821,1742,35,28,1/124.1,1/223.5,1/279.3,5.971247367406466
2023-09-29,ファンキージャグラー2,335,6611,72,25,19,1/150.2,1/264.4,1/347.9,5.877596649307597
2023-09-29,ハッピージャグラーVIII,317,2447,-1396,4,7,1/222.5,1/611.8,1/349.6,6.429756925561932
2023-09-29,ハッピージャグラーVIII,318,4411,-820,13,14,1/163.4,1/339.3,1/315.1,6.229452476354763
2023-09-29,ハッピージャグラーVIII,370,5810,590,19,26,1/129.1,1/305.8,1/223.5,5.8406319242054865
2023-09-29,ゴーゴージャグラー3,320,2762,-389,9,9,1/153.4,1/306.9,1/306.9,6.417680267660486
2023-09-29,ゴーゴージャグラー3,321,8047,982,36,31,1/120.1,1/223.5,1/259.6,6.888762925914092
2023-09-29,ゴーゴージャグラー3,322,2786,158,13,5,1/154.8,1/214.3,1/557.2,6.41655351042307
2023-09-19,アイムジャグラーEX-TP,330,7461,2697,35,30,1/114.8,1/213.2,1/248.7,6.023283295841805
