日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-27,アイムジャグラーEX-TP,449,6850,3000,37,16,1/129.2,1/185.1,1/428.1,5.769185014183983
2022-08-27,アイムジャグラーEX-TP,450,6760,-370,22,21,1/157.2,1/307.3,1/321.9,5.882293309504824
2022-08-27,アイムジャグラーEX-TP,451,7650,-900,25,24,1/156.1,1/306.0,1/318.8,6.19784618768658
2022-08-27,アイムジャグラーEX-TP,452,6270,-270,26,12,1/165.0,1/241.2,1/522.5,6.3436927758694415
2022-08-27,アイムジャグラーEX-TP,453,7540,-290,29,20,1/153.9,1/260.0,1/377.0,6.294950927559766
2022-08-27,アイムジャグラーEX-TP,454,5950,480,25,18,1/138.4,1/238.0,1/330.6,6.323267205596783
2022-08-27,アイムジャグラーEX-TP,455,6630,970,25,26,1/130.0,1/265.2,1/255.0,5.90974166540353
2022-08-27,アイムジャグラーEX-TP,456,5750,-1900,17,13,1/191.7,1/338.2,1/442.3,6.453115311559213
2022-08-27,アイムジャグラーEX-TP,457,6210,60,27,12,1/159.2,1/230.0,1/517.5,6.341493078505386
2022-08-27,アイムジャグラーEX-TP,458,5040,-1380,16,7,1/219.1,1/315.0,1/720.0,6.039560197788407
2022-08-27,アイムジャグラーEX-TP,459,8260,1570,36,29,1/127.1,1/229.4,1/284.8,6.206633636505345
2022-08-27,アイムジャグラーEX-TP,460,6930,1420,37,12,1/141.4,1/187.3,1/577.5,6.520812801908104
2022-08-27,アイムジャグラーEX-TP,461,5260,-2300,13,9,1/239.1,1/404.6,1/584.4,6.1203149192915465
2022-08-27,アイムジャグラーEX-TP,462,7010,2020,36,18,1/129.8,1/194.7,1/389.4,6.242192250794722
2022-08-27,アイムジャグラーEX-TP,463,7460,-780,24,23,1/158.7,1/310.8,1/324.3,6.052420860844905
2022-08-27,アイムジャグラーEX-TP,464,7290,-1220,23,18,1/177.8,1/317.0,1/405.0,6.001109587875652
2022-08-27,アイムジャグラーEX-TP,465,7060,1760,28,31,1/119.7,1/252.1,1/227.7,5.869766102707687
2022-08-27,アイムジャグラーEX-TP,466,7070,1270,33,15,1/147.3,1/214.2,1/471.3,6.000919405360664
2022-08-27,アイムジャグラーEX-TP,467,8840,1060,38,19,1/155.1,1/232.6,1/465.3,5.867370804261556
2022-08-27,アイムジャグラーEX-TP,468,7740,-1730,21,27,1/161.2,1/368.6,1/286.7,6.197455744240769
2022-08-27,アイムジャグラーEX-TP,469,7830,1840,34,25,1/132.7,1/230.3,1/313.2,5.847104053697175
2022-08-27,アイムジャグラーEX-TP,470,7670,2630,39,24,1/121.7,1/196.7,1/319.6,6.1746133148411575
2022-08-27,アイムジャグラーEX-TP,471,5350,-1500,11,21,1/167.2,1/486.4,1/254.8,5.8932776978544075
2022-08-27,アイムジャグラーEX-TP,472,6240,-130,24,17,1/152.2,1/260.0,1/367.1,6.241976521865649
2022-08-27,アイムジャグラーEX-TP,473,6640,2770,36,16,1/127.7,1/184.4,1/415.0,5.909415425318606
2022-08-27,アイムジャグラーEX-TP,474,8860,2210,42,23,1/136.3,1/211.0,1/385.2,5.97253114285698
2022-08-27,アイムジャグラーEX-TP,475,8460,-690,27,26,1/159.6,1/313.3,1/325.4,5.916426696469792
2022-08-27,アイムジャグラーEX-TP,476,7900,430,35,15,1/158.0,1/225.7,1/526.7,6.207502670601228
2022-08-27,アイムジャグラーEX-TP,477,5670,-1270,17,18,1/162.0,1/333.5,1/315.0,6.406938567572381
2022-08-27,アイムジャグラーEX-TP,478,8540,1110,37,27,1/133.4,1/230.8,1/316.3,6.306159153279247
2022-08-27,アイムジャグラーEX-TP,479,7350,2540,35,23,1/126.7,1/210.0,1/319.6,5.799587558582739
2022-08-27,アイムジャグラーEX-TP,480,7240,660,31,15,1/157.4,1/233.5,1/482.7,5.942013986548889
2022-08-27,アイムジャグラーEX-TP,481,6500,120,27,12,1/166.7,1/240.7,1/541.7,6.027357247259581
