日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-24,アイムジャグラーEX-TP,402,747,-293,2,1,1/249.0,1/373.5,1/747.0,5.988545763833399
2023-09-24,アイムジャグラーEX-TP,403,3330,-828,9,12,1/158.6,1/370.0,1/277.5,6.362466263882429
2023-09-24,アイムジャグラーEX-TP,404,5119,-53,17,23,1/128.0,1/301.1,1/222.6,6.371402665479229
2023-09-24,アイムジャグラーEX-TP,405,1862,63,9,3,1/155.2,1/206.9,1/620.7,6.698649419886888
2023-09-24,アイムジャグラーEX-TP,406,3216,-1800,6,7,1/247.4,1/536.0,1/459.4,6.189336062645781
2023-09-24,アイムジャグラーEX-TP,427,3449,419,15,10,1/138.0,1/229.9,1/344.9,6.245464953136106
2023-09-24,アイムジャグラーEX-TP,428,2711,-723,7,8,1/180.7,1/387.3,1/338.9,6.006881790438086
2023-09-24,アイムジャグラーEX-TP,429,2647,-393,8,10,1/147.1,1/330.9,1/264.7,6.345889884354247
2023-09-24,アイムジャグラーEX-TP,430,2039,804,11,6,1/119.9,1/185.4,1/339.8,6.216476491977987
2023-09-24,アイムジャグラーEX-TP,431,627,-196,2,0,1/313.5,1/313.5,1/0.0,5.65656886426021
2023-09-24,アイムジャグラーEX-TP,432,5927,-625,19,19,1/156.0,1/311.9,1/311.9,6.097068080744808
2023-09-24,アイムジャグラーEX-TP,433,201,-278,0,0,1/0.0,1/0.0,1/0.0,6.985463285656098
2023-09-24,アイムジャグラーEX-TP,434,1545,149,9,0,1/171.7,1/171.7,1/0.0,6.889615209416431
2023-09-24,アイムジャグラーEX-TP,435,849,-639,1,2,1/283.0,1/849.0,1/424.5,6.372715589756546
2023-09-24,アイムジャグラーEX-TP,436,3121,857,15,7,1/141.9,1/208.1,1/445.9,5.789833245753061
2023-09-24,マイジャグラーV,442,5838,-278,21,15,1/162.2,1/278.0,1/389.2,5.807341490806185
2023-09-24,マイジャグラーV,443,2374,447,11,6,1/139.6,1/215.8,1/395.7,5.841484729730846
2023-09-24,マイジャグラーV,444,1245,-1002,2,0,1/622.5,1/622.5,1/0.0,5.964036679184855
2023-09-24,マイジャグラーV,445,3342,-1127,8,11,1/175.9,1/417.8,1/303.8,6.120485016571483
2023-09-24,マイジャグラーV,446,461,-120,2,1,1/153.7,1/230.5,1/461.0,7.799937029467159
2023-09-24,マイジャグラーV,491,1491,115,7,1,1/186.4,1/213.0,1/1491.0,5.631674254593876
2023-09-24,マイジャグラーV,492,5299,1818,27,21,1/110.4,1/196.3,1/252.3,6.264261207504291
2023-09-24,マイジャグラーV,493,1723,505,10,1,1/156.6,1/172.3,1/1723.0,5.798044673370556
2023-09-24,マイジャグラーV,494,2488,-668,8,5,1/191.4,1/311.0,1/497.6,6.1475574899166965
2023-09-24,マイジャグラーV,495,4981,-1036,13,18,1/160.7,1/383.2,1/276.7,5.908817319207394
2023-09-24,ファンキージャグラー2,397,3068,-443,13,3,1/191.8,1/236.0,1/1022.7,6.262739689367703
2023-09-24,ファンキージャグラー2,398,1971,-742,5,4,1/219.0,1/394.2,1/492.8,5.917102697118831
2023-09-24,ファンキージャグラー2,399,1553,-773,2,5,1/221.9,1/776.5,1/310.6,5.649015962243985
2023-09-24,ファンキージャグラー2,400,1108,-391,4,0,1/277.0,1/277.0,1/0.0,6.097126454017459
2023-09-24,ファンキージャグラー2,401,3871,1588,23,8,1/124.9,1/168.3,1/483.9,6.058083459724357
2023-09-24,ファンキージャグラー2,447,7964,3428,40,30,1/113.8,1/199.1,1/265.5,5.719689193353252
2023-09-24,ファンキージャグラー2,448,2243,1789,16,5,1/106.8,1/140.2,1/448.6,5.684553951165741
2023-09-24,ファンキージャグラー2,449,1674,56,8,3,1/152.2,1/209.2,1/558.0,6.409821347289692
2023-09-24,ファンキージャグラー2,450,1321,-818,3,2,1/264.2,1/440.3,1/660.5,6.547047580767416
2023-09-24,ファンキージャグラー2,451,4407,648,19,13,1/137.7,1/231.9,1/339.0,5.868194421190654
2023-09-24,ファンキージャグラー2,452,4255,785,19,14,1/128.9,1/223.9,1/303.9,6.008435285365816
2023-09-24,ファンキージャグラー2,453,1446,-118,5,5,1/144.6,1/289.2,1/289.2,6.1993562487292335
2023-09-24,ファンキージャグラー2,454,2791,-1064,5,8,1/214.7,1/558.2,1/348.9,5.533098887018943
2023-09-24,ファンキージャグラー2,455,934,-345,2,3,1/186.8,1/467.0,1/311.3,5.965402898617371
2023-09-24,ファンキージャグラー2,456,3546,-586,12,7,1/186.6,1/295.5,1/506.6,5.857501895201676
2023-09-24,ファンキージャグラー2,488,2525,-96,9,7,1/157.8,1/280.6,1/360.7,5.823058301929897
2023-09-24,ファンキージャグラー2,489,742,-259,2,2,1/185.5,1/371.0,1/371.0,6.2596528465708055
2023-09-24,ファンキージャグラー2,490,747,-178,3,1,1/186.8,1/249.0,1/747.0,6.655241241915236
2023-09-24,ハッピージャグラーVIII,481,3523,511,15,14,1/121.5,1/234.9,1/251.6,6.533455480947655
2023-09-24,ハッピージャグラーVIII,482,843,-293,3,0,1/281.0,1/281.0,1/0.0,6.251431576904149
2023-09-24,ハッピージャグラーVIII,483,3822,1025,17,15,1/119.4,1/224.8,1/254.8,6.122171193895063
2023-09-24,ハッピージャグラーVIII,484,567,-248,2,0,1/283.5,1/283.5,1/0.0,6.681100160384698
2023-09-24,ハッピージャグラーVIII,485,641,-755,0,1,1/641.0,1/0.0,1/641.0,6.937489405379502
2023-09-24,ハッピージャグラーVIII,486,6388,79,21,28,1/130.4,1/304.2,1/228.1,6.224713016904899
2023-09-24,ハッピージャグラーVIII,487,147,-168,0,0,1/0.0,1/0.0,1/0.0,5.981563965349654
2023-09-24,ゴーゴージャグラー3,437,1694,-334,5,4,1/188.2,1/338.8,1/423.5,5.927407972311236
2023-09-24,ゴーゴージャグラー3,438,4159,-872,14,9,1/180.8,1/297.1,1/462.1,6.36605866711852
2023-09-24,ゴーゴージャグラー3,439,883,-408,2,2,1/220.8,1/441.5,1/441.5,6.356491364341145
2023-09-24,ゴーゴージャグラー3,440,5010,-501,17,17,1/147.4,1/294.7,1/294.7,6.440102945238396
2023-09-24,ゴーゴージャグラー3,441,4419,1705,24,13,1/119.4,1/184.1,1/339.9,6.236520241867329
2023-09-23,アイムジャグラーEX-TP,402,3659,3181,26,9,1/104.5,1/140.7,1/406.6,5.805203362905602
2023-09-23,アイムジャグラーEX-TP,403,4013,-129,15,14,1/138.4,1/267.5,1/286.6,6.531976646287214
2023-09-23,アイムジャグラーEX-TP,404,2339,-1674,4,2,1/389.8,1/584.8,1/1169.5,6.146689173517592
2023-09-23,アイムジャグラーEX-TP,405,1475,-424,4,3,1/210.7,1/368.8,1/491.7,5.8574689181850585
2023-09-23,アイムジャグラーEX-TP,406,3879,-370,13,9,1/176.3,1/298.4,1/431.0,5.839830037610674
2023-09-23,アイムジャグラーEX-TP,427,5193,212,21,15,1/144.2,1/247.3,1/346.2,6.259864137924251
2023-09-23,アイムジャグラーEX-TP,428,2637,-850,6,8,1/188.4,1/439.5,1/329.6,5.946421591413952
2023-09-23,アイムジャグラーEX-TP,429,1709,-595,3,7,1/170.9,1/569.7,1/244.1,5.930427102489093
2023-09-23,アイムジャグラーEX-TP,430,4755,-575,15,15,1/158.5,1/317.0,1/317.0,6.086729559885291
2023-09-23,アイムジャグラーEX-TP,431,1672,81,8,2,1/167.2,1/209.0,1/836.0,6.345799464083572
2023-09-23,アイムジャグラーEX-TP,432,2873,309,13,7,1/143.7,1/221.0,1/410.4,6.314522751755164
2023-09-23,アイムジャグラーEX-TP,433,8530,681,42,10,1/164.0,1/203.1,1/853.0,6.352297684903991
2023-09-23,アイムジャグラーEX-TP,434,489,133,3,0,1/163.0,1/163.0,1/0.0,6.354791519303297
2023-09-23,アイムジャグラーEX-TP,435,2873,-611,8,9,1/169.0,1/359.1,1/319.2,6.071407144442241
2023-09-23,アイムジャグラーEX-TP,436,3600,-163,14,7,1/171.4,1/257.1,1/514.3,6.0571619420102465
2023-09-23,マイジャグラーV,442,7355,757,32,21,1/138.8,1/229.8,1/350.2,6.057986492800738
2023-09-23,マイジャグラーV,443,4640,804,23,10,1/140.6,1/201.7,1/464.0,6.0948285707961976
2023-09-23,マイジャグラーV,444,3031,-838,10,7,1/178.3,1/303.1,1/433.0,6.427079944729339
2023-09-23,マイジャグラーV,445,2724,98,11,7,1/151.3,1/247.6,1/389.1,5.901430959437596
2023-09-23,マイジャグラーV,446,3917,-269,15,9,1/163.2,1/261.1,1/435.2,6.0295326919171
2023-09-23,マイジャグラーV,491,5874,117,22,19,1/143.3,1/267.0,1/309.2,5.942274340405841
2023-09-23,マイジャグラーV,492,1569,-1509,1,2,1/523.0,1/1569.0,1/784.5,6.178224743527258
2023-09-23,マイジャグラーV,493,6946,698,20,39,1/117.7,1/347.3,1/178.1,5.684524803341866
2023-09-23,マイジャグラーV,494,4648,622,18,19,1/125.6,1/258.2,1/244.6,5.932682838315961
2023-09-23,マイジャグラーV,495,6217,-1227,18,14,1/194.3,1/345.4,1/444.1,5.610184866047829
2023-09-23,ファンキージャグラー2,397,2521,-226,9,6,1/168.1,1/280.1,1/420.2,5.890010249984615
2023-09-23,ファンキージャグラー2,398,5628,-1531,14,21,1/160.8,1/402.0,1/268.0,6.125069611720867
2023-09-23,ファンキージャグラー2,399,444,-374,1,0,1/444.0,1/444.0,1/0.0,6.971639245932425
2023-09-23,ファンキージャグラー2,400,1457,-892,2,2,1/364.2,1/728.5,1/728.5,5.4895270176237085
2023-09-23,ファンキージャグラー2,401,640,-347,2,0,1/320.0,1/320.0,1/0.0,6.457569229682621
2023-09-23,ファンキージャグラー2,447,937,-786,0,2,1/468.5,1/0.0,1/468.5,5.381609297893109
2023-09-23,ファンキージャグラー2,448,1251,-762,2,3,1/250.2,1/625.5,1/417.0,6.113048518291228
2023-09-23,ファンキージャグラー2,449,3650,-83,13,11,1/152.1,1/280.8,1/331.8,5.853163765308178
2023-09-23,ファンキージャグラー2,450,2035,-227,6,8,1/145.4,1/339.2,1/254.4,5.982205144439205
2023-09-23,ファンキージャグラー2,451,1566,-362,5,3,1/195.8,1/313.2,1/522.0,5.920761048424623
2023-09-23,ファンキージャグラー2,452,1011,64,5,1,1/168.5,1/202.2,1/1011.0,6.085706888188002
2023-09-23,ファンキージャグラー2,453,2488,-216,8,8,1/155.5,1/311.0,1/311.0,5.855141263519717
2023-09-23,ファンキージャグラー2,454,372,-320,1,0,1/372.0,1/372.0,1/0.0,7.802291608551478
2023-09-23,ファンキージャグラー2,455,6621,1014,29,20,1/135.1,1/228.3,1/331.1,5.942598390375737
2023-09-23,ファンキージャグラー2,456,883,-635,1,1,1/441.5,1/883.0,1/883.0,5.591517926933648
2023-09-23,ファンキージャグラー2,488,1876,-491,6,4,1/187.6,1/312.7,1/469.0,6.160056727686582
2023-09-23,ファンキージャグラー2,489,4247,1494,22,12,1/124.9,1/193.0,1/353.9,5.830898886711226
2023-09-23,ファンキージャグラー2,490,512,-458,0,1,1/512.0,1/0.0,1/512.0,5.524352196874102
2023-09-23,ハッピージャグラーVIII,481,7625,1530,33,30,1/121.0,1/231.1,1/254.2,6.313923624813201
2023-09-23,ハッピージャグラーVIII,482,859,-389,2,2,1/214.8,1/429.5,1/429.5,6.41776533074979
2023-09-23,ハッピージャグラーVIII,483,3449,-54,13,10,1/150.0,1/265.3,1/344.9,6.232023107994758
2023-09-23,ハッピージャグラーVIII,484,2280,-385,7,6,1/175.4,1/325.7,1/380.0,6.043769615743489
2023-09-23,ハッピージャグラーVIII,485,1200,133,5,3,1/150.0,1/240.0,1/400.0,5.912203773956741
2023-09-23,ハッピージャグラーVIII,486,3642,-523,10,15,1/145.7,1/364.2,1/242.8,6.228632099953298
2023-09-23,ハッピージャグラーVIII,487,2385,-227,8,8,1/149.1,1/298.1,1/298.1,6.348751071226963
2023-09-23,ゴーゴージャグラー3,437,1120,-301,4,1,1/224.0,1/280.0,1/1120.0,6.299053173569847
2023-09-23,ゴーゴージャグラー3,438,7418,1594,27,43,1/106.0,1/274.7,1/172.5,6.309254648700374
2023-09-23,ゴーゴージャグラー3,439,1960,49,9,3,1/163.3,1/217.8,1/653.3,6.358506205220787
2023-09-23,ゴーゴージャグラー3,440,1749,-790,4,3,1/249.9,1/437.2,1/583.0,6.0778108343928166
2023-09-23,ゴーゴージャグラー3,441,5860,256,24,24,1/122.1,1/244.2,1/244.2,6.954501125804374
2023-09-22,アイムジャグラーEX-TP,402,2682,-521,8,9,1/157.8,1/335.2,1/298.0,6.324158689411724
2023-09-22,アイムジャグラーEX-TP,403,3639,-949,11,8,1/191.5,1/330.8,1/454.9,6.16021839303077
2023-09-22,アイムジャグラーEX-TP,404,4494,146,17,15,1/140.4,1/264.4,1/299.6,6.189794810643516
2023-09-22,アイムジャグラーEX-TP,405,1560,-428,5,2,1/222.9,1/312.0,1/780.0,6.030648451273423
2023-09-22,アイムジャグラーEX-TP,406,5543,-171,18,22,1/138.6,1/307.9,1/252.0,6.137172028331036
2023-09-22,アイムジャグラーEX-TP,427,3188,-512,10,7,1/187.5,1/318.8,1/455.4,5.837445775429689
2023-09-22,アイムジャグラーEX-TP,428,1071,-681,1,4,1/214.2,1/1071.0,1/267.8,6.14378205372006
2023-09-22,アイムジャグラーEX-TP,429,5842,1127,25,15,1/146.1,1/233.7,1/389.5,5.708251779202086
2023-09-22,アイムジャグラーEX-TP,430,2209,58,8,8,1/138.1,1/276.1,1/276.1,6.155220334596551
2023-09-22,アイムジャグラーEX-TP,431,1772,197,7,6,1/136.3,1/253.1,1/295.3,6.040223456907829
2023-09-22,アイムジャグラーEX-TP,432,6520,-566,24,14,1/171.6,1/271.7,1/465.7,6.096914951683351
2023-09-22,アイムジャグラーEX-TP,433,3096,262,15,5,1/154.8,1/206.4,1/619.2,6.44215077612519
2023-09-22,アイムジャグラーEX-TP,434,2095,-35,9,5,1/149.6,1/232.8,1/419.0,6.639384448248138
2023-09-22,アイムジャグラーEX-TP,435,2762,-446,11,3,1/197.3,1/251.1,1/920.7,6.335371249314567
