日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-02,アイムジャグラーEX-TP,579,1740,-920,4,3,1/248.6,1/435.0,1/580.0,6.360443015822333
2022-09-02,アイムジャグラーEX-TP,580,1700,-240,5,2,1/242.9,1/340.0,1/850.0,5.207946407167972
2022-09-02,アイムジャグラーEX-TP,581,360,-450,0,0,1/0.0,1/0.0,1/0.0,6.258213905751298
2022-09-02,アイムジャグラーEX-TP,582,5480,4010,35,17,1/105.4,1/156.6,1/322.4,5.882831600080813
2022-09-02,アイムジャグラーEX-TP,583,920,-60,4,1,1/184.0,1/230.0,1/920.0,6.3132374521832295
2022-09-02,アイムジャグラーEX-TP,584,3110,580,12,10,1/141.4,1/259.2,1/311.0,5.559061994981114
2022-09-02,アイムジャグラーEX-TP,585,3430,-500,11,10,1/163.3,1/311.8,1/343.0,6.158144563610626
2022-09-02,アイムジャグラーEX-TP,586,1110,-500,3,1,1/277.5,1/370.0,1/1110.0,6.0928952450167255
2022-09-02,アイムジャグラーEX-TP,587,2620,-690,8,5,1/201.5,1/327.5,1/524.0,6.078977283998797
2022-09-02,アイムジャグラーEX-TP,588,2140,410,11,2,1/164.6,1/194.5,1/1070.0,5.972742802112285
2022-09-02,アイムジャグラーEX-TP,589,1240,-200,5,1,1/206.7,1/248.0,1/1240.0,6.264141678719245
2022-09-02,アイムジャグラーEX-TP,590,3670,290,15,10,1/146.8,1/244.7,1/367.0,6.056499882706886
2022-09-02,アイムジャグラーEX-TP,591,620,-280,1,2,1/206.7,1/620.0,1/310.0,5.864212273134198
2022-09-02,アイムジャグラーEX-TP,592,1550,-1490,0,4,1/387.5,1/0.0,1/387.5,6.05499498021384
2022-09-02,アイムジャグラーEX-TP,607,3710,1660,19,12,1/119.7,1/195.3,1/309.2,5.793121690767068
2022-09-02,アイムジャグラーEX-TP,608,3710,140,15,10,1/148.4,1/247.3,1/371.0,6.184857385274021
2022-09-02,アイムジャグラーEX-TP,609,890,-160,3,2,1/178.0,1/296.7,1/445.0,6.213159541720144
2022-09-02,アイムジャグラーEX-TP,610,3230,1420,18,9,1/119.6,1/179.4,1/358.9,6.142547611162283
2022-09-02,アイムジャグラーEX-TP,611,1770,-190,6,3,1/196.7,1/295.0,1/590.0,5.682464828512361
2022-09-02,マイジャグラーV,569,3160,-790,9,7,1/197.5,1/351.1,1/451.4,5.763170006128839
2022-09-02,マイジャグラーV,570,3600,-320,14,5,1/189.5,1/257.1,1/720.0,5.801588104165903
2022-09-02,マイジャグラーV,571,3110,-670,10,6,1/194.4,1/311.0,1/518.3,5.873537219517056
2022-09-02,マイジャグラーV,572,4350,30,18,9,1/161.1,1/241.7,1/483.3,5.924356690194705
2022-09-02,マイジャグラーV,573,1730,-160,7,1,1/216.2,1/247.1,1/1730.0,5.65401766774304
2022-09-02,マイジャグラーV,574,2000,-1470,1,5,1/333.3,1/2000.0,1/400.0,5.564133594847613
2022-09-02,マイジャグラーV,575,2490,-910,6,8,1/177.9,1/415.0,1/311.2,6.23763178915101
2022-09-02,マイジャグラーV,576,4690,-650,14,16,1/156.3,1/335.0,1/293.1,5.913610503984461
2022-09-02,マイジャグラーV,577,1820,-860,3,6,1/202.2,1/606.7,1/303.3,5.927579472108336
2022-09-02,マイジャグラーV,578,6030,1180,28,13,1/147.1,1/215.4,1/463.8,5.674061911660854
2022-09-02,ファンキージャグラー2,554,2790,-420,10,4,1/199.3,1/279.0,1/697.5,5.7800279834150485
2022-09-02,ファンキージャグラー2,555,1690,-200,6,4,1/169.0,1/281.7,1/422.5,5.990244585408172
2022-09-02,ファンキージャグラー2,556,1270,-750,2,2,1/317.5,1/635.0,1/635.0,5.668222638412583
2022-09-02,ファンキージャグラー2,557,7440,1580,36,18,1/137.8,1/206.7,1/413.3,5.91295792143634
2022-09-02,ファンキージャグラー2,558,2510,880,12,11,1/109.1,1/209.2,1/228.2,6.069606415646526
2022-09-02,ファンキージャグラー2,559,730,-80,3,0,1/243.3,1/243.3,1/0.0,5.571450513785047
2022-09-02,ファンキージャグラー2,560,3930,170,18,9,1/145.6,1/218.3,1/436.7,6.359170565130831
2022-09-02,ファンキージャグラー2,561,690,-340,2,1,1/230.0,1/345.0,1/690.0,6.642175649447147
2022-09-02,ファンキージャグラー2,562,1380,-100,5,4,1/153.3,1/276.0,1/345.0,6.09151844339633
2022-09-02,ファンキージャグラー2,563,600,-490,1,0,1/600.0,1/600.0,1/0.0,6.091602472175336
2022-09-02,ファンキージャグラー2,564,6650,1980,32,22,1/123.1,1/207.8,1/302.3,5.8821220529269365
2022-09-02,ファンキージャグラー2,565,2370,210,9,8,1/139.4,1/263.3,1/296.2,5.766828508937215
2022-09-02,ファンキージャグラー2,566,7380,1730,31,30,1/121.0,1/238.1,1/246.0,5.835401355821505
2022-09-02,ファンキージャグラー2,567,430,-110,1,0,1/430.0,1/430.0,1/0.0,4.660671922567813
2022-09-02,ファンキージャグラー2,568,3860,380,16,9,1/154.4,1/241.2,1/428.9,5.660309572008742
