日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023/10/3,アイムジャグラーEX-TP,512,1776,,4,4,1/222.0,1/444.0,1/444.0,
2023/10/3,アイムジャグラーEX-TP,513,3151,,17,10,1/116.7,1/185.4,1/315.1,
2023/10/3,アイムジャグラーEX-TP,514,1008,,2,1,1/336.0,1/504.0,1/1008.0,
2023/10/3,アイムジャグラーEX-TP,515,4023,,16,11,1/149.0,1/251.4,1/365.7,
2023/10/3,アイムジャグラーEX-TP,516,3560,,10,14,1/148.3,1/356.0,1/254.3,
2023/10/3,アイムジャグラーEX-TP,517,1577,,7,2,1/175.2,1/225.3,1/788.5,
2023/10/3,アイムジャグラーEX-TP,518,2293,,9,7,1/143.3,1/254.8,1/327.6,
2023/10/3,アイムジャグラーEX-TP,559,2199,,6,4,1/219.9,1/366.5,1/549.8,
2023/10/3,アイムジャグラーEX-TP,560,4389,,11,19,1/146.3,1/399.0,1/231.0,
2023/10/3,アイムジャグラーEX-TP,561,1544,,5,3,1/193.0,1/308.8,1/514.7,
2023/10/3,アイムジャグラーEX-TP,562,6585,,33,13,1/143.2,1/199.5,1/506.5,
2023/10/3,アイムジャグラーEX-TP,563,526,,0,0,1/0.0,1/0.0,1/0.0,
2023/10/3,アイムジャグラーEX-TP,564,4803,,15,15,1/160.1,1/320.2,1/320.2,
2023/10/3,アイムジャグラーEX-TP,565,1817,,7,2,1/201.9,1/259.6,1/908.5,
2023/10/3,マイジャグラーV,499,2566,,12,7,1/135.1,1/213.8,1/366.6,
2023/10/3,マイジャグラーV,500,552,,0,1,1/552.0,1/0.0,1/552.0,
2023/10/3,マイジャグラーV,501,6094,,29,19,1/127.0,1/210.1,1/320.7,
2023/10/3,マイジャグラーV,502,1353,,3,4,1/193.3,1/451.0,1/338.2,
2023/10/3,マイジャグラーV,503,1410,,3,2,1/282.0,1/470.0,1/705.0,
2023/10/3,マイジャグラーV,504,5980,,20,14,1/175.9,1/299.0,1/427.1,
2023/10/3,マイジャグラーV,505,2156,,9,3,1/179.7,1/239.6,1/718.7,
2023/10/3,マイジャグラーV,506,655,,1,0,1/655.0,1/655.0,1/0.0,
2023/10/3,マイジャグラーV,507,3488,,11,9,1/174.4,1/317.1,1/387.6,
2023/10/3,マイジャグラーV,571,1048,,3,0,1/349.3,1/349.3,1/0.0,
2023/10/3,マイジャグラーV,572,2840,,14,3,1/167.1,1/202.9,1/946.7,
2023/10/3,マイジャグラーV,573,1190,,1,1,1/595.0,1/1190.0,1/1190.0,
2023/10/3,マイジャグラーV,574,1661,,3,2,1/332.2,1/553.7,1/830.5,
2023/10/3,マイジャグラーV,575,2243,,8,6,1/160.2,1/280.4,1/373.8,
2023/10/3,マイジャグラーV,576,3389,,10,9,1/178.4,1/338.9,1/376.6,
2023/10/3,マイジャグラーV,577,4436,,17,10,1/164.3,1/260.9,1/443.6,
2023/10/3,マイジャグラーV,578,2086,,6,7,1/160.5,1/347.7,1/298.0,
2023/10/3,ファンキージャグラー2,508,1808,,7,1,1/226.0,1/258.3,1/1808.0,
2023/10/3,ファンキージャグラー2,509,1115,,2,3,1/223.0,1/557.5,1/371.7,
2023/10/3,ファンキージャグラー2,510,708,,1,0,1/708.0,1/708.0,1/0.0,
2023/10/3,ファンキージャグラー2,511,2495,,7,6,1/191.9,1/356.4,1/415.8,
2023/10/3,ゴーゴージャグラー3,566,3421,,13,12,1/136.8,1/263.2,1/285.1,
2023/10/3,ゴーゴージャグラー3,567,1443,,3,3,1/240.5,1/481.0,1/481.0,
2023/10/3,ゴーゴージャグラー3,568,1527,,2,3,1/305.4,1/763.5,1/509.0,
2023/10/3,ゴーゴージャグラー3,569,1016,,3,1,1/254.0,1/338.7,1/1016.0,
2023/10/3,ゴーゴージャグラー3,570,6047,,37,24,1/99.1,1/163.4,1/252.0,
2023/10/2,アイムジャグラーEX-TP,512,3232,,12,7,1/170.1,1/269.3,1/461.7,
2023/10/2,アイムジャグラーEX-TP,513,1626,,6,4,1/162.6,1/271.0,1/406.5,
2023/10/2,アイムジャグラーEX-TP,514,7003,,28,27,1/127.3,1/250.1,1/259.4,
2023/10/2,アイムジャグラーEX-TP,515,241,,1,0,1/241.0,1/241.0,1/0.0,
2023/10/2,アイムジャグラーEX-TP,516,796,,1,1,1/398.0,1/796.0,1/796.0,
2023/10/2,アイムジャグラーEX-TP,517,1349,,4,1,1/269.8,1/337.2,1/1349.0,
2023/10/2,アイムジャグラーEX-TP,518,4795,,18,16,1/141.0,1/266.4,1/299.7,
2023/10/2,アイムジャグラーEX-TP,559,2912,,13,5,1/161.8,1/224.0,1/582.4,
2023/10/2,アイムジャグラーEX-TP,560,4538,,21,18,1/116.4,1/216.1,1/252.1,
2023/10/2,アイムジャグラーEX-TP,561,337,,1,0,1/337.0,1/337.0,1/0.0,
2023/10/2,アイムジャグラーEX-TP,562,768,,3,0,1/256.0,1/256.0,1/0.0,
2023/10/2,アイムジャグラーEX-TP,563,3440,,9,9,1/191.1,1/382.2,1/382.2,
2023/10/2,アイムジャグラーEX-TP,564,1247,,6,1,1/178.1,1/207.8,1/1247.0,
2023/10/2,アイムジャグラーEX-TP,565,1203,,4,1,1/240.6,1/300.8,1/1203.0,
2023/10/2,マイジャグラーV,499,7819,,37,25,1/126.1,1/211.3,1/312.8,
2023/10/2,マイジャグラーV,500,1283,,2,1,1/427.7,1/641.5,1/1283.0,
2023/10/2,マイジャグラーV,501,4442,,14,11,1/177.7,1/317.3,1/403.8,
2023/10/2,マイジャグラーV,502,1423,,5,4,1/158.1,1/284.6,1/355.8,
2023/10/2,マイジャグラーV,503,1192,,4,1,1/238.4,1/298.0,1/1192.0,
2023/10/2,マイジャグラーV,504,4239,,16,9,1/169.6,1/264.9,1/471.0,
2023/10/2,マイジャグラーV,505,549,,3,0,1/183.0,1/183.0,1/0.0,
2023/10/2,マイジャグラーV,506,652,,2,0,1/326.0,1/326.0,1/0.0,
2023/10/2,マイジャグラーV,507,931,,0,2,1/465.5,1/0.0,1/465.5,
2023/10/2,マイジャグラーV,571,338,,1,0,1/338.0,1/338.0,1/0.0,
2023/10/2,マイジャグラーV,572,6021,,27,15,1/143.4,1/223.0,1/401.4,
2023/10/2,マイジャグラーV,573,745,,0,2,1/372.5,1/0.0,1/372.5,
2023/10/2,マイジャグラーV,574,2949,,9,13,1/134.0,1/327.7,1/226.8,
2023/10/2,マイジャグラーV,575,5070,,18,13,1/163.5,1/281.7,1/390.0,
2023/10/2,マイジャグラーV,576,2127,,10,5,1/141.8,1/212.7,1/425.4,
2023/10/2,マイジャグラーV,577,3025,,12,6,1/168.1,1/252.1,1/504.2,
2023/10/2,マイジャグラーV,578,4986,,19,13,1/155.8,1/262.4,1/383.5,
2023/10/2,ファンキージャグラー2,508,2796,,6,6,1/233.0,1/466.0,1/466.0,
2023/10/2,ファンキージャグラー2,509,1119,,4,2,1/186.5,1/279.8,1/559.5,
2023/10/2,ファンキージャグラー2,510,3205,,18,4,1/145.7,1/178.1,1/801.2,
2023/10/2,ファンキージャグラー2,511,591,,2,0,1/295.5,1/295.5,1/0.0,
2023/10/2,ゴーゴージャグラー3,566,6849,,30,32,1/110.5,1/228.3,1/214.0,
2023/10/2,ゴーゴージャグラー3,567,3573,,14,10,1/148.9,1/255.2,1/357.3,
2023/10/2,ゴーゴージャグラー3,568,3774,,16,16,1/117.9,1/235.9,1/235.9,
