日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-10-03,アイムジャグラーEX-TP,492,2533,,10,3,1/194.8,1/253.3,1/844.3,
2023-10-03,アイムジャグラーEX-TP,493,3761,,13,7,1/188.1,1/289.3,1/537.3,
2023-10-03,アイムジャグラーEX-TP,494,2959,,11,6,1/174.1,1/269.0,1/493.2,
2023-10-03,アイムジャグラーEX-TP,495,4731,,14,15,1/163.1,1/337.9,1/315.4,
2023-10-03,アイムジャグラーEX-TP,496,2059,,3,9,1/171.6,1/686.3,1/228.8,
2023-10-03,アイムジャグラーEX-TP,497,4311,,17,9,1/165.8,1/253.6,1/479.0,
2023-10-03,アイムジャグラーEX-TP,498,1855,,10,2,1/154.6,1/185.5,1/927.5,
2023-10-03,アイムジャグラーEX-TP,499,5524,,24,17,1/134.7,1/230.2,1/324.9,
2023-10-03,アイムジャグラーEX-TP,550,802,,2,1,1/267.3,1/401.0,1/802.0,
2023-10-03,アイムジャグラーEX-TP,551,6719,,30,20,1/134.4,1/224.0,1/335.9,
2023-10-03,アイムジャグラーEX-TP,552,1466,,3,4,1/209.4,1/488.7,1/366.5,
2023-10-03,アイムジャグラーEX-TP,553,4854,,21,9,1/161.8,1/231.1,1/539.3,
2023-10-03,アイムジャグラーEX-TP,554,4126,,17,11,1/147.4,1/242.7,1/375.1,
2023-10-03,アイムジャグラーEX-TP,555,4223,,15,8,1/183.6,1/281.5,1/527.9,
2023-10-03,アイムジャグラーEX-TP,556,1356,,1,3,1/339.0,1/1356.0,1/452.0,
2023-10-03,アイムジャグラーEX-TP,557,3414,,10,9,1/179.7,1/341.4,1/379.3,
2023-10-03,マイジャグラーV,483,5227,,19,9,1/186.7,1/275.1,1/580.8,
2023-10-03,マイジャグラーV,484,4721,,20,10,1/157.4,1/236.1,1/472.1,
2023-10-03,マイジャグラーV,485,4967,,15,14,1/171.3,1/331.1,1/354.8,
2023-10-03,マイジャグラーV,486,2782,,8,2,1/278.2,1/347.8,1/1391.0,
2023-10-03,マイジャグラーV,487,6365,,26,21,1/135.4,1/244.8,1/303.1,
2023-10-03,マイジャグラーV,488,3191,,9,8,1/187.7,1/354.6,1/398.9,
2023-10-03,マイジャグラーV,489,6948,,30,23,1/131.1,1/231.6,1/302.1,
2023-10-03,マイジャグラーV,490,7599,,36,25,1/124.6,1/211.1,1/304.0,
2023-10-03,マイジャグラーV,491,2749,,5,6,1/249.9,1/549.8,1/458.2,
2023-10-03,マイジャグラーV,558,5218,,22,10,1/163.1,1/237.2,1/521.8,
2023-10-03,マイジャグラーV,559,6329,,34,7,1/154.4,1/186.1,1/904.1,
2023-10-03,マイジャグラーV,560,4422,,16,12,1/157.9,1/276.4,1/368.5,
2023-10-03,マイジャグラーV,561,1466,,2,3,1/293.2,1/733.0,1/488.7,
2023-10-03,マイジャグラーV,562,7961,,40,18,1/137.3,1/199.0,1/442.3,
2023-10-03,マイジャグラーV,563,8113,,37,22,1/137.5,1/219.3,1/368.8,
2023-10-03,マイジャグラーV,564,2956,,9,7,1/184.8,1/328.4,1/422.3,
2023-10-03,マイジャグラーV,565,2255,,6,6,1/187.9,1/375.8,1/375.8,
2023-10-03,マイジャグラーV,566,7348,,33,31,1/114.8,1/222.7,1/237.0,
2023-10-03,マイジャグラーV,567,6460,,27,14,1/157.6,1/239.3,1/461.4,
2023-10-03,ファンキージャグラー2,500,2286,,8,8,1/142.9,1/285.8,1/285.8,
2023-10-03,ファンキージャグラー2,501,3187,,9,7,1/199.2,1/354.1,1/455.3,
2023-10-03,ファンキージャグラー2,502,4495,,17,13,1/149.8,1/264.4,1/345.8,
2023-10-03,ファンキージャグラー2,503,2047,,4,1,1/409.4,1/511.8,1/2047.0,
2023-10-03,ファンキージャグラー2,504,6794,,28,21,1/138.7,1/242.6,1/323.5,
2023-10-03,ファンキージャグラー2,505,2407,,4,6,1/240.7,1/601.8,1/401.2,
2023-10-03,ファンキージャグラー2,506,3020,,20,5,1/120.8,1/151.0,1/604.0,
2023-10-03,ファンキージャグラー2,507,2723,,6,7,1/209.5,1/453.8,1/389.0,
2023-10-03,ファンキージャグラー2,508,2746,,10,6,1/171.6,1/274.6,1/457.7,
2023-10-03,ファンキージャグラー2,509,4621,,10,15,1/184.8,1/462.1,1/308.1,
2023-10-03,ゴーゴージャグラー3,545,4926,,20,8,1/175.9,1/246.3,1/615.8,
2023-10-03,ゴーゴージャグラー3,546,3262,,8,8,1/203.9,1/407.8,1/407.8,
2023-10-03,ゴーゴージャグラー3,547,6942,,30,23,1/131.0,1/231.4,1/301.8,
2023-10-03,ゴーゴージャグラー3,548,3114,,11,7,1/173.0,1/283.1,1/444.9,
2023-10-03,ゴーゴージャグラー3,549,3067,,8,5,1/235.9,1/383.4,1/613.4,
2023-10-02,アイムジャグラーEX-TP,492,3225,,9,6,1/215.0,1/358.3,1/537.5,
2023-10-02,アイムジャグラーEX-TP,493,2483,,4,6,1/248.3,1/620.8,1/413.8,
2023-10-02,アイムジャグラーEX-TP,494,3935,,13,20,1/119.2,1/302.7,1/196.8,
2023-10-02,アイムジャグラーEX-TP,495,5838,,29,13,1/139.0,1/201.3,1/449.1,
