日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-12,アイムジャグラーEX-TP,837,7444,870,31,23,1/137.9,1/240.1,1/323.7,6.132228811613103
2023-09-12,アイムジャグラーEX-TP,838,4441,-1901,9,13,1/201.9,1/493.4,1/341.6,6.0963293617918755
2023-09-12,アイムジャグラーEX-TP,839,4223,-783,14,10,1/176.0,1/301.6,1/422.3,6.228504065238264
2023-09-12,アイムジャグラーEX-TP,840,5278,320,20,16,1/146.6,1/263.9,1/329.9,5.934110105872708
2023-09-12,アイムジャグラーEX-TP,841,6411,-790,19,20,1/164.4,1/337.4,1/320.6,5.867984409778661
2023-09-12,アイムジャグラーEX-TP,842,3029,-383,11,8,1/159.4,1/275.4,1/378.6,6.46267444927143
2023-09-12,アイムジャグラーEX-TP,843,4601,481,19,16,1/131.5,1/242.2,1/287.6,6.328693524783671
2023-09-12,アイムジャグラーEX-TP,844,6042,630,24,20,1/137.3,1/251.8,1/302.1,6.063898678575914
2023-09-12,アイムジャグラーEX-TP,845,5913,1005,24,22,1/128.5,1/246.4,1/268.8,6.041798949162263
2023-09-12,アイムジャグラーEX-TP,846,6053,491,21,24,1/134.5,1/288.2,1/252.2,5.881930692393419
2023-09-12,アイムジャグラーEX-TP,847,3292,-1417,9,6,1/219.5,1/365.8,1/548.7,6.465234546513385
2023-09-12,アイムジャグラーEX-TP,848,1161,-489,4,0,1/290.2,1/290.2,1/0.0,6.443826813912272
2023-09-12,アイムジャグラーEX-TP,849,8017,208,34,24,1/138.2,1/235.8,1/334.0,6.646877868523279
2023-09-12,アイムジャグラーEX-TP,850,2830,268,14,2,1/176.9,1/202.1,1/1415.0,6.093973813570052
2023-09-12,アイムジャグラーEX-TP,851,7036,-262,26,21,1/149.7,1/270.6,1/335.0,6.258039960360174
2023-09-12,アイムジャグラーEX-TP,852,3051,-234,11,9,1/152.6,1/277.4,1/339.0,6.325111476202655
2023-09-12,アイムジャグラーEX-TP,853,7154,900,28,28,1/127.8,1/255.5,1/255.5,6.163521162950472
2023-09-12,アイムジャグラーEX-TP,854,4870,702,21,11,1/152.2,1/231.9,1/442.7,5.822817985644542
2023-09-12,アイムジャグラーEX-TP,855,5957,-721,21,16,1/161.0,1/283.7,1/372.3,6.320464438379519
2023-09-12,アイムジャグラーEX-TP,856,6438,1363,30,19,1/131.4,1/214.6,1/338.8,6.210483471668364
2023-09-12,アイムジャグラーEX-TP,857,3078,-1158,7,8,1/205.2,1/439.7,1/384.8,6.00084959396883
2023-09-12,アイムジャグラーEX-TP,858,3704,-1043,12,6,1/205.8,1/308.7,1/617.3,6.257553114952163
2023-09-12,アイムジャグラーEX-TP,859,1962,-795,5,4,1/218.0,1/392.4,1/490.5,6.208090052617836
2023-09-12,アイムジャグラーEX-TP,860,8339,326,33,33,1/126.3,1/252.7,1/252.7,6.687812204500994
2023-09-12,アイムジャグラーEX-TP,861,7418,36,25,32,1/130.1,1/296.7,1/231.8,6.271938308883356
2023-09-12,アイムジャグラーEX-TP,862,5452,1233,25,15,1/136.3,1/218.1,1/363.5,5.96874349016123
2023-09-12,アイムジャグラーEX-TP,863,2313,-4,10,1,1/210.3,1/231.3,1/2313.0,5.717721503060193
2023-09-12,アイムジャグラーEX-TP,864,6257,2529,32,23,1/113.8,1/195.5,1/272.0,6.1660900661273494
2023-09-12,アイムジャグラーEX-TP,865,5888,102,24,14,1/154.9,1/245.3,1/420.6,6.177372724352096
2023-09-12,アイムジャグラーEX-TP,866,4882,360,19,19,1/128.5,1/256.9,1/256.9,6.381951454343727
2023-09-12,アイムジャグラーEX-TP,867,4384,-1513,9,14,1/190.6,1/487.1,1/313.1,5.868410976868087
