日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-11,アイムジャグラーEX-TP,530,3527,-303,11,9,1/176.3,1/320.6,1/391.9,5.650676251529464
2023-09-11,アイムジャグラーEX-TP,531,6350,2056,32,17,1/129.6,1/198.4,1/373.5,6.0107090009894
2023-09-11,アイムジャグラーEX-TP,532,373,-275,0,1,1/373.0,1/0.0,1/373.0,5.209375703108601
2023-09-11,アイムジャグラーEX-TP,533,503,-375,1,0,1/503.0,1/503.0,1/0.0,6.23397586249163
2023-09-11,アイムジャグラーEX-TP,535,4821,761,20,19,1/123.6,1/241.1,1/253.7,6.306824128917504
2023-09-11,アイムジャグラーEX-TP,536,2129,-292,8,4,1/177.4,1/266.1,1/532.2,6.308631155641665
2023-09-11,アイムジャグラーEX-TP,537,1062,-731,1,3,1/265.5,1/1062.0,1/354.0,5.995444816841983
2023-09-11,アイムジャグラーEX-TP,538,4510,-703,13,15,1/161.1,1/346.9,1/300.7,6.0086033607677365
2023-09-11,アイムジャグラーEX-TP,551,1493,-636,5,0,1/298.6,1/298.6,1/0.0,6.344647274370553
2023-09-11,アイムジャグラーEX-TP,552,1389,-881,2,3,1/277.8,1/694.5,1/463.0,6.030653171839186
2023-09-11,アイムジャグラーEX-TP,553,1604,-1072,1,4,1/320.8,1/1604.0,1/401.0,5.457696033619406
2023-09-11,アイムジャグラーEX-TP,555,4254,-697,15,11,1/163.6,1/283.6,1/386.7,6.492211650495097
2023-09-11,アイムジャグラーEX-TP,556,290,108,2,0,1/145.0,1/145.0,1/0.0,6.8494606640197855
2023-09-11,アイムジャグラーEX-TP,557,3379,-1294,7,11,1/187.7,1/482.7,1/307.2,6.0845974043925
2023-09-11,アイムジャグラーEX-TP,558,472,203,3,0,1/157.3,1/157.3,1/0.0,5.875972414301369
2023-09-11,アイムジャグラーEX-TP,560,4857,-1439,12,16,1/173.5,1/404.8,1/303.6,6.165612541990779
2023-09-11,アイムジャグラーEX-TP,561,5371,550,22,18,1/134.3,1/244.1,1/298.4,6.238451431210637
2023-09-11,アイムジャグラーEX-TP,562,3137,-603,11,6,1/184.5,1/285.2,1/522.8,6.284857342453381
2023-09-11,アイムジャグラーEX-TP,563,1453,-297,5,2,1/207.6,1/290.6,1/726.5,6.023113251483384
2023-09-11,アイムジャグラーEX-TP,565,2272,547,12,2,1/162.3,1/189.3,1/1136.0,5.8901245994676374
2023-09-11,アイムジャグラーEX-TP,566,374,-403,0,1,1/374.0,1/0.0,1/374.0,6.688399793196109
2023-09-11,アイムジャグラーEX-TP,567,4602,2744,25,22,1/97.9,1/184.1,1/209.2,6.1333640436903964
2023-09-11,アイムジャグラーEX-TP,568,1238,-453,2,2,1/309.5,1/619.0,1/619.0,4.991784120094423
2023-09-11,アイムジャグラーEX-TP,570,633,-619,1,0,1/633.0,1/633.0,1/0.0,6.935308906656769
2023-09-11,アイムジャグラーEX-TP,571,3556,-1250,9,5,1/254.0,1/395.1,1/711.2,5.685954257105611
2023-09-11,アイムジャグラーEX-TP,572,423,-564,0,0,1/0.0,1/0.0,1/0.0,6.69463536552709
2023-09-11,アイムジャグラーEX-TP,573,686,-469,1,0,1/686.0,1/686.0,1/0.0,5.411281449030737
2023-09-11,アイムジャグラーEX-TP,575,3378,2389,22,9,1/109.0,1/153.5,1/375.3,5.945985840843983
2023-09-11,アイムジャグラーEX-TP,576,2254,142,9,3,1/187.8,1/250.4,1/751.3,5.474472587756475
2023-09-11,アイムジャグラーEX-TP,577,1040,-97,4,2,1/173.3,1/260.0,1/520.0,6.223106754404493
2023-09-11,アイムジャグラーEX-TP,578,2537,197,9,9,1/140.9,1/281.9,1/281.9,5.810731222691912
2023-09-11,アイムジャグラーEX-TP,580,1744,-981,3,3,1/290.7,1/581.3,1/581.3,5.840369180988017
2023-09-11,アイムジャグラーEX-TP,601,615,-364,1,1,1/307.5,1/615.0,1/615.0,5.826506530898012
2023-09-11,アイムジャグラーEX-TP,602,757,-497,2,0,1/378.5,1/378.5,1/0.0,6.622645177218311
2023-09-11,アイムジャグラーEX-TP,603,3559,447,16,10,1/136.9,1/222.4,1/355.9,6.365600530825621
2023-09-11,アイムジャグラーEX-TP,605,2108,-497,6,6,1/175.7,1/351.3,1/351.3,6.12412710852418
2023-09-11,アイムジャグラーEX-TP,606,106,-158,0,0,1/0.0,1/0.0,1/0.0,7.708956352761843
2023-09-11,アイムジャグラーEX-TP,607,3868,-117,13,14,1/143.3,1/297.5,1/276.3,6.112042814891521
2023-09-11,アイムジャグラーEX-TP,608,5013,-69,18,16,1/147.4,1/278.5,1/313.3,6.114376380811703
2023-09-11,アイムジャグラーEX-TP,610,1359,-842,2,2,1/339.8,1/679.5,1/679.5,5.719134684401399
2023-09-11,マイジャグラーV,628,4247,-469,13,15,1/151.7,1/326.7,1/283.1,5.920029170257225
2023-09-11,マイジャグラーV,630,712,-403,1,1,1/356.0,1/712.0,1/712.0,5.352189477730795
2023-09-11,マイジャグラーV,631,2428,-1194,6,3,1/269.8,1/404.7,1/809.3,6.015714120579465
2023-09-11,マイジャグラーV,632,1548,-325,4,4,1/193.5,1/387.0,1/387.0,5.493597714024561
2023-09-11,マイジャグラーV,633,1533,481,8,5,1/117.9,1/191.6,1/306.6,6.2252148418644415
2023-09-11,マイジャグラーV,635,3842,-397,14,9,1/167.0,1/274.4,1/426.9,6.004829972954078
2023-09-11,マイジャグラーV,636,3725,214,13,15,1/133.0,1/286.5,1/248.3,5.841734952153888
2023-09-11,マイジャグラーV,637,1117,-519,2,4,1/186.2,1/558.5,1/279.2,6.170835989655176
2023-09-11,マイジャグラーV,638,3021,1039,16,5,1/143.9,1/188.8,1/604.2,5.518461955332136
2023-09-11,マイジャグラーV,650,866,-19,3,4,1/123.7,1/288.7,1/216.5,6.4525203565002585
2023-09-11,マイジャグラーV,651,6346,3056,36,17,1/119.7,1/176.3,1/373.3,5.715512281079797
2023-09-11,マイジャグラーV,652,1603,475,9,4,1/123.3,1/178.1,1/400.8,6.421022853418738
2023-09-11,マイジャグラーV,653,965,653,6,2,1/120.6,1/160.8,1/482.5,5.255413612113511
2023-09-11,マイジャグラーV,655,5337,1117,21,22,1/124.1,1/254.1,1/242.6,5.690759968778711
2023-09-11,マイジャグラーV,656,6819,397,25,26,1/133.7,1/272.8,1/262.3,5.932832099143045
2023-09-11,マイジャグラーV,657,1463,-1072,1,4,1/292.6,1/1463.0,1/365.8,5.823130694073644
2023-09-11,マイジャグラーV,658,5443,-1406,12,18,1/181.4,1/453.6,1/302.4,5.595351065097318
2023-09-11,マイジャグラーV,660,393,-164,1,1,1/196.5,1/393.0,1/393.0,6.338731530707495
2023-09-11,マイジャグラーV,661,4300,336,12,22,1/126.5,1/358.3,1/195.5,5.503314066934697
2023-09-11,マイジャグラーV,662,1624,153,7,4,1/147.6,1/232.0,1/406.0,5.887175614448579
2023-09-11,マイジャグラーV,663,839,-542,1,3,1/209.8,1/839.0,1/279.7,6.355370482638974
2023-09-11,マイジャグラーV,665,3149,-414,13,7,1/157.4,1/242.2,1/449.9,6.668715618422372
2023-09-11,マイジャグラーV,666,1442,-564,3,4,1/206.0,1/480.7,1/360.5,5.807858578401957
2023-09-11,マイジャグラーV,668,5038,397,20,15,1/143.9,1/251.9,1/335.9,5.81414459569302
2023-09-11,マイジャグラーV,670,2553,-431,8,7,1/170.2,1/319.1,1/364.7,5.922243431641521
2023-09-11,マイジャグラーV,671,6495,650,26,19,1/144.3,1/249.8,1/341.8,5.737922477939712
2023-09-11,マイジャグラーV,672,1698,-647,4,4,1/212.2,1/424.5,1/424.5,5.875839310917001
2023-09-11,マイジャグラーV,673,527,231,3,1,1/131.8,1/175.7,1/527.0,5.609446467512956
2023-09-11,マイジャグラーV,675,5798,-194,21,12,1/175.7,1/276.1,1/483.2,5.581196375696405
2023-09-11,マイジャグラーV,676,2065,-631,6,4,1/206.5,1/344.2,1/516.2,5.946629111712018
2023-09-11,マイジャグラーV,677,1826,-764,5,3,1/228.2,1/365.2,1/608.7,6.151390106784309
2023-09-11,ファンキージャグラー2,581,3356,-1750,6,4,1/335.6,1/559.3,1/839.0,5.457113325267451
2023-09-11,ファンキージャグラー2,582,2684,-508,9,5,1/191.7,1/298.2,1/536.8,5.8834960373536225
2023-09-11,ファンキージャグラー2,583,1451,-236,5,2,1/207.3,1/290.2,1/725.5,5.672417775719305
2023-09-11,ファンキージャグラー2,585,2468,-1550,4,3,1/352.6,1/617.0,1/822.7,5.726082584588486
