,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
635,2023-09-03,マイジャグラーV,628,9025,3278,45,31,118.8,200.6,291.1,5.82397405443758,3,3,1372.0,6937.0,216.8,315.3
636,2023-09-03,マイジャグラーV,630,9035,3983,43,44,103.9,210.1,205.3,5.844308266545624,5,3,-147.0,4788.0,281.6,319.2
637,2023-09-03,マイジャグラーV,631,4217,-414,14,13,156.2,301.2,324.4,5.950441783703059,1,3,1539.0,5655.0,226.2,235.6
638,2023-09-03,マイジャグラーV,632,5138,-761,18,12,171.3,285.4,428.2,6.052393187150348,1,3,-1106.0,6022.0,334.6,316.9
639,2023-09-03,マイジャグラーV,633,5373,-1839,10,19,185.3,537.3,282.8,5.68926052371144,4,3,1228.0,4003.0,174.0,1334.3
640,2023-09-03,マイジャグラーV,635,7366,567,29,23,141.7,254.0,320.3,5.847259218001039,3,3,-1228.0,2224.0,556.0,370.7
641,2023-09-03,マイジャグラーV,636,5751,75,22,18,143.8,261.4,319.5,6.014056303684526,1,3,-225.0,3347.0,278.9,478.1
642,2023-09-03,マイジャグラーV,637,5930,583,28,8,164.7,211.8,741.2,5.83658336744261,1,3,-803.0,3785.0,291.2,540.7
643,2023-09-03,マイジャグラーV,638,6219,86,24,18,148.1,259.1,345.5,5.94631246439923,1,3,1083.0,7559.0,236.2,315.0
644,2023-09-03,マイジャグラーV,650,6459,53,25,17,153.8,258.4,379.9,5.87369157572231,2,3,-786.0,1036.0,1036.0,518.0
645,2023-09-03,マイジャグラーV,651,4943,117,22,10,154.5,224.7,494.3,6.169678846513573,1,3,-653.0,3025.0,302.5,1008.3
646,2023-09-03,マイジャグラーV,652,8321,3056,43,27,118.9,193.5,308.2,5.915556972247285,1,3,942.0,2872.0,191.5,410.3
647,2023-09-03,マイジャグラーV,653,5421,-2122,12,11,235.7,451.8,492.8,5.648895414237826,1,3,108.0,4089.0,272.6,340.8
648,2023-09-03,マイジャグラーV,655,4662,-481,16,11,172.7,291.4,423.8,5.79078204446299,1,3,-2033.0,3360.0,672.0,480.0
