日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-11,アイムジャグラーEX-TP,530,3527,-303,11,9,176.3,320.6,391.9,5.650676251529464,0,1,-1967.0,2575.0,643.8,858.3
2023-09-11,アイムジャグラーEX-TP,531,6350,2056,32,17,129.6,198.4,373.5,6.0107090009894,2,1,-1339.0,4818.0,321.2,481.8
2023-09-11,アイムジャグラーEX-TP,532,373,-275,0,1,373.0,0.0,373.0,5.209375703108601,0,1,-553.0,925.0,462.5,0.0
2023-09-11,アイムジャグラーEX-TP,533,503,-375,1,0,503.0,503.0,0.0,6.23397586249163,0,1,3389.0,7848.0,206.5,218.0
2023-09-11,アイムジャグラーEX-TP,535,4821,761,20,19,123.6,241.1,253.7,6.306824128917504,5,1,264.0,2222.0,222.2,444.4
2023-09-11,アイムジャグラーEX-TP,536,2129,-292,8,4,177.4,266.1,532.2,6.308631155641665,0,1,-964.0,4022.0,402.2,287.3
2023-09-11,アイムジャグラーEX-TP,537,1062,-731,1,3,265.5,1062.0,354.0,5.995444816841983,0,1,428.0,3363.0,240.2,373.7
2023-09-11,アイムジャグラーEX-TP,538,4510,-703,13,15,161.1,346.9,300.7,6.0086033607677365,4,1,675.0,8372.0,261.6,310.1
2023-09-11,アイムジャグラーEX-TP,551,1493,-636,5,0,298.6,298.6,0.0,6.344647274370553,0,1,1372.0,4895.0,212.8,349.6
2023-09-11,アイムジャグラーEX-TP,552,1389,-881,2,3,277.8,694.5,463.0,6.030653171839186,0,1,172.0,4123.0,257.7,317.2
2023-09-11,アイムジャグラーEX-TP,553,1604,-1072,1,4,320.8,1604.0,401.0,5.457696033619406,0,1,14.0,2833.0,257.5,404.7
2023-09-11,アイムジャグラーEX-TP,555,4254,-697,15,11,163.6,283.6,386.7,6.492211650495097,2,1,1150.0,4641.0,257.8,232.1
2023-09-11,アイムジャグラーEX-TP,556,290,108,2,0,145.0,145.0,0.0,6.8494606640197855,0,1,-303.0,3971.0,248.2,661.8
2023-09-11,アイムジャグラーEX-TP,557,3379,-1294,7,11,187.7,482.7,307.2,6.0845974043925,0,1,269.0,2883.0,221.8,480.5
2023-09-11,アイムジャグラーEX-TP,558,472,203,3,0,157.3,157.3,0.0,5.875972414301369,0,1,828.0,6443.0,247.8,292.9
2023-09-11,アイムジャグラーEX-TP,560,4857,-1439,12,16,173.5,404.8,303.6,6.165612541990779,4,1,-1339.0,3658.0,406.4,522.6
2023-09-11,アイムジャグラーEX-TP,561,5371,550,22,18,134.3,244.1,298.4,6.238451431210637,4,1,-1589.0,3723.0,372.3,620.5
2023-09-11,アイムジャグラーEX-TP,562,3137,-603,11,6,184.5,285.2,522.8,6.284857342453381,0,1,-69.0,3552.0,253.7,507.4
2023-09-11,アイムジャグラーEX-TP,563,1453,-297,5,2,207.6,290.6,726.5,6.023113251483384,0,1,-331.0,3150.0,315.0,315.0
2023-09-11,アイムジャグラーEX-TP,565,2272,547,12,2,162.3,189.3,1136.0,5.890124599467637,0,1,1500.0,4890.0,203.8,349.3
2023-09-11,アイムジャグラーEX-TP,566,374,-403,0,1,374.0,0.0,374.0,6.688399793196109,0,1,794.0,2628.0,175.2,438.0
2023-09-11,アイムジャグラーEX-TP,567,4602,2744,25,22,97.9,184.1,209.2,6.1333640436903964,5,1,-1083.0,1516.0,758.0,0.0
2023-09-11,アイムジャグラーEX-TP,568,1238,-453,2,2,309.5,619.0,619.0,4.991784120094423,0,1,86.0,4836.0,268.7,302.2
2023-09-11,アイムジャグラーEX-TP,570,633,-619,1,0,633.0,633.0,0.0,6.935308906656769,0,1,747.0,5189.0,216.2,576.6
2023-09-11,アイムジャグラーEX-TP,571,3556,-1250,9,5,254.0,395.1,711.2,5.685954257105611,0,1,-247.0,1510.0,302.0,503.3
2023-09-11,アイムジャグラーEX-TP,572,423,-564,0,0,0.0,0.0,0.0,6.69463536552709,0,1,531.0,5225.0,217.7,475.0
2023-09-11,アイムジャグラーEX-TP,573,686,-469,1,0,686.0,686.0,0.0,5.411281449030737,0,1,-75.0,1593.0,227.6,531.0
2023-09-11,アイムジャグラーEX-TP,575,3378,2389,22,9,109.0,153.5,375.3,5.945985840843983,0,1,-658.0,3863.0,297.2,351.2
2023-09-11,アイムジャグラーEX-TP,576,2254,142,9,3,187.8,250.4,751.3,5.474472587756475,0,1,-1117.0,4584.0,327.4,382.0
2023-09-11,アイムジャグラーEX-TP,577,1040,-97,4,2,173.3,260.0,520.0,6.223106754404493,0,1,-708.0,1757.0,351.4,1757.0
2023-09-11,アイムジャグラーEX-TP,578,2537,197,9,9,140.9,281.9,281.9,5.810731222691912,0,1,58.0,3981.0,284.4,265.4
2023-09-11,アイムジャグラーEX-TP,580,1744,-981,3,3,290.7,581.3,581.3,5.840369180988017,0,1,-2611.0,7438.0,391.5,391.5
2023-09-11,アイムジャグラーEX-TP,601,615,-364,1,1,307.5,615.0,615.0,5.826506530898012,0,1,-464.0,5620.0,267.6,401.4
2023-09-11,アイムジャグラーEX-TP,602,757,-497,2,0,378.5,378.5,0.0,6.622645177218311,0,1,-1050.0,1391.0,1391.0,347.8
2023-09-11,アイムジャグラーEX-TP,603,3559,447,16,10,136.9,222.4,355.9,6.365600530825621,0,1,286.0,4206.0,233.7,350.5
2023-09-11,アイムジャグラーEX-TP,605,2108,-497,6,6,175.7,351.3,351.3,6.12412710852418,0,1,-1039.0,1432.0,716.0,358.0
2023-09-11,アイムジャグラーEX-TP,606,106,-158,0,0,0.0,0.0,0.0,7.708956352761843,0,1,1128.0,6025.0,207.8,430.4
2023-09-11,アイムジャグラーEX-TP,607,3868,-117,13,14,143.3,297.5,276.3,6.112042814891521,0,1,-158.0,3016.0,301.6,502.7
2023-09-11,アイムジャグラーEX-TP,608,5013,-69,18,16,147.4,278.5,313.3,6.114376380811703,4,1,-72.0,3037.0,233.6,607.4
2023-09-11,アイムジャグラーEX-TP,610,1359,-842,2,2,339.8,679.5,679.5,5.719134684401399,0,1,297.0,4769.0,251.0,433.5
2023-09-11,マイジャグラーV,628,4247,-469,13,15,151.7,326.7,283.1,5.920029170257225,1,1,-381.0,4822.0,321.5,283.6
2023-09-11,マイジャグラーV,630,712,-403,1,1,356.0,712.0,712.0,5.352189477730795,0,1,372.0,6189.0,257.9,309.4
2023-09-11,マイジャグラーV,631,2428,-1194,6,3,269.8,404.7,809.3,6.015714120579465,0,1,-572.0,6133.0,278.8,360.8
2023-09-11,マイジャグラーV,632,1548,-325,4,4,193.5,387.0,387.0,5.493597714024561,0,1,-742.0,3716.0,412.9,247.7
2023-09-11,マイジャグラーV,633,1533,481,8,5,117.9,191.6,306.6,6.2252148418644415,0,1,-569.0,2019.0,336.5,673.0
2023-09-11,マイジャグラーV,635,3842,-397,14,9,167.0,274.4,426.9,6.004829972954078,0,1,47.0,3791.0,223.0,541.6
2023-09-11,マイジャグラーV,636,3725,214,13,15,133.0,286.5,248.3,5.841734952153888,0,1,-508.0,1929.0,385.8,321.5
2023-09-11,マイジャグラーV,637,1117,-519,2,4,186.2,558.5,279.2,6.170835989655176,0,1,-681.0,2327.0,332.4,465.4
2023-09-11,マイジャグラーV,638,3021,1039,16,5,143.9,188.8,604.2,5.518461955332136,0,1,-131.0,3662.0,261.6,523.1
2023-09-11,マイジャグラーV,650,866,-19,3,4,123.7,288.7,216.5,6.4525203565002585,0,1,-803.0,3405.0,340.5,283.8
2023-09-11,マイジャグラーV,651,6346,3056,36,17,119.7,176.3,373.3,5.715512281079797,2,1,-1028.0,3051.0,435.9,339.0
2023-09-11,マイジャグラーV,652,1603,475,9,4,123.3,178.1,400.8,6.421022853418738,0,1,175.0,769.0,192.2,769.0
2023-09-11,マイジャグラーV,653,965,653,6,2,120.6,160.8,482.5,5.255413612113511,0,1,-219.0,7518.0,326.9,250.6
2023-09-11,マイジャグラーV,655,5337,1117,21,22,124.1,254.1,242.6,5.690759968778711,5,1,-1172.0,3293.0,548.8,274.4
2023-09-11,マイジャグラーV,656,6819,397,25,26,133.7,272.8,262.3,5.932832099143045,1,1,-369.0,3591.0,256.5,513.0
2023-09-11,マイジャグラーV,657,1463,-1072,1,4,292.6,1463.0,365.8,5.823130694073644,0,1,-308.0,2011.0,335.2,335.2
2023-09-11,マイジャグラーV,658,5443,-1406,12,18,181.4,453.6,302.4,5.595351065097318,3,1,-1428.0,4805.0,400.4,300.3
2023-09-11,マイジャグラーV,660,393,-164,1,1,196.5,393.0,393.0,6.338731530707495,0,1,328.0,5766.0,240.2,411.9
2023-09-11,マイジャグラーV,661,4300,336,12,22,126.5,358.3,195.5,5.503314066934697,6,1,-969.0,1822.0,455.5,911.0
2023-09-11,マイジャグラーV,662,1624,153,7,4,147.6,232.0,406.0,5.887175614448579,0,1,-647.0,1196.0,598.0,398.7
2023-09-11,マイジャグラーV,663,839,-542,1,3,209.8,839.0,279.7,6.355370482638974,0,1,192.0,4160.0,231.1,462.2
2023-09-11,マイジャグラーV,665,3149,-414,13,7,157.4,242.2,449.9,6.668715618422372,0,1,872.0,5703.0,228.1,335.5
2023-09-11,マイジャグラーV,666,1442,-564,3,4,206.0,480.7,360.5,5.807858578401957,0,1,336.0,2311.0,210.1,577.8
2023-09-11,マイジャグラーV,668,5038,397,20,15,143.9,251.9,335.9,5.81414459569302,3,1,17.0,4194.0,246.7,524.2
2023-09-11,マイジャグラーV,670,2553,-431,8,7,170.2,319.1,364.7,5.922243431641521,0,1,-492.0,5211.0,306.5,347.4
