日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023/9/20,アイムジャグラーEX-TP,530,2522,-253,8,6,1/180.1,1/315.2,1/420.3,5.696340596
2023/9/20,アイムジャグラーEX-TP,531,1711,-347,5,4,1/190.1,1/342.2,1/427.8,5.845312266
2023/9/20,アイムジャグラーEX-TP,532,3801,1139,20,8,1/135.8,1/190.1,1/475.1,6.12799589
2023/9/20,アイムジャグラーEX-TP,533,3003,-258,10,7,1/176.6,1/300.3,1/429.0,5.781539032
2023/9/20,アイムジャグラーEX-TP,535,2634,-225,10,6,1/164.6,1/263.4,1/439.0,6.289032472
2023/9/20,アイムジャグラーEX-TP,536,1442,-231,5,3,1/180.2,1/288.4,1/480.7,6.159637646
2023/9/20,アイムジャグラーEX-TP,537,1135,-519,3,3,1/189.2,1/378.3,1/378.3,6.925254236
2023/9/20,アイムジャグラーEX-TP,538,1259,-519,3,2,1/251.8,1/419.7,1/629.5,5.856137812
2023/9/20,アイムジャグラーEX-TP,551,3116,-986,10,4,1/222.6,1/311.6,1/779.0,6.233955717
2023/9/20,アイムジャグラーEX-TP,552,1213,175,5,3,1/151.6,1/242.6,1/404.3,5.708731752
2023/9/20,アイムジャグラーEX-TP,553,2689,75,9,10,1/141.5,1/298.8,1/268.9,5.87775224
2023/9/20,アイムジャグラーEX-TP,555,2710,-192,8,11,1/142.6,1/338.8,1/246.4,6.01888308
2023/9/20,アイムジャグラーEX-TP,556,5284,664,19,25,1/120.1,1/278.1,1/211.4,6.154345296
2023/9/20,アイムジャグラーEX-TP,557,964,214,4,3,1/137.7,1/241.0,1/321.3,5.66829391
2023/9/20,アイムジャグラーEX-TP,558,939,-292,3,1,1/234.8,1/313.0,1/939.0,6.092000496
2023/9/20,アイムジャグラーEX-TP,560,4085,-283,15,7,1/185.7,1/272.3,1/583.6,5.825636766
2023/9/20,アイムジャグラーEX-TP,561,3411,-914,9,11,1/170.6,1/379.0,1/310.1,6.200268791
2023/9/20,アイムジャグラーEX-TP,562,1105,-797,2,1,1/368.3,1/552.5,1/1105.0,6.318602222
2023/9/20,アイムジャグラーEX-TP,563,1661,-719,5,2,1/237.3,1/332.2,1/830.5,6.533616124
2023/9/20,アイムジャグラーEX-TP,565,2801,75,12,6,1/155.6,1/233.4,1/466.8,6.276180535
2023/9/20,アイムジャグラーEX-TP,566,1894,72,7,5,1/157.8,1/270.6,1/378.8,5.770787724
2023/9/20,アイムジャグラーEX-TP,567,1812,114,8,2,1/181.2,1/226.5,1/906.0,5.810448919
2023/9/20,アイムジャグラーEX-TP,568,3473,-1183,8,12,1/173.7,1/434.1,1/289.4,6.250822074
2023/9/20,アイムジャグラーEX-TP,570,1291,131,6,2,1/161.4,1/215.2,1/645.5,6.085814988
2023/9/20,アイムジャグラーEX-TP,571,2351,-386,9,4,1/180.8,1/261.2,1/587.8,6.450306752
2023/9/20,アイムジャグラーEX-TP,572,3388,-75,12,14,1/130.3,1/282.3,1/242.0,6.542990752
2023/9/20,アイムジャグラーEX-TP,573,2023,-1139,3,7,1/202.3,1/674.3,1/289.0,6.33352433
2023/9/20,アイムジャグラーEX-TP,575,3091,-1017,8,8,1/193.2,1/386.4,1/386.4,6.142019873
2023/9/20,アイムジャグラーEX-TP,576,758,-581,1,1,1/379.0,1/758.0,1/758.0,6.131653228
2023/9/20,アイムジャグラーEX-TP,577,1201,-569,3,3,1/200.2,1/400.3,1/400.3,6.728233269
2023/9/20,アイムジャグラーEX-TP,578,1020,-453,2,5,1/145.7,1/510.0,1/204.0,7.113365071
2023/9/20,アイムジャグラーEX-TP,580,3518,231,14,11,1/140.7,1/251.3,1/319.8,6.171415865
2023/9/20,アイムジャグラーEX-TP,601,2013,-92,8,6,1/143.8,1/251.6,1/335.5,6.665540401
2023/9/20,アイムジャグラーEX-TP,602,1115,564,7,0,1/159.3,1/159.3,1/0.0,5.491505773
2023/9/20,アイムジャグラーEX-TP,603,4445,1206,22,12,1/130.7,1/202.0,1/370.4,6.158767626
2023/9/20,アイムジャグラーEX-TP,605,628,-258,2,0,1/314.0,1/314.0,1/0.0,6.072877234
2023/9/20,アイムジャグラーEX-TP,606,1964,614,9,7,1/122.8,1/218.2,1/280.6,5.92543319
2023/9/20,アイムジャグラーEX-TP,607,2717,894,14,9,1/118.1,1/194.1,1/301.9,6.414267787
2023/9/20,アイムジャグラーEX-TP,608,497,-258,1,1,1/248.5,1/497.0,1/497.0,6.09745774
2023/9/20,アイムジャグラーEX-TP,610,4446,-725,11,16,1/164.7,1/404.2,1/277.9,5.710835285
2023/9/20,マイジャグラーV,628,1971,-1094,4,4,1/246.4,1/492.8,1/492.8,6.169799479
2023/9/20,マイジャグラーV,630,1881,275,8,5,1/144.7,1/235.1,1/376.2,5.68991994
2023/9/20,マイジャグラーV,631,1377,-442,3,4,1/196.7,1/459.0,1/344.2,5.667279427
2023/9/20,マイジャグラーV,632,1467,-447,4,2,1/244.5,1/366.8,1/733.5,5.541632456
2023/9/20,マイジャグラーV,633,1986,331,10,4,1/141.9,1/198.6,1/496.5,6.150671523
2023/9/20,マイジャグラーV,635,1071,-931,1,1,1/535.5,1/1071.0,1/1071.0,5.930652769
2023/9/20,マイジャグラーV,636,1397,-658,2,6,1/174.6,1/698.5,1/232.8,6.116628351
2023/9/20,マイジャグラーV,637,5575,275,20,16,1/154.9,1/278.8,1/348.4,5.524105895
2023/9/20,マイジャグラーV,638,450,-131,1,0,1/450.0,1/450.0,1/0.0,4.684520328
2023/9/20,マイジャグラーV,650,2839,-369,9,9,1/157.7,1/315.4,1/315.4,5.96949857
2023/9/20,マイジャグラーV,651,1715,492,9,1,1/171.5,1/190.6,1/1715.0,5.310915078
2023/9/20,マイジャグラーV,652,1881,-669,4,7,1/171.0,1/470.2,1/268.7,6.099278822
2023/9/20,マイジャグラーV,653,1276,-19,6,1,1/182.3,1/212.7,1/1276.0,6.079062544
2023/9/20,マイジャグラーV,655,3133,1283,18,7,1/125.3,1/174.1,1/447.6,5.914249298
2023/9/20,マイジャグラーV,656,3649,906,19,7,1/140.3,1/192.1,1/521.3,5.924417843
2023/9/20,マイジャグラーV,657,2035,319,10,4,1/145.4,1/203.5,1/508.8,6.040528197
2023/9/20,マイジャグラーV,658,3232,-303,11,6,1/190.1,1/293.8,1/538.7,5.533745601
2023/9/20,マイジャグラーV,660,2599,-381,10,5,1/173.3,1/259.9,1/519.8,6.249290917
2023/9/20,マイジャグラーV,661,317,-281,0,1,1/317.0,1/0.0,1/317.0,5.954057823
2023/9/20,マイジャグラーV,662,377,-436,0,0,1/0.0,1/0.0,1/0.0,5.822283559
2023/9/20,マイジャグラーV,663,2145,-292,8,5,1/165.0,1/268.1,1/429.0,6.249688494
2023/9/20,マイジャグラーV,665,1047,-783,2,1,1/349.0,1/523.5,1/1047.0,6.479386859
2023/9/20,マイジャグラーV,666,4740,1461,24,14,1/124.7,1/197.5,1/338.6,5.94337599
2023/9/20,マイジャグラーV,668,2026,-242,7,5,1/168.8,1/289.4,1/405.2,5.928627244
2023/9/20,マイジャグラーV,670,2009,606,11,5,1/125.6,1/182.6,1/401.8,6.225030427
2023/9/20,マイジャグラーV,671,1251,119,6,1,1/178.7,1/208.5,1/1251.0,5.706000611
2023/9/20,マイジャグラーV,672,3548,1989,20,11,1/114.5,1/177.4,1/322.5,5.528018426
2023/9/20,マイジャグラーV,673,1571,-808,3,2,1/314.2,1/523.7,1/785.5,5.563000062
2023/9/20,マイジャグラーV,675,1320,-325,4,3,1/188.6,1/330.0,1/440.0,5.957520173
2023/9/20,マイジャグラーV,676,5021,-361,19,13,1/156.9,1/264.3,1/386.2,6.122432372
2023/9/20,マイジャグラーV,677,5010,314,18,15,1/151.8,1/278.3,1/334.0,5.523167656
2023/9/20,ファンキージャグラー2,581,3308,381,15,8,1/143.8,1/220.5,1/413.5,6.02112819
2023/9/20,ファンキージャグラー2,582,3569,8,15,9,1/148.7,1/237.9,1/396.6,6.224642219
2023/9/20,ファンキージャグラー2,583,4498,817,21,8,1/155.1,1/214.2,1/562.2,5.618248917
2023/9/20,ファンキージャグラー2,585,4820,2167,28,13,1/117.6,1/172.1,1/370.8,6.008023578
2023/9/20,ファンキージャグラー2,586,1475,-1039,2,3,1/295.0,1/737.5,1/491.7,6.124835038
2023/9/20,ファンキージャグラー2,587,3906,-1528,11,5,1/244.1,1/355.1,1/781.2,5.962104689
2023/9/20,ファンキージャグラー2,588,2309,-531,7,5,1/192.4,1/329.9,1/461.8,5.851553945
2023/9/20,ファンキージャグラー2,600,4621,339,18,11,1/159.3,1/256.7,1/420.1,5.542534567
2023/9/20,ハッピージャグラーVIII,621,648,-797,0,0,1/0.0,1/0.0,1/0.0,6.398148486
2023/9/20,ハッピージャグラーVIII,622,7695,-472,27,19,1/167.3,1/285.0,1/405.0,5.96297348
2023/9/20,ハッピージャグラーVIII,623,2171,-403,7,6,1/167.0,1/310.1,1/361.8,6.362764085
2023/9/20,ハッピージャグラーVIII,625,1321,-208,5,2,1/188.7,1/264.2,1/660.5,6.295811516
2023/9/20,ハッピージャグラーVIII,626,2497,-69,9,7,1/156.1,1/277.4,1/356.7,6.058640886
2023/9/20,ハッピージャグラーVIII,627,2749,-536,10,5,1/183.3,1/274.9,1/549.8,6.455239947
2023/9/20,ゴーゴージャグラー3,808,5500,469,25,12,1/148.6,1/220.0,1/458.3,6.312995445
2023/9/20,ゴーゴージャグラー3,810,748,-281,3,0,1/249.3,1/249.3,1/0.0,6.997484928
2023/9/20,ゴーゴージャグラー3,811,1927,264,10,4,1/137.6,1/192.7,1/481.8,6.809975059
2023/9/20,ゴーゴージャグラー3,812,5136,539,21,19,1/128.4,1/244.6,1/270.3,6.39420259
2023/9/20,ゴーゴージャグラー3,813,2349,672,12,8,1/117.5,1/195.8,1/293.6,6.579314296
2023/9/20,ゴーゴージャグラー3,815,2407,425,11,5,1/150.4,1/218.8,1/481.4,5.870942739
2023/9/20,ゴーゴージャグラー3,816,6198,-272,22,17,1/158.9,1/281.7,1/364.6,6.046387292
2023/9/20,ゴーゴージャグラー3,817,819,-514,1,2,1/273.0,1/819.0,1/409.5,6.031673466
2023/9/19,アイムジャグラーEX-TP,530,3851,1728,22,7,1/132.8,1/175.0,1/550.1,5.845576091
2023/9/19,アイムジャグラーEX-TP,531,1976,-975,5,2,1/282.3,1/395.2,1/988.0,6.140912371
2023/9/19,アイムジャグラーEX-TP,532,1534,-969,2,4,1/255.7,1/767.0,1/383.5,6.057426456
2023/9/19,アイムジャグラーEX-TP,533,1454,-386,4,4,1/181.8,1/363.5,1/363.5,6.108674923
2023/9/19,アイムジャグラーEX-TP,535,2212,169,8,9,1/130.1,1/276.5,1/245.8,6.113888081
2023/9/19,アイムジャグラーEX-TP,536,115,-169,0,0,1/0.0,1/0.0,1/0.0,7.556046151
2023/9/19,アイムジャグラーEX-TP,537,3865,972,19,9,1/138.0,1/203.4,1/429.4,6.047381429
2023/9/19,アイムジャグラーEX-TP,538,4606,542,22,9,1/148.6,1/209.4,1/511.8,6.350156188
2023/9/19,アイムジャグラーEX-TP,551,4936,275,19,19,1/129.9,1/259.8,1/259.8,6.398664764
2023/9/19,アイムジャグラーEX-TP,552,1231,8,5,2,1/175.9,1/246.2,1/615.5,5.884279314
2023/9/19,アイムジャグラーEX-TP,553,5397,306,22,18,1/134.9,1/245.3,1/299.8,6.435205316
2023/9/19,アイムジャグラーEX-TP,555,365,-408,0,0,1/0.0,1/0.0,1/0.0,5.671700236
2023/9/19,アイムジャグラーEX-TP,556,2325,-653,6,6,1/193.8,1/387.5,1/387.5,5.911623141
2023/9/19,アイムジャグラーEX-TP,557,753,-636,1,0,1/753.0,1/753.0,1/0.0,5.925780426
2023/9/19,アイムジャグラーEX-TP,558,2328,-225,9,6,1/155.2,1/258.7,1/388.0,6.585156125
2023/9/19,アイムジャグラーEX-TP,560,3889,-950,11,12,1/169.1,1/353.5,1/324.1,6.252554218
2023/9/19,アイムジャグラーEX-TP,561,2246,-1106,5,7,1/187.2,1/449.2,1/320.9,6.781383767
2023/9/19,アイムジャグラーEX-TP,562,4075,517,17,14,1/131.5,1/239.7,1/291.1,6.251013872
2023/9/19,アイムジャグラーEX-TP,563,990,-703,2,0,1/495.0,1/495.0,1/0.0,6.103873123
