日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-21,アイムジャグラーEX-TP,1108,5170,-360,19,12,1/166.8,1/272.1,1/430.8,6.087129189191449
2022-08-21,アイムジャグラーEX-TP,1110,5560,1240,22,24,1/120.9,1/252.7,1/231.7,5.9433782054824675
2022-08-21,アイムジャグラーEX-TP,1111,1390,-810,3,1,1/347.5,1/463.3,1/1390.0,5.993430510269462
2022-08-21,アイムジャグラーEX-TP,1112,4450,-810,15,9,1/185.4,1/296.7,1/494.4,6.122072754987769
2022-08-21,アイムジャグラーEX-TP,1113,1480,-170,6,2,1/185.0,1/246.7,1/740.0,6.318327589916631
2022-08-21,アイムジャグラーEX-TP,1115,5330,280,22,12,1/156.8,1/242.3,1/444.2,6.017970133028753
2022-08-21,アイムジャグラーEX-TP,1130,2570,-470,7,8,1/171.3,1/367.1,1/321.2,5.862506431363451
2022-08-21,アイムジャグラーEX-TP,1131,2340,-810,5,8,1/180.0,1/468.0,1/292.5,6.062139258996739
2022-08-21,アイムジャグラーEX-TP,1132,2410,-920,7,5,1/200.8,1/344.3,1/482.0,6.5617262404249175
2022-08-21,アイムジャグラーEX-TP,1133,3650,1080,17,15,1/114.1,1/214.7,1/243.3,6.336299531634626
2022-08-21,アイムジャグラーEX-TP,1135,5360,-570,20,7,1/198.5,1/268.0,1/765.7,5.881993708351767
2022-08-21,アイムジャグラーEX-TP,1170,3730,-1400,10,5,1/248.7,1/373.0,1/746.0,5.918423027457437
2022-08-21,アイムジャグラーEX-TP,1171,1100,-1270,0,2,1/550.0,1/0.0,1/550.0,6.663375363078237
2022-08-21,アイムジャグラーEX-TP,1172,2570,-1270,5,8,1/197.7,1/514.0,1/321.2,6.405917572291839
2022-08-21,アイムジャグラーEX-TP,1173,940,-920,1,0,1/940.0,1/940.0,1/0.0,6.238744127533203
2022-08-21,アイムジャグラーEX-TP,1175,3320,630,15,6,1/158.1,1/221.3,1/553.3,5.670642749421385
2022-08-21,アイムジャグラーEX-TP,1176,1230,-120,5,2,1/175.7,1/246.0,1/615.0,6.376841799109265
2022-08-21,アイムジャグラーEX-TP,1177,7080,-1610,18,23,1/172.7,1/393.3,1/307.8,5.914011525389381
2022-08-21,アイムジャグラーEX-TP,1178,3060,150,12,8,1/153.0,1/255.0,1/382.5,5.956698307246499
2022-08-21,アイムジャグラーEX-TP,1180,2180,-570,8,1,1/242.2,1/272.5,1/2180.0,6.148449229956091
2022-08-21,アイムジャグラーEX-TP,1181,1880,-1510,2,2,1/470.0,1/940.0,1/940.0,5.8974804583220655
2022-08-21,アイムジャグラーEX-TP,1182,1230,-200,5,1,1/205.0,1/246.0,1/1230.0,6.314437422128356
2022-08-21,アイムジャグラーEX-TP,1183,2350,-50,9,7,1/146.9,1/261.1,1/335.7,6.3437388647136945
2022-08-21,マイジャグラーV,1136,4150,90,19,7,1/159.6,1/218.4,1/592.9,6.171922048996323
2022-08-21,マイジャグラーV,1137,3710,1350,20,8,1/132.5,1/185.5,1/463.8,5.717294834210296
2022-08-21,マイジャグラーV,1138,3790,-1000,12,7,1/199.5,1/315.8,1/541.4,6.00044484828265
2022-08-21,マイジャグラーV,1150,5650,0,23,14,1/152.7,1/245.7,1/403.6,6.057970624069482
2022-08-21,マイジャグラーV,1151,3990,-810,13,4,1/234.7,1/306.9,1/997.5,5.5076600214643445
2022-08-21,マイジャグラーV,1152,3130,-1560,8,5,1/240.8,1/391.2,1/626.0,6.306814061747185
2022-08-21,マイジャグラーV,1153,5880,-70,22,17,1/150.8,1/267.3,1/345.9,5.934323988656963
2022-08-21,マイジャグラーV,1155,4580,-1910,13,7,1/229.0,1/352.3,1/654.3,6.207194877492098
2022-08-21,マイジャグラーV,1156,5490,-1050,18,13,1/177.1,1/305.0,1/422.3,6.018202843773496
2022-08-21,マイジャグラーV,1157,5900,-970,15,18,1/178.8,1/393.3,1/327.8,5.45231265270374
2022-08-21,マイジャグラーV,1158,6820,2430,39,12,1/133.7,1/174.9,1/568.3,5.921125357625228
2022-08-21,マイジャグラーV,1160,7120,1940,34,24,1/122.8,1/209.4,1/296.7,5.972607207460524
2022-08-21,マイジャグラーV,1161,3950,-1560,8,13,1/188.1,1/493.8,1/303.8,5.981061045907767
2022-08-21,マイジャグラーV,1162,6100,-120,22,20,1/145.2,1/277.3,1/305.0,5.989396068820615
2022-08-21,マイジャグラーV,1163,4260,-710,15,12,1/157.8,1/284.0,1/355.0,6.384045520942048
2022-08-21,マイジャグラーV,1165,2410,-760,7,5,1/200.8,1/344.3,1/482.0,6.048480769391851
2022-08-21,マイジャグラーV,1166,5390,490,26,9,1/154.0,1/207.3,1/598.9,6.114745034063399
2022-08-21,マイジャグラーV,1167,4020,-570,14,10,1/167.5,1/287.1,1/402.0,6.0670881859191255
2022-08-21,マイジャグラーV,1168,3760,-710,13,9,1/170.9,1/289.2,1/417.8,6.218354200101346
2022-08-21,ファンキージャグラー2,1116,5120,-310,20,11,1/165.2,1/256.0,1/465.5,6.01981660134911
2022-08-21,ファンキージャグラー2,1117,5950,390,23,22,1/132.2,1/258.7,1/270.5,6.0733536076167
2022-08-21,ファンキージャグラー2,1118,980,-810,1,2,1/326.7,1/980.0,1/490.0,6.330872045323875
2022-08-21,ファンキージャグラー2,1120,5510,90,24,12,1/153.1,1/229.6,1/459.2,6.175280749024571
2022-08-21,ファンキージャグラー2,1121,7960,1880,36,30,1/120.6,1/221.1,1/265.3,6.042919914609593
2022-08-21,ファンキージャグラー2,1122,4430,-410,16,6,1/201.4,1/276.9,1/738.3,5.543874589547575
2022-08-21,ファンキージャグラー2,1123,4420,-870,14,9,1/192.2,1/315.7,1/491.1,5.79662248381339
2022-08-21,ファンキージャグラー2,1125,3510,-870,10,8,1/195.0,1/351.0,1/438.8,5.788214428608621
2022-08-21,ファンキージャグラー2,1126,2120,-600,7,3,1/212.0,1/302.9,1/706.7,6.0563987852920915
2022-08-21,ファンキージャグラー2,1127,3130,-1160,7,9,1/195.6,1/447.1,1/347.8,5.929671350807077
2022-08-21,ファンキージャグラー2,1128,6320,550,25,21,1/137.4,1/252.8,1/301.0,5.913530522753291
