日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-27,アイムジャグラーEX-TP,833,2220,-870,6,2,1/277.5,1/370.0,1/1110.0,5.832760566755157
2022-08-27,アイムジャグラーEX-TP,834,5930,1080,27,15,1/141.2,1/219.6,1/395.3,6.035287399266422
2022-08-27,アイムジャグラーEX-TP,835,4430,730,20,13,1/134.2,1/221.5,1/340.8,6.253520693330522
2022-08-27,アイムジャグラーEX-TP,836,3160,-650,10,9,1/166.3,1/316.0,1/351.1,6.3681733207192455
2022-08-27,アイムジャグラーEX-TP,837,3430,-200,11,12,1/149.1,1/311.8,1/285.8,6.0104425744705665
2022-08-27,アイムジャグラーEX-TP,838,6680,730,24,27,1/131.0,1/278.3,1/247.4,5.926302086417638
2022-08-27,アイムジャグラーEX-TP,839,2390,-170,9,2,1/217.3,1/265.6,1/1195.0,5.5891155832610435
2022-08-27,アイムジャグラーEX-TP,840,4410,-250,14,15,1/152.1,1/315.0,1/294.0,5.925785383237405
2022-08-27,アイムジャグラーEX-TP,841,7250,-410,23,23,1/157.6,1/315.2,1/315.2,5.828665376320745
2022-08-27,アイムジャグラーEX-TP,842,6530,1590,32,17,1/133.3,1/204.1,1/384.1,6.18907510717502
2022-08-27,アイムジャグラーEX-TP,951,5270,-200,19,14,1/159.7,1/277.4,1/376.4,6.008268723067893
2022-08-27,アイムジャグラーEX-TP,952,5320,-810,18,13,1/171.6,1/295.6,1/409.2,6.186125276827653
2022-08-27,アイムジャグラーEX-TP,953,6620,890,24,25,1/135.1,1/275.8,1/264.8,5.7463853651890835
2022-08-27,アイムジャグラーEX-TP,954,3520,-200,12,12,1/146.7,1/293.3,1/293.3,6.200340032284044
2022-08-27,アイムジャグラーEX-TP,955,2600,-1000,6,8,1/185.7,1/433.3,1/325.0,6.295148014667696
2022-08-27,アイムジャグラーEX-TP,956,8490,1840,36,32,1/124.9,1/235.8,1/265.3,6.057559227446436
2022-08-27,アイムジャグラーEX-TP,957,5130,630,20,16,1/142.5,1/256.5,1/320.6,5.820218554312169
2022-08-27,アイムジャグラーEX-TP,958,6810,200,30,14,1/154.8,1/227.0,1/486.4,6.374271381468411
2022-08-27,アイムジャグラーEX-TP,959,6130,1740,26,25,1/120.2,1/235.8,1/245.2,5.890795698988796
2022-08-27,アイムジャグラーEX-TP,960,5910,150,20,20,1/147.8,1/295.5,1/295.5,5.792434433758661
