日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-28,アイムジャグラーEX-TP,573,7350,3150,37,27,1/114.8,1/198.6,1/272.2,5.960374457484284
2022-08-28,アイムジャグラーEX-TP,574,4180,1890,24,8,1/130.6,1/174.2,1/522.5,5.901477515370667
2022-08-28,アイムジャグラーEX-TP,575,3840,200,14,11,1/153.6,1/274.3,1/349.1,5.749042181875291
2022-08-28,アイムジャグラーEX-TP,576,1510,280,6,4,1/151.0,1/251.7,1/377.5,5.467886307072874
2022-08-28,アイムジャグラーEX-TP,577,4370,1030,20,9,1/150.7,1/218.5,1/485.6,5.6418869697651015
2022-08-28,アイムジャグラーEX-TP,578,5850,1830,27,26,1/110.4,1/216.7,1/225.0,6.358331084820952
2022-08-28,アイムジャグラーEX-TP,579,2240,200,11,5,1/140.0,1/203.6,1/448.0,6.830734401530086
2022-08-28,アイムジャグラーEX-TP,580,5040,490,22,16,1/132.6,1/229.1,1/315.0,6.522970628124539
2022-08-28,アイムジャグラーEX-TP,581,2100,-710,7,2,1/233.3,1/300.0,1/1050.0,6.339091593081636
2022-08-28,アイムジャグラーEX-TP,582,4590,600,18,15,1/139.1,1/255.0,1/306.0,5.871687509558282
2022-08-28,アイムジャグラーEX-TP,583,2240,440,9,9,1/124.4,1/248.9,1/248.9,6.003477192548933
2022-08-28,アイムジャグラーEX-TP,584,5050,630,21,13,1/148.5,1/240.5,1/388.5,5.869093643422924
2022-08-28,アイムジャグラーEX-TP,585,1500,950,10,1,1/136.4,1/150.0,1/1500.0,5.621319792198545
2022-08-28,アイムジャグラーEX-TP,586,5140,1290,19,28,1/109.4,1/270.5,1/183.6,6.007467141404616
2022-08-28,アイムジャグラーEX-TP,587,4940,-2060,10,14,1/205.8,1/494.0,1/352.9,6.002520572606441
2022-08-28,アイムジャグラーEX-TP,588,2230,90,9,2,1/202.7,1/247.8,1/1115.0,5.444994627645996
2022-08-28,アイムジャグラーEX-TP,589,4990,2040,27,17,1/113.4,1/184.8,1/293.5,6.383812187477851
2022-08-28,アイムジャグラーEX-TP,590,1580,490,8,2,1/158.0,1/197.5,1/790.0,5.533555586141876
2022-08-28,アイムジャグラーEX-TP,591,3830,840,15,18,1/116.1,1/255.3,1/212.8,6.079105028761072
2022-08-28,アイムジャグラーEX-TP,592,3620,-70,13,12,1/144.8,1/278.5,1/301.7,6.196947729345055
2022-08-28,アイムジャグラーEX-TP,593,5700,1530,23,27,1/114.0,1/247.8,1/211.1,6.00717383022146
2022-08-28,アイムジャグラーEX-TP,594,5980,3940,38,17,1/108.7,1/157.4,1/351.8,6.061371180480925
2022-08-28,アイムジャグラーEX-TP,595,7230,2190,33,27,1/120.5,1/219.1,1/267.8,6.020764392250051
2022-08-28,アイムジャグラーEX-TP,596,2280,-120,7,8,1/152.0,1/325.7,1/285.0,5.839005555890615
2022-08-28,アイムジャグラーEX-TP,597,3960,1080,19,10,1/136.6,1/208.4,1/396.0,5.9039520921123865
2022-08-28,アイムジャグラーEX-TP,598,3640,90,14,9,1/158.3,1/260.0,1/404.4,5.9207030802376455
2022-08-28,アイムジャグラーEX-TP,599,6050,200,21,22,1/140.7,1/288.1,1/275.0,5.957226620531802
2022-08-28,アイムジャグラーEX-TP,600,8110,-360,21,42,1/128.7,1/386.2,1/193.1,5.9698607421405505
2022-08-28,アイムジャグラーEX-TP,601,3010,1690,18,9,1/111.5,1/167.2,1/334.4,6.142084368364673
2022-08-28,アイムジャグラーEX-TP,602,3410,-600,11,9,1/170.5,1/310.0,1/378.9,6.1991952317462795
2022-08-28,マイジャグラーV,618,6940,440,26,21,1/147.7,1/266.9,1/330.5,5.676236816934881
2022-08-28,マイジャグラーV,619,2160,-1560,3,6,1/240.0,1/720.0,1/360.0,6.603750655215887
2022-08-28,マイジャグラーV,620,2480,-1510,3,4,1/354.3,1/826.7,1/620.0,5.410469760764515
2022-08-28,マイジャグラーV,621,7520,440,29,26,1/136.7,1/259.3,1/289.2,5.983190814179
2022-08-28,マイジャグラーV,622,2190,-970,5,4,1/243.3,1/438.0,1/547.5,5.850510051273109
2022-08-28,マイジャグラーV,623,3780,-250,13,10,1/164.3,1/290.8,1/378.0,5.757090311727022
2022-08-28,マイジャグラーV,624,8240,5700,48,37,1/96.9,1/171.7,1/222.7,5.710663482417341
2022-08-28,マイジャグラーV,625,5480,-760,15,20,1/156.6,1/365.3,1/274.0,5.758151540888707
2022-08-28,マイジャグラーV,626,8790,230,30,31,1/144.1,1/293.0,1/283.5,5.697106110715852
2022-08-28,マイジャグラーV,627,4740,-310,15,18,1/143.6,1/316.0,1/263.3,5.94221180217913
2022-08-28,マイジャグラーV,628,7150,1530,34,19,1/134.9,1/210.3,1/376.3,5.909677298041815
2022-08-28,マイジャグラーV,629,2250,-570,7,5,1/187.5,1/321.4,1/450.0,6.055116699759561
2022-08-28,マイジャグラーV,630,3620,-50,14,8,1/164.5,1/258.6,1/452.5,5.793137076945462
2022-08-28,マイジャグラーV,631,4450,-1110,13,9,1/202.3,1/342.3,1/494.4,5.757388965883185
2022-08-28,マイジャグラーV,632,9240,1350,36,37,1/126.6,1/256.7,1/249.7,5.869066835523022
2022-08-28,マイジャグラーV,633,3260,-870,9,7,1/203.8,1/362.2,1/465.7,5.719890555333382
2022-08-28,マイジャグラーV,634,5610,-1050,17,14,1/181.0,1/330.0,1/400.7,5.794314762438323
2022-08-28,マイジャグラーV,635,6990,550,26,20,1/152.0,1/268.8,1/349.5,5.529568571925729
2022-08-28,マイジャグラーV,636,1230,-250,5,0,1/246.0,1/246.0,1/0.0,5.905292432301734
2022-08-28,マイジャグラーV,637,8450,2040,36,33,1/122.5,1/234.7,1/256.1,5.79425500473419
2022-08-28,マイジャグラーV,638,6590,1000,28,18,1/143.3,1/235.4,1/366.1,5.691649470353259
2022-08-28,マイジャグラーV,639,1460,-710,4,2,1/243.3,1/365.0,1/730.0,6.357937280472891
2022-08-28,マイジャグラーV,640,2310,-760,6,4,1/231.0,1/385.0,1/577.5,5.653062903203258
2022-08-28,マイジャグラーV,641,6640,-570,22,16,1/174.7,1/301.8,1/415.0,5.624009234216608
2022-08-28,マイジャグラーV,642,4160,-1050,11,12,1/180.9,1/378.2,1/346.7,5.836287778652052
2022-08-28,マイジャグラーV,643,2500,-250,8,6,1/178.6,1/312.5,1/416.7,5.569750684035006
2022-08-28,マイジャグラーV,644,7300,1590,31,30,1/119.7,1/235.5,1/243.3,5.966112277942373
2022-08-28,マイジャグラーV,645,7590,1480,33,26,1/128.6,1/230.0,1/291.9,5.88658853164003
2022-08-28,マイジャグラーV,646,8280,840,30,31,1/135.7,1/276.0,1/267.1,5.6797240641882905
2022-08-28,マイジャグラーV,647,1340,-710,2,4,1/223.3,1/670.0,1/335.0,5.885549559346927
2022-08-28,マイジャグラーV,648,6570,230,26,17,1/152.8,1/252.7,1/386.5,5.829744766431487
2022-08-28,ファンキージャグラー2,603,3810,-1110,11,8,1/200.5,1/346.4,1/476.2,5.940829108191503
2022-08-28,ファンキージャグラー2,604,1380,-200,5,2,1/197.1,1/276.0,1/690.0,5.80180528636954
2022-08-28,ファンキージャグラー2,605,5170,890,24,14,1/136.1,1/215.4,1/369.3,6.004751244904273
2022-08-28,ファンキージャグラー2,606,4280,490,18,11,1/147.6,1/237.8,1/389.1,5.746329750044725
2022-08-28,ファンキージャグラー2,607,1240,-710,2,4,1/206.7,1/620.0,1/310.0,6.334254524649955
2022-08-28,ファンキージャグラー2,608,1860,-310,7,3,1/186.0,1/265.7,1/620.0,6.116202923117521
2022-08-28,ファンキージャグラー2,609,5870,2330,28,18,1/127.6,1/209.6,1/326.1,5.360749564296403
2022-08-28,ファンキージャグラー2,610,1780,-470,5,6,1/161.8,1/356.0,1/296.7,6.291597889133562
2022-08-28,ファンキージャグラー2,611,5850,1400,30,13,1/136.0,1/195.0,1/450.0,6.0176324345244945
2022-08-28,ファンキージャグラー2,612,3090,630,13,9,1/140.5,1/237.7,1/343.3,5.522562415343609
2022-08-28,ファンキージャグラー2,613,1250,-120,6,1,1/178.6,1/208.3,1/1250.0,6.621968380100985
2022-08-28,ファンキージャグラー2,614,2260,-360,6,8,1/161.4,1/376.7,1/282.5,5.72629936003537
2022-08-28,ファンキージャグラー2,615,2250,-650,6,5,1/204.5,1/375.0,1/450.0,5.754797662912727
2022-08-28,ファンキージャグラー2,616,3090,330,14,5,1/162.6,1/220.7,1/618.0,5.72496145725281
2022-08-28,ファンキージャグラー2,617,1920,-570,6,2,1/240.0,1/320.0,1/960.0,5.7763818188382245
