日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-23,アイムジャグラーEX-TP,501,5614,-993,21,9,1/187.1,1/267.3,1/623.8,6.354732678672863
2023-09-23,アイムジャグラーEX-TP,502,5130,-1245,15,14,1/176.9,1/342.0,1/366.4,6.196558083763334
2023-09-23,アイムジャグラーEX-TP,503,7723,4430,47,20,1/115.3,1/164.3,1/386.1,6.032141464816239
2023-09-23,アイムジャグラーEX-TP,504,2872,-1944,6,2,1/359.0,1/478.7,1/1436.0,6.348127417350122
2023-09-23,アイムジャグラーEX-TP,505,4554,-769,17,5,1/207.0,1/267.9,1/910.8,6.0745621693288605
2023-09-23,アイムジャグラーEX-TP,506,5228,1301,24,13,1/141.3,1/217.8,1/402.2,5.7681855593077325
2023-09-23,アイムジャグラーEX-TP,507,3743,-1301,10,8,1/207.9,1/374.3,1/467.9,6.126020707488452
2023-09-23,アイムジャグラーEX-TP,508,6780,853,29,17,1/147.4,1/233.8,1/398.8,5.967318632899623
2023-09-23,アイムジャグラーEX-TP,532,9020,3052,39,41,1/112.8,1/231.3,1/220.0,5.93741047806818
2023-09-23,アイムジャグラーEX-TP,533,7762,1919,33,29,1/125.2,1/235.2,1/267.7,5.9193619400645465
2023-09-23,アイムジャグラーEX-TP,534,8435,2099,37,31,1/124.0,1/228.0,1/272.1,6.037733580120475
2023-09-23,アイムジャグラーEX-TP,535,8410,98,29,34,1/133.5,1/290.0,1/247.4,6.208691851143622
2023-09-23,アイムジャグラーEX-TP,536,7083,881,26,27,1/133.6,1/272.4,1/262.3,5.8507932731522425
2023-09-23,アイムジャグラーEX-TP,537,7715,1497,30,34,1/120.5,1/257.2,1/226.9,6.035011987106116
2023-09-23,アイムジャグラーEX-TP,538,8086,2434,32,41,1/110.8,1/252.7,1/197.2,5.916903478788739
2023-09-23,アイムジャグラーEX-TP,539,8394,-182,30,30,1/139.9,1/279.8,1/279.8,6.3078882509727325
2023-09-23,アイムジャグラーEX-TP,540,7815,1944,32,37,1/113.3,1/244.2,1/211.2,6.166549628474262
2023-09-23,マイジャグラーV,491,8071,0,32,25,1/141.6,1/252.2,1/322.8,6.216436730667515
2023-09-23,マイジャグラーV,492,6197,-378,21,21,1/147.5,1/295.1,1/295.1,5.98802220903519
2023-09-23,マイジャグラーV,493,7128,1273,31,20,1/139.8,1/229.9,1/356.4,5.708755077492346
2023-09-23,マイジャグラーV,494,6283,-1049,18,19,1/169.8,1/349.1,1/330.7,5.754934418610034
2023-09-23,マイジャグラーV,495,8161,266,28,27,1/148.4,1/291.5,1/302.3,5.605609228387195
2023-09-23,マイジャグラーV,496,6297,-406,20,23,1/146.4,1/314.9,1/273.8,5.889864989448183
2023-09-23,マイジャグラーV,497,5862,-1413,16,16,1/183.2,1/366.4,1/366.4,5.811896468738254
2023-09-23,マイジャグラーV,498,8417,3412,45,23,1/123.8,1/187.0,1/366.0,5.728543627587712
2023-09-23,マイジャグラーV,499,4737,-2047,13,4,1/278.6,1/364.4,1/1184.2,5.87637778640437
2023-09-23,マイジャグラーV,500,5116,-965,18,10,1/182.7,1/284.2,1/511.6,6.088490653943705
2023-09-23,マイジャグラーV,541,6839,210,30,15,1/152.0,1/228.0,1/455.9,6.140485488722022
2023-09-23,マイジャグラーV,542,6418,-182,24,16,1/160.4,1/267.4,1/401.1,5.8392290869251005
2023-09-23,マイジャグラーV,543,9071,-84,33,25,1/156.4,1/274.9,1/362.8,5.7621374769346065
2023-09-23,マイジャグラーV,544,9113,1077,39,23,1/147.0,1/233.7,1/396.2,5.778593004532675
2023-09-23,マイジャグラーV,545,5757,-881,19,15,1/169.3,1/303.0,1/383.8,5.971402296273089
2023-09-23,マイジャグラーV,546,4995,-1189,14,14,1/178.4,1/356.8,1/356.8,5.904257630951938
2023-09-23,マイジャグラーV,547,8161,350,32,23,1/148.4,1/255.0,1/354.8,5.852851106177877
2023-09-23,マイジャグラーV,548,7080,-64,28,15,1/164.7,1/252.9,1/472.0,5.824522440576914
2023-09-23,マイジャグラーV,549,6378,-1273,18,19,1/172.4,1/354.3,1/335.7,5.831000851092537
2023-09-23,マイジャグラーV,550,6695,-182,24,19,1/155.7,1/279.0,1/352.4,5.816587435844254
2023-09-23,ファンキージャグラー2,481,5864,-797,21,12,1/177.7,1/279.2,1/488.7,5.96537650310016
2023-09-23,ファンキージャグラー2,482,6811,-1403,19,21,1/170.3,1/358.5,1/324.3,5.87536583689776
2023-09-23,ファンキージャグラー2,483,5148,-1832,15,8,1/223.8,1/343.2,1/643.5,6.025459321302468
2023-09-23,ファンキージャグラー2,484,3490,-657,12,7,1/183.7,1/290.8,1/498.6,6.0296997265686665
2023-09-23,ファンキージャグラー2,557,7575,-881,26,20,1/164.7,1/291.3,1/378.8,5.971383180751848
2023-09-23,ファンキージャグラー2,558,4283,-517,16,12,1/153.0,1/267.7,1/356.9,6.413570354165763
2023-09-23,ファンキージャグラー2,559,6896,70,24,25,1/140.7,1/287.3,1/275.8,5.878526172675824
2023-09-23,ファンキージャグラー2,560,5937,-154,24,12,1/164.9,1/247.4,1/494.8,5.956438912847564
2023-09-23,ハッピージャグラーVIII,489,8736,-853,26,38,1/136.5,1/336.0,1/229.9,6.384739303697988
2023-09-23,ハッピージャグラーVIII,490,5860,-601,22,16,1/154.2,1/266.4,1/366.2,6.575996099289686
2023-09-23,ハッピージャグラーVIII,551,6686,-2150,17,16,1/202.6,1/393.3,1/417.9,6.059462348691017
2023-09-23,ハッピージャグラーVIII,552,6765,70,22,23,1/150.3,1/307.5,1/294.1,5.772966569328747
2023-09-23,ゴーゴージャグラー3,485,7906,1996,43,22,1/121.6,1/183.9,1/359.4,6.880203161799714
2023-09-23,ゴーゴージャグラー3,486,8171,1664,37,30,1/122.0,1/220.8,1/272.4,6.414519186853518
2023-09-23,ゴーゴージャグラー3,487,3955,-406,15,8,1/172.0,1/263.7,1/494.4,6.274682143422695
2023-09-23,ゴーゴージャグラー3,488,6245,545,27,20,1/132.9,1/231.3,1/312.2,6.531936968377175
2023-09-23,ゴーゴージャグラー3,553,8097,1105,35,26,1/132.7,1/231.3,1/311.4,6.282656031439507
2023-09-23,ゴーゴージャグラー3,554,4929,-881,16,13,1/170.0,1/308.1,1/379.2,6.293915209987035
2023-09-23,ゴーゴージャグラー3,555,7828,1945,40,25,1/120.4,1/195.7,1/313.1,6.6761273565959875
2023-09-23,ゴーゴージャグラー3,556,4531,-601,16,13,1/156.2,1/283.2,1/348.5,6.521841647317019
2023-09-14,アイムジャグラーEX-TP,485,2968,98,12,7,1/156.2,1/247.3,1/424.0,6.056673526747326
2023-09-14,アイムジャグラーEX-TP,486,4548,-84,20,5,1/181.9,1/227.4,1/909.6,6.152650089657829
