日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-03,アイムジャグラーEX-TP,186,1300,-280,4,2,1/216.7,1/325.0,1/650.0,5.741681738581231
2023-09-03,アイムジャグラーEX-TP,187,4349,-120,17,11,1/155.3,1/255.8,1/395.4,6.261311103860078
2023-09-03,アイムジャグラーEX-TP,188,3267,-40,13,4,1/192.2,1/251.3,1/816.8,5.715571036719036
2023-09-03,アイムジャグラーEX-TP,189,1358,-1080,2,1,1/452.7,1/679.0,1/1358.0,6.187815134876371
2023-09-03,アイムジャグラーEX-TP,190,4551,0,16,13,1/156.9,1/284.4,1/350.1,5.827019416573617
2023-09-03,アイムジャグラーEX-TP,191,5583,2040,32,10,1/132.9,1/174.5,1/558.3,6.235279998247018
2023-09-03,アイムジャグラーEX-TP,192,1968,-1080,3,5,1/246.0,1/656.0,1/393.6,5.906066178191779
2023-09-03,アイムジャグラーEX-TP,193,4986,200,19,15,1/146.6,1/262.4,1/332.4,6.040246943127452
2023-09-03,アイムジャグラーEX-TP,194,2853,1480,15,9,1/118.9,1/190.2,1/317.0,5.611589275251738
2023-09-03,アイムジャグラーEX-TP,229,6552,1640,27,26,1/123.6,1/242.7,1/252.0,5.859611698950858
2023-09-03,アイムジャグラーEX-TP,230,1044,-840,0,4,1/261.0,1/0.0,1/261.0,5.887635491749528
2023-09-03,アイムジャグラーEX-TP,231,5535,840,21,22,1/128.7,1/263.6,1/251.6,5.9336673875509724
2023-09-03,アイムジャグラーEX-TP,232,7001,2840,30,38,1/103.0,1/233.4,1/184.2,5.968604305865898
2023-09-03,アイムジャグラーEX-TP,233,6032,440,21,23,1/137.1,1/287.2,1/262.3,5.8678282580056065
2023-09-03,アイムジャグラーEX-TP,234,5823,1640,21,33,1/107.8,1/277.3,1/176.5,5.864855006945468
2023-09-03,アイムジャグラーEX-TP,235,2236,760,11,5,1/139.8,1/203.3,1/447.2,5.63699222195914
2023-09-03,アイムジャグラーEX-TP,236,1462,-280,6,0,1/243.7,1/243.7,1/0.0,6.127076573956706
2023-09-03,マイジャグラーV,197,7350,280,25,24,1/150.0,1/294.0,1/306.2,5.540821128017893
2023-09-03,マイジャグラーV,198,7408,2840,39,22,1/121.4,1/189.9,1/336.7,5.833118954925557
2023-09-03,マイジャグラーV,199,3507,-1000,9,10,1/184.6,1/389.7,1/350.7,5.883217984606507
2023-09-03,マイジャグラーV,200,7596,-80,29,25,1/140.7,1/261.9,1/303.8,6.186671650754469
2023-09-03,マイジャグラーV,201,6469,200,23,20,1/150.4,1/281.3,1/323.4,5.648395107883435
2023-09-03,マイジャグラーV,202,6096,600,25,19,1/138.5,1/243.8,1/320.8,5.921960336738052
2023-09-03,マイジャグラーV,203,3984,-360,14,8,1/181.1,1/284.6,1/498.0,5.681150234424451
2023-09-03,マイジャグラーV,204,5779,280,24,12,1/160.5,1/240.8,1/481.6,5.765355658850901
2023-09-03,マイジャグラーV,205,2845,-1560,5,6,1/258.6,1/569.0,1/474.2,5.878694558386123
2023-09-03,マイジャグラーV,206,6676,520,25,21,1/145.1,1/267.0,1/317.9,5.662234714157673
2023-09-03,マイジャグラーV,207,4859,-840,16,15,1/156.7,1/303.7,1/323.9,6.2705924505012485
2023-09-03,マイジャグラーV,208,3256,-840,10,6,1/203.5,1/325.6,1/542.7,5.872743527712667
2023-09-03,マイジャグラーV,209,9081,280,27,36,1/144.1,1/336.3,1/252.2,5.433253938606338
2023-09-03,マイジャグラーV,210,5616,-840,16,17,1/170.2,1/351.0,1/330.4,5.6697159663108625
2023-09-03,マイジャグラーV,211,6149,440,26,15,1/150.0,1/236.5,1/409.9,5.890566863683528
2023-09-03,マイジャグラーV,212,7340,3160,36,29,1/112.9,1/203.9,1/253.1,5.668588265315647
2023-09-03,マイジャグラーV,213,1676,-520,5,3,1/209.5,1/335.2,1/558.7,5.9879376283411805
2023-09-03,マイジャグラーV,214,4732,-1000,16,9,1/189.3,1/295.8,1/525.8,6.019190341433166
2023-09-03,マイジャグラーV,215,3410,-520,11,9,1/170.5,1/310.0,1/378.9,5.904624769212612
2023-09-03,マイジャグラーV,216,5778,-1000,17,21,1/152.1,1/339.9,1/275.1,6.119221287152621
2023-09-03,マイジャグラーV,217,5160,200,21,13,1/151.8,1/245.7,1/396.9,5.901328753932718
2023-09-03,マイジャグラーV,218,6815,-600,26,14,1/170.4,1/262.1,1/486.8,5.996769345007873
2023-09-03,マイジャグラーV,219,4839,440,20,13,1/146.6,1/241.9,1/372.2,5.810880978805975
2023-09-03,マイジャグラーV,220,6445,1560,30,19,1/131.5,1/214.8,1/339.2,5.804988515079041
2023-09-03,マイジャグラーV,221,4050,-520,13,10,1/176.1,1/311.5,1/405.0,5.718424259956037
2023-09-03,マイジャグラーV,222,4567,-1160,12,12,1/190.3,1/380.6,1/380.6,5.724016569310888
2023-09-03,マイジャグラーV,223,5878,-360,21,17,1/154.7,1/279.9,1/345.8,5.974370069288184
2023-09-03,マイジャグラーV,224,6369,2360,35,15,1/127.4,1/182.0,1/424.6,5.873804796956032
2023-09-03,マイジャグラーV,225,2640,-360,10,3,1/203.1,1/264.0,1/880.0,5.798455568181106
2023-09-03,マイジャグラーV,226,6690,-360,23,18,1/163.2,1/290.9,1/371.7,5.722842665549986
2023-09-03,マイジャグラーV,256,5970,-80,24,12,1/165.8,1/248.8,1/497.5,5.865690355094229
2023-09-03,マイジャグラーV,257,4174,760,17,14,1/134.6,1/245.5,1/298.1,5.6389381867235695
2023-09-03,マイジャグラーV,258,6335,1720,33,14,1/134.8,1/192.0,1/452.5,5.94685086524832
2023-09-03,マイジャグラーV,259,6601,-2120,13,24,1/178.4,1/507.8,1/275.0,5.747635277403667
2023-09-03,マイジャグラーV,260,3143,-80,13,7,1/157.2,1/241.8,1/449.0,6.137988858900879
2023-09-03,マイジャグラーV,278,6895,3000,38,15,1/130.1,1/181.4,1/459.7,5.556140699633648
2023-09-03,マイジャグラーV,279,2191,-1560,3,3,1/365.2,1/730.3,1/730.3,5.880120624193322
2023-09-03,マイジャグラーV,280,8048,-1000,23,27,1/161.0,1/349.9,1/298.1,5.702136972188506
2023-09-03,マイジャグラーV,281,2884,-760,7,8,1/192.3,1/412.0,1/360.5,5.625535397506251
2023-09-03,マイジャグラーV,282,5130,-520,19,9,1/183.2,1/270.0,1/570.0,5.814168547901064
2023-09-03,マイジャグラーV,283,5283,-360,20,11,1/170.4,1/264.1,1/480.3,5.889599285803311
2023-09-03,ファンキージャグラー2,195,8039,2680,33,40,1/110.1,1/243.6,1/201.0,5.689832316893934
2023-09-03,ファンキージャグラー2,196,2444,0,10,4,1/174.6,1/244.4,1/611.0,5.739374847283666
2023-09-03,ファンキージャグラー2,227,5785,360,23,14,1/156.4,1/251.5,1/413.2,5.676939805608971
2023-09-03,ファンキージャグラー2,228,4020,600,18,10,1/143.6,1/223.3,1/402.0,5.840504113959567
2023-09-03,ハッピージャグラーVIII,261,3971,1000,18,12,1/132.4,1/220.6,1/330.9,5.897957646507706
2023-09-03,ハッピージャグラーVIII,262,4075,600,16,10,1/156.7,1/254.7,1/407.5,5.5113907005425595
2023-09-03,ハッピージャグラーVIII,263,6847,2840,34,25,1/116.1,1/201.4,1/273.9,5.902386428924857
2023-09-03,ハッピージャグラーVIII,264,5211,840,21,15,1/144.8,1/248.1,1/347.4,5.714095150457808
2023-09-03,ハッピージャグラーVIII,273,3530,-840,9,11,1/176.5,1/392.2,1/320.9,6.001539913534471
2023-09-03,ハッピージャグラーVIII,274,4241,-840,13,13,1/163.1,1/326.2,1/326.2,6.378939662221157
2023-09-03,ハッピージャグラーVIII,275,2063,840,12,3,1/137.5,1/171.9,1/687.7,5.908299144803769
2023-09-03,ハッピージャグラーVIII,276,7838,2120,34,31,1/120.6,1/230.5,1/252.8,6.003777408535509
2023-09-03,ハッピージャグラーVIII,277,959,-120,4,1,1/191.8,1/239.8,1/959.0,6.37152307887409
2023-08-25,アイムジャグラーEX-TP,186,7464,2520,34,30,1/116.6,1/219.5,1/248.8,5.976351327979855
2023-08-25,アイムジャグラーEX-TP,187,1874,-760,5,3,1/234.2,1/374.8,1/624.7,6.154170307500968
2023-08-25,アイムジャグラーEX-TP,188,7599,920,25,37,1/122.6,1/304.0,1/205.4,5.886588653008923
2023-08-25,アイムジャグラーEX-TP,189,2870,-920,7,7,1/205.0,1/410.0,1/410.0,5.870953976834893
2023-08-25,アイムジャグラーEX-TP,190,5506,1240,27,9,1/152.9,1/203.9,1/611.8,5.857501395438536
2023-08-25,アイムジャグラーEX-TP,191,5125,1640,24,14,1/134.9,1/213.5,1/366.1,5.6675707133121564
2023-08-25,アイムジャグラーEX-TP,192,7940,2600,36,33,1/115.1,1/220.6,1/240.6,6.057247781142025
2023-08-25,アイムジャグラーEX-TP,193,7957,1000,25,41,1/120.6,1/318.3,1/194.1,5.8232556078127145
2023-08-25,アイムジャグラーEX-TP,194,7959,-360,22,36,1/137.2,1/361.8,1/221.1,5.8920645727635765
2023-08-25,アイムジャグラーEX-TP,229,4343,520,21,7,1/155.1,1/206.8,1/620.4,6.25173891333348
2023-08-25,アイムジャグラーEX-TP,230,7139,2120,35,16,1/140.0,1/204.0,1/446.2,5.7970387939801205
2023-08-25,アイムジャグラーEX-TP,231,1862,-1720,2,1,1/620.7,1/931.0,1/1862.0,6.232683341225721
2023-08-25,アイムジャグラーEX-TP,232,5292,2120,28,15,1/123.1,1/189.0,1/352.8,6.016953003856341
2023-08-25,アイムジャグラーEX-TP,233,5577,-1480,15,17,1/174.3,1/371.8,1/328.1,6.168871923157602
2023-08-25,アイムジャグラーEX-TP,234,5144,360,24,8,1/160.8,1/214.3,1/643.0,6.260117927770505
2023-08-25,アイムジャグラーEX-TP,235,5783,440,26,9,1/165.2,1/222.4,1/642.6,6.030613555123651
2023-08-25,アイムジャグラーEX-TP,236,5243,-680,16,15,1/169.1,1/327.7,1/349.5,5.885033826934231
2023-08-25,マイジャグラーV,197,6612,-760,22,20,1/157.4,1/300.5,1/330.6,6.008611916637743
2023-08-25,マイジャグラーV,198,5155,1800,26,17,1/119.9,1/198.3,1/303.2,5.887112350906899
2023-08-25,マイジャグラーV,199,7682,3320,35,36,1/108.2,1/219.5,1/213.4,5.60894640678541
2023-08-25,マイジャグラーV,200,5917,-1240,16,16,1/184.9,1/369.8,1/369.8,5.647914968134531
2023-08-25,マイジャグラーV,201,7411,600,30,23,1/139.8,1/247.0,1/322.2,5.937404587664321
2023-08-25,マイジャグラーV,202,2997,-1400,4,7,1/272.5,1/749.2,1/428.1,5.257608324016717
2023-08-25,マイジャグラーV,203,7886,3240,37,34,1/111.1,1/213.1,1/231.9,5.681039673628089
2023-08-25,マイジャグラーV,204,5893,0,21,21,1/140.3,1/280.6,1/280.6,5.9767391281756845
2023-08-25,マイジャグラーV,205,7020,-40,28,14,1/167.1,1/250.7,1/501.4,5.794576923968237
2023-08-25,マイジャグラーV,206,3332,1160,20,3,1/144.9,1/166.6,1/1110.7,5.896072050779054
