日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-02-17,アイムジャグラーEX-TP,1019,4960,93,21,12,1/150.3,1/236.2,1/413.3,6.385357756725979
2023-02-17,アイムジャグラーEX-TP,1020,3476,-253,13,8,1/165.5,1/267.4,1/434.5,6.169697311561497
2023-02-17,アイムジャグラーEX-TP,1021,3102,-173,12,5,1/182.5,1/258.5,1/620.4,5.9388331203783675
2023-02-17,アイムジャグラーEX-TP,1076,4660,-1160,14,7,1/221.9,1/332.9,1/665.7,5.790868980160247
2023-02-17,アイムジャグラーEX-TP,1077,4380,-1507,11,9,1/219.0,1/398.2,1/486.7,5.892996106855358
2023-02-17,アイムジャグラーEX-TP,1078,3724,-707,11,9,1/186.2,1/338.5,1/413.8,5.855963182031012
2023-02-17,アイムジャグラーEX-TP,1079,2566,-467,8,3,1/233.3,1/320.8,1/855.3,5.510992142025356
2023-02-17,アイムジャグラーEX-TP,1080,4346,-120,17,9,1/167.2,1/255.6,1/482.9,6.057587446069562
2023-02-17,アイムジャグラーEX-TP,1081,5762,3670,32,26,1/99.3,1/180.1,1/221.6,5.969685477143534
2023-02-17,アイムジャグラーEX-TP,1082,4052,-1160,13,7,1/202.6,1/311.7,1/578.9,6.29222757092623
2023-02-17,アイムジャグラーEX-TP,1083,5111,680,23,16,1/131.1,1/222.2,1/319.4,6.490680539663449
2023-02-17,アイムジャグラーEX-TP,1084,4105,-67,15,14,1/141.6,1/273.7,1/293.2,6.3038635773281735
2023-02-17,アイムジャグラーEX-TP,1085,3636,-1000,12,5,1/213.9,1/303.0,1/727.2,6.1866701114191045
2023-02-17,アイムジャグラーEX-TP,1086,3848,733,18,9,1/142.5,1/213.8,1/427.6,6.057189089308705
2023-02-17,アイムジャグラーEX-TP,1087,5307,1400,22,23,1/117.9,1/241.2,1/230.7,5.980102181883156
2023-02-17,アイムジャグラーEX-TP,1088,4400,-600,15,7,1/200.0,1/293.3,1/628.6,5.780813872902238
2023-02-17,アイムジャグラーEX-TP,1089,2771,-813,9,2,1/251.9,1/307.9,1/1385.5,5.925332386876776
2023-02-17,アイムジャグラーEX-TP,1090,5290,333,21,15,1/146.9,1/251.9,1/352.7,6.04328592076601
2023-02-17,アイムジャグラーEX-TP,1091,5969,-360,20,23,1/138.8,1/298.4,1/259.5,6.353555219691496
2023-02-17,アイムジャグラーEX-TP,1092,5430,-1267,18,8,1/208.8,1/301.7,1/678.8,6.052434142995945
2023-02-17,アイムジャグラーEX-TP,1093,4616,333,17,15,1/144.2,1/271.5,1/307.7,5.858123458276682
2023-02-17,アイムジャグラーEX-TP,1094,6844,733,30,14,1/155.5,1/228.1,1/488.9,5.973495832901875
2023-02-17,アイムジャグラーEX-TP,1095,5813,-653,22,10,1/181.7,1/264.2,1/581.3,6.147968887914183
