日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-02-17,アイムジャグラーEX-TP,386,4701,440,22,7,1/162.1,1/213.7,1/671.6,6.133690257305631
2023-02-17,アイムジャグラーEX-TP,387,1330,-413,4,0,1/332.5,1/332.5,1/0.0,5.4713777011327815
2023-02-17,アイムジャグラーEX-TP,388,1956,-1453,1,4,1/391.2,1/1956.0,1/489.0,5.471053358741472
2023-02-17,アイムジャグラーEX-TP,389,3083,-307,11,5,1/192.7,1/280.3,1/616.6,5.806285297242633
2023-02-17,アイムジャグラーEX-TP,390,1129,-600,3,0,1/376.3,1/376.3,1/0.0,6.0184313259936895
2023-02-17,アイムジャグラーEX-TP,391,502,-200,1,1,1/251.0,1/502.0,1/502.0,5.556811311276851
2023-02-17,アイムジャグラーEX-TP,392,6981,893,24,32,1/124.7,1/290.9,1/218.2,5.900349561692181
2023-02-17,アイムジャグラーEX-TP,393,811,-53,3,1,1/202.8,1/270.3,1/811.0,5.649267294907912
2023-02-17,アイムジャグラーEX-TP,394,1356,-707,2,3,1/271.2,1/678.0,1/452.0,5.611561040686341
2023-02-17,アイムジャグラーEX-TP,395,2107,-707,6,4,1/210.7,1/351.2,1/526.8,6.170583752451759
2023-02-17,アイムジャグラーEX-TP,396,2079,547,11,4,1/138.6,1/189.0,1/519.8,6.255859978988857
2023-02-17,アイムジャグラーEX-TP,397,4782,-920,14,18,1/149.4,1/341.6,1/265.7,6.442110831033914
2023-02-17,アイムジャグラーEX-TP,398,1037,147,4,4,1/129.6,1/259.2,1/259.2,5.999127147247852
2023-02-17,アイムジャグラーEX-TP,399,7209,2518,31,33,1/112.6,1/232.5,1/218.5,5.877306110940646
2023-02-17,アイムジャグラーEX-TP,400,754,-520,2,0,1/377.0,1/377.0,1/0.0,6.824662120391746
2023-02-17,アイムジャグラーEX-TP,401,5210,-920,16,10,1/200.4,1/325.6,1/521.0,5.725237605602336
2023-02-17,アイムジャグラーEX-TP,402,5540,333,24,16,1/138.5,1/230.8,1/346.2,6.53119660245738
2023-02-17,アイムジャグラーEX-TP,403,3760,893,18,10,1/134.3,1/208.9,1/376.0,6.108255176908715
2023-02-17,アイムジャグラーEX-TP,404,5360,2419,30,11,1/130.7,1/178.7,1/487.3,5.805935626797057
2023-02-17,アイムジャグラーEX-TP,452,4893,1133,21,17,1/128.8,1/233.0,1/287.8,5.923218097345166
2023-02-17,アイムジャグラーEX-TP,453,2060,93,9,3,1/171.7,1/228.9,1/686.7,5.983286299668537
2023-02-17,アイムジャグラーEX-TP,454,874,-600,2,0,1/437.0,1/437.0,1/0.0,6.314734153304694
2023-02-17,アイムジャグラーEX-TP,455,2095,1000,13,2,1/139.7,1/161.2,1/1047.5,5.90124138739171
2023-02-17,アイムジャグラーEX-TP,456,2307,-307,9,3,1/192.2,1/256.3,1/769.0,6.19571231999804
2023-02-17,アイムジャグラーEX-TP,457,2164,547,11,3,1/154.6,1/196.7,1/721.3,5.831342799259042
