日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-16,アイムジャグラーEX-TP,111,7435,992,30,24,137.7,247.8,309.8,5.967957326737196,4,6,-350.0,4356.0,272.2,335.1
2023-09-16,アイムジャグラーEX-TP,112,4432,-350,16,9,177.3,277.0,492.4,5.9308184744941945,1,6,-210.0,1354.0,270.8,677.0
2023-09-16,アイムジャグラーEX-TP,113,3711,-517,10,11,176.7,371.1,337.4,5.59586550736096,0,6,434.0,2094.0,261.8,209.4
2023-09-16,アイムジャグラーEX-TP,115,4719,-629,16,14,157.3,294.9,337.1,6.346322318992169,2,6,1301.0,3704.0,205.8,284.9
2023-09-16,アイムジャグラーEX-TP,116,5653,1329,32,7,144.9,176.7,807.6,6.540134065459673,1,6,-406.0,3728.0,338.9,286.8
2023-09-16,アイムジャグラーEX-TP,117,2011,-1524,4,2,335.2,502.8,1005.5,6.802676445561979,0,6,1692.0,4244.0,202.1,303.1
2023-09-16,アイムジャグラーEX-TP,118,4568,-825,12,14,175.7,380.7,326.3,5.731613772244791,3,6,-322.0,327.0,0.0,327.0
2023-09-16,アイムジャグラーEX-TP,120,4185,-769,16,2,232.5,261.6,2092.5,5.976949967430264,1,6,-1021.0,1820.0,606.7,303.3
2023-09-16,アイムジャグラーEX-TP,121,4716,-1245,12,14,181.4,393.0,336.9,5.960135791002151,2,6,-461.0,3346.0,304.2,418.2
2023-09-16,アイムジャグラーEX-TP,122,7363,-322,25,24,150.3,294.5,306.8,6.055864282908068,4,6,-98.0,1371.0,228.5,1371.0
2023-09-16,アイムジャグラーEX-TP,123,3491,-1301,9,8,205.4,387.9,436.4,6.203306502744425,0,6,-1021.0,1857.0,928.5,371.4
2023-09-16,アイムジャグラーEX-TP,125,2081,-1329,5,1,346.8,416.2,2081.0,6.450378241377059,0,6,-629.0,619.0,619.0,0.0
2023-09-16,アイムジャグラーEX-TP,126,5817,1469,25,25,116.3,232.7,232.7,6.193455703184647,5,6,-238.0,1880.0,313.3,626.7
2023-09-16,アイムジャグラーEX-TP,211,3394,-1133,8,10,188.6,424.2,339.4,6.053123452721592,0,6,-322.0,870.0,870.0,290.0
2023-09-16,アイムジャグラーEX-TP,212,5445,1860,28,18,118.4,194.5,302.5,6.333970918174518,4,6,-573.0,3626.0,302.2,329.6
2023-09-16,アイムジャグラーEX-TP,213,4396,-322,15,14,151.6,293.1,314.0,6.180402026716347,4,6,-461.0,1075.0,358.3,537.5
2023-09-16,アイムジャグラーEX-TP,215,4268,-741,15,8,185.6,284.5,533.5,6.186493767984481,1,6,-406.0,326.0,0.0,0.0
2023-09-16,アイムジャグラーEX-TP,216,4383,-601,13,14,162.3,337.2,313.1,5.962376465864809,4,6,-601.0,2303.0,329.0,383.8
2023-09-16,アイムジャグラーEX-TP,217,4413,-489,15,13,157.6,294.2,339.5,6.235829490801919,2,6,-993.0,1442.0,721.0,721.0
2023-09-16,アイムジャグラーEX-TP,218,5925,-1161,17,17,174.3,348.5,348.5,5.978209049646377,2,6,-1189.0,3366.0,420.8,280.5
2023-09-16,アイムジャグラーEX-TP,220,5452,-461,19,16,155.8,286.9,340.8,6.208108292728886,2,6,1245.0,4037.0,212.5,336.4
2023-09-16,ファンキージャグラー2,205,7129,434,30,19,145.5,237.6,375.2,6.019937634028768,1,6,-84.0,3495.0,291.2,317.7
2023-09-16,ファンキージャグラー2,206,4009,-1161,14,3,235.8,286.4,1336.3,6.004521401619899,1,6,-98.0,3942.0,281.6,303.2
2023-09-16,ファンキージャグラー2,207,5931,-70,22,17,152.1,269.6,348.9,5.897846949007154,3,6,-489.0,1206.0,603.0,1206.0
2023-09-16,ファンキージャグラー2,208,5341,518,25,13,140.6,213.6,410.8,6.279570788808766,1,6,-434.0,852.0,426.0,852.0
2023-09-16,ファンキージャグラー2,210,4005,1133,19,10,138.1,210.8,400.5,5.560382517525661,2,6,1329.0,6269.0,241.1,261.2
2023-09-16,ハッピージャグラーVIII,127,3178,-1273,8,5,244.5,397.2,635.6,6.034234406746988,0,6,-434.0,2429.0,347.0,485.8
2023-09-16,ハッピージャグラーVIII,128,2366,-1580,4,4,295.8,591.5,591.5,6.423261000835552,0,6,154.0,4276.0,285.1,267.2
2023-09-16,ハッピージャグラーVIII,130,3388,-1077,10,5,225.9,338.8,677.6,6.0897513959649645,0,6,98.0,3494.0,232.9,349.4
2023-09-16,ハッピージャグラーVIII,131,5480,-1748,13,19,171.2,421.5,288.4,6.344755243540767,1,6,-210.0,278.0,0.0,278.0
2023-09-16,ハッピージャグラーVIII,132,5428,657,22,16,142.8,246.7,339.2,5.935915190338325,2,6,-126.0,926.0,231.5,0.0
2023-09-16,ハッピージャグラーVIII,203,3646,-545,12,11,158.5,303.8,331.5,6.383788329267082,0,6,-210.0,836.0,278.7,836.0
2023-09-14,アイムジャグラーEX-TP,111,4356,-350,16,13,150.2,272.2,335.1,6.447230051066176,2,4,-375.0,4970.0,276.1,355.0
2023-09-14,アイムジャグラーEX-TP,112,1354,-210,5,2,193.4,270.8,677.0,6.131568516361031,0,4,1598.0,4931.0,214.4,328.7
2023-09-14,アイムジャグラーEX-TP,113,2094,434,8,10,116.3,261.8,209.4,6.056832526498064,0,4,1625.0,5795.0,222.9,276.0
2023-09-14,アイムジャグラーEX-TP,115,3704,1301,18,13,119.5,205.8,284.9,6.041001076730157,0,4,-264.0,6013.0,286.3,334.1
2023-09-14,アイムジャグラーEX-TP,116,3728,-406,11,13,155.3,338.9,286.8,5.94390484446102,0,4,-486.0,879.0,439.5,879.0
2023-09-14,アイムジャグラーEX-TP,117,4244,1692,21,14,121.3,202.1,303.1,5.841264517603422,4,4,-680.0,3124.0,312.4,446.3
2023-09-14,アイムジャグラーEX-TP,118,327,-322,0,1,327.0,0.0,327.0,6.388112406554321,0,4,-347.0,4516.0,282.2,347.4
2023-09-14,アイムジャグラーEX-TP,120,1820,-1021,3,6,202.2,606.7,303.3,6.4559256263179,0,4,-83.0,1273.0,254.6,424.3
2023-09-14,アイムジャグラーEX-TP,121,3346,-461,11,8,176.1,304.2,418.2,5.98433888141403,0,4,-264.0,8023.0,308.6,243.1
2023-09-14,アイムジャグラーEX-TP,122,1371,-98,6,1,195.9,228.5,1371.0,6.212134469013615,0,4,1348.0,4715.0,196.5,336.8
2023-09-14,アイムジャグラーEX-TP,123,1857,-1021,2,5,265.3,928.5,371.4,5.51173457789507,0,4,-264.0,1671.0,238.7,1671.0
2023-09-14,アイムジャグラーEX-TP,125,619,-629,1,0,619.0,619.0,0.0,7.231518767309937,0,4,-541.0,3387.0,307.9,282.2
2023-09-14,アイムジャグラーEX-TP,126,1880,-238,6,3,208.9,313.3,626.7,5.525366059175201,0,4,-375.0,2865.0,260.5,477.5
2023-09-14,アイムジャグラーEX-TP,211,870,-322,1,3,217.5,870.0,290.0,5.19155650024645,0,4,-625.0,1469.0,367.2,734.5
2023-09-14,アイムジャグラーEX-TP,212,3626,-573,12,11,157.7,302.2,329.6,6.400793204087561,0,4,1089.0,6850.0,253.7,274.0
2023-09-14,アイムジャグラーEX-TP,213,1075,-461,3,2,215.0,358.3,537.5,6.551412591205567,0,4,-1859.0,5238.0,523.8,327.4
2023-09-14,アイムジャグラーEX-TP,215,326,-406,0,0,0.0,0.0,0.0,6.235768675170775,0,4,2115.0,5079.0,203.2,220.8
2023-09-14,アイムジャグラーEX-TP,216,2303,-601,7,6,177.2,329.0,383.8,6.371843347166108,0,4,-83.0,3274.0,297.6,297.6
2023-09-14,アイムジャグラーEX-TP,217,1442,-993,2,2,360.5,721.0,721.0,5.886202480140393,0,4,-875.0,2203.0,440.6,550.8
2023-09-14,アイムジャグラーEX-TP,218,3366,-1189,8,12,168.3,420.8,280.5,6.460148674775157,0,4,-1347.0,2810.0,401.4,401.4
2023-09-14,アイムジャグラーEX-TP,220,4037,1245,19,12,130.2,212.5,336.4,5.8347869593826704,2,4,-347.0,4905.0,306.6,327.0
2023-09-14,ファンキージャグラー2,205,3495,-84,12,11,152.0,291.2,317.7,5.78276593044983,0,4,598.0,6416.0,237.6,320.8
2023-09-14,ファンキージャグラー2,206,3942,-98,14,13,146.0,281.6,303.2,5.970030130705722,0,4,-458.0,4262.0,304.4,355.2
2023-09-14,ファンキージャグラー2,207,1206,-489,2,1,402.0,603.0,1206.0,4.855897907766326,0,4,1833.0,6486.0,223.7,259.4
