日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-28,アイムジャグラーEX-TP,601,4570,330,18,15,1/138.5,1/253.9,1/304.7,6.1619648874521165
2022-08-28,アイムジャグラーEX-TP,602,3180,-1310,8,6,1/227.1,1/397.5,1/530.0,6.132251845798163
2022-08-28,アイムジャグラーEX-TP,603,4380,180,19,11,1/146.0,1/230.5,1/398.2,6.450019637217321
2022-08-28,アイムジャグラーEX-TP,605,3170,950,15,9,1/132.1,1/211.3,1/352.2,5.844968569926106
2022-08-28,アイムジャグラーEX-TP,606,2780,1510,16,7,1/120.9,1/173.8,1/397.1,5.773654668368441
2022-08-28,アイムジャグラーEX-TP,607,4470,-370,14,15,1/154.1,1/319.3,1/298.0,5.974597535004024
2022-08-28,アイムジャグラーEX-TP,608,5830,1440,29,13,1/138.8,1/201.0,1/448.5,6.092267867090749
2022-08-28,アイムジャグラーEX-TP,610,300,-320,0,0,1/0.0,1/0.0,1/0.0,5.473254031963804
2022-08-28,アイムジャグラーEX-TP,611,5440,1090,26,15,1/132.7,1/209.2,1/362.7,6.322998156508967
2022-08-28,アイムジャグラーEX-TP,612,2500,-620,7,7,1/178.6,1/357.1,1/357.1,6.106310872286508
2022-08-28,アイムジャグラーEX-TP,613,4300,-1710,10,10,1/215.0,1/430.0,1/430.0,6.038503181448595
2022-08-28,アイムジャグラーEX-TP,615,2770,130,11,8,1/145.8,1/251.8,1/346.2,6.1424237360993015
2022-08-28,アイムジャグラーEX-TP,616,1760,-600,5,4,1/195.6,1/352.0,1/440.0,6.363573746859568
2022-08-28,アイムジャグラーEX-TP,617,4360,240,19,8,1/161.5,1/229.5,1/545.0,6.089677626293943
2022-08-28,アイムジャグラーEX-TP,618,2290,280,11,2,1/176.2,1/208.2,1/1145.0,5.880082018157128
2022-08-28,アイムジャグラーEX-TP,620,1820,-530,6,3,1/202.2,1/303.3,1/606.7,6.390751248610583
2022-08-28,アイムジャグラーEX-TP,621,6630,1530,30,23,1/125.1,1/221.0,1/288.3,6.192997625223603
2022-08-28,アイムジャグラーEX-TP,622,1230,-130,5,1,1/205.0,1/246.0,1/1230.0,6.042987751404258
2022-08-28,アイムジャグラーEX-TP,701,2150,-850,5,4,1/238.9,1/430.0,1/537.5,5.8332016341103925
2022-08-28,アイムジャグラーEX-TP,702,1750,-840,4,2,1/291.7,1/437.5,1/875.0,5.860045373494178
2022-08-28,マイジャグラーV,703,6060,-1360,16,21,1/163.8,1/378.8,1/288.6,5.950830672378318
2022-08-28,マイジャグラーV,705,6840,2860,38,22,1/114.0,1/180.0,1/310.9,6.09230293192524
2022-08-28,マイジャグラーV,706,2940,-1720,3,11,1/210.0,1/980.0,1/267.3,5.948018265473913
2022-08-28,マイジャグラーV,707,3870,-1010,13,7,1/193.5,1/297.7,1/552.9,6.1843918374737035
2022-08-28,マイジャグラーV,708,5090,1760,31,7,1/133.9,1/164.2,1/727.1,6.210253974223207
2022-08-28,マイジャグラーV,710,5200,1450,27,9,1/144.4,1/192.6,1/577.8,5.705072961848971
2022-08-28,マイジャグラーV,711,5240,150,17,21,1/137.9,1/308.2,1/249.5,5.709244830886229
2022-08-28,マイジャグラーV,712,4790,-880,17,7,1/199.6,1/281.8,1/684.3,5.888826546350604
2022-08-28,ファンキージャグラー2,713,2270,130,10,5,1/151.3,1/227.0,1/454.0,6.050511778007522
2022-08-28,ファンキージャグラー2,715,2730,-900,7,8,1/182.0,1/390.0,1/341.2,6.123477226636789
2022-08-28,ファンキージャグラー2,716,2310,-890,5,7,1/192.5,1/462.0,1/330.0,5.983880436369947
2022-08-28,ファンキージャグラー2,717,3530,-740,9,12,1/168.1,1/392.2,1/294.2,5.774979085127978
2022-08-28,ファンキージャグラー2,718,4520,2220,27,12,1/115.9,1/167.4,1/376.7,5.979850417746132
2022-08-28,ファンキージャグラー2,720,1660,-930,2,4,1/276.7,1/830.0,1/415.0,5.514624968128956
