日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-11-08,アイムジャグラーEX-TP,1,4150,280,16,12,1/148.2,1/259.4,1/345.8,5.918501520983583
2022-11-08,アイムジャグラーEX-TP,2,5770,2280,26,28,1/106.9,1/221.9,1/206.1,6.019111147320823
2022-11-08,アイムジャグラーEX-TP,3,2720,1430,16,7,1/118.3,1/170.0,1/388.6,6.010584152542439
2022-11-08,アイムジャグラーEX-TP,4,2430,-760,6,6,1/202.5,1/405.0,1/405.0,5.882321614360805
2022-11-08,アイムジャグラーEX-TP,5,2110,-810,5,4,1/234.4,1/422.0,1/527.5,5.845876918247628
2022-11-08,アイムジャグラーEX-TP,6,2330,-520,8,3,1/211.8,1/291.2,1/776.7,6.061324212037608
2022-11-08,アイムジャグラーEX-TP,7,1450,-920,3,3,1/241.7,1/483.3,1/483.3,6.797283899109555
2022-11-08,アイムジャグラーEX-TP,8,3400,-710,11,7,1/188.9,1/309.1,1/485.7,6.104419689626167
2022-11-08,アイムジャグラーEX-TP,37,7420,-410,25,25,1/148.4,1/296.8,1/296.8,6.1273988622031395
2022-11-08,アイムジャグラーEX-TP,38,3520,-70,13,10,1/153.0,1/270.8,1/352.0,6.107219349197703
2022-11-08,アイムジャグラーEX-TP,39,2480,-70,7,12,1/130.5,1/354.3,1/206.7,6.0148851429790335
2022-11-08,アイムジャグラーEX-TP,40,3260,150,12,11,1/141.7,1/271.7,1/296.4,6.0236884319221105
2022-11-08,アイムジャグラーEX-TP,41,6470,3030,28,39,1/96.6,1/231.1,1/165.9,5.99179457535147
2022-11-08,アイムジャグラーEX-TP,42,2310,730,14,2,1/144.4,1/165.0,1/1155.0,6.456077432683514
2022-11-08,アイムジャグラーEX-TP,43,5450,490,20,24,1/123.9,1/272.5,1/227.1,6.265858658324452
2022-11-08,アイムジャグラーEX-TP,44,1220,-710,2,3,1/244.0,1/610.0,1/406.7,6.152680791103626
2022-11-08,アイムジャグラーEX-TP,45,1060,-310,4,0,1/265.0,1/265.0,1/0.0,6.212366829711992
2022-11-08,アイムジャグラーEX-TP,46,3670,730,20,4,1/152.9,1/183.5,1/917.5,6.378539741952438
2022-11-08,アイムジャグラーEX-TP,59,2190,-1320,4,4,1/273.8,1/547.5,1/547.5,6.188580458327964
2022-11-08,アイムジャグラーEX-TP,60,6800,1530,30,25,1/123.6,1/226.7,1/272.0,6.179131663892494
2022-11-08,アイムジャグラーEX-TP,61,1220,90,4,5,1/135.6,1/305.0,1/244.0,5.763891628443482
2022-11-08,アイムジャグラーEX-TP,62,4360,-650,16,7,1/189.6,1/272.5,1/622.9,6.133582821972829
2022-11-08,アイムジャグラーEX-TP,63,2780,-250,11,6,1/163.5,1/252.7,1/463.3,6.4585833469145575
2022-11-08,アイムジャグラーEX-TP,64,6030,2380,33,17,1/120.6,1/182.7,1/354.7,6.252535880275655
2022-11-08,アイムジャグラーEX-TP,73,6060,-70,20,24,1/137.7,1/303.0,1/252.5,6.105317328401794
2022-11-08,アイムジャグラーEX-TP,74,2230,-70,8,6,1/159.3,1/278.8,1/371.7,5.973240418641117
