日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-10,アイムジャグラーEX-TP,121,5360,-1550,15,14,1/184.8,1/357.3,1/382.9,6.214902396755078
2022-09-10,アイムジャグラーEX-TP,122,5370,-730,18,13,1/173.2,1/298.3,1/413.1,6.0623778034334395
2022-09-10,アイムジャグラーEX-TP,123,6960,-80,26,23,1/142.0,1/267.7,1/302.6,6.331692536467387
2022-09-10,アイムジャグラーEX-TP,124,5990,1290,28,17,1/133.1,1/213.9,1/352.4,6.159076821219222
2022-09-10,アイムジャグラーEX-TP,125,6970,-950,20,26,1/151.5,1/348.5,1/268.1,6.080107554223961
2022-09-10,アイムジャグラーEX-TP,126,4880,410,18,19,1/131.9,1/271.1,1/256.8,6.084833931727291
2022-09-10,アイムジャグラーEX-TP,127,5880,80,21,18,1/150.8,1/280.0,1/326.7,5.912688594529285
2022-09-10,アイムジャグラーEX-TP,128,4770,-1930,14,8,1/216.8,1/340.7,1/596.2,6.5224231198431655
2022-09-10,アイムジャグラーEX-TP,129,7870,970,28,33,1/129.0,1/281.1,1/238.5,5.889821202765103
2022-09-10,アイムジャグラーEX-TP,130,6390,640,23,29,1/122.9,1/277.8,1/220.3,6.19263694498128
2022-09-10,アイムジャグラーEX-TP,131,6470,-2020,17,20,1/174.9,1/380.6,1/323.5,6.341598173894169
2022-09-10,アイムジャグラーEX-TP,132,3700,-1660,9,8,1/217.6,1/411.1,1/462.5,6.336248435738667
2022-09-10,アイムジャグラーEX-TP,133,5560,-1220,15,17,1/173.8,1/370.7,1/327.1,5.970903230129778
2022-09-10,アイムジャグラーEX-TP,134,4730,-20,18,17,1/135.1,1/262.8,1/278.2,6.527284982711318
2022-09-10,アイムジャグラーEX-TP,135,3760,1010,19,8,1/139.3,1/197.9,1/470.0,6.039271487177831
2022-09-10,アイムジャグラーEX-TP,136,5040,1980,27,10,1/136.2,1/186.7,1/504.0,5.771144244425822
2022-09-10,アイムジャグラーEX-TP,137,7000,2070,37,17,1/129.6,1/189.2,1/411.8,6.325725142724174
2022-09-10,アイムジャグラーEX-TP,138,4490,-730,15,10,1/179.6,1/299.3,1/449.0,6.0872000215288935
2022-09-10,アイムジャグラーEX-TP,139,5270,1040,25,9,1/155.0,1/210.8,1/585.6,5.834691347595593
2022-09-10,アイムジャグラーEX-TP,140,5890,910,28,12,1/147.2,1/210.4,1/490.8,6.180640931415243
2022-09-10,アイムジャグラーEX-TP,141,4830,870,22,12,1/142.1,1/219.5,1/402.5,6.026872363945227
2022-09-10,アイムジャグラーEX-TP,142,3890,-460,15,8,1/169.1,1/259.3,1/486.2,6.423892520516616
2022-09-10,アイムジャグラーEX-TP,143,4620,390,19,15,1/135.9,1/243.2,1/308.0,6.298205297772193
2022-09-10,アイムジャグラーEX-TP,144,6310,2950,32,22,1/116.9,1/197.2,1/286.8,5.757168473088521
2022-09-10,アイムジャグラーEX-TP,145,6400,690,24,25,1/130.6,1/266.7,1/256.0,6.05201088700021
2022-09-10,アイムジャグラーEX-TP,146,5170,90,20,14,1/152.1,1/258.5,1/369.3,6.079747233038827
2022-09-10,アイムジャグラーEX-TP,147,5870,870,21,27,1/122.3,1/279.5,1/217.4,5.972094143807213
2022-09-10,アイムジャグラーEX-TP,148,6070,-780,17,24,1/148.0,1/357.1,1/252.9,6.062685067332011
2022-09-10,アイムジャグラーEX-TP,149,4510,100,22,4,1/173.5,1/205.0,1/1127.5,6.449510273383443
2022-09-10,アイムジャグラーEX-TP,150,4910,1170,24,12,1/136.4,1/204.6,1/409.2,6.126920340302383
2022-09-10,アイムジャグラーEX-TP,151,5350,320,19,19,1/140.8,1/281.6,1/281.6,5.892871993051919
2022-09-10,アイムジャグラーEX-TP,152,6340,-370,24,19,1/147.4,1/264.2,1/333.7,6.486100384066147
2022-09-10,マイジャグラーV,153,6380,1520,32,19,1/125.1,1/199.4,1/335.8,6.225125567881104
2022-09-10,マイジャグラーV,154,5180,-1130,16,12,1/185.0,1/323.8,1/431.7,5.913963195340573
2022-09-10,マイジャグラーV,155,6660,1430,30,20,1/133.2,1/222.0,1/333.0,5.79078204446299
2022-09-10,マイジャグラーV,156,5940,-290,20,19,1/152.3,1/297.0,1/312.6,5.833109579407021
2022-09-10,マイジャグラーV,157,9500,-60,34,25,1/161.0,1/279.4,1/380.0,5.6445626336638
2022-09-10,マイジャグラーV,158,4890,-1040,20,4,1/203.8,1/244.5,1/1222.5,6.3421125171496024
2022-09-10,マイジャグラーV,159,7560,1700,33,26,1/128.1,1/229.1,1/290.8,5.782548193064598
2022-09-10,マイジャグラーV,160,5220,-840,18,12,1/174.0,1/290.0,1/435.0,6.034798416489705
2022-09-10,マイジャグラーV,161,5880,-540,23,10,1/178.2,1/255.7,1/588.0,5.966312858226099
2022-09-10,マイジャグラーV,162,6520,200,29,11,1/163.0,1/224.8,1/592.7,5.986418817297572
2022-09-10,マイジャグラーV,163,6350,-900,22,15,1/171.6,1/288.6,1/423.3,5.992957920528541
2022-09-10,マイジャグラーV,164,6990,590,26,26,1/134.4,1/268.8,1/268.8,5.836304983547976
2022-09-10,マイジャグラーV,165,7450,-1360,19,26,1/165.6,1/392.1,1/286.5,5.692346711478298
2022-09-10,マイジャグラーV,166,6280,570,25,21,1/136.5,1/251.2,1/299.0,5.924368735162841
2022-09-10,マイジャグラーV,167,9140,2120,39,33,1/126.9,1/234.4,1/277.0,5.723659257476385
2022-09-10,マイジャグラーV,168,5700,870,28,9,1/154.1,1/203.6,1/633.3,5.893170009812905
2022-09-10,マイジャグラーV,169,5120,-270,18,13,1/165.2,1/284.4,1/393.8,5.735438665000476
2022-09-10,マイジャグラーV,170,6930,-380,26,17,1/161.2,1/266.5,1/407.6,5.950526332318713
2022-09-10,マイジャグラーV,171,6090,-1150,18,15,1/184.5,1/338.3,1/406.0,5.714501733979458
2022-09-10,マイジャグラーV,172,6180,-1110,20,16,1/171.7,1/309.0,1/386.2,6.014836060314498
2022-09-10,マイジャグラーV,173,5540,-2210,13,14,1/205.2,1/426.2,1/395.7,6.017335520030166
2022-09-10,マイジャグラーV,174,5290,1170,24,14,1/139.2,1/220.4,1/377.9,5.656994929704419
2022-09-10,マイジャグラーV,175,8850,2440,36,45,1/109.3,1/245.8,1/196.7,5.931664957612682
2022-09-10,マイジャグラーV,176,8000,920,26,40,1/121.2,1/307.7,1/200.0,5.748293026422388
2022-09-10,マイジャグラーV,177,8870,2020,37,33,1/126.7,1/239.7,1/268.8,5.690319698856349
2022-09-10,マイジャグラーV,178,7100,2400,35,22,1/124.6,1/202.9,1/322.7,5.738815397362954
2022-09-10,マイジャグラーV,179,7310,-1980,21,18,1/187.4,1/348.1,1/406.1,5.979902109370589
2022-09-10,マイジャグラーV,180,3990,-1650,10,9,1/210.0,1/399.0,1/443.3,6.141928539007797
2022-09-10,マイジャグラーV,181,7080,-2580,16,25,1/172.7,1/442.5,1/283.2,6.205829482738853
2022-09-10,マイジャグラーV,182,6440,-1340,20,13,1/195.2,1/322.0,1/495.4,5.767144897903625
2022-09-10,ファンキージャグラー2,107,5670,-2210,11,16,1/210.0,1/515.5,1/354.4,5.689929689980368
2022-09-10,ファンキージャグラー2,108,7740,590,28,29,1/135.8,1/276.4,1/266.9,5.78643566776888
2022-09-10,ファンキージャグラー2,109,5280,20,24,8,1/165.0,1/220.0,1/660.0,6.150677622949483
2022-09-10,ファンキージャグラー2,110,5190,-760,16,17,1/157.3,1/324.4,1/305.3,6.002860033168983
2022-09-10,ファンキージャグラー2,111,6390,-360,25,12,1/172.7,1/255.6,1/532.5,5.893377593613571
2022-09-10,ファンキージャグラー2,112,4370,830,21,8,1/150.7,1/208.1,1/546.2,5.736631196148318
2022-09-10,ファンキージャグラー2,113,6210,110,23,20,1/144.4,1/270.0,1/310.5,5.910431971915454
2022-09-10,ファンキージャグラー2,114,5990,200,24,18,1/142.6,1/249.6,1/332.8,6.073192873427538
2022-09-10,ファンキージャグラー2,115,6840,1330,34,16,1/136.8,1/201.2,1/427.5,6.101825552018954
2022-09-10,ファンキージャグラー2,116,4010,-320,15,11,1/154.2,1/267.3,1/364.5,6.188764652739502
