日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-07,アイムジャグラーEX-TP,474,3210,-920,8,8,1/200.6,1/401.2,1/401.2,5.804823392317091
2022-09-07,アイムジャグラーEX-TP,475,7680,1060,31,25,1/137.1,1/247.7,1/307.2,5.960709610060932
2022-09-07,アイムジャグラーEX-TP,476,3770,-1310,11,7,1/209.4,1/342.7,1/538.6,6.294786697729852
2022-09-07,アイムジャグラーEX-TP,477,6770,200,22,28,1/135.4,1/307.7,1/241.8,5.937147098212778
2022-09-07,アイムジャグラーEX-TP,478,6300,1290,22,32,1/116.7,1/286.4,1/196.9,5.83136524756228
2022-09-07,アイムジャグラーEX-TP,495,4670,-1060,14,12,1/179.6,1/333.6,1/389.2,6.137918099669013
2022-09-07,アイムジャグラーEX-TP,496,3570,-370,15,3,1/198.3,1/238.0,1/1190.0,6.206533619679962
2022-09-07,アイムジャグラーEX-TP,497,5780,230,22,20,1/137.6,1/262.7,1/289.0,6.2392142821443946
2022-09-07,アイムジャグラーEX-TP,498,6180,-530,21,21,1/147.1,1/294.3,1/294.3,6.3234493454360186
2022-09-07,アイムジャグラーEX-TP,499,7630,1570,28,41,1/110.6,1/272.5,1/186.1,6.152710020801079
2022-09-07,マイジャグラーV,470,4830,-850,16,12,1/172.5,1/301.9,1/402.5,6.036123103731385
2022-09-07,マイジャグラーV,471,3810,-540,13,7,1/190.5,1/293.1,1/544.3,5.724675452879018
2022-09-07,マイジャグラーV,472,5840,-1340,17,18,1/166.9,1/343.5,1/324.4,6.101968809640149
2022-09-07,マイジャグラーV,473,6710,1900,35,16,1/131.6,1/191.7,1/419.4,5.976326510408811
2022-09-07,マイジャグラーV,500,8380,2770,44,23,1/125.1,1/190.5,1/364.3,5.95482818695183
2022-09-07,マイジャグラーV,501,4850,-360,19,9,1/173.2,1/255.3,1/538.9,5.959996900187179
2022-09-07,マイジャグラーV,502,4230,-1040,13,9,1/192.3,1/325.4,1/470.0,5.940341800315726
2022-09-07,マイジャグラーV,503,5160,-1340,14,11,1/206.4,1/368.6,1/469.1,5.639124860278661
2022-09-07,ファンキージャグラー2,479,6150,680,23,25,1/128.1,1/267.4,1/246.0,5.893976703218506
2022-09-07,ファンキージャグラー2,480,2810,-380,10,5,1/187.3,1/281.0,1/562.0,5.828519662308846
2022-09-07,ファンキージャグラー2,481,6580,-920,22,16,1/173.2,1/299.1,1/411.2,5.893848474798759
2022-09-07,ファンキージャグラー2,482,3690,-150,15,8,1/160.4,1/246.0,1/461.2,6.1116076447267815
2022-09-07,ファンキージャグラー2,483,6320,2490,36,17,1/119.2,1/175.6,1/371.8,6.136567265443189
