日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,year,month,day,weekday,day_end,day_end_2,day_zoro,machine_end,machine_end_2,machine_zoro,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-12,アイムジャグラーEX-TP,318,1858,810,9,6,123.9,206.4,309.7,5.556908560770553,0,2023,9,12,1,2,1,0,8,1,0,-539.0,1218.0,609.0,243.6
2023-09-12,アイムジャグラーEX-TP,319,224,-281,0,0,0.0,0.0,0.0,6.280146103113271,0,2023,9,12,1,2,1,0,9,1,0,-414.0,505.0,0.0,252.5
2023-09-12,アイムジャグラーEX-TP,320,3109,778,13,12,124.4,239.2,259.1,5.88088297078828,0,2023,9,12,1,2,1,0,0,2,0,-263.0,608.0,304.0,0.0
2023-09-12,アイムジャグラーEX-TP,321,475,-261,1,0,475.0,475.0,0.0,5.517625910771277,0,2023,9,12,1,2,1,0,1,2,0,-1078.0,1228.0,1228.0,1228.0
2023-09-12,アイムジャグラーEX-TP,322,973,85,4,2,162.2,243.2,486.5,5.767825634066615,0,2023,9,12,1,2,1,0,2,2,1,-331.0,1204.0,301.0,602.0
2023-09-12,アイムジャグラーEX-TP,323,1419,-644,2,5,202.7,709.5,283.8,5.777287167529642,0,2023,9,12,1,2,1,0,3,2,0,1314.0,3035.0,202.3,252.9
2023-09-12,アイムジャグラーEX-TP,324,523,-271,1,0,523.0,523.0,0.0,5.229598889765154,0,2023,9,12,1,2,1,0,4,2,0,-278.0,490.0,490.0,490.0
2023-09-12,アイムジャグラーEX-TP,325,867,-588,1,1,433.5,867.0,867.0,5.515471374321873,0,2023,9,12,1,2,1,0,5,2,0,-383.0,1507.0,301.4,376.8
2023-09-12,アイムジャグラーEX-TP,326,203,-267,0,0,0.0,0.0,0.0,6.594951710659001,0,2023,9,12,1,2,1,0,6,2,0,1006.0,5407.0,208.0,360.5
2023-09-12,アイムジャグラーEX-TP,337,1175,-524,3,2,235.0,391.7,587.5,6.256131341487602,0,2023,9,12,1,2,1,0,7,3,0,519.0,2608.0,217.3,652.0
2023-09-12,アイムジャグラーEX-TP,338,542,-117,2,0,271.0,271.0,0.0,5.77479287991478,0,2023,9,12,1,2,1,0,8,3,0,-1132.0,4169.0,595.6,208.4
2023-09-12,アイムジャグラーEX-TP,339,901,-385,2,1,300.3,450.5,901.0,5.564878734745453,0,2023,9,12,1,2,1,0,9,3,0,-819.0,1535.0,511.7,511.7
2023-09-12,アイムジャグラーEX-TP,340,8,-10,0,0,0.0,0.0,0.0,6.258213905751299,0,2023,9,12,1,2,1,0,0,4,0,315.0,778.0,155.6,778.0
2023-09-12,アイムジャグラーEX-TP,341,0,0,0,0,0.0,0.0,0.0,0.0,0,2023,9,12,1,2,1,0,1,4,0,-255.0,1536.0,307.2,512.0
2023-09-12,マイジャグラーV,309,3320,38,13,9,150.9,255.4,368.9,5.939363570358962,0,2023,9,12,1,2,1,0,9,0,0,-2687.0,4900.0,612.5,408.3
2023-09-12,マイジャグラーV,310,1685,-188,6,3,187.2,280.8,561.7,5.7247376680370285,0,2023,9,12,1,2,1,0,0,1,0,-101.0,2418.0,302.2,268.7
2023-09-12,マイジャグラーV,311,1332,-612,3,3,222.0,444.0,444.0,6.071220752252965,0,2023,9,12,1,2,1,0,1,1,1,48.0,4411.0,245.1,490.1
2023-09-12,マイジャグラーV,312,2407,-1119,5,8,185.2,481.4,300.9,6.389412295214168,0,2023,9,12,1,2,1,0,2,1,0,-1009.0,1927.0,963.5,275.3
2023-09-12,マイジャグラーV,333,148,-223,0,0,0.0,0.0,0.0,7.814230399943399,0,2023,9,12,1,2,1,0,3,3,1,393.0,1829.0,182.9,914.5
2023-09-12,マイジャグラーV,334,3755,1906,23,8,121.1,163.3,469.4,5.840505799467692,0,2023,9,12,1,2,1,0,4,3,0,-202.0,171.0,0.0,0.0
2023-09-12,マイジャグラーV,335,773,-90,3,1,193.2,257.7,773.0,5.872188605430128,0,2023,9,12,1,2,1,0,5,3,0,-254.0,3492.0,232.8,698.4
2023-09-12,マイジャグラーV,336,2061,557,9,4,158.5,229.0,515.2,5.091761129340513,0,2023,9,12,1,2,1,0,6,3,0,569.0,4282.0,225.4,329.4
2023-09-12,ファンキージャグラー2,316,1718,-731,3,7,171.8,572.7,245.4,6.166528760279156,0,2023,9,12,1,2,1,0,6,1,0,494.0,1804.0,180.4,601.3
2023-09-12,ファンキージャグラー2,317,1392,-637,4,1,278.4,348.0,1392.0,6.082917772891731,0,2023,9,12,1,2,1,0,7,1,0,76.0,1018.0,254.5,339.3
2023-09-12,ファンキージャグラー2,327,346,-236,0,1,346.0,0.0,346.0,5.09122826249696,0,2023,9,12,1,2,1,0,7,2,0,99.0,723.0,241.0,361.5
2023-09-12,ファンキージャグラー2,328,2911,-597,8,9,171.2,363.9,323.4,5.832504778544015,0,2023,9,12,1,2,1,0,8,2,0,-37.0,1051.0,262.8,350.3
2023-09-12,ファンキージャグラー2,329,478,-578,0,0,0.0,0.0,0.0,6.06292568508365,0,2023,9,12,1,2,1,0,9,2,0,276.0,271.0,135.5,271.0
