日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-12,アイムジャグラーEX-TP,318,1858,810,9,6,1/123.9,1/206.4,1/309.7,5.556908560770553
2023-09-12,アイムジャグラーEX-TP,319,224,-281,0,0,1/0.0,1/0.0,1/0.0,6.280146103113271
2023-09-12,アイムジャグラーEX-TP,320,3109,778,13,12,1/124.4,1/239.2,1/259.1,5.88088297078828
2023-09-12,アイムジャグラーEX-TP,321,475,-261,1,0,1/475.0,1/475.0,1/0.0,5.517625910771277
2023-09-12,アイムジャグラーEX-TP,322,973,85,4,2,1/162.2,1/243.2,1/486.5,5.767825634066615
2023-09-12,アイムジャグラーEX-TP,323,1419,-644,2,5,1/202.7,1/709.5,1/283.8,5.777287167529642
2023-09-12,アイムジャグラーEX-TP,324,523,-271,1,0,1/523.0,1/523.0,1/0.0,5.229598889765154
2023-09-12,アイムジャグラーEX-TP,325,867,-588,1,1,1/433.5,1/867.0,1/867.0,5.515471374321873
2023-09-12,アイムジャグラーEX-TP,326,203,-267,0,0,1/0.0,1/0.0,1/0.0,6.594951710659001
2023-09-12,アイムジャグラーEX-TP,337,1175,-524,3,2,1/235.0,1/391.7,1/587.5,6.256131341487602
2023-09-12,アイムジャグラーEX-TP,338,542,-117,2,0,1/271.0,1/271.0,1/0.0,5.77479287991478
2023-09-12,アイムジャグラーEX-TP,339,901,-385,2,1,1/300.3,1/450.5,1/901.0,5.564878734745453
2023-09-12,アイムジャグラーEX-TP,340,8,-10,0,0,1/0.0,1/0.0,1/0.0,6.258213905751299
2023-09-12,アイムジャグラーEX-TP,341,0,0,0,0,1/0.0,1/0.0,1/0.0,0.0
2023-09-12,マイジャグラーV,309,3320,38,13,9,1/150.9,1/255.4,1/368.9,5.939363570358962
2023-09-12,マイジャグラーV,310,1685,-188,6,3,1/187.2,1/280.8,1/561.7,5.7247376680370285
2023-09-12,マイジャグラーV,311,1332,-612,3,3,1/222.0,1/444.0,1/444.0,6.071220752252965
2023-09-12,マイジャグラーV,312,2407,-1119,5,8,1/185.2,1/481.4,1/300.9,6.389412295214168
2023-09-12,マイジャグラーV,333,148,-223,0,0,1/0.0,1/0.0,1/0.0,7.8142303999433995
2023-09-12,マイジャグラーV,334,3755,1906,23,8,1/121.1,1/163.3,1/469.4,5.840505799467692
2023-09-12,マイジャグラーV,335,773,-90,3,1,1/193.2,1/257.7,1/773.0,5.872188605430128
2023-09-12,マイジャグラーV,336,2061,557,9,4,1/158.5,1/229.0,1/515.2,5.091761129340513
2023-09-12,ファンキージャグラー2,316,1718,-731,3,7,1/171.8,1/572.7,1/245.4,6.166528760279156
2023-09-12,ファンキージャグラー2,317,1392,-637,4,1,1/278.4,1/348.0,1/1392.0,6.082917772891731
2023-09-12,ファンキージャグラー2,327,346,-236,0,1,1/346.0,1/0.0,1/346.0,5.09122826249696
2023-09-12,ファンキージャグラー2,328,2911,-597,8,9,1/171.2,1/363.9,1/323.4,5.832504778544015
2023-09-12,ファンキージャグラー2,329,478,-578,0,0,1/0.0,1/0.0,1/0.0,6.06292568508365
2023-09-12,ハッピージャグラーVIII,313,713,-14,4,0,1/178.2,1/178.2,1/0.0,7.168946196329834
2023-09-12,ハッピージャグラーVIII,314,2773,-247,12,4,1/173.3,1/231.1,1/693.2,6.579525131137465
2023-09-12,ハッピージャグラーVIII,315,1885,-581,6,2,1/235.6,1/314.2,1/942.5,6.1182290972508335
2023-09-12,ハッピージャグラーVIII,330,2254,122,10,3,1/173.4,1/225.4,1/751.3,5.954110162000532
2023-09-12,ハッピージャグラーVIII,331,3539,942,16,15,1/114.2,1/221.2,1/235.9,6.363560372469671
2023-09-12,ハッピージャグラーVIII,332,5914,353,21,24,1/131.4,1/281.6,1/246.4,6.151610412084306
2023-09-11,アイムジャグラーEX-TP,318,1218,-539,2,5,1/174.0,1/609.0,1/243.6,6.239179723055208
2023-09-11,アイムジャグラーEX-TP,319,505,-414,0,2,1/252.5,1/0.0,1/252.5,6.009207772226037
2023-09-11,アイムジャグラーEX-TP,320,608,-263,2,0,1/304.0,1/304.0,1/0.0,6.302815886662101
2023-09-11,アイムジャグラーEX-TP,321,1228,-1078,1,1,1/614.0,1/1228.0,1/1228.0,5.846655184750018
2023-09-11,アイムジャグラーEX-TP,322,1204,-331,4,2,1/200.7,1/301.0,1/602.0,6.3468748441615555
2023-09-11,アイムジャグラーEX-TP,323,3035,1314,15,12,1/112.4,1/202.3,1/252.9,5.957257121792933
2023-09-11,アイムジャグラーEX-TP,324,490,-278,1,1,1/245.0,1/490.0,1/490.0,6.380449261755977
2023-09-11,アイムジャグラーEX-TP,325,1507,-383,5,4,1/167.4,1/301.4,1/376.8,6.7354655514010995
2023-09-11,アイムジャグラーEX-TP,326,5407,1006,26,15,1/131.9,1/208.0,1/360.5,6.441336785025764
2023-09-11,アイムジャグラーEX-TP,337,2608,519,12,4,1/163.0,1/217.3,1/652.0,5.613342467355014
2023-09-11,アイムジャグラーEX-TP,338,4169,-1132,7,20,1/154.4,1/595.6,1/208.4,5.805581855981714
2023-09-11,アイムジャグラーEX-TP,339,1535,-819,3,3,1/255.8,1/511.7,1/511.7,6.0717799096471685
2023-09-11,アイムジャグラーEX-TP,340,778,315,5,1,1/129.7,1/155.6,1/778.0,6.688640024099738
2023-09-11,アイムジャグラーEX-TP,341,1536,-255,5,3,1/192.0,1/307.2,1/512.0,5.889289636644632
2023-09-11,マイジャグラーV,309,4900,-2687,8,12,1/245.0,1/612.5,1/408.3,5.889779684677421
2023-09-11,マイジャグラーV,310,2418,-101,8,9,1/142.2,1/302.2,1/268.7,5.958285459497374
2023-09-11,マイジャグラーV,311,4411,48,18,9,1/163.4,1/245.1,1/490.1,5.836182842825469
2023-09-11,マイジャグラーV,312,1927,-1009,2,7,1/214.1,1/963.5,1/275.3,5.6633135620772475
2023-09-11,マイジャグラーV,333,1829,393,10,2,1/152.4,1/182.9,1/914.5,6.000805375996533
2023-09-11,マイジャグラーV,334,171,-202,0,0,1/0.0,1/0.0,1/0.0,5.929248719544498
2023-09-11,マイジャグラーV,335,3492,-254,15,5,1/174.6,1/232.8,1/698.4,6.183799686186332
2023-09-11,マイジャグラーV,336,4282,569,19,13,1/133.8,1/225.4,1/329.4,6.0945826060092925
2023-09-11,ファンキージャグラー2,316,1804,494,10,3,1/138.8,1/180.4,1/601.3,6.070178531891655
2023-09-11,ファンキージャグラー2,317,1018,76,4,3,1/145.4,1/254.5,1/339.3,5.786282956909954
2023-09-11,ファンキージャグラー2,327,723,99,3,2,1/144.6,1/241.0,1/361.5,5.676152534234295
2023-09-11,ファンキージャグラー2,328,1051,-37,4,3,1/150.1,1/262.8,1/350.3,6.101978665282158
2023-09-11,ファンキージャグラー2,329,271,276,2,1,1/90.3,1/135.5,1/271.0,5.59443879753628
2023-09-11,ハッピージャグラーVIII,313,2675,-9,13,5,1/148.6,1/205.8,1/535.0,7.0599044438634495
2023-09-11,ハッピージャグラーVIII,314,719,-393,1,3,1/179.8,1/719.0,1/239.7,6.660986916927697
2023-09-11,ハッピージャグラーVIII,315,681,-429,2,0,1/340.5,1/340.5,1/0.0,6.97849309893897
2023-09-11,ハッピージャグラーVIII,330,2482,313,13,2,1/165.5,1/190.9,1/1241.0,6.2803552348070335
2023-09-11,ハッピージャグラーVIII,331,443,-136,1,1,1/221.5,1/443.0,1/443.0,5.648952959236842
2023-09-11,ハッピージャグラーVIII,332,1455,-370,5,4,1/161.7,1/291.0,1/363.8,7.022469791766274
2023-09-10,アイムジャグラーEX-TP,318,2305,-254,8,6,1/164.6,1/288.1,1/384.2,6.162529840145847
2023-09-10,アイムジャグラーEX-TP,319,2503,-541,8,5,1/192.5,1/312.9,1/500.6,6.065792596374187
2023-09-10,アイムジャグラーEX-TP,320,912,-89,3,0,1/304.0,1/304.0,1/0.0,4.986747663405249
2023-09-10,アイムジャグラーEX-TP,321,2293,-470,8,3,1/208.5,1/286.6,1/764.3,6.050755042135341
2023-09-10,アイムジャグラーEX-TP,322,1680,-290,5,3,1/210.0,1/336.0,1/560.0,5.563886666278077
2023-09-10,アイムジャグラーEX-TP,323,2637,860,15,3,1/146.5,1/175.8,1/879.0,6.074847372051436
2023-09-10,アイムジャグラーEX-TP,324,6713,2373,35,14,1/137.0,1/191.8,1/479.5,5.825763738490395
2023-09-10,アイムジャグラーEX-TP,325,271,-46,1,0,1/271.0,1/271.0,1/0.0,5.588713191569745
2023-09-10,アイムジャグラーEX-TP,326,1805,377,9,4,1/138.8,1/200.6,1/451.2,6.282719961767648
2023-09-10,アイムジャグラーEX-TP,337,1951,-63,8,5,1/150.1,1/243.9,1/390.2,6.548346888120503
2023-09-10,アイムジャグラーEX-TP,338,525,-179,2,0,1/262.5,1/262.5,1/0.0,6.502876748809354
2023-09-10,アイムジャグラーEX-TP,339,955,-420,2,2,1/238.8,1/477.5,1/477.5,5.869944164845243
2023-09-10,アイムジャグラーEX-TP,340,1353,147,6,2,1/169.1,1/225.5,1/676.5,5.788801915669863
2023-09-10,アイムジャグラーEX-TP,341,705,-774,0,1,1/705.0,1/0.0,1/705.0,6.175978596949067
2023-09-10,マイジャグラーV,309,2581,-522,8,5,1/198.5,1/322.6,1/516.2,5.705367930841414
2023-09-10,マイジャグラーV,310,4551,84,20,11,1/146.8,1/227.6,1/413.7,6.312403611466751
2023-09-10,マイジャグラーV,311,1052,-511,3,1,1/263.0,1/350.7,1/1052.0,6.289432447176016
2023-09-10,マイジャグラーV,312,1627,-256,5,4,1/180.8,1/325.4,1/406.8,5.698967930305826
2023-09-10,マイジャグラーV,333,1395,167,7,3,1/139.5,1/199.3,1/465.0,6.4263897506914915
2023-09-10,マイジャグラーV,334,962,-248,4,0,1/240.5,1/240.5,1/0.0,6.260117683379678
2023-09-10,マイジャグラーV,335,560,-491,1,1,1/280.0,1/560.0,1/560.0,7.572725207438579
2023-09-10,マイジャグラーV,336,5759,2082,28,19,1/122.5,1/205.7,1/303.1,5.655384678739247
2023-09-10,ファンキージャグラー2,316,2733,-1131,7,6,1/210.2,1/390.4,1/455.5,6.187305038977559
2023-09-10,ファンキージャグラー2,317,1274,-724,2,3,1/254.8,1/637.0,1/424.7,5.880066263823665
2023-09-10,ファンキージャグラー2,327,908,-276,2,4,1/151.3,1/454.0,1/227.0,6.259049513700116
2023-09-10,ファンキージャグラー2,328,4198,-564,15,9,1/174.9,1/279.9,1/466.4,5.991277182806704
2023-09-10,ファンキージャグラー2,329,3285,-505,12,8,1/164.2,1/273.8,1/410.6,6.304003365973183
2023-09-10,ハッピージャグラーVIII,313,2556,-169,10,4,1/182.6,1/255.6,1/639.0,6.030352064269019
2023-09-10,ハッピージャグラーVIII,314,2394,-208,8,4,1/199.5,1/299.2,1/598.5,5.5845881695724975
2023-09-10,ハッピージャグラーVIII,315,3078,634,14,7,1/146.6,1/219.9,1/439.7,5.803901388924702
2023-09-10,ハッピージャグラーVIII,330,1609,-539,5,4,1/178.8,1/321.8,1/402.2,6.881572531277287
2023-09-10,ハッピージャグラーVIII,331,2887,-1315,9,1,1/288.7,1/320.8,1/2887.0,6.428723545709362
2023-09-10,ハッピージャグラーVIII,332,4545,-752,14,16,1/151.5,1/324.6,1/284.1,6.453715931954476
2023-09-09,アイムジャグラーEX-TP,318,3591,-508,11,10,1/171.0,1/326.5,1/359.1,5.917263214187182
2023-09-09,アイムジャグラーEX-TP,319,8777,2759,36,44,1/109.7,1/243.8,1/199.5,5.994161903480841
2023-09-09,アイムジャグラーEX-TP,320,3563,-140,12,10,1/162.0,1/296.9,1/356.3,5.8160696617254395
2023-09-09,アイムジャグラーEX-TP,321,8006,2077,37,27,1/125.1,1/216.4,1/296.5,6.1285671422269425
2023-09-09,アイムジャグラーEX-TP,322,7694,1577,31,26,1/135.0,1/248.2,1/295.9,5.717978183260101
2023-09-09,アイムジャグラーEX-TP,323,5276,-1622,13,15,1/188.4,1/405.8,1/351.7,6.010466779047357
2023-09-09,アイムジャグラーEX-TP,324,5766,-1492,15,18,1/174.7,1/384.4,1/320.3,6.067044375778839
2023-09-09,アイムジャグラーEX-TP,325,6429,-745,20,24,1/146.1,1/321.4,1/267.9,6.273289673292851
2023-09-09,アイムジャグラーEX-TP,326,4011,-808,16,6,1/182.3,1/250.7,1/668.5,6.76734802326456
2023-09-09,アイムジャグラーEX-TP,337,7044,1857,32,25,1/123.6,1/220.1,1/281.8,6.095247272474192
2023-09-09,アイムジャグラーEX-TP,338,2159,-1027,5,3,1/269.9,1/431.8,1/719.7,5.9772091975600805
2023-09-09,アイムジャグラーEX-TP,339,1828,-821,4,5,1/203.1,1/457.0,1/365.6,6.304755534311305
2023-09-09,アイムジャグラーEX-TP,340,5647,-286,20,18,1/148.6,1/282.4,1/313.7,6.229520052932057
2023-09-09,アイムジャグラーEX-TP,341,5722,476,24,10,1/168.3,1/238.4,1/572.2,5.750358583397053
2023-09-09,マイジャグラーV,309,6455,-1514,16,18,1/189.9,1/403.4,1/358.6,5.5658120276432665
2023-09-09,マイジャグラーV,310,2845,-612,10,4,1/203.2,1/284.5,1/711.2,5.967710621411859
2023-09-09,マイジャグラーV,311,6143,-233,19,24,1/142.9,1/323.3,1/256.0,5.795080881253082
2023-09-09,マイジャグラーV,312,4426,-1276,12,10,1/201.2,1/368.8,1/442.6,5.80399475019102
2023-09-09,マイジャグラーV,333,9476,445,38,24,1/152.8,1/249.4,1/394.8,5.810465919009849
2023-09-09,マイジャグラーV,334,6817,-441,23,23,1/148.2,1/296.4,1/296.4,5.982367717085029
2023-09-09,マイジャグラーV,335,6202,207,23,18,1/151.3,1/269.7,1/344.6,5.71343222642424
2023-09-09,マイジャグラーV,336,8131,867,28,38,1/123.2,1/290.4,1/214.0,5.847410999135606
2023-09-09,ファンキージャグラー2,316,2082,-838,5,5,1/208.2,1/416.4,1/416.4,6.047373854562547
2023-09-09,ファンキージャグラー2,317,6570,1002,27,19,1/142.8,1/243.3,1/345.8,5.623760774461193
2023-09-09,ファンキージャグラー2,327,2764,-314,9,5,1/197.4,1/307.1,1/552.8,5.4653847268004645
2023-09-09,ファンキージャグラー2,328,7423,993,31,30,1/121.7,1/239.5,1/247.4,6.258002376805827
2023-09-09,ファンキージャグラー2,329,3695,-827,11,9,1/184.8,1/335.9,1/410.6,5.879607478518598
2023-09-09,ハッピージャグラーVIII,313,6435,843,27,21,1/134.1,1/238.3,1/306.4,6.185915974280865
2023-09-09,ハッピージャグラーVIII,314,4791,-175,19,11,1/159.7,1/252.2,1/435.5,6.282128029238185
2023-09-09,ハッピージャグラーVIII,315,7942,970,29,34,1/126.1,1/273.9,1/233.6,6.072188898900253
2023-09-09,ハッピージャグラーVIII,330,5134,-771,17,10,1/190.1,1/302.0,1/513.4,5.925874455317173
2023-09-09,ハッピージャグラーVIII,331,7096,601,27,24,1/139.1,1/262.8,1/295.7,6.018335228057248
2023-09-09,ハッピージャグラーVIII,332,8575,844,34,33,1/128.0,1/252.2,1/259.8,6.349104982126946
