日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-28,アイムジャグラーEX-TP,419,6754,3157,34,31,1/103.9,1/198.6,1/217.9,6.183549559048554
2023-09-28,アイムジャグラーEX-TP,420,503,-72,1,1,1/251.5,1/503.0,1/503.0,4.716113412495281
2023-09-28,アイムジャグラーEX-TP,421,3521,-58,13,10,1/153.1,1/270.8,1/352.1,6.089766478642603
2023-09-28,アイムジャグラーEX-TP,422,641,0,3,0,1/213.7,1/213.7,1/0.0,5.915309198564195
2023-09-28,アイムジャグラーEX-TP,423,2126,-389,7,4,1/193.3,1/303.7,1/531.5,5.975144578965766
2023-09-28,アイムジャグラーEX-TP,424,1066,-29,5,0,1/213.2,1/213.2,1/0.0,6.048488107770213
2023-09-28,アイムジャグラーEX-TP,425,3552,503,14,11,1/142.1,1/253.7,1/322.9,5.77755599394352
2023-09-28,アイムジャグラーEX-TP,426,1321,-302,4,3,1/188.7,1/330.2,1/440.3,6.048670782845897
2023-09-28,アイムジャグラーEX-TP,427,4430,1108,20,13,1/134.2,1/221.5,1/340.8,5.862495111003302
2023-09-28,アイムジャグラーEX-TP,428,1163,-29,5,1,1/193.8,1/232.6,1/1163.0,5.964346643519053
2023-09-28,アイムジャグラーEX-TP,429,2916,244,13,5,1/162.0,1/224.3,1/583.2,6.021556925994362
2023-09-28,アイムジャグラーEX-TP,430,1839,-475,6,3,1/204.3,1/306.5,1/613.0,6.1780589143595055
2023-09-28,アイムジャグラーEX-TP,431,2974,-1252,6,9,1/198.3,1/495.7,1/330.4,6.096645858736451
2023-09-28,アイムジャグラーEX-TP,432,2071,0,8,5,1/159.3,1/258.9,1/414.2,6.024944784188427
2023-09-28,マイジャグラーV,379,7748,2397,41,21,1/125.0,1/189.0,1/369.0,6.080411774149225
2023-09-28,マイジャグラーV,380,3542,-274,14,7,1/168.7,1/253.0,1/506.0,6.063916894070326
2023-09-28,マイジャグラーV,381,4772,-331,17,11,1/170.4,1/280.7,1/433.8,5.7583393547820565
2023-09-28,マイジャグラーV,382,4016,-158,13,12,1/160.6,1/308.9,1/334.7,5.586158489637391
2023-09-28,マイジャグラーV,383,8340,4012,42,33,1/111.2,1/198.6,1/252.7,5.595029453653927
2023-09-28,マイジャグラーV,384,7015,1309,28,22,1/140.3,1/250.5,1/318.9,5.466499308537029
2023-09-28,マイジャグラーV,385,8364,3795,41,38,1/105.9,1/204.0,1/220.1,5.802489078422065
2023-09-28,マイジャグラーV,386,7485,676,25,31,1/133.7,1/299.4,1/241.5,5.605158142099942
2023-09-28,マイジャグラーV,387,8819,6212,50,39,1/99.1,1/176.4,1/226.1,5.4897897175001376
2023-09-28,マイジャグラーV,388,5868,-878,20,13,1/177.8,1/293.4,1/451.4,5.906465829180207
2023-09-28,マイジャグラーV,389,8084,2187,30,39,1/117.2,1/269.5,1/207.3,5.503271919466872
2023-09-28,マイジャグラーV,390,7590,2502,34,26,1/126.5,1/223.2,1/291.9,5.47139279304573
2023-09-28,マイジャグラーV,391,5401,-101,20,13,1/163.7,1/270.1,1/415.5,5.7281166076547665
2023-09-28,ファンキージャグラー2,437,2489,-676,6,7,1/191.5,1/414.8,1/355.6,5.663762243953473
2023-09-28,ファンキージャグラー2,438,4533,993,23,10,1/137.4,1/197.1,1/453.3,6.043650374825817
2023-09-28,ファンキージャグラー2,439,3422,129,13,11,1/142.6,1/263.2,1/311.1,5.9201445677851146
2023-09-28,ファンキージャグラー2,440,1774,-446,6,2,1/221.8,1/295.7,1/887.0,5.879248877901109
2023-09-28,ファンキージャグラー2,481,1494,-533,3,4,1/213.4,1/498.0,1/373.5,5.569099845778056
2023-09-28,ファンキージャグラー2,482,970,-389,2,2,1/242.5,1/485.0,1/485.0,5.563366094581525
2023-09-28,ファンキージャグラー2,483,4393,993,21,9,1/146.4,1/209.2,1/488.1,5.650088919287216
2023-09-28,ハッピージャグラーVIII,441,562,-130,2,0,1/281.0,1/281.0,1/0.0,5.730829953171878
2023-09-28,ハッピージャグラーVIII,442,4418,-158,13,14,1/163.6,1/339.8,1/315.6,5.57119099055946
2023-09-28,ハッピージャグラーVIII,443,244,-245,0,0,1/0.0,1/0.0,1/0.0,5.419313857118901
2023-09-28,ハッピージャグラーVIII,444,4966,72,19,13,1/155.2,1/261.4,1/382.0,6.027823942508203
2023-09-28,ハッピージャグラーVIII,445,1024,158,5,1,1/170.7,1/204.8,1/1024.0,5.8363075323704185
2023-09-28,ハッピージャグラーVIII,446,5271,-590,18,15,1/159.7,1/292.8,1/351.4,6.262362236161718
2023-09-28,ゴーゴージャグラー3,475,3865,-130,16,10,1/148.7,1/241.6,1/386.5,6.629275864172313
2023-09-28,ゴーゴージャグラー3,476,1301,-446,4,2,1/216.8,1/325.2,1/650.5,6.38265135508999
2023-09-28,ゴーゴージャグラー3,477,3304,216,15,7,1/150.2,1/220.3,1/472.0,6.376053211483302
2023-09-28,ゴーゴージャグラー3,478,2712,1338,14,9,1/117.9,1/193.7,1/301.3,5.639025047501299
2023-09-28,ゴーゴージャグラー3,479,3885,-913,12,10,1/176.6,1/323.8,1/388.5,6.356393016925532
2023-09-28,ゴーゴージャグラー3,480,1616,-130,5,6,1/146.9,1/323.2,1/269.3,6.140211890505128
2023-09-18,アイムジャグラーEX-TP,419,2457,302,9,8,1/144.5,1/273.0,1/307.1,5.630748958592179
2023-09-18,アイムジャグラーEX-TP,420,4394,1309,23,9,1/137.3,1/191.0,1/488.2,6.079096656751402
2023-09-18,アイムジャグラーEX-TP,421,2574,-446,9,5,1/183.9,1/286.0,1/514.8,6.194208506491622
2023-09-18,アイムジャグラーEX-TP,422,2411,-1051,5,7,1/200.9,1/482.2,1/344.4,6.178527303555377
2023-09-18,アイムジャグラーEX-TP,423,2184,-619,6,4,1/218.4,1/364.0,1/546.0,5.796272794891084
2023-09-18,アイムジャグラーEX-TP,424,3963,1798,23,8,1/127.8,1/172.3,1/495.4,6.007979378880448
2023-09-18,アイムジャグラーEX-TP,425,3637,820,17,9,1/139.9,1/213.9,1/404.1,5.953755054757685
2023-09-18,アイムジャグラーEX-TP,426,1700,-648,3,5,1/212.5,1/566.7,1/340.0,5.619500327253254
2023-09-18,アイムジャグラーEX-TP,427,2243,762,10,8,1/124.6,1/224.3,1/280.4,5.681138634929018
2023-09-18,アイムジャグラーEX-TP,428,7310,1165,28,30,1/126.0,1/261.1,1/243.7,5.995169910578473
2023-09-18,アイムジャグラーEX-TP,429,2076,-1223,3,8,1/188.7,1/692.0,1/259.5,6.616621507799916
2023-09-18,アイムジャグラーEX-TP,430,619,-216,2,0,1/309.5,1/309.5,1/0.0,5.849762597922096
2023-09-18,アイムジャグラーEX-TP,431,2079,561,11,3,1/148.5,1/189.0,1/693.0,6.008936928012935
2023-09-18,アイムジャグラーEX-TP,432,1839,-705,5,5,1/183.9,1/367.8,1/367.8,6.650752598296061
2023-09-18,マイジャグラーV,379,6774,1021,28,19,1/144.1,1/241.9,1/356.5,5.613389471896208
2023-09-18,マイジャグラーV,380,4839,-504,14,15,1/166.9,1/345.6,1/322.6,5.559684795342225
2023-09-18,マイジャグラーV,381,7630,4132,37,41,1/97.8,1/206.2,1/186.1,5.71404826193377
2023-09-18,マイジャグラーV,382,1873,-187,7,2,1/208.1,1/267.6,1/936.5,5.575581504145505
2023-09-18,マイジャグラーV,383,5106,1768,26,12,1/134.4,1/196.4,1/425.5,5.576224788192667
2023-09-18,マイジャグラーV,384,4315,388,19,13,1/134.8,1/227.1,1/331.9,6.249958188015092
2023-09-18,マイジャグラーV,385,3647,-1137,10,5,1/243.1,1/364.7,1/729.4,5.585962283791731
2023-09-18,マイジャグラーV,386,1948,-1338,3,2,1/389.6,1/649.3,1/974.0,5.807941886472894
2023-09-18,マイジャグラーV,387,6675,-504,21,21,1/158.9,1/317.9,1/317.9,5.703429515423971
2023-09-18,マイジャグラーV,388,6424,-29,24,18,1/153.0,1/267.7,1/356.9,5.859559796556885
2023-09-18,マイジャグラーV,389,3085,-158,10,8,1/171.4,1/308.5,1/385.6,5.4915406743209205
2023-09-18,マイジャグラーV,390,4055,-849,13,10,1/176.3,1/311.9,1/405.5,6.064062426643934
2023-09-18,マイジャグラーV,391,7171,1453,32,28,1/119.5,1/224.1,1/256.1,6.184275211897962
2023-09-18,ファンキージャグラー2,435,4876,668,22,14,1/135.4,1/221.6,1/348.3,6.094103785861992
2023-09-18,ファンキージャグラー2,436,4504,1323,24,11,1/128.7,1/187.7,1/409.5,6.083902061333811
2023-09-18,ファンキージャグラー2,437,3423,532,14,8,1/155.6,1/244.5,1/427.9,5.394543886921346
2023-09-18,ファンキージャグラー2,438,6979,0,28,21,1/142.4,1/249.2,1/332.3,6.239224996888599
2023-09-18,ファンキージャグラー2,439,3471,-389,12,9,1/165.3,1/289.2,1/385.7,5.958967461672786
2023-09-18,ファンキージャグラー2,440,5117,-705,15,18,1/155.1,1/341.1,1/284.3,5.9061264938611036
2023-09-18,ハッピージャグラーVIII,441,3746,1663,20,11,1/120.8,1/187.3,1/340.5,5.867445463280908
2023-09-18,ハッピージャグラーVIII,442,2114,158,9,6,1/140.9,1/234.9,1/352.3,6.334428299492908
2023-09-18,ハッピージャグラーVIII,443,3023,-245,11,6,1/177.8,1/274.8,1/503.8,5.983107222234357
2023-09-18,ハッピージャグラーVIII,444,4436,2214,29,5,1/130.5,1/153.0,1/887.2,6.132566145069058
2023-09-18,ハッピージャグラーVIII,445,1926,-734,4,7,1/175.1,1/481.5,1/275.1,6.381821285975094
2023-09-18,ハッピージャグラーVIII,446,4165,-245,15,12,1/154.3,1/277.7,1/347.1,6.237890335004851
2023-09-18,ゴーゴージャグラー3,433,2708,-446,10,4,1/193.4,1/270.8,1/677.0,6.205934115117557
2023-09-18,ゴーゴージャグラー3,434,4473,1252,24,10,1/131.6,1/186.4,1/447.3,6.348528351907739
2023-09-18,ゴーゴージャグラー3,485,4454,-72,20,7,1/165.0,1/222.7,1/636.3,6.465196352215449
2023-09-18,ゴーゴージャグラー3,486,1533,-72,7,2,1/170.3,1/219.0,1/766.5,6.5900057275661315
2023-09-18,ゴーゴージャグラー3,487,3259,-216,11,11,1/148.1,1/296.3,1/296.3,6.240459166819713
2023-09-18,ゴーゴージャグラー3,488,7886,993,37,23,1/131.4,1/213.1,1/342.9,6.652995517348123
2023-08-28,アイムジャグラーEX-TP,419,6669,304,20,29,1/136.1,1/333.4,1/230.0,5.688989083189083
2023-08-28,アイムジャグラーEX-TP,420,1231,-943,2,0,1/615.5,1/615.5,1/0.0,5.908107853348763
2023-08-28,アイムジャグラーEX-TP,421,3752,1492,20,10,1/125.1,1/187.6,1/375.2,6.002291685203862
2023-08-28,アイムジャグラーEX-TP,422,1846,-798,4,5,1/205.1,1/461.5,1/369.2,6.18418023046222
2023-08-28,アイムジャグラーEX-TP,423,1935,-682,3,7,1/193.5,1/645.0,1/276.4,5.548786450293626
2023-08-28,アイムジャグラーEX-TP,424,6769,2644,32,27,1/114.7,1/211.5,1/250.7,5.9205496523192425
2023-08-28,アイムジャグラーEX-TP,425,1739,-711,3,6,1/193.2,1/579.7,1/289.8,5.893670391179408
2023-08-28,アイムジャグラーEX-TP,426,3426,536,15,9,1/142.8,1/228.4,1/380.7,5.994718768250122
2023-08-28,アイムジャグラーEX-TP,427,3780,855,17,8,1/151.2,1/222.4,1/472.5,5.622072255675783
2023-08-28,アイムジャグラーEX-TP,428,3698,-87,14,11,1/147.9,1/264.1,1/336.2,6.297848341306321
2023-08-28,アイムジャグラーEX-TP,429,2603,681,13,7,1/130.2,1/200.2,1/371.9,6.254924281053763
2023-08-28,アイムジャグラーEX-TP,430,1685,-624,4,6,1/168.5,1/421.2,1/280.8,6.544581416729038
2023-08-28,アイムジャグラーEX-TP,431,2542,1086,13,9,1/115.5,1/195.5,1/282.4,5.9997236633963364
