日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-10-01,アイムジャグラーEX-TP,1012,3567,-855,10,11,1/169.9,1/356.7,1/324.3,6.199074977055863
2023-10-01,アイムジャグラーEX-TP,1013,3953,-29,13,12,1/158.1,1/304.1,1/329.4,5.691660832822301
2023-10-01,アイムジャグラーEX-TP,1015,8162,872,33,25,1/140.7,1/247.3,1/326.5,6.02603563387863
2023-10-01,アイムジャグラーEX-TP,1016,4033,-157,15,11,1/155.1,1/268.9,1/366.6,6.177038991865576
2023-10-01,アイムジャグラーEX-TP,1271,5276,750,25,7,1/164.9,1/211.0,1/753.7,5.910312199807446
2023-10-01,アイムジャグラーEX-TP,1272,5767,500,22,25,1/122.7,1/262.1,1/230.7,6.432730123502507
2023-10-01,アイムジャグラーEX-TP,1273,2609,-959,7,5,1/217.4,1/372.7,1/521.8,6.1345169541683635
2023-10-01,アイムジャグラーEX-TP,1275,2150,-1151,5,2,1/307.1,1/430.0,1/1075.0,6.060311373160855
2023-10-01,アイムジャグラーEX-TP,1276,4929,-151,17,14,1/159.0,1/289.9,1/352.1,5.879809886385587
2023-10-01,アイムジャグラーEX-TP,1277,4432,-750,15,10,1/177.3,1/295.5,1/443.2,6.183182099051647
2023-10-01,アイムジャグラーEX-TP,1278,4230,99,17,13,1/141.0,1/248.8,1/325.4,6.4038833875543935
2023-10-01,アイムジャグラーEX-TP,1280,4010,-343,14,11,1/160.4,1/286.4,1/364.5,6.1334759073318965
2023-10-01,アイムジャグラーEX-TP,1281,4609,-878,14,14,1/164.6,1/329.2,1/329.2,6.224144614279671
2023-10-01,アイムジャグラーEX-TP,1282,4123,-901,12,10,1/187.4,1/343.6,1/412.3,5.936897931520251
2023-10-01,マイジャグラーV,1001,4743,-360,18,11,1/163.6,1/263.5,1/431.2,6.034299525290797
2023-10-01,マイジャグラーV,1002,8406,2535,38,33,1/118.4,1/221.2,1/254.7,5.811326240622101
2023-10-01,マイジャグラーV,1003,2494,-797,6,7,1/191.8,1/415.7,1/356.3,5.847782125753329
2023-10-01,マイジャグラーV,1005,5340,-1465,15,12,1/197.8,1/356.0,1/445.0,5.839032791554374
2023-10-01,マイジャグラーV,1006,5741,-1105,18,13,1/185.2,1/318.9,1/441.6,5.82988924684151
2023-10-01,マイジャグラーV,1007,4933,-2023,13,10,1/214.5,1/379.5,1/493.3,6.16879994092683
2023-10-01,マイジャグラーV,1008,6819,1000,30,23,1/128.7,1/227.3,1/296.5,6.138104605933803
2023-10-01,マイジャグラーV,1010,7754,2070,38,23,1/127.1,1/204.1,1/337.1,5.959183577324684
2023-10-01,マイジャグラーV,1011,6730,-779,27,12,1/172.6,1/249.3,1/560.8,6.225200873438231
2023-10-01,ファンキージャグラー2,1233,2873,-785,9,4,1/221.0,1/319.2,1/718.2,5.825067869365098
2023-10-01,ファンキージャグラー2,1235,2709,-576,9,7,1/169.3,1/301.0,1/387.0,6.2740133649338405
2023-10-01,ファンキージャグラー2,1236,8128,1314,35,22,1/142.6,1/232.2,1/369.5,5.70484868973249
2023-10-01,ファンキージャグラー2,1237,1821,-29,7,3,1/182.1,1/260.1,1/607.0,5.570377308558716
2023-10-01,ファンキージャグラー2,1238,5225,-87,18,21,1/134.0,1/290.3,1/248.8,6.130194028707053
2023-10-01,ファンキージャグラー2,1250,1846,-843,4,4,1/230.8,1/461.5,1/461.5,5.93812528141559
2023-10-01,ファンキージャグラー2,1251,6828,-733,23,23,1/148.4,1/296.9,1/296.9,6.179560488263112
2023-10-01,ファンキージャグラー2,1252,1319,-192,5,1,1/219.8,1/263.8,1/1319.0,5.698069390194795
2023-10-01,ファンキージャグラー2,1253,5713,756,22,18,1/142.8,1/259.7,1/317.4,5.557080072497376
2023-10-01,ファンキージャグラー2,1255,2444,320,11,6,1/143.8,1/222.2,1/407.3,5.930432436262411
2023-10-01,ファンキージャグラー2,1256,4943,-1151,15,8,1/214.9,1/329.5,1/617.9,5.651068983641153
2023-10-01,ファンキージャグラー2,1257,4791,-355,19,10,1/165.2,1/252.2,1/479.1,6.120970909785515
2023-10-01,ファンキージャグラー2,1258,7302,1849,32,27,1/123.8,1/228.2,1/270.4,5.79189545906314
2023-10-01,ファンキージャグラー2,1260,1941,-1384,2,6,1/242.6,1/970.5,1/323.5,6.275950994716812
2023-10-01,ファンキージャグラー2,1261,5593,849,26,12,1/147.2,1/215.1,1/466.1,5.865358585783707
2023-10-01,ファンキージャグラー2,1262,2206,-378,8,3,1/200.5,1/275.8,1/735.3,5.881564461486584
