日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-10-01,アイムジャグラーEX-TP,1005,3184,-1003,11,4,1/212.3,1/289.5,1/796.0,6.527230348357504
2023-10-01,アイムジャグラーEX-TP,1006,5420,1086,23,16,1/139.0,1/235.7,1/338.8,5.791569430365486
2023-10-01,アイムジャグラーEX-TP,1007,6873,1412,28,26,1/127.3,1/245.5,1/264.3,5.926505025733173
2023-10-01,アイムジャグラーEX-TP,1008,6497,1524,31,17,1/135.4,1/209.6,1/382.2,6.084405054568226
2023-10-01,アイムジャグラーEX-TP,1009,1576,144,8,1,1/175.1,1/197.0,1/1576.0,6.231150621104566
2023-10-01,アイムジャグラーEX-TP,1010,7686,-246,29,18,1/163.5,1/265.0,1/427.0,6.0365695951561165
2023-10-01,マイジャグラーV,952,5301,-1294,16,9,1/212.0,1/331.3,1/589.0,5.703764538259702
2023-10-01,マイジャグラーV,953,3318,-102,14,5,1/174.6,1/237.0,1/663.6,5.94018387903648
2023-10-01,マイジャグラーV,954,4689,-753,13,17,1/156.3,1/360.7,1/275.8,5.876717548133802
2023-10-01,マイジャグラーV,955,3049,-816,7,11,1/169.4,1/435.6,1/277.2,5.839477610751689
2023-10-01,マイジャグラーV,956,7420,2254,35,24,1/125.8,1/212.0,1/309.2,5.723772475955672
2023-10-01,マイジャグラーV,957,4622,-98,18,9,1/171.2,1/256.8,1/513.6,5.746647988900266
2023-10-01,マイジャグラーV,958,3530,-283,13,8,1/168.1,1/271.5,1/441.2,5.911015480853259
2023-10-01,マイジャグラーV,959,5851,338,23,16,1/150.0,1/254.4,1/365.7,5.76639187282305
2023-10-01,マイジャグラーV,960,1448,-912,3,2,1/289.6,1/482.7,1/724.0,6.282140655046788
2023-10-01,マイジャグラーV,961,5531,-811,16,18,1/162.7,1/345.7,1/307.3,5.789454696419898
2023-10-01,マイジャグラーV,962,5981,-874,23,5,1/213.6,1/260.0,1/1196.2,5.777278758335387
2023-10-01,マイジャグラーV,963,5035,638,23,11,1/148.1,1/218.9,1/457.7,5.898617684279872
2023-10-01,マイジャグラーV,964,8136,-1434,26,21,1/173.1,1/312.9,1/387.4,5.953002624721003
2023-10-01,ファンキージャグラー2,945,5320,994,23,18,1/129.8,1/231.3,1/295.6,5.887044545949241
2023-10-01,ファンキージャグラー2,946,2306,-849,6,6,1/192.2,1/384.3,1/384.3,6.200628653935884
2023-10-01,ファンキージャグラー2,947,4681,97,20,9,1/161.4,1/234.1,1/520.1,5.952068082198619
2023-10-01,ファンキージャグラー2,948,2805,-719,9,6,1/187.0,1/311.7,1/467.5,6.1492028438144954
2023-10-01,ファンキージャグラー2,949,1511,-624,4,2,1/251.8,1/377.8,1/755.5,5.898410420355917
2023-10-01,ファンキージャグラー2,950,2799,-961,8,7,1/186.6,1/349.9,1/399.9,6.3324335896915045
2023-10-01,ファンキージャグラー2,951,2121,-1026,4,5,1/235.7,1/530.2,1/424.2,5.842728339267483
2023-10-01,ゴーゴージャグラー3,1011,1920,-1079,5,3,1/240.0,1/384.0,1/640.0,6.989519361332668
2023-10-01,ゴーゴージャグラー3,1012,5822,644,23,22,1/129.4,1/253.1,1/264.6,6.238575748801208
2023-10-01,ゴーゴージャグラー3,1013,2236,-856,6,6,1/186.3,1/372.7,1/372.7,6.680732257255398
2023-10-01,ゴーゴージャグラー3,1014,4764,-601,15,17,1/148.9,1/317.6,1/280.2,6.35968546789844
2023-10-01,ゴーゴージャグラー3,1015,2149,-1506,4,3,1/307.0,1/537.2,1/716.3,6.66805080176601
2023-09-30,アイムジャグラーEX-TP,1005,6711,1664,31,22,1/126.6,1/216.5,1/305.0,6.137661463549749
2023-09-30,アイムジャグラーEX-TP,1006,1045,-448,3,1,1/261.2,1/348.3,1/1045.0,6.215177165260668
2023-09-30,アイムジャグラーEX-TP,1007,2957,-604,10,5,1/197.1,1/295.7,1/591.4,6.091424557603855
2023-09-30,アイムジャグラーEX-TP,1008,973,-838,1,1,1/486.5,1/973.0,1/973.0,6.1024399599559525
2023-09-30,アイムジャグラーEX-TP,1009,7393,-1055,24,24,1/154.0,1/308.0,1/308.0,6.345330588547993
2023-09-30,アイムジャグラーEX-TP,1010,1390,-17,5,1,1/231.7,1/278.0,1/1390.0,5.182059932200761
2023-09-30,マイジャグラーV,952,5054,1325,24,17,1/123.3,1/210.6,1/297.3,5.987221812716638
2023-09-30,マイジャグラーV,953,7464,1233,30,28,1/128.7,1/248.8,1/266.6,5.810608765662983
2023-09-30,マイジャグラーV,954,2973,181,13,7,1/148.7,1/228.7,1/424.7,6.056121963064841
2023-09-30,マイジャグラーV,955,5210,-1089,17,9,1/200.4,1/306.5,1/578.9,5.812655140400235
2023-09-30,マイジャグラーV,956,2733,-1018,6,8,1/195.2,1/455.5,1/341.6,5.908488969370762
2023-09-30,マイジャグラーV,957,7603,1367,34,27,1/124.6,1/223.6,1/281.6,6.143609028640312
2023-09-30,マイジャグラーV,958,3982,486,18,7,1/159.3,1/221.2,1/568.9,5.69944060784806
2023-09-30,マイジャグラーV,959,2320,-229,9,6,1/154.7,1/257.8,1/386.7,6.362527782923716
2023-09-30,マイジャグラーV,960,5906,562,23,20,1/137.3,1/256.8,1/295.3,5.833403166343286
2023-09-30,マイジャグラーV,961,7067,-1445,20,23,1/164.3,1/353.4,1/307.3,5.974738925145419
2023-09-30,マイジャグラーV,962,1418,-700,3,1,1/354.5,1/472.7,1/1418.0,5.4662199413196655
2023-09-30,マイジャグラーV,963,4165,-1050,12,9,1/198.3,1/347.1,1/462.8,5.783309076673617
2023-09-30,マイジャグラーV,964,6692,-1564,22,12,1/196.8,1/304.2,1/557.7,5.972462529970916
2023-09-30,ファンキージャグラー2,945,6822,116,30,11,1/166.4,1/227.4,1/620.2,5.970109154677131
2023-09-30,ファンキージャグラー2,946,2847,-533,9,9,1/158.2,1/316.3,1/316.3,6.230255368527839
2023-09-30,ファンキージャグラー2,947,1131,-186,5,1,1/188.5,1/226.2,1/1131.0,6.544856244272436
2023-09-30,ファンキージャグラー2,948,3946,-649,11,13,1/164.4,1/358.7,1/303.5,5.782479066447623
2023-09-30,ファンキージャグラー2,949,1470,692,8,2,1/147.0,1/183.8,1/735.0,5.102640746755854
2023-09-30,ファンキージャグラー2,950,1356,-485,4,1,1/271.2,1/339.0,1/1356.0,5.734623933850521
2023-09-30,ファンキージャグラー2,951,5582,750,24,13,1/150.9,1/232.6,1/429.4,5.663445011609073
2023-09-30,ゴーゴージャグラー3,1011,2937,-592,10,5,1/195.8,1/293.7,1/587.4,6.155392055064457
2023-09-30,ゴーゴージャグラー3,1012,4965,-1497,14,18,1/155.2,1/354.6,1/275.8,6.920717276938198
2023-09-30,ゴーゴージャグラー3,1013,2558,-953,5,9,1/182.7,1/511.6,1/284.2,6.1420116901115
2023-09-30,ゴーゴージャグラー3,1014,4422,-745,14,16,1/147.4,1/315.9,1/276.4,6.629826053649641
2023-09-30,ゴーゴージャグラー3,1015,2041,-990,4,6,1/204.1,1/510.2,1/340.2,6.430138034916264
2023-09-29,アイムジャグラーEX-TP,1005,5166,669,21,15,1/143.5,1/246.0,1/344.4,5.8827371658625776
2023-09-29,アイムジャグラーEX-TP,1006,1193,296,6,2,1/149.1,1/198.8,1/596.5,5.912212221955051
2023-09-29,アイムジャグラーEX-TP,1007,7948,2342,40,20,1/132.5,1/198.7,1/397.4,6.065967379993292
2023-09-29,アイムジャグラーEX-TP,1008,798,166,4,0,1/199.5,1/199.5,1/0.0,5.416598902616069
2023-09-29,アイムジャグラーEX-TP,1009,5742,1255,26,17,1/133.5,1/220.8,1/337.8,6.027663448067243
2023-09-29,アイムジャグラーEX-TP,1010,451,-155,2,1,1/150.3,1/225.5,1/451.0,9.310431461083324
2023-09-29,マイジャグラーV,952,1781,-615,6,3,1/197.9,1/296.8,1/593.7,6.564011297894425
2023-09-29,マイジャグラーV,953,7413,2156,35,24,1/125.6,1/211.8,1/308.9,5.782896305828716
2023-09-29,マイジャグラーV,954,5666,89,21,20,1/138.2,1/269.8,1/283.3,6.0455607209420785
2023-09-29,マイジャグラーV,955,5568,-348,18,19,1/150.5,1/309.3,1/293.1,5.841268378554854
2023-09-29,マイジャグラーV,956,6318,-753,24,14,1/166.3,1/263.2,1/451.3,6.194581830760568
2023-09-29,マイジャグラーV,957,2794,-1899,2,8,1/279.4,1/1397.0,1/349.2,5.686373088728519
2023-09-29,マイジャグラーV,958,1545,-985,2,4,1/257.5,1/772.5,1/386.2,5.984982777558358
2023-09-29,マイジャグラーV,959,1156,-363,5,1,1/192.7,1/231.2,1/1156.0,7.277347552867553
2023-09-29,マイジャグラーV,960,3236,-205,12,7,1/170.3,1/269.7,1/462.3,5.822702994275533
2023-09-29,マイジャグラーV,961,4166,-116,18,9,1/154.3,1/231.4,1/462.9,6.333186277285114
2023-09-29,マイジャグラーV,962,1315,14,6,2,1/164.4,1/219.2,1/657.5,6.131797687164018
2023-09-29,マイジャグラーV,963,2951,-677,8,7,1/196.7,1/368.9,1/421.6,5.6078087054450805
2023-09-29,マイジャグラーV,964,3785,-482,13,8,1/180.2,1/291.2,1/473.1,5.796539861965204
2023-09-29,ファンキージャグラー2,945,2589,187,12,3,1/172.6,1/215.8,1/863.0,5.790239192063703
2023-09-29,ファンキージャグラー2,946,1207,-658,2,4,1/201.2,1/603.5,1/301.8,6.292025711031159
2023-09-29,ファンキージャグラー2,947,1079,-644,2,3,1/215.8,1/539.5,1/359.7,6.538317593626443
2023-09-29,ファンキージャグラー2,948,1553,-112,6,3,1/172.6,1/258.8,1/517.7,5.933649250167552
2023-09-29,ファンキージャグラー2,949,1138,-375,3,2,1/227.6,1/379.3,1/569.0,5.7099469860524
2023-09-29,ファンキージャグラー2,950,806,-373,2,2,1/201.5,1/403.0,1/403.0,6.473036410227477
2023-09-29,ファンキージャグラー2,951,3632,852,17,10,1/134.5,1/213.6,1/363.2,5.792099509290205
2023-09-29,ゴーゴージャグラー3,1011,1555,-1164,3,2,1/311.0,1/518.3,1/777.5,6.979484859034323
2023-09-29,ゴーゴージャグラー3,1012,6015,-314,21,25,1/130.8,1/286.4,1/240.6,6.703065949212017
2023-09-29,ゴーゴージャグラー3,1013,1298,-452,5,1,1/216.3,1/259.6,1/1298.0,7.048461020395058
2023-09-29,ゴーゴージャグラー3,1014,3785,-333,15,9,1/157.7,1/252.3,1/420.6,6.585277880567026
2023-09-29,ゴーゴージャグラー3,1015,4567,-1115,15,14,1/157.5,1/304.5,1/326.2,6.92332896380622
2023-09-28,アイムジャグラーEX-TP,1005,1456,-449,5,1,1/242.7,1/291.2,1/1456.0,6.193326911443166
2023-09-28,アイムジャグラーEX-TP,1006,7821,3633,42,24,1/118.5,1/186.2,1/325.9,5.920239858052315
2023-09-28,アイムジャグラーEX-TP,1007,383,-322,0,1,1/383.0,1/0.0,1/383.0,5.5598242166490754
2023-09-28,アイムジャグラーEX-TP,1008,9681,-1296,27,39,1/146.7,1/358.6,1/248.2,6.106843301731539
2023-09-28,アイムジャグラーEX-TP,1009,537,-459,1,0,1/537.0,1/537.0,1/0.0,6.635181064453556
2023-09-28,アイムジャグラーEX-TP,1010,4921,711,23,9,1/153.8,1/214.0,1/546.8,6.040943578446286
2023-09-28,マイジャグラーV,952,1194,-707,2,2,1/298.5,1/597.0,1/597.0,5.8050889602535065
2023-09-28,マイジャグラーV,953,3398,1184,17,11,1/121.4,1/199.9,1/308.9,5.8238022095545
2023-09-28,マイジャグラーV,954,6276,988,28,21,1/128.1,1/224.1,1/298.9,6.145142057379167
2023-09-28,マイジャグラーV,955,1960,1784,14,8,1/89.1,1/140.0,1/245.0,5.956680044377265
2023-09-28,マイジャグラーV,956,3918,1083,17,19,1/108.8,1/230.5,1/206.2,6.12113790500704
2023-09-28,マイジャグラーV,957,934,-84,3,3,1/155.7,1/311.3,1/311.3,5.85573044430151
2023-09-28,マイジャグラーV,958,9210,3980,43,40,1/111.0,1/214.2,1/230.2,5.586714471492906
2023-09-28,マイジャグラーV,959,7375,710,26,28,1/136.6,1/283.7,1/263.4,5.62700111717431
2023-09-28,マイジャグラーV,960,5189,-173,18,17,1/148.3,1/288.3,1/305.2,5.9031563509504785
2023-09-28,マイジャグラーV,961,1561,-1295,2,1,1/520.3,1/780.5,1/1561.0,5.99978669240105
2023-09-28,マイジャグラーV,962,1503,-462,5,1,1/250.5,1/300.6,1/1503.0,5.865690355094229
2023-09-28,マイジャグラーV,963,1116,-982,1,1,1/558.0,1/1116.0,1/1116.0,5.922107255571059
2023-09-28,マイジャグラーV,964,5092,-401,18,12,1/169.7,1/282.9,1/424.3,5.790510135129775
2023-09-28,ファンキージャグラー2,945,2169,-756,6,4,1/216.9,1/361.5,1/542.2,5.958279066878283
