日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-01,アイムジャグラーEX-TP,1319,550,-430,1,1,1/275.0,1/550.0,1/550.0,7.165236876217276
2022-09-01,アイムジャグラーEX-TP,1320,1330,560,7,4,1/120.9,1/190.0,1/332.5,5.967753044507548
2022-09-01,アイムジャグラーEX-TP,1321,650,-450,1,0,1/650.0,1/650.0,1/0.0,5.519244118290139
2022-09-01,アイムジャグラーEX-TP,1322,930,-300,2,3,1/186.0,1/465.0,1/310.0,5.8903277967418886
2022-09-01,アイムジャグラーEX-TP,1323,3900,510,18,8,1/150.0,1/216.7,1/487.5,6.134549547105082
2022-09-01,アイムジャグラーEX-TP,1324,430,-30,2,0,1/215.0,1/215.0,1/0.0,6.201800829887488
2022-09-01,アイムジャグラーEX-TP,1325,210,30,1,0,1/210.0,1/210.0,1/0.0,5.424653500257671
2022-09-01,アイムジャグラーEX-TP,1326,380,-170,0,2,1/190.0,1/0.0,1/190.0,5.064458562733314
2022-09-01,アイムジャグラーEX-TP,1327,1070,-130,2,4,1/178.3,1/535.0,1/267.5,5.059692550382953
2022-09-01,アイムジャグラーEX-TP,1328,420,-70,1,1,1/210.0,1/420.0,1/420.0,5.206118925109979
2022-09-01,アイムジャグラーEX-TP,1329,1220,420,7,2,1/135.6,1/174.3,1/610.0,6.27531504524785
2022-09-01,アイムジャグラーEX-TP,1330,840,150,3,3,1/140.0,1/280.0,1/280.0,5.444430833367361
2022-09-01,アイムジャグラーEX-TP,1331,930,-90,3,3,1/155.0,1/310.0,1/310.0,6.08918893967578
2022-09-01,アイムジャグラーEX-TP,1332,330,-60,1,0,1/330.0,1/330.0,1/0.0,5.046878620275146
2022-09-01,アイムジャグラーEX-TP,1333,1030,-150,3,2,1/206.0,1/343.3,1/515.0,5.457244213532959
2022-09-01,アイムジャグラーEX-TP,1334,370,70,2,0,1/185.0,1/185.0,1/0.0,5.884944562231698
2022-09-01,アイムジャグラーEX-TP,1335,130,-180,0,0,1/0.0,1/0.0,1/0.0,6.994813077072079
2022-09-01,アイムジャグラーEX-TP,1336,160,-210,0,0,1/0.0,1/0.0,1/0.0,6.579921369939629
2022-09-01,アイムジャグラーEX-TP,1337,540,-370,1,0,1/540.0,1/540.0,1/0.0,5.8061176050625045
2022-09-01,アイムジャグラーEX-TP,1338,630,-300,1,2,1/210.0,1/630.0,1/315.0,5.9218067714450475
2022-09-01,アイムジャグラーEX-TP,1339,1840,340,9,4,1/141.5,1/204.4,1/460.0,6.2642061727283345
2022-09-01,アイムジャグラーEX-TP,1340,720,-580,0,3,1/240.0,1/0.0,1/240.0,6.033685563694979
2022-09-01,アイムジャグラーEX-TP,1341,820,-270,1,2,1/273.3,1/820.0,1/410.0,4.818312879497226
2022-09-01,アイムジャグラーEX-TP,1342,1400,-250,5,3,1/175.0,1/280.0,1/466.7,6.408613176108689
2022-09-01,アイムジャグラーEX-TP,1343,3650,-1640,6,12,1/202.8,1/608.3,1/304.2,5.913483308990843
2022-09-01,アイムジャグラーEX-TP,1344,120,-150,0,0,1/0.0,1/0.0,1/0.0,6.258213905751299
2022-09-01,アイムジャグラーEX-TP,1345,90,-130,0,0,1/0.0,1/0.0,1/0.0,7.380921138958142
2022-09-01,アイムジャグラーEX-TP,1346,380,-170,1,0,1/380.0,1/380.0,1/0.0,5.634725926189538
2022-09-01,アイムジャグラーEX-TP,1347,490,180,3,1,1/122.5,1/163.3,1/490.0,6.8786797427092985
2022-09-01,アイムジャグラーEX-TP,1348,100,-130,0,0,1/0.0,1/0.0,1/0.0,6.512960791976033
2022-09-01,アイムジャグラーEX-TP,1349,510,190,3,1,1/127.5,1/170.0,1/510.0,6.471637730409336
2022-09-01,アイムジャグラーEX-TP,1350,3110,1610,18,6,1/129.6,1/172.8,1/518.3,5.681564911239707
2022-09-01,アイムジャグラーEX-TP,1351,210,-250,0,0,1/0.0,1/0.0,1/0.0,5.979771287985784
2022-09-01,アイムジャグラーEX-TP,1352,360,20,1,3,1/90.0,1/360.0,1/120.0,7.3246062006860715
2022-09-01,アイムジャグラーEX-TP,1353,180,-250,0,0,1/0.0,1/0.0,1/0.0,7.0210475402930115
2022-09-01,アイムジャグラーEX-TP,1354,290,-390,0,0,1/0.0,1/0.0,1/0.0,6.759654651574766
2022-09-01,アイムジャグラーEX-TP,1355,150,-180,0,0,1/0.0,1/0.0,1/0.0,6.022645145748013
2022-09-01,アイムジャグラーEX-TP,1356,810,-340,2,2,1/202.5,1/405.0,1/405.0,6.384618901309555
2022-09-01,アイムジャグラーEX-TP,1357,1030,-680,2,1,1/343.3,1/515.0,1/1030.0,6.212212183836848
2022-09-01,アイムジャグラーEX-TP,1358,970,-200,4,1,1/194.0,1/242.5,1/970.0,6.734822608591204
2022-09-01,アイムジャグラーEX-TP,1359,390,-380,0,1,1/390.0,1/0.0,1/390.0,6.108127960582214
2022-09-01,アイムジャグラーEX-TP,1360,1430,100,6,3,1/158.9,1/238.3,1/476.7,5.9513665149068204
2022-09-01,アイムジャグラーEX-TP,1361,860,-270,3,1,1/215.0,1/286.7,1/860.0,6.519132136744103
2022-09-01,アイムジャグラーEX-TP,1362,890,-340,3,0,1/296.7,1/296.7,1/0.0,6.156747328127308
2022-09-01,アイムジャグラーEX-TP,1388,880,-800,1,1,1/440.0,1/880.0,1/880.0,6.5280591560851535
2022-09-01,アイムジャグラーEX-TP,1389,360,-400,0,1,1/360.0,1/0.0,1/360.0,6.94067553980622
2022-09-01,アイムジャグラーEX-TP,1390,270,-300,0,0,1/0.0,1/0.0,1/0.0,5.6448982663890215
2022-09-01,アイムジャグラーEX-TP,1391,170,-210,0,0,1/0.0,1/0.0,1/0.0,6.187037791882607
2022-09-01,アイムジャグラーEX-TP,1392,200,-230,0,0,1/0.0,1/0.0,1/0.0,5.804167392187591
2022-09-01,アイムジャグラーEX-TP,1393,1750,-500,5,3,1/218.8,1/350.0,1/583.3,5.876032502854073
