日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-21,アイムジャグラーEX-TP,315,680,-540,1,1,1/340.0,1/680.0,1/680.0,6.53251318270767
2022-08-21,アイムジャグラーEX-TP,316,1100,-540,2,2,1/275.0,1/550.0,1/550.0,5.68419638381761
2022-08-21,アイムジャグラーEX-TP,317,1020,-460,2,2,1/255.0,1/510.0,1/510.0,5.722756034421817
2022-08-21,アイムジャグラーEX-TP,318,1650,-400,5,5,1/165.0,1/330.0,1/330.0,6.473037835886914
2022-08-21,アイムジャグラーEX-TP,319,2810,1010,15,8,1/122.2,1/187.3,1/351.2,6.272620358135371
2022-08-21,アイムジャグラーEX-TP,320,2250,460,11,5,1/140.6,1/204.5,1/450.0,6.188289006848373
2022-08-21,アイムジャグラーEX-TP,321,4780,650,18,17,1/136.6,1/265.6,1/281.2,5.799545973201123
2022-08-21,アイムジャグラーEX-TP,322,710,-400,1,2,1/236.7,1/710.0,1/355.0,5.957892802403968
2022-08-21,アイムジャグラーEX-TP,323,1410,-540,5,0,1/282.0,1/282.0,1/0.0,6.377633233168306
2022-08-21,アイムジャグラーEX-TP,324,4250,-80,17,8,1/170.0,1/250.0,1/531.2,6.036813911660106
2022-08-21,アイムジャグラーEX-TP,325,1200,-760,2,2,1/300.0,1/600.0,1/600.0,6.072167713272241
2022-08-21,アイムジャグラーEX-TP,351,4970,-1280,13,12,1/198.8,1/382.3,1/414.2,5.782010861222374
2022-08-21,アイムジャグラーEX-TP,352,3560,1260,19,9,1/127.1,1/187.4,1/395.6,6.151428116242639
2022-08-21,アイムジャグラーEX-TP,353,3140,-1200,8,8,1/196.2,1/392.5,1/392.5,6.332361026858891
2022-08-21,アイムジャグラーEX-TP,354,1490,700,9,2,1/135.5,1/165.6,1/745.0,5.914321330634974
2022-08-21,アイムジャグラーEX-TP,355,1440,-1590,1,1,1/720.0,1/1440.0,1/1440.0,6.759449499167038
2022-08-21,アイムジャグラーEX-TP,356,1480,-290,4,2,1/246.7,1/370.0,1/740.0,5.247264951780117
2022-08-21,アイムジャグラーEX-TP,357,7080,-210,22,25,1/150.6,1/321.8,1/283.2,5.790371617953734
2022-08-21,アイムジャグラーEX-TP,358,2780,-480,10,5,1/185.3,1/278.0,1/556.0,6.247226809951384
2022-08-21,アイムジャグラーEX-TP,359,710,-760,0,1,1/710.0,1/0.0,1/710.0,6.043471284786668
2022-08-21,アイムジャグラーEX-TP,360,6330,-290,20,22,1/150.7,1/316.5,1/287.7,5.892643848698875
2022-08-21,アイムジャグラーEX-TP,361,1130,-480,3,0,1/376.7,1/376.7,1/0.0,5.5690688984997765
2022-08-21,アイムジャグラーEX-TP,362,4610,590,20,14,1/135.6,1/230.5,1/329.3,6.264592185240593
2022-08-21,アイムジャグラーEX-TP,363,2220,-350,9,1,1/222.0,1/246.7,1/2220.0,6.110714587514379
2022-08-21,アイムジャグラーEX-TP,364,990,700,7,2,1/110.0,1/141.4,1/495.0,6.316863441216639
2022-08-21,マイジャグラーV,341,6850,-400,22,23,1/152.2,1/311.4,1/297.8,5.780663585369036
2022-08-21,マイジャグラーV,342,6050,260,26,14,1/151.2,1/232.7,1/432.1,6.0381452339853015
2022-08-21,マイジャグラーV,343,4520,-650,16,10,1/173.8,1/282.5,1/452.0,6.019147146774439
2022-08-21,マイジャグラーV,344,4500,-590,13,15,1/160.7,1/346.2,1/300.0,5.752282737479398
2022-08-21,マイジャグラーV,345,6360,-2280,14,20,1/187.1,1/454.3,1/318.0,5.944153833579675
2022-08-21,マイジャグラーV,365,9360,400,40,21,1/153.4,1/234.0,1/445.7,5.982975940542515
2022-08-21,マイジャグラーV,366,4010,150,16,15,1/129.4,1/250.6,1/267.3,6.364226634474948
2022-08-21,マイジャグラーV,367,5590,-1010,18,11,1/192.8,1/310.6,1/508.2,5.747028428398354
2022-08-21,マイジャグラーV,368,8110,570,33,25,1/139.8,1/245.8,1/324.4,5.998466193673553
2022-08-21,マイジャグラーV,369,1780,-1040,5,2,1/254.3,1/356.0,1/890.0,6.854084153328557
2022-08-21,マイジャグラーV,370,4890,-1200,16,6,1/222.3,1/305.6,1/815.0,5.774347276241718
2022-08-21,マイジャグラーV,371,2480,-1010,8,4,1/206.7,1/310.0,1/620.0,6.678528235497831
2022-08-21,マイジャグラーV,372,2990,-1390,7,6,1/230.0,1/427.1,1/498.3,6.086460254409459
2022-08-21,マイジャグラーV,373,3930,-240,14,10,1/163.8,1/280.7,1/393.0,5.8190078669321705
2022-08-21,マイジャグラーV,374,5340,-3470,9,11,1/267.0,1/593.3,1/485.5,6.243760806551247
2022-08-21,ファンキージャグラー2,346,2140,-760,6,3,1/237.8,1/356.7,1/713.3,5.842668406726167
2022-08-21,ファンキージャグラー2,347,2540,-460,6,8,1/181.4,1/423.3,1/317.5,5.396507885753377
2022-08-21,ファンキージャグラー2,348,6520,-30,24,20,1/148.2,1/271.7,1/326.0,5.920461505422625
2022-08-21,ファンキージャグラー2,349,4660,-2480,10,8,1/258.9,1/466.0,1/582.5,6.062535837750409
2022-08-21,ファンキージャグラー2,350,3280,-1880,5,10,1/218.7,1/656.0,1/328.0,6.151846515180572
