日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-21,アイムジャグラーEX-TP,519,5260,1140,23,16,1/134.9,1/228.7,1/328.8,5.8966848131723415
2022-08-21,アイムジャグラーEX-TP,520,4570,1560,24,12,1/126.9,1/190.4,1/380.8,6.153408651773353
2022-08-21,アイムジャグラーEX-TP,521,5540,1950,27,20,1/117.9,1/205.2,1/277.0,6.097843867349442
2022-08-21,アイムジャグラーEX-TP,522,6240,1140,24,26,1/124.8,1/260.0,1/240.0,5.935637711503466
2022-08-21,アイムジャグラーEX-TP,523,3990,-790,13,9,1/181.4,1/306.9,1/443.3,6.168715767685854
2022-08-21,アイムジャグラーEX-TP,524,2790,650,14,5,1/146.8,1/199.3,1/558.0,6.015746377857654
2022-08-21,アイムジャグラーEX-TP,525,6110,1140,27,14,1/149.0,1/226.3,1/436.4,5.770421377229587
2022-08-21,アイムジャグラーEX-TP,526,1840,-1200,3,2,1/368.0,1/613.3,1/920.0,5.869548955467509
2022-08-21,アイムジャグラーEX-TP,527,6260,1920,25,30,1/113.8,1/250.4,1/208.7,5.817483517401083
2022-08-21,アイムジャグラーEX-TP,528,6350,-150,18,29,1/135.1,1/352.8,1/219.0,5.8932154009671835
2022-08-21,アイムジャグラーEX-TP,529,5810,1390,26,17,1/135.1,1/223.5,1/341.8,5.8629207749368515
2022-08-21,アイムジャグラーEX-TP,530,3950,-950,12,11,1/171.7,1/329.2,1/359.1,6.352890183055716
2022-08-21,アイムジャグラーEX-TP,531,3810,-460,13,8,1/181.4,1/293.1,1/476.2,5.92460220611349
2022-08-21,アイムジャグラーEX-TP,532,4080,-900,12,12,1/170.0,1/340.0,1/340.0,6.208220048533674
2022-08-21,アイムジャグラーEX-TP,533,3480,-1560,9,4,1/267.7,1/386.7,1/870.0,6.057041140624392
2022-08-21,アイムジャグラーEX-TP,534,3010,-290,12,4,1/188.1,1/250.8,1/752.5,6.136215003188385
2022-08-21,アイムジャグラーEX-TP,535,5930,810,25,14,1/152.1,1/237.2,1/423.6,5.793711907626542
2022-08-21,アイムジャグラーEX-TP,536,1970,-1340,2,6,1/246.2,1/985.0,1/328.3,6.1399637461633025
2022-08-21,アイムジャグラーEX-TP,537,5610,760,24,15,1/143.8,1/233.8,1/374.0,5.995891691965285
2022-08-21,マイジャグラーV,506,5640,-290,22,7,1/194.5,1/256.4,1/805.7,5.603619063591539
2022-08-21,マイジャグラーV,507,5220,-2430,11,13,1/217.5,1/474.5,1/401.5,6.0439693560333
2022-08-21,マイジャグラーV,508,4830,-700,17,7,1/201.2,1/284.1,1/690.0,5.692012705267656
2022-08-21,マイジャグラーV,509,6280,210,25,18,1/146.0,1/251.2,1/348.9,5.976698679121041
2022-08-21,マイジャグラーV,510,6070,150,26,13,1/155.6,1/233.5,1/466.9,6.031124052856741
2022-08-21,マイジャグラーV,511,4290,-210,15,13,1/153.2,1/286.0,1/330.0,5.89794726173105
2022-08-21,マイジャグラーV,512,6130,760,29,15,1/139.3,1/211.4,1/408.7,6.203551712985444
2022-08-21,マイジャグラーV,513,5040,2260,27,14,1/122.9,1/186.7,1/360.0,5.58400709346171
2022-08-21,マイジャグラーV,514,6800,840,32,12,1/154.5,1/212.5,1/566.7,5.881968781450691
2022-08-21,マイジャグラーV,515,6110,-2760,14,14,1/218.2,1/436.4,1/436.4,6.095874107129974
2022-08-21,マイジャグラーV,516,3250,-1200,9,7,1/203.1,1/361.1,1/464.3,6.184258801716608
2022-08-21,マイジャグラーV,517,6340,2060,25,35,1/105.7,1/253.6,1/181.1,5.771138712800761
2022-08-21,マイジャグラーV,518,6060,-290,23,15,1/159.5,1/263.5,1/404.0,5.975217784239865
2022-08-21,ファンキージャグラー2,501,4600,340,21,10,1/148.4,1/219.0,1/460.0,6.138172259130949
2022-08-21,ファンキージャグラー2,502,4740,-1090,13,12,1/189.6,1/364.6,1/395.0,5.708446513722852
2022-08-21,ファンキージャグラー2,503,5460,2690,33,14,1/116.2,1/165.5,1/390.0,6.009946130629371
2022-08-21,ファンキージャグラー2,504,4950,-100,20,12,1/154.7,1/247.5,1/412.5,6.102574099658425
2022-08-21,ファンキージャグラー2,505,2700,-460,8,6,1/192.9,1/337.5,1/450.0,5.564156527966327
