日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-10,アイムジャグラーEX-TP,571,6640,360,28,17,1/147.6,1/237.1,1/390.6,6.2539773152984575
2022-09-10,アイムジャグラーEX-TP,572,4800,630,19,16,1/137.1,1/252.6,1/300.0,5.936749499782472
2022-09-10,アイムジャグラーEX-TP,573,1080,-280,4,0,1/270.0,1/270.0,1/0.0,5.976816592528316
2022-09-10,アイムジャグラーEX-TP,575,2070,-800,6,1,1/295.7,1/345.0,1/2070.0,5.84978680070497
2022-09-10,アイムジャグラーEX-TP,576,2200,-670,6,4,1/220.0,1/366.7,1/550.0,5.859237153955451
2022-09-10,アイムジャグラーEX-TP,577,5980,-110,21,16,1/161.6,1/284.8,1/373.8,5.827676483459168
2022-09-10,アイムジャグラーEX-TP,578,3700,-350,12,12,1/154.2,1/308.3,1/308.3,6.10714238554885
2022-09-10,アイムジャグラーEX-TP,580,1720,-510,6,1,1/245.7,1/286.7,1/1720.0,6.153955141602687
2022-09-10,アイムジャグラーEX-TP,581,5650,270,22,14,1/156.9,1/256.8,1/403.6,5.874701455990168
2022-09-10,アイムジャグラーEX-TP,582,4440,1350,25,9,1/130.6,1/177.6,1/493.3,6.532725201355806
2022-09-10,アイムジャグラーEX-TP,583,3890,-520,14,9,1/169.1,1/277.9,1/432.2,6.299066224155914
2022-09-10,アイムジャグラーEX-TP,585,2400,60,9,6,1/160.0,1/266.7,1/400.0,5.826625127685028
2022-09-10,アイムジャグラーEX-TP,586,2360,-150,10,3,1/181.5,1/236.0,1/786.7,6.254585757592663
2022-09-10,アイムジャグラーEX-TP,587,4880,-240,19,12,1/157.4,1/256.8,1/406.7,6.315668636797221
2022-09-10,アイムジャグラーEX-TP,588,4380,-780,14,9,1/190.4,1/312.9,1/486.7,5.919627274317758
2022-09-10,アイムジャグラーEX-TP,600,5120,890,25,14,1/131.3,1/204.8,1/365.7,6.584946028843478
2022-09-10,アイムジャグラーEX-TP,601,1710,-300,6,3,1/190.0,1/285.0,1/570.0,6.134041725473653
2022-09-10,アイムジャグラーEX-TP,602,5250,510,23,11,1/154.4,1/228.3,1/477.3,6.0369287556165
2022-09-10,アイムジャグラーEX-TP,603,1490,470,8,2,1/149.0,1/186.2,1/745.0,5.852613899133145
2022-09-10,アイムジャグラーEX-TP,605,5110,-1810,10,19,1/176.2,1/511.0,1/268.9,6.022866975435838
2022-09-10,アイムジャグラーEX-TP,606,2020,-720,6,2,1/252.5,1/336.7,1/1010.0,6.009207772226037
2022-09-10,マイジャグラーV,661,6970,370,30,14,1/158.4,1/232.3,1/497.9,5.871455083984605
2022-09-10,マイジャグラーV,662,5320,-120,21,12,1/161.2,1/253.3,1/443.3,5.931567108880604
2022-09-10,マイジャグラーV,663,7250,90,25,22,1/154.3,1/290.0,1/329.5,5.598675816640471
2022-09-10,マイジャグラーV,665,5580,400,25,8,1/169.1,1/223.2,1/697.5,5.739923303618
