日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-30,アイムジャグラーEX-TP,2217,4817,768,22,11,1/146.0,1/219.0,1/437.9,6.048024377116581
2023-09-30,アイムジャグラーEX-TP,2218,1051,-557,2,3,1/210.2,1/525.5,1/350.3,6.408466639297047
2023-09-30,アイムジャグラーEX-TP,2220,9035,-903,29,32,1/148.1,1/311.6,1/282.3,6.227748164477207
2023-09-30,アイムジャグラーEX-TP,2221,6770,909,29,18,1/144.0,1/233.4,1/376.1,6.001123725930185
2023-09-30,アイムジャグラーEX-TP,2222,3951,644,15,15,1/131.7,1/263.4,1/263.4,5.814684717669316
2023-09-30,アイムジャグラーEX-TP,2223,6534,-179,24,19,1/152.0,1/272.2,1/343.9,6.148711818054668
2023-09-30,アイムジャグラーEX-TP,2311,4546,-848,14,17,1/146.6,1/324.7,1/267.4,6.601569805668576
2023-09-30,アイムジャグラーEX-TP,2312,6011,-687,20,18,1/158.2,1/300.6,1/333.9,6.187951018605093
2023-09-30,アイムジャグラーEX-TP,2313,4660,478,18,17,1/133.1,1/258.9,1/274.1,6.093274300053094
2023-09-30,アイムジャグラーEX-TP,2315,6868,1831,29,23,1/132.1,1/236.8,1/298.6,5.653546334285996
2023-09-30,アイムジャグラーEX-TP,2316,4443,-1140,12,11,1/193.2,1/370.2,1/403.9,5.893964592196749
2023-09-30,アイムジャグラーEX-TP,2317,5770,812,22,21,1/134.2,1/262.3,1/274.8,5.863332229258729
2023-09-30,アイムジャグラーEX-TP,2318,7701,1999,33,32,1/118.5,1/233.4,1/240.7,6.081531902270406
2023-09-30,アイムジャグラーEX-TP,2320,4268,-671,15,10,1/170.7,1/284.5,1/426.8,6.324579525489678
2023-09-30,アイムジャグラーEX-TP,2321,3298,-1454,7,8,1/219.9,1/471.1,1/412.2,6.046315325390856
2023-09-30,アイムジャグラーEX-TP,2322,6432,1637,28,22,1/128.6,1/229.7,1/292.4,5.868175274293858
2023-09-30,アイムジャグラーEX-TP,2323,6534,2168,30,24,1/121.0,1/217.8,1/272.2,5.896750763982993
2023-09-30,アイムジャグラーEX-TP,2325,3088,-329,10,9,1/162.5,1/308.8,1/343.1,6.012604233157654
2023-09-30,アイムジャグラーEX-TP,2326,7655,369,28,31,1/129.7,1/273.4,1/246.9,6.290354979399395
2023-09-30,アイムジャグラーEX-TP,2327,4833,69,18,17,1/138.1,1/268.5,1/284.3,6.290285795679568
2023-09-30,アイムジャグラーEX-TP,2328,3991,-874,11,10,1/190.0,1/362.8,1/399.1,5.804800542413594
2023-09-30,アイムジャグラーEX-TP,2330,4378,-1007,11,15,1/168.4,1/398.0,1/291.9,5.9671334433404875
