日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-12,アイムジャグラーEX-TP,329,2900,1367,16,7,126.1,181.2,414.3,5.782107269055905,0,2,-661.0,1932.0,322.0,644.0
2023-09-12,アイムジャグラーEX-TP,330,4844,1305,23,13,134.6,210.6,372.6,5.929750621424154,2,2,83.0,1835.0,229.4,367.0
2023-09-12,アイムジャグラーEX-TP,331,77,-89,0,0,0.0,0.0,0.0,5.8288821869360365,0,2,-248.0,2726.0,302.9,454.3
2023-09-12,アイムジャグラーEX-TP,332,1297,-1280,1,1,648.5,1297.0,1297.0,6.278093500319326,0,2,-87.0,678.0,339.0,678.0
2023-09-12,アイムジャグラーEX-TP,333,193,-124,0,1,193.0,0.0,193.0,5.745848326871486,0,2,677.0,3547.0,208.6,394.1
2023-09-12,アイムジャグラーEX-TP,334,1256,35,4,6,125.6,314.0,209.3,6.149063682660532,0,2,-259.0,809.0,404.5,404.5
2023-09-12,アイムジャグラーEX-TP,335,1687,431,9,4,129.8,187.4,421.8,6.570511303791582,0,2,-942.0,916.0,0.0,916.0
2023-09-12,アイムジャグラーEX-TP,336,1329,-382,4,3,189.9,332.2,443.0,6.300865323578829,0,2,-475.0,831.0,415.5,831.0
2023-09-12,アイムジャグラーEX-TP,337,507,-467,1,0,507.0,507.0,0.0,7.1964881138004655,0,2,-554.0,945.0,315.0,0.0
2023-09-12,アイムジャグラーEX-TP,338,2194,1075,12,5,129.1,182.8,438.8,5.606084272529183,0,2,-838.0,1381.0,690.5,690.5
2023-09-12,マイジャグラーV,339,1372,-398,4,3,196.0,343.0,457.3,5.994089486993972,0,2,-99.0,2179.0,363.2,242.1
2023-09-12,マイジャグラーV,340,588,-698,0,0,0.0,0.0,0.0,5.954794903647519,0,2,-256.0,412.0,412.0,0.0
2023-09-12,マイジャグラーV,341,2568,494,11,9,128.4,233.5,285.3,5.864016070509587,0,2,-147.0,1246.0,311.5,311.5
2023-09-12,マイジャグラーV,342,618,-127,2,1,206.0,309.0,618.0,5.728072679417452,0,2,-75.0,961.0,320.3,320.3
2023-09-12,マイジャグラーV,343,408,-250,0,2,204.0,0.0,204.0,5.5139210965999785,0,2,1166.0,3773.0,209.6,343.0
2023-09-12,マイジャグラーV,344,236,-159,0,1,236.0,0.0,236.0,5.505094136526568,0,2,-252.0,448.0,448.0,0.0
2023-09-12,マイジャグラーV,345,3199,-34,10,12,145.4,319.9,266.6,5.654858974806196,0,2,-211.0,2898.0,263.5,414.0
2023-09-12,ファンキージャグラー2,384,3350,1124,16,13,115.5,209.4,257.7,5.917558256484198,0,2,-280.0,667.0,333.5,667.0
2023-09-12,ファンキージャグラー2,385,609,27,3,0,203.0,203.0,0.0,5.736973202612301,0,2,-743.0,1296.0,432.0,1296.0
2023-09-12,ファンキージャグラー2,386,85,-96,0,0,0.0,0.0,0.0,5.71719235409599,0,2,-121.0,278.0,278.0,0.0
2023-09-12,ハッピージャグラーVIII,380,1662,614,9,4,127.8,184.7,415.5,6.054207560419361,0,2,-459.0,991.0,495.5,495.5
2023-09-12,ハッピージャグラーVIII,381,853,-435,2,1,284.3,426.5,853.0,6.172237071429081,0,2,173.0,552.0,276.0,184.0
2023-09-11,アイムジャグラーEX-TP,329,1932,-661,6,3,214.7,322.0,644.0,6.35927891701875,0,1,-813.0,3444.0,344.4,430.5
2023-09-11,アイムジャグラーEX-TP,330,1835,83,8,5,141.2,229.4,367.0,6.564657493914276,0,1,-845.0,4441.0,296.1,444.1
2023-09-11,アイムジャグラーEX-TP,331,2726,-248,9,6,181.7,302.9,454.3,5.721706481536929,0,1,284.0,2679.0,243.5,334.9
2023-09-11,アイムジャグラーEX-TP,332,678,-87,2,1,226.0,339.0,678.0,5.26882795854598,0,1,-202.0,878.0,292.7,878.0
2023-09-11,アイムジャグラーEX-TP,333,3547,677,17,9,136.4,208.6,394.1,6.28280916779295,0,1,712.0,1797.0,163.4,599.0
2023-09-11,アイムジャグラーEX-TP,334,809,-259,2,2,202.2,404.5,404.5,5.919092372667812,0,1,-285.0,2198.0,274.8,549.5
2023-09-11,アイムジャグラーEX-TP,335,916,-942,0,1,916.0,0.0,916.0,5.730860162695116,0,1,24.0,1265.0,253.0,421.7
2023-09-11,アイムジャグラーEX-TP,336,831,-475,2,1,277.0,415.5,831.0,6.465140483768335,0,1,-223.0,2446.0,305.8,305.8
2023-09-11,アイムジャグラーEX-TP,337,945,-554,3,0,315.0,315.0,0.0,6.99021111547126,0,1,-268.0,365.0,365.0,0.0
2023-09-11,アイムジャグラーEX-TP,338,1381,-838,2,2,345.2,690.5,690.5,5.634981179734111,0,1,-85.0,2987.0,298.7,271.5
2023-09-11,マイジャグラーV,339,2179,-99,6,9,145.3,363.2,242.1,5.583108703046378,0,1,-227.0,1877.0,234.6,1877.0
2023-09-11,マイジャグラーV,340,412,-256,1,0,412.0,412.0,0.0,6.021979200931595,0,1,-712.0,606.0,0.0,606.0
2023-09-11,マイジャグラーV,341,1246,-147,4,4,155.8,311.5,311.5,5.975874516898686,0,1,-185.0,3239.0,269.9,809.8
2023-09-11,マイジャグラーV,342,961,-75,3,3,160.2,320.3,320.3,5.680763005683135,0,1,-15.0,1643.0,273.8,547.7
2023-09-11,マイジャグラーV,343,3773,1166,18,11,130.1,209.6,343.0,5.631932020117573,0,1,-954.0,1867.0,466.8,466.8
2023-09-11,マイジャグラーV,344,448,-252,1,0,448.0,448.0,0.0,5.578840156640881,0,1,1497.0,2898.0,161.0,414.0
2023-09-11,マイジャグラーV,345,2898,-211,11,7,161.0,263.5,414.0,6.062799652447604,0,1,-783.0,1930.0,482.5,386.0
2023-09-11,ファンキージャグラー2,384,667,-280,2,1,222.3,333.5,667.0,6.40658600883739,0,1,182.0,736.0,184.0,736.0
2023-09-11,ファンキージャグラー2,385,1296,-743,3,1,324.0,432.0,1296.0,6.023721190949173,0,1,-256.0,1019.0,254.8,1019.0
2023-09-11,ファンキージャグラー2,386,278,-121,1,0,278.0,278.0,0.0,6.48909953823521,0,1,285.0,2099.0,209.9,419.8
2023-09-11,ハッピージャグラーVIII,380,991,-459,2,2,247.8,495.5,495.5,5.969082591608816,0,1,-219.0,718.0,718.0,239.3
2023-09-11,ハッピージャグラーVIII,381,552,173,2,3,110.4,276.0,184.0,5.693468601345804,0,1,204.0,2413.0,301.6,241.3
2023-09-10,アイムジャグラーEX-TP,329,3444,-813,10,8,191.3,344.4,430.5,5.963592372461461,0,0,-665.0,1658.0,331.6,1658.0
2023-09-10,アイムジャグラーEX-TP,330,4441,-845,15,10,177.6,296.1,444.1,6.274793363820361,1,0,-571.0,2894.0,321.6,289.4
2023-09-10,アイムジャグラーEX-TP,331,2679,284,11,8,141.0,243.5,334.9,6.068604314562467,0,0,-1200.0,2366.0,394.3,1183.0
2023-09-10,アイムジャグラーEX-TP,332,878,-202,3,1,219.5,292.7,878.0,6.009248493512886,0,0,600.0,3202.0,213.5,533.7
2023-09-10,アイムジャグラーEX-TP,333,1797,712,11,3,128.4,163.4,599.0,6.517094334813564,0,0,993.0,3732.0,207.3,373.2
2023-09-10,アイムジャグラーEX-TP,334,2198,-285,8,4,183.2,274.8,549.5,6.102912316421176,0,0,-303.0,1603.0,320.6,320.6
2023-09-10,アイムジャグラーEX-TP,335,1265,24,5,3,158.1,253.0,421.7,6.022645145748013,0,0,-74.0,1913.0,273.3,382.6
2023-09-10,アイムジャグラーEX-TP,336,2446,-223,8,8,152.9,305.8,305.8,6.135571959222076,0,0,-539.0,1972.0,328.7,657.3
2023-09-10,アイムジャグラーEX-TP,337,365,-268,1,0,365.0,365.0,0.0,7.235122655151258,0,0,713.0,2269.0,189.1,567.2
2023-09-10,アイムジャグラーEX-TP,338,2987,-85,10,11,142.2,298.7,271.5,6.116449290406903,0,0,-448.0,2093.0,418.6,261.6
2023-09-10,マイジャグラーV,339,1877,-227,8,1,208.6,234.6,1877.0,5.974009375192419,0,0,-421.0,1424.0,474.7,284.8
2023-09-10,マイジャグラーV,340,606,-712,0,1,606.0,0.0,606.0,6.675376417288575,0,0,1561.0,4983.0,199.3,415.2
2023-09-10,マイジャグラーV,341,3239,-185,12,4,202.4,269.9,809.8,5.4443989943771465,0,0,-543.0,504.0,0.0,504.0
2023-09-10,マイジャグラーV,342,1643,-15,6,3,182.6,273.8,547.7,5.428240451509676,0,0,-472.0,1001.0,500.5,500.5
2023-09-10,マイジャグラーV,343,1867,-954,4,4,233.4,466.8,466.8,6.1401862317333,0,0,-362.0,3863.0,257.5,643.8
2023-09-10,マイジャグラーV,344,2898,1497,18,7,115.9,161.0,414.0,6.010537199695385,0,0,17.0,2390.0,341.4,199.2
2023-09-10,マイジャグラーV,345,1930,-783,4,5,214.4,482.5,386.0,5.78781603996502,0,0,-137.0,3342.0,222.8,557.0
2023-09-10,ファンキージャグラー2,384,736,182,4,1,147.2,184.0,736.0,5.9422335774143455,0,0,788.0,2245.0,224.5,160.4
2023-09-10,ファンキージャグラー2,385,1019,-256,4,1,203.8,254.8,1019.0,6.426511789204106,0,0,414.0,1951.0,216.8,390.2
2023-09-10,ファンキージャグラー2,386,2099,285,10,5,139.9,209.9,419.8,6.164483711823896,0,0,249.0,2385.0,198.8,477.0
2023-09-10,ハッピージャグラーVIII,380,718,-219,1,3,179.5,718.0,239.3,5.549461410471361,0,0,-445.0,1628.0,325.6,542.7
2023-09-10,ハッピージャグラーVIII,381,2413,204,8,10,134.1,301.6,241.3,5.824345359301071,0,0,-58.0,1551.0,310.2,221.6
2023-09-09,アイムジャグラーEX-TP,329,1658,-665,5,1,276.3,331.6,1658.0,6.097116549287979,0,9,1321.0,3620.0,172.4,452.5
2023-09-09,アイムジャグラーEX-TP,330,2894,-571,9,10,152.3,321.6,289.4,6.554540241015474,0,9,-341.0,1682.0,280.3,1682.0
2023-09-09,アイムジャグラーEX-TP,331,2366,-1200,6,2,295.8,394.3,1183.0,6.137473597968605,0,9,177.0,4739.0,249.4,394.9
2023-09-09,アイムジャグラーEX-TP,332,3202,600,15,6,152.5,213.5,533.7,5.881393165751343,0,9,-96.0,823.0,274.3,823.0
2023-09-09,アイムジャグラーEX-TP,333,3732,993,18,10,133.3,207.3,373.2,6.027021988359127,0,9,-267.0,749.0,374.5,749.0
2023-09-09,アイムジャグラーEX-TP,334,1603,-303,5,5,160.3,320.6,320.6,6.3567063172336695,0,9,-178.0,313.0,313.0,0.0
2023-09-09,アイムジャグラーEX-TP,335,1913,-74,7,5,159.4,273.3,382.6,6.054573066828308,0,9,1920.0,4051.0,192.9,311.6
2023-09-09,アイムジャグラーEX-TP,336,1972,-539,6,3,219.1,328.7,657.3,5.945137774196493,0,9,177.0,1019.0,254.8,254.8
2023-09-09,アイムジャグラーEX-TP,337,2269,713,12,4,141.8,189.1,567.2,5.944151279986135,0,9,-88.0,434.0,217.0,0.0
2023-09-09,アイムジャグラーEX-TP,338,2093,-448,5,8,161.0,418.6,261.6,5.925980958659502,0,9,-128.0,1819.0,259.9,454.8
2023-09-09,マイジャグラーV,339,1424,-421,3,5,178.0,474.7,284.8,5.7290142466583625,0,9,-234.0,348.0,348.0,0.0
2023-09-09,マイジャグラーV,340,4983,1561,25,12,134.7,199.3,415.2,5.657372210865934,1,9,-117.0,1366.0,341.5,227.7
2023-09-09,マイジャグラーV,341,504,-543,0,1,504.0,0.0,504.0,6.328308104227236,0,9,-478.0,663.0,663.0,0.0
2023-09-09,マイジャグラーV,342,1001,-472,2,2,250.2,500.5,500.5,5.752623415017736,0,9,-279.0,1060.0,265.0,1060.0
2023-09-09,マイジャグラーV,343,3863,-362,15,6,184.0,257.5,643.8,5.882904550260104,0,9,-1849.0,5736.0,409.7,318.7
2023-09-09,マイジャグラーV,344,2390,17,7,12,125.8,341.4,199.2,5.888119508624109,0,9,-334.0,284.0,0.0,0.0
2023-09-09,マイジャグラーV,345,3342,-137,15,6,159.1,222.8,557.0,6.427261033432321,0,9,-27.0,2151.0,239.0,717.0
2023-09-09,ファンキージャグラー2,384,2245,788,10,14,93.5,224.5,160.4,6.557301633867074,0,9,-157.0,560.0,280.0,560.0
2023-09-09,ファンキージャグラー2,385,1951,414,9,5,139.4,216.8,390.2,5.742470999840802,0,9,589.0,1795.0,163.2,897.5
2023-09-09,ファンキージャグラー2,386,2385,249,12,5,140.3,198.8,477.0,6.505951257535931,0,9,882.0,1972.0,197.2,219.1
2023-09-09,ハッピージャグラーVIII,380,1628,-445,5,3,203.5,325.6,542.7,6.180337151058183,0,9,1017.0,4893.0,233.0,287.8
2023-09-09,ハッピージャグラーVIII,381,1551,-58,5,7,129.2,310.2,221.6,6.460665103811921,0,9,-46.0,571.0,285.5,571.0
2023-09-08,アイムジャグラーEX-TP,329,3620,1321,21,8,124.8,172.4,452.5,6.529480831419357,0,8,1462.0,4478.0,186.6,447.8
2023-09-08,アイムジャグラーEX-TP,330,1682,-341,6,1,240.3,280.3,1682.0,5.827923187695196,0,8,-806.0,1525.0,508.3,305.0
2023-09-08,アイムジャグラーEX-TP,331,4739,177,19,12,152.9,249.4,394.9,6.0737347294883,2,8,-419.0,548.0,548.0,548.0
2023-09-08,アイムジャグラーEX-TP,332,823,-96,3,1,205.8,274.3,823.0,5.796757647353156,0,8,99.0,2100.0,300.0,210.0
2023-09-08,アイムジャグラーEX-TP,333,749,-267,2,1,249.7,374.5,749.0,5.823346113336309,0,8,1941.0,4152.0,180.5,377.5
2023-09-08,アイムジャグラーEX-TP,334,313,-178,1,0,313.0,313.0,0.0,6.914946380445327,0,8,676.0,2263.0,188.6,452.6
2023-09-08,アイムジャグラーEX-TP,335,4051,1920,21,13,119.1,192.9,311.6,5.738240424596363,4,8,-223.0,936.0,468.0,234.0
