日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-12,アイムジャグラーEX-TP,329,2900,1367,16,7,1/126.1,1/181.2,1/414.3,5.782107269055905
2023-09-12,アイムジャグラーEX-TP,330,4844,1305,23,13,1/134.6,1/210.6,1/372.6,5.929750621424154
2023-09-12,アイムジャグラーEX-TP,331,77,-89,0,0,1/0.0,1/0.0,1/0.0,5.8288821869360365
2023-09-12,アイムジャグラーEX-TP,332,1297,-1280,1,1,1/648.5,1/1297.0,1/1297.0,6.278093500319326
2023-09-12,アイムジャグラーEX-TP,333,193,-124,0,1,1/193.0,1/0.0,1/193.0,5.745848326871486
2023-09-12,アイムジャグラーEX-TP,334,1256,35,4,6,1/125.6,1/314.0,1/209.3,6.149063682660532
2023-09-12,アイムジャグラーEX-TP,335,1687,431,9,4,1/129.8,1/187.4,1/421.8,6.570511303791582
2023-09-12,アイムジャグラーEX-TP,336,1329,-382,4,3,1/189.9,1/332.2,1/443.0,6.3008653235788294
2023-09-12,アイムジャグラーEX-TP,337,507,-467,1,0,1/507.0,1/507.0,1/0.0,7.1964881138004655
2023-09-12,アイムジャグラーEX-TP,338,2194,1075,12,5,1/129.1,1/182.8,1/438.8,5.606084272529183
2023-09-12,マイジャグラーV,339,1372,-398,4,3,1/196.0,1/343.0,1/457.3,5.994089486993972
2023-09-12,マイジャグラーV,340,588,-698,0,0,1/0.0,1/0.0,1/0.0,5.954794903647519
2023-09-12,マイジャグラーV,341,2568,494,11,9,1/128.4,1/233.5,1/285.3,5.864016070509587
2023-09-12,マイジャグラーV,342,618,-127,2,1,1/206.0,1/309.0,1/618.0,5.728072679417452
2023-09-12,マイジャグラーV,343,408,-250,0,2,1/204.0,1/0.0,1/204.0,5.5139210965999785
2023-09-12,マイジャグラーV,344,236,-159,0,1,1/236.0,1/0.0,1/236.0,5.5050941365265675
2023-09-12,マイジャグラーV,345,3199,-34,10,12,1/145.4,1/319.9,1/266.6,5.654858974806196
