日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-12,アイムジャグラーEX-TP,276,1529,-300,6,1,218.4,254.8,1529.0,6.2311158779306055,0,2,-1700.0,1762.0,0.0,587.3
2023-09-12,アイムジャグラーEX-TP,277,3695,-300,15,9,154.0,246.3,410.6,6.693624734564719,0,2,-800.0,1992.0,332.0,664.0
2023-09-12,アイムジャグラーEX-TP,278,921,-400,3,0,307.0,307.0,0.0,6.271531150409225,0,2,-700.0,825.0,825.0,825.0
2023-09-12,アイムジャグラーEX-TP,279,798,-600,0,3,266.0,0.0,266.0,5.6403265537032246,0,2,200.0,1590.0,198.8,795.0
2023-09-12,アイムジャグラーEX-TP,280,2669,-800,8,3,242.6,333.6,889.7,5.846121367889015,0,2,700.0,2815.0,255.9,255.9
2023-09-12,アイムジャグラーEX-TP,281,1626,-300,5,4,180.7,325.2,406.5,5.983995792213143,0,2,-600.0,5271.0,376.5,277.4
2023-09-12,アイムジャグラーEX-TP,282,3065,400,13,8,146.0,235.8,383.1,5.94993878745683,0,2,-200.0,2737.0,304.1,391.0
2023-09-12,アイムジャグラーEX-TP,283,4555,500,18,11,157.1,253.1,414.1,5.652901076899373,1,2,-500.0,3246.0,295.1,405.8
2023-09-12,アイムジャグラーEX-TP,284,4696,1900,24,17,114.5,195.7,276.2,6.13481231778866,4,2,-300.0,1204.0,301.0,1204.0
2023-09-12,アイムジャグラーEX-TP,285,938,-500,2,2,234.5,469.0,469.0,6.367069570484818,0,2,1200.0,5079.0,241.9,317.4
2023-09-12,アイムジャグラーEX-TP,286,1690,200,6,4,169.0,281.7,422.5,5.231467680518913,0,2,-100.0,927.0,231.8,0.0
2023-09-12,アイムジャグラーEX-TP,287,1188,-700,3,0,396.0,396.0,0.0,6.132031622081859,0,2,-1100.0,1136.0,568.0,0.0
2023-09-12,アイムジャグラーEX-TP,288,2803,-500,6,11,164.9,467.2,254.8,5.562017015565333,0,2,-500.0,4945.0,274.7,412.1
2023-09-12,アイムジャグラーEX-TP,289,2379,-100,8,4,198.2,297.4,594.8,5.400875255082952,0,2,-600.0,1490.0,372.5,745.0
2023-09-12,アイムジャグラーEX-TP,290,1411,-200,6,1,201.6,235.2,1411.0,6.396520147973134,0,2,-200.0,3758.0,313.2,268.4
2023-09-12,マイジャグラーV,26,3579,1700,20,10,119.3,178.9,357.9,5.704418741137786,0,2,600.0,3118.0,207.9,445.4
2023-09-12,マイジャグラーV,27,3802,1200,20,7,140.8,190.1,543.1,5.6647715793165245,0,2,-500.0,3143.0,314.3,349.2
2023-09-12,マイジャグラーV,28,5645,0,23,15,148.6,245.4,376.3,6.14142534390673,1,2,-400.0,4770.0,298.1,318.0
2023-09-12,マイジャグラーV,29,2331,0,10,3,179.3,233.1,777.0,5.790557276021994,0,2,-1300.0,3825.0,478.1,347.7
2023-09-12,マイジャグラーV,30,4962,2800,29,19,103.4,171.1,261.2,6.00681862890836,1,2,-600.0,1366.0,341.5,1366.0
2023-09-12,ファンキージャグラー2,31,903,-100,3,2,180.6,301.0,451.5,5.665144329040743,0,2,-100.0,523.0,523.0,523.0
2023-09-12,ファンキージャグラー2,32,2267,200,11,1,188.9,206.1,2267.0,5.657664680359259,0,2,-500.0,2149.0,358.2,537.2
2023-09-12,ファンキージャグラー2,33,1699,200,8,2,169.9,212.4,849.5,5.682841343741116,0,2,0.0,775.0,258.3,387.5
