日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-12,アイムジャグラーEX-TP,276,1529,-300,6,1,1/218.4,1/254.8,1/1529.0,6.2311158779306055
2023-09-12,アイムジャグラーEX-TP,277,3695,-300,15,9,1/154.0,1/246.3,1/410.6,6.693624734564719
2023-09-12,アイムジャグラーEX-TP,278,921,-400,3,0,1/307.0,1/307.0,1/0.0,6.271531150409225
2023-09-12,アイムジャグラーEX-TP,279,798,-600,0,3,1/266.0,1/0.0,1/266.0,5.6403265537032246
2023-09-12,アイムジャグラーEX-TP,280,2669,-800,8,3,1/242.6,1/333.6,1/889.7,5.8461213678890145
2023-09-12,アイムジャグラーEX-TP,281,1626,-300,5,4,1/180.7,1/325.2,1/406.5,5.983995792213143
2023-09-12,アイムジャグラーEX-TP,282,3065,400,13,8,1/146.0,1/235.8,1/383.1,5.94993878745683
2023-09-12,アイムジャグラーEX-TP,283,4555,500,18,11,1/157.1,1/253.1,1/414.1,5.652901076899373
2023-09-12,アイムジャグラーEX-TP,284,4696,1900,24,17,1/114.5,1/195.7,1/276.2,6.13481231778866
2023-09-12,アイムジャグラーEX-TP,285,938,-500,2,2,1/234.5,1/469.0,1/469.0,6.367069570484818
2023-09-12,アイムジャグラーEX-TP,286,1690,200,6,4,1/169.0,1/281.7,1/422.5,5.231467680518913
2023-09-12,アイムジャグラーEX-TP,287,1188,-700,3,0,1/396.0,1/396.0,1/0.0,6.132031622081859
2023-09-12,アイムジャグラーEX-TP,288,2803,-500,6,11,1/164.9,1/467.2,1/254.8,5.562017015565333
2023-09-12,アイムジャグラーEX-TP,289,2379,-100,8,4,1/198.2,1/297.4,1/594.8,5.400875255082952
2023-09-12,アイムジャグラーEX-TP,290,1411,-200,6,1,1/201.6,1/235.2,1/1411.0,6.396520147973134
2023-09-12,マイジャグラーV,26,3579,1700,20,10,1/119.3,1/178.9,1/357.9,5.704418741137786
2023-09-12,マイジャグラーV,27,3802,1200,20,7,1/140.8,1/190.1,1/543.1,5.6647715793165245
2023-09-12,マイジャグラーV,28,5645,0,23,15,1/148.6,1/245.4,1/376.3,6.14142534390673
2023-09-12,マイジャグラーV,29,2331,0,10,3,1/179.3,1/233.1,1/777.0,5.790557276021994
2023-09-12,マイジャグラーV,30,4962,2800,29,19,1/103.4,1/171.1,1/261.2,6.00681862890836
2023-09-12,ファンキージャグラー2,31,903,-100,3,2,1/180.6,1/301.0,1/451.5,5.665144329040743
2023-09-12,ファンキージャグラー2,32,2267,200,11,1,1/188.9,1/206.1,1/2267.0,5.657664680359259
2023-09-12,ファンキージャグラー2,33,1699,200,8,2,1/169.9,1/212.4,1/849.5,5.682841343741116
2023-09-12,ハッピージャグラーVIII,20,1036,-200,3,2,1/207.2,1/345.3,1/518.0,5.680249645875362
2023-09-12,ハッピージャグラーVIII,21,1374,-300,4,2,1/229.0,1/343.5,1/687.0,5.6146596556975465
2023-09-12,ハッピージャグラーVIII,273,826,-400,2,2,1/206.5,1/413.0,1/413.0,6.757145057129985
2023-09-12,ハッピージャグラーVIII,274,3254,500,11,16,1/120.5,1/295.8,1/203.4,5.912337603198476
2023-09-12,ハッピージャグラーVIII,275,2350,-400,8,3,1/213.6,1/293.8,1/783.3,5.8312564651729755
2023-09-11,アイムジャグラーEX-TP,276,1762,-1700,0,3,1/587.3,1/0.0,1/587.3,5.708847544059942
