日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-21,アイムジャグラーEX-TP,421,1240,100,6,0,1/206.7,1/206.7,1/0.0,5.742014085531004
2022-08-21,アイムジャグラーEX-TP,422,650,-500,1,2,1/216.7,1/650.0,1/325.0,7.411017903309021
2022-08-21,アイムジャグラーEX-TP,423,40,0,0,0,1/0.0,1/0.0,1/0.0,3.1641564358941907
2022-08-21,アイムジャグラーEX-TP,424,460,0,2,0,1/230.0,1/230.0,1/0.0,5.571307283030887
2022-08-21,アイムジャグラーEX-TP,425,2200,300,9,6,1/146.7,1/244.4,1/366.7,5.809435976384642
2022-08-21,アイムジャグラーEX-TP,426,970,-200,2,3,1/194.0,1/485.0,1/323.3,5.299748589761487
2022-08-21,アイムジャグラーEX-TP,427,830,-100,3,1,1/207.5,1/276.7,1/830.0,5.776396391631324
2022-08-21,アイムジャグラーEX-TP,428,460,-200,1,1,1/230.0,1/460.0,1/460.0,5.968917510857589
2022-08-21,アイムジャグラーEX-TP,429,3340,-300,14,5,1/175.8,1/238.6,1/668.0,6.437253116165339
2022-08-21,アイムジャグラーEX-TP,430,370,-500,0,0,1/0.0,1/0.0,1/0.0,6.797122429034368
2022-08-21,アイムジャグラーEX-TP,431,400,-300,0,1,1/400.0,1/0.0,1/400.0,5.194147494310785
2022-08-21,アイムジャグラーEX-TP,432,300,-200,0,1,1/300.0,1/0.0,1/300.0,5.180832646153448
2022-08-21,アイムジャグラーEX-TP,433,1420,-200,5,1,1/236.7,1/284.0,1/1420.0,5.572138991121071
2022-08-21,アイムジャグラーEX-TP,434,2680,-600,9,5,1/191.4,1/297.8,1/536.0,6.235462705069362
2022-08-21,アイムジャグラーEX-TP,435,630,-100,2,1,1/210.0,1/315.0,1/630.0,5.630708633619174
2022-08-21,アイムジャグラーEX-TP,436,2530,400,12,5,1/148.8,1/210.8,1/506.0,6.123314107014474
2022-08-21,アイムジャグラーEX-TP,437,590,-500,1,0,1/590.0,1/590.0,1/0.0,6.374426234113229
2022-08-21,アイムジャグラーEX-TP,438,1610,200,7,5,1/134.2,1/230.0,1/322.0,6.327387684938539
2022-08-21,アイムジャグラーEX-TP,439,560,-500,0,1,1/560.0,1/0.0,1/560.0,5.459358730075168
2022-08-21,アイムジャグラーEX-TP,440,1480,-600,4,3,1/211.4,1/370.0,1/493.3,6.395977103266292
2022-08-21,アイムジャグラーEX-TP,446,1180,500,5,6,1/107.3,1/236.0,1/196.7,5.701627548911389
2022-08-21,アイムジャグラーEX-TP,447,250,-100,1,0,1/250.0,1/250.0,1/0.0,7.121746252181035
2022-08-21,アイムジャグラーEX-TP,448,3700,700,16,11,1/137.0,1/231.2,1/336.4,5.935391657646608
2022-08-21,アイムジャグラーEX-TP,449,810,200,4,0,1/202.5,1/202.5,1/0.0,5.213448895971741
2022-08-21,アイムジャグラーEX-TP,450,530,0,2,0,1/265.0,1/265.0,1/0.0,5.062628535840067
2022-08-21,アイムジャグラーEX-TP,451,1230,-400,4,2,1/205.0,1/307.5,1/615.0,6.497907726540572
2022-08-21,アイムジャグラーEX-TP,452,3610,-600,11,14,1/144.4,1/328.2,1/257.9,6.5192091386671
2022-08-21,アイムジャグラーEX-TP,453,1500,1000,9,5,1/107.1,1/166.7,1/300.0,5.839472890247107
2022-08-21,アイムジャグラーEX-TP,454,2140,-200,9,2,1/194.5,1/237.8,1/1070.0,6.205473372502243
2022-08-21,アイムジャグラーEX-TP,455,1520,100,6,4,1/152.0,1/253.3,1/380.0,5.918581347201504
2022-08-21,アイムジャグラーEX-TP,456,1360,700,9,1,1/136.0,1/151.1,1/1360.0,6.105447360942826
2022-08-21,アイムジャグラーEX-TP,457,660,0,3,0,1/220.0,1/220.0,1/0.0,5.770862652157319
2022-08-21,アイムジャグラーEX-TP,458,450,100,2,0,1/225.0,1/225.0,1/0.0,4.896333734107317
2022-08-21,アイムジャグラーEX-TP,459,250,0,1,0,1/250.0,1/250.0,1/0.0,5.251687104482315
2022-08-21,アイムジャグラーEX-TP,460,4080,1400,19,16,1/116.6,1/214.7,1/255.0,6.024590517959002
2022-08-21,マイジャグラーV,441,5050,1600,27,14,1/123.2,1/187.0,1/360.7,6.134292570680828
2022-08-21,マイジャグラーV,442,4130,-1800,10,5,1/275.3,1/413.0,1/826.0,5.713950802848999
2022-08-21,マイジャグラーV,443,850,-400,3,0,1/283.3,1/283.3,1/0.0,6.581491201368949
2022-08-21,マイジャグラーV,444,1360,-200,5,2,1/194.3,1/272.0,1/680.0,5.865953895758979
2022-08-21,マイジャグラーV,445,4860,-500,14,17,1/156.8,1/347.1,1/285.9,5.69284484078176
