日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-04,アイムジャグラーEX-TP,501,2000,-1000,3,6,1/222.2,1/666.7,1/333.3,5.857823306082252
2022-09-04,アイムジャグラーEX-TP,502,2730,-200,10,8,1/151.7,1/273.0,1/341.2,6.371408293613165
2022-09-04,アイムジャグラーEX-TP,503,2150,500,10,6,1/134.4,1/215.0,1/358.3,6.031092385114703
2022-09-04,アイムジャグラーEX-TP,504,2980,700,14,8,1/135.5,1/212.9,1/372.5,6.0279750636022165
2022-09-04,アイムジャグラーEX-TP,505,2380,-1100,4,8,1/198.3,1/595.0,1/297.5,6.0436739239848025
2022-09-04,アイムジャグラーEX-TP,506,1610,-200,5,3,1/201.2,1/322.0,1/536.7,5.531231877485619
2022-09-04,アイムジャグラーEX-TP,507,1570,-700,3,3,1/261.7,1/523.3,1/523.3,5.632381963032201
2022-09-04,アイムジャグラーEX-TP,508,1340,-900,2,3,1/268.0,1/670.0,1/446.7,6.30699980490661
2022-09-04,アイムジャグラーEX-TP,509,2750,-200,10,5,1/183.3,1/275.0,1/550.0,5.844644047894201
2022-09-04,アイムジャグラーEX-TP,510,1680,-300,5,3,1/210.0,1/336.0,1/560.0,5.587015775338114
2022-09-04,アイムジャグラーEX-TP,511,1420,0,6,1,1/202.9,1/236.7,1/1420.0,5.715825652021741
2022-09-04,アイムジャグラーEX-TP,512,3300,1200,18,6,1/137.5,1/183.3,1/550.0,5.933309600094932
2022-09-04,アイムジャグラーEX-TP,513,3170,-400,10,8,1/176.1,1/317.0,1/396.2,5.842948547216277
2022-09-04,アイムジャグラーEX-TP,514,2060,-900,4,4,1/257.5,1/515.0,1/515.0,5.639317981978272
2022-09-04,アイムジャグラーEX-TP,515,3270,800,15,10,1/130.8,1/218.0,1/327.0,6.018834534600062
2022-09-04,アイムジャグラーEX-TP,516,5110,600,20,21,1/124.6,1/255.5,1/243.3,6.294590661599049
2022-09-04,アイムジャグラーEX-TP,517,3960,-900,11,11,1/180.0,1/360.0,1/360.0,5.976628665269403
2022-09-04,アイムジャグラーEX-TP,518,4740,-200,13,23,1/131.7,1/364.6,1/206.1,5.9931374782748765
2022-09-04,アイムジャグラーEX-TP,519,1730,-500,3,6,1/192.2,1/576.7,1/288.3,5.430126435628911
2022-09-04,アイムジャグラーEX-TP,520,2770,100,10,9,1/145.8,1/277.0,1/307.8,5.93513709363193
2022-09-04,マイジャグラーV,521,2910,-200,11,3,1/207.9,1/264.5,1/970.0,5.482365375961331
2022-09-04,マイジャグラーV,522,3090,-400,10,8,1/171.7,1/309.0,1/386.2,5.796234637486909
2022-09-04,マイジャグラーV,523,3180,900,16,6,1/144.5,1/198.8,1/530.0,5.594177516710295
2022-09-04,マイジャグラーV,524,4460,700,18,14,1/139.4,1/247.8,1/318.6,5.622294211819745
2022-09-04,マイジャグラーV,525,1150,-400,4,0,1/287.5,1/287.5,1/0.0,5.923600364301422
2022-09-04,マイジャグラーV,526,4270,-700,10,16,1/164.2,1/427.0,1/266.9,5.519592120239337
2022-09-04,マイジャグラーV,527,3760,-100,12,14,1/144.6,1/313.3,1/268.6,5.773188025056864
2022-09-04,マイジャグラーV,528,3630,600,17,5,1/165.0,1/213.5,1/726.0,5.539527994445365
2022-09-04,マイジャグラーV,529,3220,-1100,6,12,1/178.9,1/536.7,1/268.3,5.763112882781103
2022-09-04,マイジャグラーV,530,2330,-800,6,5,1/211.8,1/388.3,1/466.0,5.853563744759624
