日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-08-31,アイムジャグラーEX-TP,1038,5890,0,23,11,1/173.2,1/256.1,1/535.5,5.8423086502570865
2022-08-31,アイムジャグラーEX-TP,1039,2170,700,10,5,1/144.7,1/217.0,1/434.0,5.428894553230124
2022-08-31,アイムジャグラーEX-TP,1040,4060,0,16,9,1/162.4,1/253.8,1/451.1,6.028513831021797
2022-08-31,アイムジャグラーEX-TP,1041,3600,300,16,6,1/163.6,1/225.0,1/600.0,5.9869633872243195
2022-08-31,アイムジャグラーEX-TP,1042,1810,200,9,4,1/139.2,1/201.1,1/452.5,6.7853503162029485
2022-08-31,アイムジャグラーEX-TP,1043,2280,-900,5,6,1/207.3,1/456.0,1/380.0,6.0062836791490675
2022-08-31,アイムジャグラーEX-TP,1044,2500,-200,9,4,1/192.3,1/277.8,1/625.0,5.74952207097785
2022-08-31,アイムジャグラーEX-TP,1055,4560,-300,14,18,1/142.5,1/325.7,1/253.3,6.082900326875854
2022-08-31,アイムジャグラーEX-TP,1056,2580,-600,6,11,1/151.8,1/430.0,1/234.5,6.128601577829855
2022-08-31,アイムジャグラーEX-TP,1057,5270,1500,21,25,1/114.6,1/251.0,1/210.8,5.882725248935835
2022-08-31,アイムジャグラーEX-TP,1058,2670,-500,10,3,1/205.4,1/267.0,1/890.0,6.1870641465309975
2022-08-31,アイムジャグラーEX-TP,1059,1540,300,5,7,1/128.3,1/308.0,1/220.0,5.425848035384985
2022-08-31,アイムジャグラーEX-TP,1060,2560,-900,7,6,1/196.9,1/365.7,1/426.7,6.316602684334073
2022-08-31,アイムジャグラーEX-TP,1061,2990,-600,9,10,1/157.4,1/332.2,1/299.0,6.3856026230945035
2022-08-31,アイムジャグラーEX-TP,1062,2310,500,10,7,1/135.9,1/231.0,1/330.0,5.845938268663379
2022-08-31,アイムジャグラーEX-TP,1063,1140,-300,3,1,1/285.0,1/380.0,1/1140.0,5.261685788740546
2022-08-31,アイムジャグラーEX-TP,1064,4720,1900,24,15,1/121.0,1/196.7,1/314.7,5.923211213743156
2022-08-31,アイムジャグラーEX-TP,1065,6910,1400,27,24,1/135.5,1/255.9,1/287.9,5.640274629950846
2022-08-31,アイムジャグラーEX-TP,1066,920,-400,3,0,1/306.7,1/306.7,1/0.0,6.27823285487967
2022-08-31,アイムジャグラーEX-TP,1067,5980,600,24,21,1/132.9,1/249.2,1/284.8,6.221791575288438
2022-08-31,アイムジャグラーEX-TP,1068,3050,-1200,7,7,1/217.9,1/435.7,1/435.7,5.971791606010559
2022-08-31,アイムジャグラーEX-TP,1069,6260,1300,26,29,1/113.8,1/240.8,1/215.9,6.393844586576409
2022-08-31,アイムジャグラーEX-TP,1070,3430,-400,14,4,1/190.6,1/245.0,1/857.5,6.273953745047372
2022-08-31,アイムジャグラーEX-TP,1071,5080,1000,22,16,1/133.7,1/230.9,1/317.5,5.983187948540342
2022-08-31,アイムジャグラーEX-TP,1107,5470,2200,31,11,1/130.2,1/176.5,1/497.3,6.083345390664767
2022-08-31,アイムジャグラーEX-TP,1108,2040,-900,5,4,1/226.7,1/408.0,1/510.0,6.227764933012604
2022-08-31,アイムジャグラーEX-TP,1109,1160,0,5,1,1/193.3,1/232.0,1/1160.0,5.868399126013247
2022-08-31,アイムジャグラーEX-TP,1110,6010,1300,29,15,1/136.6,1/207.2,1/400.7,6.1797871808798
2022-08-31,アイムジャグラーEX-TP,1111,1230,300,6,2,1/153.8,1/205.0,1/615.0,5.748222257116578
2022-08-31,アイムジャグラーEX-TP,1112,6300,1400,21,39,1/105.0,1/300.0,1/161.5,6.04503841477983
2022-08-31,アイムジャグラーEX-TP,1113,1430,-800,3,2,1/286.0,1/476.7,1/715.0,6.113568295291335
2022-08-31,アイムジャグラーEX-TP,1114,2320,-1100,5,4,1/257.8,1/464.0,1/580.0,5.932645802761774
2022-08-31,アイムジャグラーEX-TP,1115,3860,-700,9,16,1/154.4,1/428.9,1/241.2,5.855066031417283
2022-08-31,アイムジャグラーEX-TP,1116,850,-300,3,1,1/212.5,1/283.3,1/850.0,6.799510435248662
2022-08-31,アイムジャグラーEX-TP,1117,7450,3200,37,31,1/109.6,1/201.4,1/240.3,6.089720796519133
2022-08-31,アイムジャグラーEX-TP,1118,2110,-100,8,6,1/150.7,1/263.8,1/351.7,6.361996388436363
2022-08-31,アイムジャグラーEX-TP,1119,3380,-1000,7,12,1/177.9,1/482.9,1/281.7,5.8226023604450985
2022-08-31,アイムジャグラーEX-TP,1120,3550,-600,10,11,1/169.0,1/355.0,1/322.7,5.897884362424163
2022-08-31,アイムジャグラーEX-TP,1121,3700,700,15,13,1/132.1,1/246.7,1/284.6,5.863959313631486
2022-08-31,アイムジャグラーEX-TP,1122,2080,-300,6,6,1/173.3,1/346.7,1/346.7,5.7779671667015755
2022-08-31,アイムジャグラーEX-TP,1123,3790,1100,15,17,1/118.4,1/252.7,1/222.9,5.726878370774123
2022-08-31,アイムジャグラーEX-TP,1124,2960,200,10,12,1/134.5,1/296.0,1/246.7,5.878370555400762
2022-08-31,アイムジャグラーEX-TP,1138,190,-200,0,0,1/0.0,1/0.0,1/0.0,5.421198598477499
2022-08-31,アイムジャグラーEX-TP,1139,4580,1100,20,17,1/123.8,1/229.0,1/269.4,6.070792733526197
2022-08-31,アイムジャグラーEX-TP,1140,740,-500,2,0,1/370.0,1/370.0,1/0.0,6.816689097258494
2022-08-31,アイムジャグラーEX-TP,1141,4060,400,17,14,1/131.0,1/238.8,1/290.0,6.418681588573103
2022-08-31,アイムジャグラーEX-TP,1142,5000,3000,28,19,1/106.4,1/178.6,1/263.2,5.885079117532386
2022-08-31,アイムジャグラーEX-TP,1181,6010,-600,19,18,1/162.4,1/316.3,1/333.9,5.93071142929504
2022-08-31,アイムジャグラーEX-TP,1182,1140,-400,3,3,1/190.0,1/380.0,1/380.0,6.321109010851791
2022-08-31,アイムジャグラーEX-TP,1183,1250,-1300,1,1,1/625.0,1/1250.0,1/1250.0,6.60545610674417
2022-08-31,アイムジャグラーEX-TP,1184,3010,-1000,7,8,1/200.7,1/430.0,1/376.2,5.888260188328469
2022-08-31,アイムジャグラーEX-TP,1185,3130,-300,11,5,1/195.6,1/284.5,1/626.0,5.7252061988801275
2022-08-31,マイジャグラーV,1125,8380,1900,40,23,1/133.0,1/209.5,1/364.3,5.909163499555412
2022-08-31,マイジャグラーV,1126,5340,-400,18,16,1/157.1,1/296.7,1/333.8,5.866093078474291
2022-08-31,マイジャグラーV,1127,4230,-600,15,6,1/201.4,1/282.0,1/705.0,5.693239474964206
2022-08-31,マイジャグラーV,1128,8010,-100,23,41,1/125.2,1/348.3,1/195.4,5.954535172564855
2022-08-31,マイジャグラーV,1129,8010,1200,33,23,1/143.0,1/242.7,1/348.3,5.629177757126333
2022-08-31,マイジャグラーV,1130,3350,-300,13,8,1/159.5,1/257.7,1/418.8,6.225282521555331
2022-08-31,マイジャグラーV,1131,5130,200,20,13,1/155.5,1/256.5,1/394.6,5.733149628541776
2022-08-31,マイジャグラーV,1132,8350,1400,40,18,1/144.0,1/208.8,1/463.9,5.940193192334075
2022-08-31,マイジャグラーV,1133,5910,-300,19,22,1/144.1,1/311.1,1/268.6,5.899541366809188
2022-08-31,マイジャグラーV,1134,2900,-1000,8,5,1/223.1,1/362.5,1/580.0,5.87596595688206
2022-08-31,マイジャグラーV,1135,7040,100,29,21,1/140.8,1/242.8,1/335.2,6.274208395871179
2022-08-31,マイジャグラーV,1136,1480,-1300,2,1,1/493.3,1/740.0,1/1480.0,6.326697852727298
2022-08-31,マイジャグラーV,1137,6950,-1000,24,18,1/165.5,1/289.6,1/386.1,6.089357932514035
2022-08-31,マイジャグラーV,1186,3320,-600,11,7,1/184.4,1/301.8,1/474.3,5.8984739386500085
2022-08-31,マイジャグラーV,1187,7140,500,26,28,1/132.2,1/274.6,1/255.0,5.9005312978042985
2022-08-31,マイジャグラーV,1188,5180,-1500,14,12,1/199.2,1/370.0,1/431.7,5.823786553500824
2022-08-31,マイジャグラーV,1189,5440,-1300,17,14,1/175.5,1/320.0,1/388.6,6.159652880914377
2022-08-31,マイジャグラーV,1190,4470,-1800,11,9,1/223.5,1/406.4,1/496.7,5.937763964617103
2022-08-31,マイジャグラーV,1191,2400,-400,9,3,1/200.0,1/266.7,1/800.0,5.936420931820206
2022-08-31,マイジャグラーV,1192,7650,700,33,19,1/147.1,1/231.8,1/402.6,5.911013459194135
2022-08-31,マイジャグラーV,1193,6180,100,25,15,1/154.5,1/247.2,1/412.0,5.936118005031148
2022-08-31,マイジャグラーV,1194,5350,600,24,12,1/148.6,1/222.9,1/445.8,5.900733531490444
2022-08-31,マイジャグラーV,1195,7570,-300,25,30,1/137.6,1/302.8,1/252.3,6.045503735958591
2022-08-31,マイジャグラーV,1196,5270,100,25,6,1/170.0,1/210.8,1/878.3,6.1251087457414615
2022-08-31,マイジャグラーV,1197,4080,700,16,16,1/127.5,1/255.0,1/255.0,5.754013389081449
2022-08-31,マイジャグラーV,1198,6680,1100,27,22,1/136.3,1/247.4,1/303.6,5.655810248582174
2022-08-31,マイジャグラーV,1199,7200,-500,27,16,1/167.4,1/266.7,1/450.0,5.916147240579512
2022-08-31,マイジャグラーV,1200,5970,900,26,16,1/142.1,1/229.6,1/373.1,5.780148074177744
