日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-04-27,アイムジャグラーEX-TP,890,3905,-1700,6,12,1/216.9,1/650.8,1/325.4,5.656766528514087
2023-04-27,アイムジャグラーEX-TP,891,3966,-400,10,16,1/152.5,1/396.6,1/247.9,5.6750201838117
2023-04-27,アイムジャグラーEX-TP,892,2294,100,9,5,1/163.9,1/254.9,1/458.8,5.803066194468084
2023-04-27,アイムジャグラーEX-TP,893,3422,1000,17,12,1/118.0,1/201.3,1/285.2,6.460167470119319
2023-04-27,アイムジャグラーEX-TP,894,4682,700,21,11,1/146.3,1/223.0,1/425.6,6.028073052932403
2023-04-27,アイムジャグラーEX-TP,895,5466,200,19,16,1/156.2,1/287.7,1/341.6,5.662747108437744
2023-04-27,アイムジャグラーEX-TP,896,4298,-600,14,13,1/159.2,1/307.0,1/330.6,6.239192736139618
2023-04-27,アイムジャグラーEX-TP,897,5988,2300,30,23,1/113.0,1/199.6,1/260.3,6.212157825699943
2023-04-27,アイムジャグラーEX-TP,898,2745,-1000,8,6,1/196.1,1/343.1,1/457.5,6.538169212582915
2023-04-27,アイムジャグラーEX-TP,899,4688,200,17,17,1/137.9,1/275.8,1/275.8,6.086074700179682
2023-04-27,アイムジャグラーEX-TP,900,4567,-1400,12,9,1/217.5,1/380.6,1/507.4,5.822852952384707
2023-04-27,アイムジャグラーEX-TP,901,3690,-300,12,12,1/153.8,1/307.5,1/307.5,6.059734199366241
2023-04-27,アイムジャグラーEX-TP,902,6208,1300,25,26,1/121.7,1/248.3,1/238.8,6.028603411966178
2023-04-27,アイムジャグラーEX-TP,903,4882,-400,19,11,1/162.7,1/256.9,1/443.8,6.379866448303258
2023-04-27,アイムジャグラーEX-TP,904,5406,0,17,21,1/142.3,1/318.0,1/257.4,5.84701243298081
2023-04-27,アイムジャグラーEX-TP,905,6609,-400,19,31,1/132.2,1/347.8,1/213.2,6.159964118045902
2023-04-27,アイムジャグラーEX-TP,906,5961,2300,24,33,1/104.6,1/248.4,1/180.6,5.816982053102693
2023-04-27,アイムジャグラーEX-TP,907,4725,-700,13,15,1/168.8,1/363.5,1/315.0,5.769836637302574
2023-04-27,アイムジャグラーEX-TP,908,5732,0,18,19,1/154.9,1/318.4,1/301.7,5.619552584203509
2023-04-27,アイムジャグラーEX-TP,909,5339,3400,31,20,1/104.7,1/172.2,1/266.9,5.928146226481768
2023-04-27,アイムジャグラーEX-TP,910,5879,1200,24,26,1/117.6,1/245.0,1/226.1,6.223227498523161
2023-04-27,アイムジャグラーEX-TP,911,4683,-1700,12,12,1/195.1,1/390.2,1/390.2,6.262660054895298
2023-04-27,アイムジャグラーEX-TP,912,5510,1300,25,19,1/125.2,1/220.4,1/290.0,6.173632114718858
2023-04-27,アイムジャグラーEX-TP,913,5143,700,22,12,1/151.3,1/233.8,1/428.6,5.850426425899531
2023-04-27,アイムジャグラーEX-TP,914,6502,2000,29,26,1/118.2,1/224.2,1/250.1,5.9951224119260775
2023-04-27,アイムジャグラーEX-TP,915,5353,500,19,20,1/137.3,1/281.7,1/267.6,5.822159067802834
2023-04-27,アイムジャグラーEX-TP,916,6271,2400,34,18,1/120.6,1/184.4,1/348.4,6.272493857137015
2023-04-27,アイムジャグラーEX-TP,917,4960,1700,22,18,1/124.0,1/225.5,1/275.6,5.669812955614051
2023-04-27,アイムジャグラーEX-TP,918,5590,100,21,17,1/147.1,1/266.2,1/328.8,6.094462423169161
2023-04-27,アイムジャグラーEX-TP,919,6300,2600,28,28,1/112.5,1/225.0,1/225.0,5.710131949366537
2023-04-27,アイムジャグラーEX-TP,920,6479,4000,36,30,1/98.2,1/180.0,1/216.0,6.113356134764675
2023-04-27,アイムジャグラーEX-TP,921,5587,700,21,22,1/129.9,1/266.0,1/254.0,5.9962646716238
2023-04-27,アイムジャグラーEX-TP,922,3620,200,13,10,1/157.4,1/278.5,1/362.0,5.641080341684288
2023-04-27,アイムジャグラーEX-TP,923,3806,-1200,9,12,1/181.2,1/422.9,1/317.2,6.067108113873976
2023-04-27,アイムジャグラーEX-TP,924,4702,500,19,15,1/138.3,1/247.5,1/313.5,6.081161284011209
2023-04-27,アイムジャグラーEX-TP,925,5124,700,21,18,1/131.4,1/244.0,1/284.7,6.1509266705945045
2023-04-27,アイムジャグラーEX-TP,926,5013,1100,23,16,1/128.5,1/218.0,1/313.3,6.196808793045464
2023-04-27,アイムジャグラーEX-TP,927,6726,1500,24,31,1/122.3,1/280.2,1/217.0,5.65048029208497
2023-04-27,アイムジャグラーEX-TP,928,5318,200,18,17,1/151.9,1/295.4,1/312.8,5.669618574864503
2023-04-27,アイムジャグラーEX-TP,929,5256,-300,16,19,1/150.2,1/328.5,1/276.6,5.873364035963895
2023-04-27,アイムジャグラーEX-TP,930,5975,2500,27,26,1/112.7,1/221.3,1/229.8,5.726977490582238
2023-04-27,アイムジャグラーEX-TP,931,6144,1600,26,26,1/118.2,1/236.3,1/236.3,6.049478352615191
2023-04-27,アイムジャグラーEX-TP,932,4790,-200,17,12,1/165.2,1/281.8,1/399.2,5.898649018499899
2023-04-27,アイムジャグラーEX-TP,933,4415,-1700,12,7,1/232.4,1/367.9,1/630.7,6.109899164521455
2023-04-27,アイムジャグラーEX-TP,934,4419,900,20,15,1/126.3,1/220.9,1/294.6,6.291627304842413
2023-04-27,マイジャグラーV,763,6653,3400,37,21,1/114.7,1/179.8,1/316.8,5.672316050392168
2023-04-27,マイジャグラーV,764,4864,100,17,12,1/167.7,1/286.1,1/405.3,5.40575990608559
2023-04-27,マイジャグラーV,765,6236,4200,33,35,1/91.7,1/189.0,1/178.2,5.700583341260079
2023-04-27,マイジャグラーV,766,6379,1100,24,26,1/127.6,1/265.8,1/245.3,5.655297972560273
2023-04-27,マイジャグラーV,767,6452,2700,29,34,1/102.4,1/222.5,1/189.8,5.832165103749015
2023-04-27,マイジャグラーV,768,4407,1100,22,8,1/146.9,1/200.3,1/550.9,5.662208492804913
2023-04-27,マイジャグラーV,769,4447,1200,21,13,1/130.8,1/211.8,1/342.1,5.746622432599389
2023-04-27,マイジャグラーV,770,4079,1100,20,10,1/136.0,1/203.9,1/407.9,5.740490289484471
2023-04-27,マイジャグラーV,771,5309,800,21,18,1/136.1,1/252.8,1/294.9,5.666080826122695
2023-04-27,マイジャグラーV,772,4187,100,17,7,1/174.5,1/246.3,1/598.1,5.618881189399724
2023-04-27,マイジャグラーV,773,5164,-300,17,16,1/156.5,1/303.8,1/322.8,5.756641235723016
2023-04-27,マイジャグラーV,774,4322,1000,18,14,1/135.1,1/240.1,1/308.7,5.490911691532929
2023-04-27,マイジャグラーV,775,5145,-800,14,22,1/142.9,1/367.5,1/233.9,6.075656223458443
2023-04-27,マイジャグラーV,776,3993,-500,13,8,1/190.1,1/307.2,1/499.1,5.572771987345794
2023-04-27,マイジャグラーV,777,5671,700,23,19,1/135.0,1/246.6,1/298.5,5.862910934788047
2023-04-27,マイジャグラーV,778,6277,500,21,25,1/136.5,1/298.9,1/251.1,5.592831190595847
2023-04-27,マイジャグラーV,779,4689,-800,13,15,1/167.5,1/360.7,1/312.6,5.747507570558534
2023-04-27,マイジャグラーV,780,5556,100,15,32,1/118.2,1/370.4,1/173.6,5.9083796940240925
2023-04-27,マイジャグラーV,781,5892,1800,28,23,1/115.5,1/210.4,1/256.2,6.027519154291188
2023-04-27,マイジャグラーV,782,6491,1000,26,25,1/127.3,1/249.7,1/259.6,5.8849126744655536
2023-04-27,マイジャグラーV,783,6517,1200,27,24,1/127.8,1/241.4,1/271.5,5.828042338679682
2023-04-27,マイジャグラーV,784,5068,0,19,15,1/149.1,1/266.7,1/337.9,5.918636810413924
2023-04-27,マイジャグラーV,785,6330,1600,28,21,1/129.2,1/226.1,1/301.4,5.677763446458024
2023-04-27,マイジャグラーV,786,5532,0,20,19,1/141.8,1/276.6,1/291.2,5.977194959130686
2023-04-27,マイジャグラーV,787,6756,3700,34,31,1/103.9,1/198.7,1/217.9,5.566787573046526
2023-04-27,マイジャグラーV,788,2423,-700,6,7,1/186.4,1/403.8,1/346.1,5.822377495100443
2023-04-27,マイジャグラーV,789,5542,0,21,17,1/145.8,1/263.9,1/326.0,6.007020534534158
2023-04-27,マイジャグラーV,790,4564,-700,16,10,1/175.5,1/285.2,1/456.4,6.016307316985108
2023-04-27,マイジャグラーV,791,5927,-200,21,20,1/144.6,1/282.2,1/296.4,6.0255162032447735
2023-04-27,マイジャグラーV,792,1715,-1100,3,3,1/285.8,1/571.7,1/571.7,6.134972205602326
2023-04-27,マイジャグラーV,793,6719,2100,31,25,1/120.0,1/216.7,1/268.8,5.776908250914671
2023-04-27,マイジャグラーV,794,6234,1000,25,23,1/129.9,1/249.4,1/271.0,5.796829212065409
2023-04-27,マイジャグラーV,795,3839,-1800,8,11,1/202.1,1/479.9,1/349.0,6.2007432020370175
2023-04-27,マイジャグラーV,796,5283,600,24,12,1/146.8,1/220.1,1/440.2,5.966297710641194
2023-04-27,マイジャグラーV,797,6636,1500,27,23,1/132.7,1/245.8,1/288.5,5.505856201149139
2023-04-27,マイジャグラーV,798,5399,-100,18,18,1/150.0,1/299.9,1/299.9,5.7273705806224156
2023-04-27,マイジャグラーV,799,3600,-900,10,12,1/163.6,1/360.0,1/300.0,6.161208007516675
2023-04-27,マイジャグラーV,800,3765,1500,17,19,1/104.6,1/221.5,1/198.2,5.848037862433821
2023-04-27,マイジャグラーV,801,4197,1600,21,16,1/113.4,1/199.9,1/262.3,5.91920391375591
2023-04-27,マイジャグラーV,802,5477,700,21,22,1/127.4,1/260.8,1/249.0,5.889276750296014
2023-04-27,マイジャグラーV,803,5707,2200,27,23,1/114.1,1/211.4,1/248.1,5.713259797371162
2023-04-27,マイジャグラーV,804,4539,-200,16,10,1/174.6,1/283.7,1/453.9,5.581673604605079
2023-04-27,マイジャグラーV,805,5208,1000,23,14,1/140.8,1/226.4,1/372.0,5.674168211936893
2023-04-27,マイジャグラーV,806,3818,-800,12,6,1/212.1,1/318.2,1/636.3,5.636398203221658
2023-04-27,マイジャグラーV,807,6570,1000,25,25,1/131.4,1/262.8,1/262.8,5.674137337074882
2023-04-27,マイジャグラーV,808,2841,-1100,8,2,1/284.1,1/355.1,1/1420.5,5.703765955891885
2023-04-27,マイジャグラーV,809,5584,300,19,27,1/121.4,1/293.9,1/206.8,6.108590879795051
2023-04-27,マイジャグラーV,810,5248,600,22,13,1/149.9,1/238.5,1/403.7,5.69006742675689
2023-04-27,マイジャグラーV,811,4876,-1800,13,7,1/243.8,1/375.1,1/696.6,5.76882326895801
2023-04-27,マイジャグラーV,812,5988,2000,29,17,1/130.2,1/206.5,1/352.2,5.573269575303129
2023-04-27,マイジャグラーV,813,4462,-100,18,10,1/159.4,1/247.9,1/446.2,6.0173039361154625
2023-04-27,マイジャグラーV,814,5924,500,21,21,1/141.0,1/282.1,1/282.1,5.597683250812782
2023-04-27,マイジャグラーV,815,3910,-1700,8,7,1/260.7,1/488.8,1/558.6,5.572159708714282
2023-04-27,マイジャグラーV,816,6085,400,25,15,1/152.1,1/243.4,1/405.7,5.803338554092835
2023-04-27,マイジャグラーV,817,6648,2600,26,38,1/103.9,1/255.7,1/174.9,5.54984899326716
2023-04-27,マイジャグラーV,818,6248,200,21,26,1/132.9,1/297.5,1/240.3,5.873559523157965
2023-04-27,マイジャグラーV,819,7230,-900,21,20,1/176.3,1/344.3,1/361.5,5.526212203166376
2023-04-27,マイジャグラーV,820,5446,-700,15,22,1/147.2,1/363.1,1/247.5,5.8899423445646075
2023-04-27,マイジャグラーV,821,6350,1300,23,28,1/124.5,1/276.1,1/226.8,5.522270048680224
2023-04-27,マイジャグラーV,822,6402,700,23,25,1/133.4,1/278.3,1/256.1,5.680282441352831
2023-04-27,マイジャグラーV,823,6095,200,21,22,1/141.7,1/290.2,1/277.0,5.733886730230925
2023-04-27,マイジャグラーV,824,5751,800,26,13,1/147.5,1/221.2,1/442.4,5.827981789603946
2023-04-27,マイジャグラーV,825,6739,1700,30,24,1/124.8,1/224.6,1/280.8,5.803390655533696
2023-04-27,マイジャグラーV,826,3395,-400,13,3,1/212.2,1/261.2,1/1131.7,5.664057158094566
2023-04-27,マイジャグラーV,827,6330,400,24,19,1/147.2,1/263.8,1/333.2,5.711382396010405
2023-04-27,マイジャグラーV,828,5379,-500,22,7,1/185.5,1/244.5,1/768.4,5.992087244935104
2023-04-27,マイジャグラーV,829,5515,-400,21,13,1/162.2,1/262.6,1/424.2,6.0493272869036545
2023-04-27,マイジャグラーV,830,5101,1000,24,15,1/130.8,1/212.5,1/340.1,6.056860817290933
2023-04-27,マイジャグラーV,831,6024,1900,30,21,1/118.1,1/200.8,1/286.9,6.0495876991074065
2023-04-27,マイジャグラーV,832,5944,2300,28,24,1/114.3,1/212.3,1/247.7,5.690440841534635
