日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-12,アイムジャグラーEX-TP,352,532,-300,1,0,532.0,532.0,0.0,5.361442340862162,0,2,-1000.0,1215.0,1215.0,1215.0
2023-09-12,アイムジャグラーEX-TP,353,1813,-100,7,5,151.1,259.0,362.6,6.449535391549763,0,2,-600.0,1288.0,429.3,1288.0
2023-09-12,アイムジャグラーEX-TP,354,2091,-700,6,3,232.3,348.5,697.0,5.988257345230538,0,2,-500.0,392.0,0.0,0.0
2023-09-12,アイムジャグラーEX-TP,355,1483,-400,5,1,247.2,296.6,1483.0,5.937942217535933,0,2,900.0,5560.0,241.7,327.1
2023-09-12,アイムジャグラーEX-TP,356,2120,0,6,6,176.7,353.3,353.3,5.16909524740704,0,2,-200.0,2321.0,331.6,464.2
2023-09-12,アイムジャグラーEX-TP,357,1309,-200,3,6,145.4,436.3,218.2,5.868899544570705,0,2,-700.0,2095.0,523.8,209.5
2023-09-12,アイムジャグラーEX-TP,358,3643,-200,14,7,173.5,260.2,520.4,6.038430441035655,0,2,-400.0,2292.0,327.4,458.4
2023-09-12,アイムジャグラーEX-TP,359,4855,-100,19,9,173.4,255.5,539.4,5.935213628570786,1,2,-100.0,1292.0,323.0,323.0
2023-09-12,アイムジャグラーEX-TP,360,767,0,3,2,153.4,255.7,383.5,6.167011185768307,0,2,500.0,6348.0,244.2,317.4
2023-09-12,アイムジャグラーEX-TP,361,804,-400,2,2,201.0,402.0,402.0,6.8442330866571846,0,2,-500.0,367.0,0.0,0.0
2023-09-12,アイムジャグラーEX-TP,362,3436,-200,13,9,156.2,264.3,381.8,6.2990862621731765,0,2,-400.0,1866.0,373.2,311.0
2023-09-12,アイムジャグラーEX-TP,363,1805,-900,5,3,225.6,361.0,601.7,6.806127550978084,0,2,-400.0,3040.0,304.0,506.7
2023-09-12,アイムジャグラーEX-TP,364,3199,-400,11,6,188.2,290.8,533.2,5.879372227135789,0,2,-700.0,2738.0,391.1,342.2
2023-09-12,アイムジャグラーEX-TP,365,757,-500,1,1,378.5,757.0,757.0,5.673396148895697,0,2,-200.0,1719.0,245.6,1719.0
2023-09-12,アイムジャグラーEX-TP,366,5592,1200,26,14,139.8,215.1,399.4,5.986859229411564,2,2,-900.0,1824.0,608.0,304.0
2023-09-12,アイムジャグラーEX-TP,367,1035,-1000,0,1,1035.0,0.0,1035.0,5.4417791410559095,0,2,-800.0,2093.0,523.2,348.8
2023-09-12,アイムジャグラーEX-TP,368,3266,0,12,8,163.3,272.2,408.2,5.831500975499768,0,2,-700.0,5170.0,323.1,304.1
2023-09-12,アイムジャグラーEX-TP,369,1776,-600,5,3,222.0,355.2,592.0,6.05034376581572,0,2,-600.0,2084.0,347.3,521.0
2023-09-12,アイムジャグラーEX-TP,370,1119,-900,1,3,279.8,1119.0,373.0,6.4301564338111055,0,2,-700.0,1906.0,476.5,381.2
2023-09-12,アイムジャグラーEX-TP,371,3778,1100,17,13,125.9,222.2,290.6,5.877305080452652,0,2,200.0,915.0,183.0,0.0
