日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-09-12,アイムジャグラーEX-TP,352,532,-300,1,0,1/532.0,1/532.0,1/0.0,5.361442340862162
2023-09-12,アイムジャグラーEX-TP,353,1813,-100,7,5,1/151.1,1/259.0,1/362.6,6.449535391549763
2023-09-12,アイムジャグラーEX-TP,354,2091,-700,6,3,1/232.3,1/348.5,1/697.0,5.988257345230538
2023-09-12,アイムジャグラーEX-TP,355,1483,-400,5,1,1/247.2,1/296.6,1/1483.0,5.937942217535933
2023-09-12,アイムジャグラーEX-TP,356,2120,0,6,6,1/176.7,1/353.3,1/353.3,5.16909524740704
2023-09-12,アイムジャグラーEX-TP,357,1309,-200,3,6,1/145.4,1/436.3,1/218.2,5.868899544570705
2023-09-12,アイムジャグラーEX-TP,358,3643,-200,14,7,1/173.5,1/260.2,1/520.4,6.038430441035655
2023-09-12,アイムジャグラーEX-TP,359,4855,-100,19,9,1/173.4,1/255.5,1/539.4,5.935213628570786
2023-09-12,アイムジャグラーEX-TP,360,767,0,3,2,1/153.4,1/255.7,1/383.5,6.167011185768307
2023-09-12,アイムジャグラーEX-TP,361,804,-400,2,2,1/201.0,1/402.0,1/402.0,6.8442330866571846
2023-09-12,アイムジャグラーEX-TP,362,3436,-200,13,9,1/156.2,1/264.3,1/381.8,6.2990862621731765
2023-09-12,アイムジャグラーEX-TP,363,1805,-900,5,3,1/225.6,1/361.0,1/601.7,6.806127550978084
2023-09-12,アイムジャグラーEX-TP,364,3199,-400,11,6,1/188.2,1/290.8,1/533.2,5.879372227135789
2023-09-12,アイムジャグラーEX-TP,365,757,-500,1,1,1/378.5,1/757.0,1/757.0,5.673396148895697
2023-09-12,アイムジャグラーEX-TP,366,5592,1200,26,14,1/139.8,1/215.1,1/399.4,5.986859229411564
2023-09-12,アイムジャグラーEX-TP,367,1035,-1000,0,1,1/1035.0,1/0.0,1/1035.0,5.4417791410559095
2023-09-12,アイムジャグラーEX-TP,368,3266,0,12,8,1/163.3,1/272.2,1/408.2,5.831500975499768
2023-09-12,アイムジャグラーEX-TP,369,1776,-600,5,3,1/222.0,1/355.2,1/592.0,6.05034376581572
