日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2022-09-05,アイムジャグラーEX-TP,631,5250,-2300,14,9,1/228.3,1/375.0,1/583.3,6.364668211361539
2022-09-05,アイムジャグラーEX-TP,632,4080,1000,21,7,1/145.7,1/194.3,1/582.9,6.0753323340801435
2022-09-05,アイムジャグラーEX-TP,633,3000,-1300,5,9,1/214.3,1/600.0,1/333.3,5.7533813101408136
2022-09-05,アイムジャグラーEX-TP,634,5860,200,24,13,1/158.4,1/244.2,1/450.8,6.050823926547953
2022-09-05,アイムジャグラーEX-TP,635,6490,-2100,15,19,1/190.9,1/432.7,1/341.6,5.947105944897544
2022-09-05,アイムジャグラーEX-TP,636,5180,-300,21,6,1/191.9,1/246.7,1/863.3,5.963492946759305
2022-09-05,アイムジャグラーEX-TP,637,2560,-700,8,4,1/213.3,1/320.0,1/640.0,6.05648524181227
2022-09-05,アイムジャグラーEX-TP,638,7170,2900,35,26,1/117.5,1/204.9,1/275.8,5.878371573014929
2022-09-05,アイムジャグラーEX-TP,639,5150,-2000,13,13,1/198.1,1/396.2,1/396.2,6.322559814178126
2022-09-05,アイムジャグラーEX-TP,640,5910,-300,25,8,1/179.1,1/236.4,1/738.8,6.221772064906664
2022-09-05,アイムジャグラーEX-TP,641,6330,300,24,17,1/154.4,1/263.8,1/372.4,5.850942660345984
2022-09-05,アイムジャグラーEX-TP,642,5260,600,23,14,1/142.2,1/228.7,1/375.7,6.200350414100304
2022-09-05,アイムジャグラーEX-TP,643,5660,500,21,21,1/134.8,1/269.5,1/269.5,6.010254173224233
2022-09-05,アイムジャグラーEX-TP,644,3870,600,19,5,1/161.2,1/203.7,1/774.0,6.029682866726246
2022-09-05,アイムジャグラーEX-TP,645,5330,-1100,15,14,1/183.8,1/355.3,1/380.7,5.862219474788029
2022-09-05,アイムジャグラーEX-TP,646,5440,-300,20,14,1/160.0,1/272.0,1/388.6,6.133412316049776
2022-09-05,アイムジャグラーEX-TP,647,3340,-500,11,6,1/196.5,1/303.6,1/556.7,5.79692688244136
2022-09-05,アイムジャグラーEX-TP,648,6360,-400,23,20,1/147.9,1/276.5,1/318.0,6.362890979516544
2022-09-05,アイムジャグラーEX-TP,649,4830,-200,17,14,1/155.8,1/284.1,1/345.0,6.030870189015338
2022-09-05,アイムジャグラーEX-TP,650,6630,1300,32,11,1/154.2,1/207.2,1/602.7,5.90974166540353
2022-09-05,アイムジャグラーEX-TP,651,4750,-300,18,13,1/153.2,1/263.9,1/365.4,6.387875140575278
2022-09-05,アイムジャグラーEX-TP,652,5880,900,24,21,1/130.7,1/245.0,1/280.0,6.0804483648169745
2022-09-05,アイムジャグラーEX-TP,653,6620,1500,30,16,1/143.9,1/220.7,1/413.8,5.771591615777997
2022-09-05,アイムジャグラーEX-TP,654,3750,-100,14,8,1/170.5,1/267.9,1/468.8,5.880392810239724
2022-09-05,アイムジャグラーEX-TP,655,5000,200,19,15,1/147.1,1/263.2,1/333.3,6.024913015318341
2022-09-05,アイムジャグラーEX-TP,656,7030,1800,31,25,1/125.5,1/226.8,1/281.2,5.980376877736257
2022-09-05,アイムジャグラーEX-TP,657,2370,-600,7,7,1/169.3,1/338.6,1/338.6,6.391115217245332
2022-09-05,アイムジャグラーEX-TP,658,4420,-1100,12,10,1/200.9,1/368.3,1/442.0,5.789437629484636
2022-09-05,アイムジャグラーEX-TP,659,2510,-1300,4,4,1/313.8,1/627.5,1/627.5,5.486214083876562
2022-09-05,アイムジャグラーEX-TP,660,5710,-300,19,18,1/154.3,1/300.5,1/317.2,5.972446312440631
2022-09-05,アイムジャグラーEX-TP,701,3950,-1300,12,8,1/197.5,1/329.2,1/493.8,6.436023482524159
2022-09-05,アイムジャグラーEX-TP,702,6410,-200,20,23,1/149.1,1/320.5,1/278.7,5.833383727034407
2022-09-05,アイムジャグラーEX-TP,703,7190,900,29,24,1/135.7,1/247.9,1/299.6,6.050679192947112
2022-09-05,アイムジャグラーEX-TP,704,4800,-200,18,14,1/150.0,1/266.7,1/342.9,6.315855956378488
2022-09-05,アイムジャグラーEX-TP,705,5260,-700,19,10,1/181.4,1/276.8,1/526.0,6.122763859839226
2022-09-05,アイムジャグラーEX-TP,706,3750,-1100,10,11,1/178.6,1/375.0,1/340.9,6.222839896700858
2022-09-05,アイムジャグラーEX-TP,707,4620,100,19,8,1/171.1,1/243.2,1/577.5,5.918250892973748
