日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率
2023-10-01,アイムジャグラーEX-TP,723,6411,400,27,14,1/156.4,1/237.4,1/457.9,6.039702124642099
2023-10-01,アイムジャグラーEX-TP,724,5996,-600,23,10,1/181.7,1/260.7,1/599.6,6.127310782261279
2023-10-01,アイムジャグラーEX-TP,725,6399,-100,23,20,1/148.8,1/278.2,1/319.9,6.097937449608514
2023-10-01,アイムジャグラーEX-TP,726,5311,-200,18,15,1/160.9,1/295.1,1/354.1,5.838944581797495
2023-10-01,アイムジャグラーEX-TP,727,6546,1200,28,22,1/130.9,1/233.8,1/297.5,6.075256671241577
2023-10-01,アイムジャグラーEX-TP,728,7876,3200,36,32,1/115.8,1/218.8,1/246.1,5.71757928553257
2023-10-01,アイムジャグラーEX-TP,729,7766,300,29,26,1/141.2,1/267.8,1/298.7,6.1076368039272975
2023-10-01,アイムジャグラーEX-TP,730,5426,-2000,14,10,1/226.1,1/387.6,1/542.6,5.988413600590074
2023-10-01,アイムジャグラーEX-TP,731,5010,-800,17,9,1/192.7,1/294.7,1/556.7,5.948014354541309
2023-10-01,アイムジャグラーEX-TP,732,5078,-3200,10,6,1/317.4,1/507.8,1/846.3,6.197587183379941
2023-10-01,アイムジャグラーEX-TP,733,6890,500,26,20,1/149.8,1/265.0,1/344.5,5.812736574793089
2023-10-01,アイムジャグラーEX-TP,734,4409,-1600,12,9,1/210.0,1/367.4,1/489.9,6.215206771358528
2023-10-01,アイムジャグラーEX-TP,735,7676,-400,28,23,1/150.5,1/274.1,1/333.7,6.277887517676084
2023-10-01,アイムジャグラーEX-TP,736,5876,-2000,16,16,1/183.6,1/367.2,1/367.2,6.428525041665069
2023-10-01,アイムジャグラーEX-TP,737,5182,-3100,9,9,1/287.9,1/575.8,1/575.8,6.022732642808789
2023-10-01,アイムジャグラーEX-TP,738,6561,-400,22,23,1/145.8,1/298.2,1/285.3,6.196888259148445
